objective_name,objective_file_tag,local_minimum_index,local_minimum_id,selection_absolute_threshold,contour_delta,configured_direction_count,target_success_count,initial_success_count,attempted_direction_count,replacement_direction_count,contour_point_count,center_u0,center_u1,center_u2,center_u3,center_u4,center_u5,center_u6,center_u7,record_type,contour_sample_id,u0,u1,u2,u3,u4,u5,u6,u7,sqrt_s,theta_p_out,theta_gamma_out,qOut,phi_p_out,phi_gamma_out,alpha_e,alpha_p
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,minimum,,,,,,,,,,,,,,,,,
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,0,0.5045463562011718,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.980430947529842,0.027582046001400944,0.0,0.717709395406269,0.0,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,1,0.5,0.5085981750488281,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.982959663598015,0.05212976944598876,0.0,0.717709395406269,1.5707963267948966,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,2,0.5,0.5,0.6658875632338367,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.999999692322788,0.0,0.0,0.717709395406269,nan,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,3,0.5,0.5,0.6647884726576648,0.5313211059570313,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.999999847457083,0.0,0.2074845800097085,0.733440083206748,nan,0.0,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,4,0.5,0.5,0.6647884726576648,0.5,0.5313211059570313,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.999999847457083,0.0,0.2074845800097085,0.733440083206748,nan,1.5707963267948966,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,5,0.5,0.5,0.6647884726576648,0.5,0.5,0.6509139758280016,0.49999209100939834,0.24761086130847854,4.999999936118651,0.0,0.0,0.7279847857744239,nan,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,6,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.2795392670701973,4.979449155621037,0.0,0.0,0.717709395406269,nan,nan,1.5707714799681252,0.8781985078176069
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,7,0.4954998779296875,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.9804110827680255,0.02730169069709025,0.0,0.717709395406269,3.141592653589793,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,8,0.5,0.49140182495117185,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.982959663598015,0.05212976944598909,0.0,0.717709395406269,4.71238898038469,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,9,0.5,0.5,0.5178585410170398,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,2.568853417825272,0.0,0.0,0.717709395406269,nan,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,10,0.5,0.5,0.6647884726576648,0.46867889404296875,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.999999847457083,0.0,0.20748458000970818,0.733440083206748,nan,3.141592653589793,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,11,0.5,0.5,0.6647884726576648,0.5,0.46867889404296875,0.6487838488748766,0.49999209100939834,0.24761086130847854,4.999999847457083,0.0,0.20748458000970818,0.733440083206748,nan,4.71238898038469,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,12,0.5,0.5,0.6647884726576648,0.5,0.5,0.5180416613748766,0.49999209100939834,0.24761086130847854,3.7180905395915413,0.0,0.0,0.08703007735992117,nan,nan,1.5707714799681252,0.7778924628357573
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,13,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.2157776703905098,4.979449155621037,0.0,0.0,0.717709395406269,nan,nan,1.5707714799681252,0.6778855441075454
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,14,0.4949863385571293,0.5061604895744403,0.6629911832981225,0.5057615087951806,0.5118859971414275,0.649667918663482,0.49367268989572677,0.23540130654495722,4.962001280265865,0.04869308910318186,0.08802586271916826,0.72478019209866,2.2539203459628396,1.1194385323537872,1.5509184958543274,0.7395350152870765
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,15,0.501374291322191,0.4979109209762213,0.666016334918467,0.5008972550605757,0.4987086078935039,0.6484898845497105,0.49851002217151824,0.2481973629525418,4.9999999367484484,0.015061146934226662,0.01058955959233761,0.7163315225996176,5.294259763438252,5.3196142991518,1.5661154233949266,0.7797350120920647
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,16,0.5011220466199757,0.5002656850343534,0.6657145658925042,0.5013542384841211,0.499638497321447,0.649105443478518,0.4994213051336847,0.24887504345837166,4.999999823837311,0.0069580745869508645,0.009400173504504818,0.7192924954144571,0.2325039031476531,6.022326189905357,1.5689783032542104,0.7818640081906609
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,17,0.5018817882583798,0.5084096402273186,0.6611223148129282,0.49917917210290275,0.4898484520668018,0.6456810626574034,0.5040689818126991,0.253552957560542,4.885099720222606,0.05343397211732867,0.0697972308691248,0.7044572923229581,1.3506571066751554,4.631707093146729,1.5835794101652625,0.7965601087681634
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,18,0.5014021685952326,0.49867999039443506,0.6658262076474614,0.5018097962697363,0.5014168753745718,0.6488716539353282,0.5013496569580898,0.24767092411808173,4.999999534196801,0.011612522681449888,0.015437949313912602,0.718218537830685,5.527959326005608,0.6642219549180961,1.5750363991792977,0.7780811557171606
