selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,unpolarized_GHZ_purity,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_proton_GHZ_purity,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,L_electron_GHZ_purity,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Tx_proton_GHZ_purity,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Ty_proton_GHZ_purity,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Tx_electron_GHZ_purity,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,Ty_electron_GHZ_purity,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LL_GHZ_purity,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTx_GHZ_purity,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,LTy_GHZ_purity,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTx_GHZ_purity,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest,TxTy_GHZ_purity
GHZ_purity,P_{\rm GHZ+},LTx,enhanced_region_0,0,1,4.8516708144554799e-01,1.0000000000000002e+00,nan,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.0640153408455078e-01,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.0616701789183018e+00,1.5964029748233445e+01,8.3912257530893541e-01,-3.2715701495282010e+00,3.9404838506699695e+00,9.2191654582449112e-01,1.7848290489318305e+02,4.7278165932039901e-01,6.8190114586737112e+00,4.7278165932039901e-01,6.8190114586737112e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619290e-01,4.2388734840946476e-05,4.2219215949225485e-05,3.9130313842817697e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619285e-01,4.1551753325252563e-05,1.1768606137078524e-05,3.9131131475387153e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619290e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.7046918461329684e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619296e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.6741567588641155e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619290e-01,0.0000000000000000e+00,1.5019634363285706e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619290e-01,0.0000000000000000e+00,1.5019630559972441e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8253336670619296e-01,4.4601496503451094e-05,1.7851422301650018e-05,3.9223750973776485e-02,4.9587023333550768e-05,3.9223780584890088e-02,3.9223759288876635e-02,4.8367469511626282e-01,6.2318158220545517e-04,9.3306538943033777e-06,1.2686108287363596e-01,6.5187339657230470e-04,1.2686275820510287e-01,1.2686122792712842e-01,4.8516708144554799e-01,6.6505583704158254e-04,2.0493633948117005e-05,9.5438033894979846e-02,6.8966598102781975e-04,9.5440523821960360e-02,9.5438208848092523e-02,4.8252224215977363e-01,3.5250224607605946e-01,1.6690732913964779e-02,8.7084097045717568e-02,9.9618550182306020e-01,9.9984529541190359e-01,9.3579450835174471e-01,5.1103524412516144e-02,3.5246669710817558e-01,1.5019632995566934e-02,8.6741694327482577e-02,9.9620420000497567e-01,9.9986066040202581e-01,9.3579600134516860e-01,6.9864940795048591e-01
GHZ_purity,P_{\rm GHZ+},LTx,enhanced_region_0,0,2,4.8516466695937999e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.0233656224036637e-01,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6283942977451687e+01,8.4196461253844335e-01,-3.2513153647454680e+00,3.9363135944700085e+00,9.3721713591043643e-01,1.7881579752115476e+02,3.0478278042149903e-01,6.8210965867743205e+00,3.0478278042149903e-01,6.8210965867743205e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213357e-01,4.4286441181091208e-05,3.4936951933615808e-05,3.1923425803026650e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213357e-01,4.3770624418076323e-05,1.0087945238454247e-05,3.1924195806040397e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213362e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.6261639009277636e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213357e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.6056477279994965e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213357e-01,0.0000000000000000e+00,9.8586847157915644e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213357e-01,0.0000000000000000e+00,9.8586836609511411e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8272383573213362e-01,4.5705650476120372e-05,1.4534475474150593e-05,3.1958937383818220e-02,4.9817387739055748e-05,3.1958974581787765e-02,3.1958945204181091e-02,4.8324757876585217e-01,8.1857841664174696e-04,8.4828900009054484e-06,8.8628580695329709e-02,8.4644941821141600e-04,8.8632624987289382e-02,8.8628845267544068e-02,4.8516466695937999e-01,8.6069101362076675e-04,1.7629589969016935e-05,6.4688036213542355e-02,8.8572864586680894e-04,6.4694100092637166e-02,6.4688376920143370e-02,4.8271650136759620e-01,3.5816164642269421e-01,1.0963785334269938e-02,5.6299524178944849e-02,9.9840043970997250e-01,9.9992643234623746e-01,9.3364517265831459e-01,3.3022777219023802e-02,3.5816992698587918e-01,9.8586857304119608e-03,5.6056684948744447e-02,9.9841604082306656e-01,9.9993987280156749e-01,9.3364406824516777e-01,6.5819698739300336e-01
GHZ_purity,P_{\rm GHZ+},LTx,enhanced_region_1,1,1,4.8275642563573562e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.1330099668290838e+00,1.5707949999999999e+00,1.4726215563702159e+00,1.4726215563702159e+00,4.6142142099600090e+00,1.8000000000000000e+00,4.9087385212340520e+00,4.0422949216420934e+00,2.0249842016704483e-01,-1.8934432556479369e+01,1.6799655045937932e+01,9.6734377884147926e-01,5.4940203498366188e+01,7.8354946784600994e+00,3.8942586104141486e-01,7.8354946784600994e+00,3.8942586104141486e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462846e-01,0.0000000000000000e+00,2.1690852987583828e-04,5.2202209315184303e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462835e-01,1.9105974023234870e-06,3.5429622844124984e-04,6.3145029181754268e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462846e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.6743479813690161e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462840e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.6606436523737652e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462840e-01,0.0000000000000000e+00,4.8651827792238296e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462840e-01,0.0000000000000000e+00,4.8651966482728482e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8225774003462840e-01,3.2834078606089971e-06,3.5460694147935236e-04,5.7714922179616735e-03,3.5462523575469627e-04,5.7714934253227891e-03,5.7823759559177020e-03,4.8253991617139019e-01,1.6109052453785379e-05,3.5754662799286575e-04,5.1905471259375252e-02,3.5988029567951465e-04,5.1905488186253748e-02,5.1906717137035971e-02,4.8275642563573562e-01,1.2691996625938599e-05,3.5397594085296170e-04,4.6516979984349428e-02,3.5606492298675144e-04,4.6516996037911505e-02,4.6518341095429107e-02,4.8218340708907609e-01,3.6605103249623316e-01,4.9188463831622998e-03,4.6743144840813523e-02,9.9860436030822286e-01,9.9968564812621541e-01,9.3026997789967503e-01,7.5355404011333282e-02,3.6599973993676527e-01,4.8647580494899124e-03,4.6606268406541002e-02,9.9883673672249773e-01,9.9991164871788596e-01,9.3053272950399357e-01,2.2355325965830314e-01
GHZ_purity,P_{\rm GHZ+},LTx,enhanced_region_1,1,2,4.8275333663247133e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.1330099668290838e+00,1.5707949999999999e+00,1.3744467859455343e+00,1.3744467859455343e+00,4.5160394395353274e+00,1.8000000000000000e+00,4.9087385212340520e+00,4.1704003924336801e+00,2.0758369842083194e-01,-1.8797790309131393e+01,1.6799655045937932e+01,9.7355164240091807e-01,5.4940203498366188e+01,7.7031208193903158e+00,3.8942586104141486e-01,7.7031208193903158e+00,3.8942586104141486e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561207e-01,0.0000000000000000e+00,2.6514636258518043e-04,4.6963101005104797e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561207e-01,0.0000000000000000e+00,3.6212192258885375e-04,6.2771863240683162e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561196e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.2407176719364848e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561201e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.2170606750020890e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561201e-01,0.0000000000000000e+00,9.6562456792752428e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561207e-01,0.0000000000000000e+00,9.6562373382362496e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8209569985561207e-01,2.9236897194156926e-06,3.6258835713795658e-04,5.4916868495353743e-03,3.6260653741459792e-04,5.4916883870116829e-03,5.5036445298403463e-03,4.8227384215322572e-01,1.1601046502057196e-05,3.6529700611112224e-04,3.6968954579037747e-02,3.6780751091837997e-04,3.6968980330997700e-02,3.6970783248848303e-02,4.8275333663247133e-01,7.9861815401567725e-06,3.6147011517211834e-04,3.1807052811744986e-02,3.6383273964885759e-04,3.1807079880672752e-02,3.1809132767289285e-02,4.8193626643028903e-01,3.6632233794665386e-01,9.6389892698717783e-03,3.2406776840233346e-02,9.9830824994606737e-01,9.9878759066826373e-01,9.2923490327198432e-01,3.3019974034325439e-02,3.6641051456079249e-01,9.6998671693417551e-03,3.2170247684104758e-02,9.9922453191548732e-01,9.9969520480813434e-01,9.3017628665531737e-01,3.0774795498405849e-01
