optimization_run,start_source,screening_dGHZ,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_dGHZ,lbfgs_dGHZ,final_dGHZ,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_dGHZ,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,angular_minimum:0,2.2283461909263584e-08,True,False,2,ABNORMAL: ,0,609,171,1973.7739183335332,2.576732324820442e-08,2.576732324820442e-08,1.9725578905229248e-08,19,5,False,1e-05,2.4916318339829756e-08,True,0.49999999917491406,0.500000004766936,0.5371822696490732,0.49999999999999994,0.49999999999999994,0.05084081351958192,0.2412766018381158,0.7587221416896174,0.49999999917491406,0.500000004766936,0.5310299258990733,0.49999999999999994,0.49999999999999994,0.05728612601958192,0.2412766018381158,0.7587221416896174
1,angular_minimum:1,2.280689526761525e-08,True,False,2,ABNORMAL: ,0,517,189,223606797.74564278,2.283289832245214e-08,2.283289832245214e-08,2.283289832245214e-08,14,0,False,1e-05,2.2809185833484068e-08,True,0.5,0.5,0.2713042156448182,0.5,0.5,0.47499952001909884,0.7763316288286362,0.22366422443165512,0.5,0.5,0.2713042156448182,0.5,0.5,0.47499952001909884,0.7763316288286362,0.22366422443165512
2,angular_minimum:2,2.2912499293258053e-08,True,False,2,ABNORMAL: ,0,517,189,199999999.9963329,2.2886369802771402e-08,2.2886369802771402e-08,2.2886369802771402e-08,14,0,False,1e-05,2.2872271266406802e-08,True,0.5,0.5,0.27137258932873465,0.5,0.5,0.47486308115850556,0.27914705208553225,0.27915054703938413,0.5,0.5,0.27137258932873465,0.5,0.5,0.47486308115850556,0.27914705208553225,0.27915054703938413
3,angular_minimum:3,2.324334173144766e-08,True,False,2,ABNORMAL: ,0,517,189,23137.81880598563,2.3241731783637667e-08,2.3241731783637667e-08,2.3241731783637667e-08,14,0,False,1e-05,2.324381672296737e-08,True,0.5,0.5,0.38129264563893905,0.5,0.5,0.261605895021653,0.2631966527608015,0.7368012005239265,0.5,0.5,0.38129264563893905,0.5,0.5,0.261605895021653,0.2631966527608015,0.7368012005239265
4,angular_minimum:4,2.367139493067438e-08,True,False,2,ABNORMAL: ,0,517,189,199999999.99617597,2.3671218893950626e-08,2.3671218893950626e-08,2.3671218893950626e-08,14,0,False,1e-05,2.3659749679865358e-08,True,0.5,0.5,0.25879844294911436,0.5,0.5,0.525,0.2585696028834483,0.7585658003742844,0.5,0.5,0.25879844294911436,0.5,0.5,0.525,0.2585696028834483,0.7585658003742844
5,angular_minimum:5,2.390074716985364e-08,True,False,2,ABNORMAL: ,0,517,189,199999999.99612996,2.3901187542155442e-08,2.3901187542155442e-08,2.3901187542155442e-08,14,0,False,1e-05,2.388942771572939e-08,True,0.5,0.5,0.25879844294911436,0.5,0.5,0.525,0.7260487487845101,0.22605100729370675,0.5,0.5,0.25879844294911436,0.5,0.5,0.525,0.7260487487845101,0.22605100729370675
6,angular_minimum:6,2.393293392547712e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,594,153,1620.2258583460152,2.6676332320527954e-08,2.5899248404871438e-08,1.874987860404732e-08,19,5,False,1e-05,2.13570081323272e-08,True,0.5000081395276589,0.500000232721771,0.5000550221554336,0.5,0.5,0.07918230168559548,0.2579610215059149,0.7420354245235796,0.5000081395276584,0.500000232721772,0.500006194030434,0.49999999999852046,0.49999999999852046,0.08308855168559606,0.2579610215059154,0.7420232174923301
7,angular_minimum:7,2.4114924757736163e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,524,153,700.8477472894684,2.700251683529719e-08,2.566800476384807e-08,2.3579689624958643e-08,16,2,False,1e-05,2.432937673143967e-08,True,0.5000000001350556,0.5000000009425886,0.5012628141725207,0.5,0.49999999999999994,0.07767271013025351,0.2508170388834736,0.7491927479603315,0.5000000001350553,0.5000000009425883,0.5012628141725239,0.4999999999915657,0.49999999999156564,0.08074888200525517,0.25081703888346707,0.7491927479603272
8,angular_minimum:8,2.427600643016904e-08,True,False,2,ABNORMAL: ,0,517,189,5203.624003195469,2.4275585195697998e-08,2.4275585195697998e-08,2.4275585195697998e-08,14,0,False,1e-05,2.4273855419750836e-08,True,0.5,0.5,0.4438905276745745,0.5,0.5,0.15336255805888843,0.7423104381347938,0.7423081541468489,0.5,0.5,0.4438905276745745,0.5,0.5,0.15336255805888843,0.7423104381347938,0.7423081541468489
9,angular_minimum:9,2.4308350027689875e-08,True,False,2,ABNORMAL: ,0,547,189,7336.052886919937,2.4308363096065304e-08,2.4308363096065304e-08,2.371045099375514e-08,15,1,False,1e-05,2.3672589756886712e-08,True,0.5,0.5,0.4172121263743313,0.5,0.49999999999999994,0.20301646527103795,0.7575979004648419,0.7576039939768617,0.5,0.5,0.4140871263743313,0.5,0.49999999999999994,0.20301646527103795,0.7575979004648419,0.7576039939768617
