local_minimum_id,contour_status,contour_file,contour_point_count,configured_direction_count,contour_delta
0,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0000_contour_samples.csv,415,1536,0.05
1,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0001_contour_samples.csv,188,1536,0.05
2,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0002_contour_samples.csv,188,1536,0.05
3,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0003_contour_samples.csv,344,1536,0.05
4,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0004_contour_samples.csv,100,1536,0.05
5,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0005_contour_samples.csv,101,1536,0.05
6,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0006_contour_samples.csv,766,1536,0.05
7,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0007_contour_samples.csv,259,1536,0.05
8,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0008_contour_samples.csv,393,1536,0.05
9,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0009_contour_samples.csv,379,1536,0.05
10,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0010_contour_samples.csv,781,1536,0.05
11,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0011_contour_samples.csv,206,1536,0.05
12,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0012_contour_samples.csv,401,1536,0.05
13,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0013_contour_samples.csv,214,1536,0.05
14,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0014_contour_samples.csv,354,1536,0.05
15,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0015_contour_samples.csv,572,1536,0.05
16,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0016_contour_samples.csv,648,1536,0.05
17,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0017_contour_samples.csv,343,1536,0.05
18,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0018_contour_samples.csv,211,1536,0.05
19,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0019_contour_samples.csv,362,1536,0.05
20,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0020_contour_samples.csv,770,1536,0.05
21,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0021_contour_samples.csv,358,1536,0.05
22,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0022_contour_samples.csv,395,1536,0.05
23,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0023_contour_samples.csv,698,1536,0.05
24,complete,Output\GradientPhaseSpaceScan\electron\Data\GHZ\contour\local_minima\local_minimum_0024_contour_samples.csv,388,1536,0.05
