detail_id,polarization,polarization_label,energy_group,cluster_id,cluster_size,D_W,w_fidelity,w_subspace_population,purity,C_e_p,C_p_gamma,C_e_gamma,kinematic_point,s,theta_in,phi_in,phi_in_electron,qOut,phiOut,Q2,xB,t,theta_e_gamma_deg,aligned,F1,F2
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,0,29,1.1546950290624372e+00,0.06247801085834737,0.18768740648919036,4.9999989161731251e-01,9.5424621669622810e-06,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.8105637508093704e+00,1.5353445677485071e+01,7.6851165077352013e-01,-1.9777762699900443e+01,7.2521812553026113e+00,True,0.002152571792696158,0.00043139188387211844
unpolarized_low_Egamma_W_1,unpolarized,Unpolarized,low_Egamma,1,20,1.1546967298563799e+00,0.06256250290587571,0.1876873370931697,4.9999985761602928e-01,6.5965768724903732e-06,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.6689710972195777e+00,1.9550048149821166e+01,9.8738009813515337e-01,-1.5172115014369759e+01,1.7565292434627273e+02,False,0.003762910595822596,0.0009318741166307084
unpolarized_low_Egamma_W_2,unpolarized,Unpolarized,low_Egamma,2,9,1.1546974969149093e+00,0.06071620148812258,0.18775254380918133,4.9999565392181644e-01,5.2679846460009485e-06,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,5.0000000000000000e-01,4.3196898986859651e+00,1.5549916456077009e+01,7.7856756516371850e-01,-1.9520130287251501e+01,2.8785467214800036e+01,False,0.002213925229258699,0.00044845368289986575
unpolarized_low_Egamma_W_3,unpolarized,Unpolarized,low_Egamma,3,22,1.1546977968100232e+00,0.0647137113693463,0.18776373124163068,4.9999801212079376e-01,4.7485484703744091e-06,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,5.0000000000000000e-01,1.1780972450961724e+00,1.9436405099534309e+01,9.8130227279168192e-01,-1.5264011536088500e+01,1.6252501845889012e+02,False,0.003716256551073648,0.0009159884506916693
unpolarized_mid_Egamma_W_0,unpolarized,Unpolarized,mid_Egamma,0,12,1.1546967387898119e+00,0.03889846910084432,0.11625624298289766,4.9999884512103121e-01,6.5811036124978813e-06,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.6142142099600090e+00,1.0914295121167340e+01,5.4158548019141584e-01,-1.9751701746237757e+01,1.0200877220911694e+01,False,0.002158663123801909,0.0004330790115294845
unpolarized_mid_Egamma_W_1,unpolarized,Unpolarized,mid_Egamma,1,32,1.1546991218995462e+00,0.038752138077324264,0.11625554985469265,4.9999914069602663e-01,2.4534178270909117e-06,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.6689710972195777e+00,1.9132511685303928e+01,9.6580574338582392e-01,-1.0554283968938584e+01,1.7698628218395910e+02,False,0.007774439430285396,0.002532756154304158
unpolarized_mid_Egamma_W_2,unpolarized,Unpolarized,mid_Egamma,2,34,1.1547005383792128e+00,0.1666212113872943,0.4999999911603573,4.6116593443549725e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.6946448384896939e-14,high_s_high_theta_in_mid_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,3.7306412761378791e+00,5.8904862254808599e-01,1.0000000000000000e+00,4.7123889803846897e+00,8.4735521438986137e+00,4.7736743796311693e-01,-1.5394027681395196e+01,0.0000000000000000e+00,True,0.003651626131730104,0.0008941059100648173
unpolarized_mid_Egamma_W_3,unpolarized,Unpolarized,mid_Egamma,3,2,1.1547005383792208e+00,0.1666968405499738,0.4999999103150965,2.6692986805070062e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.3235194030776256e-14,high_s_high_theta_in_mid_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,6.8722339297276713e-01,3.8288160465625602e+00,1.0000000000000000e+00,4.7123889803846897e+00,1.9915447204692902e+00,1.7673432059224867e-01,-3.6180686571599323e+00,0.0000000000000000e+00,True,0.04914187483095732,0.03186063846591156
unpolarized_high_Egamma_W_0,unpolarized,Unpolarized,high_Egamma,0,21,1.1546836965010392e+00,0.00041233680061595647,0.03877775551972396,4.9997859865388811e-01,2.9171414250321683e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,5.2032628325080950e+00,2.0616701789183018e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6833197482714333e+01,8.4591009766531422e-01,-3.2394089105683106e+00,1.7812228776742094e+02,False,0.05790298378222608,0.039893622717376793
unpolarized_high_Egamma_W_1,unpolarized,Unpolarized,high_Egamma,1,43,1.1546836965013245e+00,0.025440173500722786,0.03877775551972402,4.9997859865388816e-01,2.9171413756506706e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.2215151282612844e+00,1.0799224746714913e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6833197482714333e+01,8.4591009766531422e-01,-3.2394089105683106e+00,1.7812228776742114e+02,False,0.05790298378222608,0.039893622717376793
unpolarized_high_Egamma_W_2,unpolarized,Unpolarized,high_Egamma,2,7,1.1546844626662316e+00,0.008759766696411367,0.018414108176497055,4.9997706002225167e-01,2.7844339377437614e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.8000000000000000e+00,1.3744467859455345e+00,1.6832677631567883e+01,8.4653673884361780e-01,-3.2240643853822242e+00,1.7942642751729619e+02,False,0.058305660776454264,0.040274355329856557
unpolarized_high_Egamma_W_3,unpolarized,Unpolarized,high_Egamma,3,9,1.1546844626662474e+00,0.003516284426391181,0.018414108176497017,4.9997706002225162e-01,2.7844339350103224e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,1.8000000000000000e+00,1.7671458676442586e+00,1.6832677631567883e+01,8.4653673884361791e-01,-3.2240643853822237e+00,1.7942642751729554e+02,False,0.05830566077645429,0.040274355329856584
L_proton_low_Egamma_W_0,L_proton,L proton,low_Egamma,0,7,9.4952524459177845e-01,0.07066001287436514,0.2120739704486002,5.0931082144674678e-01,0.0000000000000000e+00,5.5393112999704386e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,5.0069132916587327e+00,2.7014801082953580e-02,5.9467735790620438e-03,-3.1341957836810203e-05,2.1666378865396450e+01,False,0.9999123398797755,1.792660026786355
L_proton_low_Egamma_W_1,L_proton,L proton,low_Egamma,1,7,9.4952524459591303e-01,0.07072284101379832,0.21207397045888388,5.0931082144764850e-01,0.0000000000000000e+00,5.5393112996222049e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.4178646691106467e+00,2.7014801082953722e-02,5.9467735790620785e-03,-3.1341957836810203e-05,2.1666378865396503e+01,False,0.9999123398797755,1.792660026786355
L_proton_low_Egamma_W_2,L_proton,L proton,low_Egamma,2,34,1.0035426393863087e+00,0.11885002170292264,0.35659639274833915,5.1838754804754494e-01,0.0000000000000000e+00,3.2285139624147180e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,2.1515843999999998e+01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,5.4977871437821380e+00,1.5500880239530671e-01,3.8864916806382960e-02,-1.3986382037547741e-03,5.6256608281461624e+01,False,0.9961121177068514,1.784679484785859
