detail_id,polarization,polarization_label,momentum,E,px,py,pz,mass_shell
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,k,2.224417666614393,4.086188855256489e-16,2.2244176079184372,-2.9513459302684256e-06,2.611199274582532e-07
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,p,2.4140997689462407,-4.086188855256489e-16,-2.2244176079184372,2.9513459302684256e-06,0.8798439999999994
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,kp,1.725905973334372,-0.049008570164780045,-1.7252099372892977,0.0,2.61119927014164e-07
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,pp,2.4126114622262644,0.0,2.2228023006253963,0.0,0.8798439999999994
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,qout,0.5,0.049008570164780045,-0.49759236333609846,0.0,0.0
unpolarized_low_Egamma_W_1,unpolarized,Unpolarized,k,2.224417666614393,4.086188855256489e-16,2.2244176079184372,-2.9513459302684256e-06,2.611199274582532e-07
unpolarized_low_Egamma_W_1,unpolarized,Unpolarized,p,2.4140997689462407,-4.086188855256489e-16,-2.2244176079184372,2.9513459302684256e-06,0.8798439999999994
unpolarized_low_Egamma_W_1,unpolarized,Unpolarized,kp,2.1974830839482546,0.04900857016478032,-2.1969364586098545,0.0,2.6111992657007477e-07
unpolarized_low_Egamma_W_1,unpolarized,Unpolarized,pp,1.9410343516130208,0.0,1.699344095273756,0.0,0.8798440000000003
unpolarized_low_Egamma_W_1,unpolarized,Unpolarized,qout,0.5,-0.04900857016478032,0.49759236333609846,0.0,0.0
unpolarized_low_Egamma_W_2,unpolarized,Unpolarized,k,2.224417666614393,-0.21803105282688584,2.213706429141132,-2.9513459302684256e-06,2.611199274582532e-07
unpolarized_low_Egamma_W_2,unpolarized,Unpolarized,p,2.4140997689462407,0.21803105282688584,-2.213706429141132,2.9513459302684256e-06,0.8798439999999994
unpolarized_low_Egamma_W_2,unpolarized,Unpolarized,kp,1.7476971980220526,0.19134171618254517,-1.7371912912809935,0.0,2.6111992657007477e-07
unpolarized_low_Egamma_W_2,unpolarized,Unpolarized,pp,2.390820237538198,0.0,2.1991310575366367,0.0,0.8798440000000003
unpolarized_low_Egamma_W_2,unpolarized,Unpolarized,qout,0.5,-0.19134171618254517,-0.46193976625564326,0.0,0.0
unpolarized_low_Egamma_W_3,unpolarized,Unpolarized,k,2.224417666614393,0.21803105282688665,2.213706429141132,-2.9513459302684256e-06,2.611199274582532e-07
unpolarized_low_Egamma_W_3,unpolarized,Unpolarized,p,2.4140997689462407,-0.21803105282688665,-2.213706429141132,2.9513459302684256e-06,0.8798439999999994
unpolarized_low_Egamma_W_3,unpolarized,Unpolarized,kp,2.184497461163049,-0.19134171618254492,-2.176101386506658,0.0,2.6111992657007477e-07
unpolarized_low_Egamma_W_3,unpolarized,Unpolarized,pp,1.9540199743967774,0.0,1.7141616202510144,0.0,0.8798440000000003
unpolarized_low_Egamma_W_3,unpolarized,Unpolarized,qout,0.5,0.19134171618254492,0.46193976625564337,0.0,0.0
unpolarized_mid_Egamma_W_0,unpolarized,Unpolarized,k,2.224417666614393,4.086188855256489e-16,2.2244176079184372,-2.9513459302684256e-06,2.611199274582532e-07
unpolarized_mid_Egamma_W_0,unpolarized,Unpolarized,p,2.4140997689462407,-4.086188855256489e-16,-2.2244176079184372,2.9513459302684256e-06,0.8798439999999994
unpolarized_mid_Egamma_W_0,unpolarized,Unpolarized,kp,1.2286045180141763,0.09801714032956045,-1.224688303515035,0.0,2.6111992679211937e-07
unpolarized_mid_Egamma_W_0,unpolarized,Unpolarized,pp,2.409912917545496,0.0,2.219873030187232,0.0,0.8798440000000003
unpolarized_mid_Egamma_W_0,unpolarized,Unpolarized,qout,1.0,-0.09801714032956045,-0.9951847266721969,0.0,0.0
unpolarized_mid_Egamma_W_1,unpolarized,Unpolarized,k,2.224417666614393,4.086188855256489e-16,2.2244176079184372,-2.9513459302684256e-06,2.611199274582532e-07
unpolarized_mid_Egamma_W_1,unpolarized,Unpolarized,p,2.4140997689462407,-4.086188855256489e-16,-2.2244176079184372,2.9513459302684256e-06,0.8798439999999994
unpolarized_mid_Egamma_W_1,unpolarized,Unpolarized,kp,2.1514002974636584,0.09801714032956065,-2.1491662613693725,0.0,2.611199274582532e-07
unpolarized_mid_Egamma_W_1,unpolarized,Unpolarized,pp,1.4871171380970793,0.0,1.1539815346971753,0.0,0.8798439999999998
