detail_id,polarization,polarization_label,energy_group,initial_component,ensemble_weight,h_e,h_p,h_gamma,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase_rad,weighted_abs2,fraction,decomposition_rank
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=-1, proton h=-1",0.25,-1,-1,-1,0.0018656967179232922,0.13137948495537696,0.13139273150134065,1.5565964589882095,0.0043160124728458486,0.3123125935018728,1
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=+1",0.25,1,1,1,0.0018656967179233044,-0.13137948495537696,0.13139273150134065,-1.5565964589882093,0.0043160124728458486,0.3123125935018728,2
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=-1, proton h=-1",0.25,-1,-1,1,-0.0014463105839946776,-0.10184743438164814,0.10185770321595466,-1.5849961285162437,0.0025937479261073752,0.1876871642028803,3
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=+1",0.25,1,1,-1,-0.001446310583994655,0.10184743438164814,0.10185770321595466,1.5849961285162435,0.0025937479261073752,0.1876871642028803,4
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=+1",0.25,-1,1,1,9.766304037534866e-07,6.877345928189106e-05,6.878039334391351e-05,1.5565965937445128,1.1826856271358656e-09,8.558075719939735e-08,5
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=-1, proton h=-1",0.25,1,-1,-1,-9.766304037466193e-07,6.877345928187874e-05,6.87803933439011e-05,1.584996059845183,1.1826856271354387e-09,8.558075719936646e-08,6
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=+1",0.25,1,-1,-1,8.953392817889075e-07,-6.417652443505192e-05,6.418276965815927e-05,-1.5568460356553961,1.0298569802480826e-09,7.452186629692655e-08,7
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=-1, proton h=-1",0.25,-1,1,1,-8.953392817889075e-07,-6.417652443505164e-05,6.418276965815899e-05,-1.5847466179343972,1.0298569802480735e-09,7.452186629692589e-08,8
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=-1",0.25,1,1,-1,8.953488220356846e-07,-6.417652429957339e-05,6.418276965577954e-05,-1.5568458869985458,1.0298569801717138e-09,7.45218662914004e-08,9
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=-1, proton h=+1",0.25,-1,-1,1,-8.953488220356846e-07,-6.417652429957308e-05,6.418276965577923e-05,-1.5847467665912476,1.0298569801717039e-09,7.452186629139968e-08,10
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=-1",0.25,1,-1,-1,2.9003512891336286e-07,-2.0552690616352577e-05,2.055473697101257e-05,-1.5566854795166116,1.0562430298687775e-10,7.643119710659279e-09,11
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=-1, proton h=+1",0.25,-1,1,1,2.900351289007983e-07,2.0552690616352577e-05,2.0554736971012394e-05,1.556685479517223,1.0562430298687594e-10,7.643119710659148e-09,12
unpolarized_low_Egamma_W_0,unpolarized,Unpolarized,low_Egamma,"electron h=+1, proton h=-1",0.25,-1,1,-1,9.500484442324818e-09,6.690137581743779e-07,6.690812116860284e-07,1.5565965502155168,1.1191741695781098e-13,8.098498085450927e-12,13
