Q2,t,phi,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
1.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.3396031725380126e+01,9.9999999999999978e-01,True,1,1,2.0296360333204731e-16,7.2900516911283415e-17,3.2716395734944037e-01,0.0000000000000000e+00,3.2716395829724121e-01,3.2716395829724154e-01,0.0000000000000000e+00,-4.6508709643460963e-32,6.2017255220148115e-10,6.2017276036829827e-10
1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929540e+01,1.0000000000000000e+00,True,1,1,1.6932393546520946e-16,9.4172895862591266e-17,8.7693197979103799e-02,0.0000000000000000e+00,8.7693198095520675e-02,8.7693198095518135e-02,0.0000000000000000e+00,-3.7539129436572875e-32,2.0417936438810180e-11,2.0417490614876854e-11
2.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.0505825648680448e+02,1.0000000000000000e+00,True,1,1,1.4265560074095354e-16,3.3956419605538016e-17,4.3464954013811511e-03,1.4901161193847656e-08,4.3464956078579156e-03,4.3464956079090015e-03,7.4787450111645662e-11,2.2204460492503128e-16,1.7949006572758140e-12,1.7953447464856640e-12
2.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.2560172817056949e+02,1.0000000000000000e+00,True,1,1,1.3240625510004852e-16,1.1143585392608524e-16,2.9876137593632307e-02,0.0000000000000000e+00,2.9876137826461868e-02,2.9876137826461868e-02,0.0000000000000000e+00,-2.9949365929854933e-32,1.3912096084520154e-11,1.3912096084520154e-11
3.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.4998612999769577e+02,9.9999999999999989e-01,True,1,1,6.8989000942833952e-17,1.5873927252666121e-16,2.8375196875396972e-02,0.0000000000000000e+00,2.8375197865832702e-02,2.8375197865844439e-02,0.0000000000000000e+00,-2.9957638893383963e-32,5.6207618637574286e-11,5.6208284662968844e-11
3.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.7944293033106095e+02,1.0000000000000000e+00,True,1,1,4.9947544275345471e-17,1.5573750211279312e-16,1.5818125890883009e-02,0.0000000000000000e+00,1.5818126123927349e-02,1.5818126123927349e-02,0.0000000000000000e+00,-2.6748926743469837e-32,7.3726494744311144e-12,7.3726494744311144e-12
4.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.1642790962917564e+02,1.0000000000000000e+00,True,1,1,1.5889637906496590e-17,2.0684444058081961e-16,8.7561258612148967e-04,1.4901161193847656e-08,8.7561270488497342e-04,8.7561270513856115e-04,1.5066123928215940e-11,2.2204460492503126e-16,2.0798161643379413e-13,2.0842570564364419e-13
4.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.6511115768605015e+02,1.0000000000000000e+00,True,1,1,4.2567923412076910e-17,1.9469770451043993e-16,1.8377109106812610e-02,0.0000000000000000e+00,1.8377109217769430e-02,1.8377109217757346e-02,0.0000000000000000e+00,-3.9719224245251027e-32,4.0781311704332635e-12,4.0776870270133048e-12
5.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,3.3287409408925043e+02,1.0000000000000002e+00,True,1,1,1.1003462281771038e-16,3.7802825679890605e-16,3.4858847605136065e-02,0.0000000000000000e+00,3.4858848401524138e-02,3.4858848401517768e-02,0.0000000000000000e+00,-1.5501298115705544e-31,5.5522341498720484e-11,5.5521897409510634e-11
5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249043e+02,1.0000000000000000e+00,True,1,1,4.9618001886792499e-17,1.6803685780927394e-16,4.9095004443998620e-02,2.1073424255447017e-08,4.9095004443998988e-02,4.9095004444003512e-02,1.1946530124387983e-09,4.4408920985006271e-16,3.5995512126518747e-17,4.8051840284557557e-16
