Q2,t,phi,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,0,-1,-1,-1,2.5611642977244142e-01,8.1230703442716737e-18,2.5611642977244142e-01,3.1716318830029739e-17
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,1,-1,-1,1,7.5595404418073400e-02,-3.9397601959858093e-02,8.5245740124181485e-02,-4.8043508780950867e-01
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,2,-1,1,-1,2.8453239750588079e-02,1.0202619404524582e-01,1.0591945583160159e-01,1.2988249118648145e+00
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,3,-1,1,1,-1.6280528238432044e-03,-2.1743541447582478e-03,2.7163158770752717e-03,-2.2134984754857898e+00
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,4,1,-1,-1,1.8783658907447227e-17,-8.2966642253782869e-18,2.0534373114852894e-17,-4.1592677354426416e-01
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,5,1,-1,1,3.9474635582859872e-18,3.3240720120084063e-18,5.1606126850417176e-18,6.9987688755991084e-01
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,6,1,1,-1,-4.1245577998107476e-19,3.8591109775527262e-18,3.8810897061917745e-18,1.6772705807817438e+00
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,0,-1,-1,-1,7,1,1,1,4.2465726334289317e-18,-2.5714631278284444e-18,4.9644538217984040e-18,-5.4448196152560957e-01
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,1,-1,-1,1,0,-1,-1,-1,7.5595404418073400e-02,3.9397601959858086e-02,8.5245740124181485e-02,4.8043508780950861e-01
3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829879e+00,4.1860454793730662e+02,1.0000000000000000e+00,True,1,1,4.8696933001929797e-17,1.1812677578495555e-16,2.4776965914752946e-01,0.0000000000000000e+00,2.4776966008228249e-01,2.4776966008228068e-01,0.0000000000000000e+00,-1.6325326441143599e-32,4.6320687563383700e-10,4.6320598051652340e-10,1,-1,-1,1,1,-1,-1,1,4.1355053975618991e-02,-1.6311986597872052e-20,4.1355053975618991e-02,-3.9443756033999706e-19
