spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,1.5491407679999998e+01,qOut,2.9999999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.6828073846391449e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.4188251104480321e+00,8.6519240697604660e-01,-6.2538072062274583e+00,2.0357879821029909e+00,5.8684814851732725e-01,2.2203278958711016e+04,1.1101639479355508e+04,5.0000000000000000e-01,True,1,1,1.1103799032944818e-01,1.3390778951934262e-01,5.3125417119002779e-03,1.7511962349025517e-01,1.1297702381359398e-01,1.3551999609518586e-01,1.7677193485483543e-02,4.0615114100953434e-04,4.0614951393407229e-04,4.0615014824194241e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,1.6782358319999997e+01,qOut,2.9999999999999999e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.7690374255446943e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.0873095812001541e+00,8.7066020188654647e-01,-6.8731713220279218e+00,2.0812437955194540e+00,5.8410319209947514e-01,2.2216576374367971e+04,1.1108288187183985e+04,4.9999999999999994e-01,True,1,1,1.0613417640720588e-01,1.2777236621968821e-01,4.8317790937177311e-03,1.6711329811781772e-01,1.0781661003543014e-01,1.2917328084216351e-01,1.6080020806684144e-02,3.3661343680060213e-04,3.3661190868562973e-04,3.3661282493983765e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,1.8073308959999999e+01,qOut,2.9999999999999999e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.8515410179402194e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.7549434060180058e+00,8.7546862892926780e-01,-7.4937454313009582e+00,2.1251942843745835e+00,5.8163341209336938e-01,2.2232820129436957e+04,1.1116410064718475e+04,4.9999999999999989e-01,True,1,1,1.0180146373111938e-01,1.2239701944092186e-01,4.4291132235817262e-03,1.6008704279291214e-01,1.0327849061836303e-01,1.2362823341736177e-01,1.4742199094121928e-02,2.8329288435986234e-04,2.8329156266157745e-04,2.8329268592897495e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,1.9364259599999997e+01,qOut,2.9999999999999999e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.9307630924636907e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4218077742891033e+00,8.7974200188956631e-01,-8.1153718161423498e+00,2.1677758471593913e+00,5.7939292500264350e-01,2.2250991860797243e+04,1.1125495930398618e+04,4.9999999999999983e-01,True,1,1,9.7938408568833540e-02,1.1763808674693760e-01,4.0870930634339022e-03,1.5385772509205103e-01,9.9248086390802209e-02,1.1873067023731362e-01,1.3605824708725855e-02,2.4154824402536877e-04,2.4154644953120217e-04,2.4154827181252628e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,2.0655210239999995e+01,qOut,2.9999999999999999e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,2.0070665971092763e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0087972679678296e+01,8.8357407715694158e-01,-8.7379243249322673e+00,2.2091060949522152e+00,5.7734631238012990e-01,2.2270386051345704e+04,1.1135193025672852e+04,4.9999999999999989e-01,True,1,1,9.4466973594984016e-02,1.1338703342163459e-01,3.7930877357832153e-03,1.4828656865728179e-01,9.5638243912682816e-02,1.1436469994836297e-01,1.2628956145914300e-02,2.0827799579646068e-04,2.0827708393505429e-04,2.0827773154886582e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,2.1946160879999997e+01,qOut,2.9999999999999999e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,2.0807521844140568e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0753498756644710e+01,8.8703706145586314e-01,-9.3613002300028629e+00,2.2492871405014645e+00,5.7546565762786428e-01,2.2290508113777141e+04,1.1145254056888571e+04,4.9999999999999989e-01,True,1,1,9.1326039761292652e-02,1.0956015653581126e-01,3.5377247034147673e-03,1.4326627394935140e-01,9.2381338561017198e-02,1.1044136425187784e-01,1.1780484922120596e-02,1.8135181269792952e-04,1.8135067976692693e-04,1.8135154158734057e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,2.3237111519999996e+01,qOut,2.9999999999999999e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,2.1520722128141747e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1418438811976714e+01,8.9018758166121803e-01,-9.9854145818759648e+00,2.2884082233478882e+00,5.7372856606246880e-01,2.2311008287530101e+04,1.1155504143765051e+04,4.9999999999999994e-01,True,1,1,8.8466972268223393e-02,1.0609178588377459e-01,3.3139151129760566e-03,1.3871242348875018e-01,8.9423991560785954e-02,1.0689112698238702e-01,1.1036860684973079e-02,1.5926421580709366e-04,1.5926305098089866e-04,1.5926396218010155e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,2.4528062159999998e+01,qOut,2.9999999999999999e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.2212409476235768e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2082839084930187e+01,8.9307075451908147e-01,-1.0610196190282775e+01,2.3265478138704756e+00,5.7211679997461007e-01,2.2331637846226116e+04,1.1165818923113056e+04,5.0000000000000000e-01,True,1,1,8.5850538534334844e-02,1.0292957462887743e-01,3.1162054892970303e-03,1.3455758571786214e-01,8.6723435245217959e-02,1.0365876481681074e-01,1.0379934131472051e-02,1.4093157430285740e-04,1.4092851744467588e-04,1.4093145341370714e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,2.5819012799999996e+01,qOut,2.9999999999999999e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.2884421503451335e+00,2.9999999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2746740279672110e+01,8.9572303034623701e-01,-1.1235584697023736e+01,2.3637753094517331e+00,5.7061531213196826e-01,2.2352219525822627e+04,1.1176109762911310e+04,4.9999999999999983e-01,True,1,1,8.3444696026089768e-02,1.0003126706747983e-01,2.9403156716663287e-03,1.3074717163286842e-01,8.4244950925913470e-02,1.0069980455722707e-01,9.7954972446424680e-03,1.2555120398275756e-04,1.2554900537400026e-04,1.2555079048920956e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,user_frame_independent,s,1.5491407679999998e+01,qOut,4.5624999999999999e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.5787096045608233e+00,4.5624999999999999e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,7.7326424865096959e+00,8.2189507721188892e-01,-5.8785123532048580e+00,2.5555100688123584e+00,6.4389470979070840e-01,8.7501908308812326e+03,4.3750954154406154e+03,4.9999999999999989e-01,True,1,1,1.2179825365916937e-01,2.0334332204113781e-01,9.4122803076583331e-03,2.3966537721762449e-01,1.2719896806725139e-01,2.0662349515284317e-01,3.0336895559654738e-02,1.2561718237169908e-03,1.2561718623603437e-03,1.2561711098611887e-03
