polarization_cluster_id,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme,member_count,representative_local_minimum_id,objective_name,objective_cut_above_global_minimum,global_minimum,best_objective,mean_objective,alpha_e_center,alpha_p_center,alpha_e_center_over_pi,alpha_p_center_over_pi,color,marker,random_seed,alpha_e_line_half_width,alpha_e_line_half_width_over_pi,alpha_e_boundaries,distance_coordinates,lepton_electron_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_p
0,"alpha_e in [0,pi/2),alpha_p~pi/2","[0,pi/2)",CEP alpha_e boundary regions,147,7,one_minus_C_e_p,0.05,3.5035629952773206e-10,1.8378940147556477e-08,0.0007071981303160663,0.7853981633974483,1.2257433278150123,0.25,0.3901662191673374,#0057B8,o,314159,,,"0,1.5707963267948966,3.1415926535897931","alpha_e (regions bounded by 0, pi/2, pi), alpha_p (pi-periodic within each region)",1.8378940147556477e-08
1,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",CEP alpha_e boundary regions,152,16,one_minus_C_e_p,0.05,3.5035629952773206e-10,1.6254273771387773e-07,0.001307634618101496,0.7853981633974483,2.5740225235110246,0.25,0.8193368164933079,#FF8C00,s,314159,,,"0,1.5707963267948966,3.1415926535897931","alpha_e (regions bounded by 0, pi/2, pi), alpha_p (pi-periodic within each region)",1.6254273771387773e-07
2,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions,142,0,one_minus_C_e_p,0.05,3.5035629952773206e-10,3.5035629952773206e-10,0.0010500322122556087,2.356194490192345,0.4501184614810833,0.75,0.1432771562432666,#008A45,^,314159,,,"0,1.5707963267948966,3.1415926535897931","alpha_e (regions bounded by 0, pi/2, pi), alpha_p (pi-periodic within each region)",3.5035629952773206e-10
3,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions,118,3,one_minus_C_e_p,0.05,3.5035629952773206e-10,1.1269953636983132e-08,0.0009638454316088634,2.356194490192345,2.053044991603091,0.75,0.6535045176073814,#E60026,D,314159,,,"0,1.5707963267948966,3.1415926535897931","alpha_e (regions bounded by 0, pi/2, pi), alpha_p (pi-periodic within each region)",1.1269953636983132e-08
