detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-6.8462320581839042e-02,-1.7469113794703506e-02,7.0655921735002528e-02,-2.8917597707895890e+00,4.9922592762228022e-03,2.4961296381114011e-03,1.4868750106894996e-01,3,9.9999999999999989e-01
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-6.7618250641515665e-02,-2.0494665152441631e-02,7.0655920626155166e-02,-2.8473000329127789e+00,4.9922591195295388e-03,2.4961295597647694e-03,1.4868749640205900e-01,4,9.9999999999999989e-01
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,4,1,-1,-1,-2.1582695453347074e-02,3.7221880287835914e-02,4.3026516419458316e-02,2.0962595909453530e+00,1.8512811151939160e-03,9.2564055759695801e-04,5.5137833907254269e-02,5,9.9999999999999989e-01
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,3,-1,1,1,1.9906931501524464e-02,-3.8144397024442743e-02,4.3026514455213584e-02,-1.0897955725338195e+00,1.8512809461647035e-03,9.2564047308235176e-04,5.5137828872954202e-02,6,9.9999999999999989e-01
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-2.3722259312491268e-02,2.8390372019237536e-02,3.6996740535887543e-02,2.2668555612733536e+00,1.3687588102797845e-03,6.8437940513989227e-04,4.0766577977214676e-02,7,9.9999999999999989e-01
f3_Tx_proton_region_1,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_1,1,0.0000000000000000e+00,4.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,2.4960542201020657e-02,-2.7308060042977245e-02,3.6996740535887529e-02,-8.3028058276255290e-01,1.3687588102797835e-03,6.8437940513989173e-04,4.0766577977214641e-02,8,9.9999999999999989e-01
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,5.4678738883497356e-02,1.9802239824452610e-02,5.8154047047087126e-02,3.4746301248174560e-01,3.3818931879548231e-03,1.6909465939774116e-03,2.4217786781464176e-01,1,1.0000000000000002e+00
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,5.7712645175825340e-02,7.1514875909915922e-03,5.8154047047087126e-02,1.2328697401073842e-01,3.3818931879548231e-03,1.6909465939774116e-03,2.4217786781464176e-01,2,1.0000000000000002e+00
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-4.3351682179502415e-02,-8.2871381913882970e-03,4.4136662846161738e-02,-2.9527106810514567e+00,1.9480450071957540e-03,9.7402250359787700e-04,1.3949978903234608e-01,3,1.0000000000000002e+00
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-4.0424716243643952e-02,-1.7716856343940861e-02,4.4136659163228120e-02,-2.7285378437266106e+00,1.9480446820909689e-03,9.7402234104548445e-04,1.3949976575154469e-01,4,1.0000000000000002e+00
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,3,-1,1,1,1.6808474051296905e-02,-2.7749700461475846e-02,3.2443345629493178e-02,-1.0261835201542864e+00,1.0525706756347542e-03,5.2628533781737708e-04,7.5374740650397759e-02,5,1.0000000000000002e+00
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,4,1,-1,-1,-1.0219203308740793e-02,3.0791853169503697e-02,3.2443340424155677e-02,1.8912384014701427e+00,1.0525703378776539e-03,5.2628516893882694e-04,7.5374716463562211e-02,6,1.0000000000000002e+00
