optimization_run,start_source,screening_dGHZ,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_dGHZ,lbfgs_dGHZ,final_dGHZ,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_dGHZ,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,7279,1062,0.9258511010725292,1.1627339075927812,0.31015252875401095,0.0011382540911687837,290,276,False,1e-05,0.0011382555819654597,True,0.8822867138792567,0.7241563954231865,0.3950711175221526,0.08006788381523192,0.7216912246765648,0.709036548707292,0.11868755589089122,0.42963009404888364,1.0,0.5707809534683984,0.99985909504856,0.8405681018944208,0.9911320590775281,0.7782683687188862,0.2500546967319065,0.7501619604697538
1,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46,12643,882,1.294499616567934,0.9958889992133351,0.0009921737376207792,0.0007608319144518352,512,504,True,0.0001953125,0.0007606725289748076,False,0.9819948723401494,0.4108665771777773,0.3126645314394852,0.4217993329931204,0.7611763781981268,0.8340713364125377,0.6392496954436058,0.523225826834143,0.9334172627853066,0.9974350632142251,0.9532557522467648,0.710369211267616,0.5692004770192789,0.9999601336555847,0.8921898053380829,0.609501884915968
2,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,3209,9,0.0,1000.0,1000.0,0.001009505563585436,168,154,False,1e-05,0.001009505563585436,True,0.27327077111888964,0.8332698101161703,0.26524864962181516,0.7381589584484399,0.9133490260353403,0.7799278154276712,0.26768382649802225,0.9466585791537104,1.0,0.999999350030855,0.0,0.0,0.8909967002572813,0.8180604176174822,0.25001258511109464,0.7500966188162086
3,latin_hypercube,nan,False,False,2,ABNORMAL: ,16,13340,1764,1.3318531680276924,1.0016453711365392,0.49580164202995625,0.0005126858007232491,512,500,True,1.220703125e-05,0.0005123749781072728,False,0.49031340543345125,0.11946802960642872,0.17247593400752184,0.3578551445643768,0.6551575594935322,0.24564442883775672,0.934447310254221,0.9755244194497723,0.5254932082086402,0.9546558736527978,0.8996613475089977,0.7540407444326663,0.49992905919750363,7.387000674849327e-06,0.8973936142534659,0.6031450218605268
4,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,12292,693,57600.127060846775,0.7365755464661815,0.43809484686287803,0.06192474664969261,512,504,True,0.0001953125,0.06191347947667208,False,0.7457507351227447,0.699424323479345,0.3625201137793205,0.7327405563093901,0.29669402278787865,0.7143462670991733,0.10301658337892018,0.6113177980512424,0.14493085635808925,0.8458413001482531,0.1531157093150642,0.1792074688078479,0.2323053675924972,0.730553042873398,0.2915417691216898,0.7675860691926134
5,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,10131,2250,99960269.36331712,0.9491401644486163,0.39730637137801456,0.0009612346644412545,378,364,False,1e-05,0.0009612346411268517,True,0.3908743855549598,0.5858186714488914,0.5855704704668951,0.7163911556604419,0.12845499356104984,0.04225455601400358,0.6457265740967016,0.37710284448350134,1.0,1.0,1.0,0.0,0.46997608334088226,0.9674162077893477,0.75005122070971,0.24983987841848848
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,792,9,0.0,1000.0,1000.0,0.9055671694784155,34,20,False,1e-05,0.9055671701426976,True,0.8994394830740573,0.987874476181594,0.23010135484845465,0.88680102661437,0.6381492683373841,0.806789662120048,0.8038011962281855,0.2552390425626712,0.8747424732802652,0.9872909396258038,0.22083094941680595,0.8815311157627745,0.7185685370795412,0.8262596629553556,0.7508300813453055,0.15142941795921228
7,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,3261,486,5.1694092424917315,1.0012698927034742,0.0018187113595078642,0.0009612345943076482,149,135,False,1e-05,0.0009612345793806691,True,0.8036030592214982,0.6490150947662369,0.8240924903345681,0.1404616304463294,0.49494569770039204,0.11719740372534834,0.9519651620497106,0.9134473888191129,1.0,1.0,1.0,0.0,0.41308419956494996,0.05582272313256524,0.7499614144014328,0.7499160078334777
8,latin_hypercube,nan,False,False,2,ABNORMAL: ,4,12106,594,6.699931093896793,0.9954040200690293,0.6138411398479354,0.006731830777017358,512,506,True,0.00078125,0.006730120384578745,False,0.6476476127327401,0.5801365579066893,0.7825489363294366,0.10327381720974112,0.049335220456439496,0.2279453758045169,0.07409269454546966,0.4724825447469888,0.9541962079883508,0.8331910296093777,0.9759806663398067,0.8030095992681265,0.9959213067583201,0.5001002150130617,0.19028527894191483,0.6917517269424326
9,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,3216,981,2.0032486715525772,0.9838687186955714,0.46498383639789037,0.0009612348250157345,114,100,False,1e-05,0.00096123479270842,True,0.7374689173377832,0.34672695429382877,0.026481698885197986,0.18156765281086146,0.19247746996650814,0.797614516034284,0.20436365160708964,0.7594614322875041,1.0,1.0,1.0,0.0,0.5006020979596403,0.5030968254427547,0.7498838650803755,0.25019721728160976
10,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,4252,9,0.0,1000.0,1000.0,0.0009612345992597416,209,195,False,1e-05,0.0009612345858319126,True,0.42975692641994573,0.4601926560518396,0.8784684323080821,0.7865213102552682,0.5790211196945523,0.8213862983656034,0.16886610579942576,0.7548530302284988,1.0,1.0,1.0,0.0,0.49729377124951696,0.7680651659225776,0.2500435203655866,0.749894941630947
11,latin_hypercube,nan,False,False,2,ABNORMAL: ,12,13246,1656,99965315.8698838,1.184977543164536,0.34684130571139404,0.007284220219416498,512,504,True,0.0001953125,0.007283358858029999,False,0.9330981323568164,0.8371739539762499,0.6996589794597993,0.1786514345556007,0.9766808023216794,0.3210064309591172,0.23648381027447807,0.6666341520950755,0.9259197235257951,0.8263139109276361,0.9753262984226077,0.8013906141688122,0.9977272322375568,0.5000441366528857,0.689585760199254,0.19229766637093826
12,latin_hypercube,nan,False,False,2,ABNORMAL: ,15,12323,747,2.883425491412879,1.0402885805455704,0.7123279822103039,0.00276935562923363,512,504,True,0.0001953125,0.0027665568660442228,False,0.07888324373613313,0.12259443821682925,0.06310266825097466,0.6640413154398628,0.13144321075510648,0.8055213386352734,0.5255859849145478,0.45032142378411666,0.4605105810054764,0.9611497632768599,0.8885985933470296,0.7354400494673191,0.9957216188490393,1.6802252192381595e-05,0.9036912477031533,0.5956010737900926
13,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,3792,9,0.0,1000.0,1000.0,0.0009612348951912874,182,168,False,1e-05,0.0009612348535767899,True,0.8628549785876063,0.5789501776629665,0.497681087365789,0.8531375111955867,0.503334957913454,0.7263673740073321,0.1368471128371056,0.08976674000534385,1.0,1.0,1.0,0.0,0.5030232014304359,0.6226048590376251,0.2501317812989179,0.25020667609477926
14,latin_hypercube,nan,True,False,2,ABNORMAL: ,12,8741,1431,99963880.26601219,0.9806085249068851,0.3611973444274597,0.0002373489233277539,328,314,False,1e-05,0.00023735704288339182,True,0.30117495212511036,0.9115666677945936,0.4046891923223278,0.3874445829607388,0.40473283412195094,0.5229472136404381,0.5903139503539935,0.6469354359531958,0.31533791632776154,0.6482165368571227,0.8736082653161883,0.6894515444423817,0.49999480383787903,0.49999502469610835,0.5887455494177788,0.9078366518286062
15,latin_hypercube,nan,True,False,2,ABNORMAL: ,26,7569,882,939.6228484475566,1.0483116811562312,0.3301221096099475,0.0009612351646563875,327,313,False,1e-05,0.0009612351209105323,True,0.14072980729936838,0.5274060759033506,0.9994999137435909,0.05612990505092014,0.8692649978100624,0.8864945285520849,0.2832988799164502,0.5293426755526947,1.0,1.0,1.0,0.0,0.9925938343323604,0.9679812676856769,0.7501746280810416,0.7502705215793983
16,latin_hypercube,nan,False,False,2,ABNORMAL: ,2,11901,450,3.9636004921883665,0.858578055794471,0.6946127906502949,0.03528716329606575,512,505,True,0.000390625,0.0352837767014934,False,0.32044890875812276,0.5724543982399586,0.23350660013443703,0.4427906529742887,0.06619592594394733,0.4286600731810818,0.1699278633775613,0.6249806289976686,0.04343909563931827,0.8627202717781733,0.1424254815707369,0.33994791039749606,0.004157907788278978,0.504067911698131,0.23882625030560245,0.7740637266416156
17,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1857,162,0.004915034368001564,1.0723064991571847,0.0018702881845899953,0.0010095109955103306,90,76,False,1e-05,0.0010095109783122794,True,0.9753887687957093,0.05235332411241906,0.8275118885902759,0.5468876648828676,0.8899033453235843,0.9684550096220509,0.7384978317694271,0.06468431715410224,1.0,1.0,0.0,0.0,0.9998890163101661,0.7955253918157829,0.7499437764652368,0.7500191177725624
18,latin_hypercube,nan,False,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,11493,9,0.0,1000.0,1000.0,6.998714195742706e-05,512,499,True,1e-05,6.778037189825261e-05,False,0.846805864948968,0.30818716233477966,0.46737477503956776,0.8480711690344626,0.39861735176314633,0.7239974554661495,0.39511786867360404,0.3335351693730886,0.8446471849849672,0.028411969479935836,0.9362480388659491,0.8986266923417048,0.9998945091542287,0.5000070245625424,0.18060091206665171,0.3188996399491211
19,latin_hypercube,nan,True,False,2,ABNORMAL: ,1,10679,423,4.289130266479797,0.9461622910503715,0.8350033640299162,0.0003960285947176802,463,449,False,1e-05,0.0003960917067697262,True,0.4552282414360435,0.583601995791521,0.7166269683669231,0.7687423204669905,0.9142275545464732,0.5015477157218451,0.966255439317621,0.6423336428743188,0.1522435434437769,0.16542529462214423,0.6753846866946436,0.8321627763542562,0.999985907730139,0.4999871829658279,0.7301433765132678,0.8022047404964529
20,latin_hypercube,nan,False,False,2,ABNORMAL: ,5,12135,531,6.329893216917852,0.9996560056058785,0.5377066607506138,0.008497014818472386,512,505,True,0.000390625,0.008493152635440718,False,0.7692885983619524,0.513146100216513,0.7976753197286669,0.39310954347438226,0.197245409708964,0.8029530795727572,0.5108491041908918,0.3506303933465126,0.9125932461386844,0.7523109273679228,0.972328050211257,0.8106627090120828,0.5019755447176438,0.9999611203528335,0.8129600034105209,0.31004961108125434
21,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.5092137669679342,0.7644651283156253,0.11738851297099141,0.9378773339164603,0.23567191862282802,0.23044691537528758,0.013381358237716077,0.09407653597659112,0.5092137669679342,0.7644651283156253,0.11738851297099141,0.9378773339164603,0.23567191862282802,0.23044691537528758,0.013381358237716077,0.09407653597659112
22,latin_hypercube,nan,False,False,2,ABNORMAL: ,7,12399,918,2.085148924513259,0.9916772205387614,0.3615554013792472,0.005174486093002906,512,504,True,0.0001953125,0.005170505321220771,False,0.9269350860675336,0.5203557588620594,0.5979923243586968,0.24051666267948169,0.14754202181566684,0.9411766103856487,0.23820123656768455,0.9295283696140242,0.9948865933918458,0.9953723826253129,0.983994997882446,0.7936920512509217,0.1890443949907112,7.913451499108604e-05,0.2943610033571271,0.7901838245258016
23,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,5409,666,99957634.68050359,0.9275143604453682,0.4236531995136128,0.00026410055627980767,214,200,False,1e-05,0.000264116905548881,True,0.38056451467816044,0.6856070247976671,0.6541870409326842,0.4654598966602435,0.5312442565376713,0.2233398538146361,0.08473003955041741,0.4234410010331871,0.3388917750290206,0.35348812039531885,0.8832295782238861,0.7351494712774321,0.5000010146886701,0.49999723123269396,0.10531110077196666,0.39139577036113304
24,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,1231,459,10.610586481119938,0.7649376416704331,0.0010101696049000409,0.0010095011548057666,41,27,False,1e-05,0.0010095011548057666,True,0.48275554278921656,0.8172322413124027,0.15082737555460257,0.6183107539806671,0.8758000737891516,0.27428135787627217,0.848256898353111,0.7788722586433565,1.0,0.9999993452149399,0.0,0.0,0.8239119225989314,0.29862890603807407,0.74984180212829,0.7502550137444448
25,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,11680,225,1.1366399864988053,1.2264601522828755,0.9152796343863473,0.11648742589012227,512,501,True,2.44140625e-05,0.11648736704079864,False,0.08561121755666581,0.6508050876816995,0.33177168111708283,0.010415851272933825,0.19225754862285885,0.4159538073806195,0.7624277935582942,0.3351338304099271,0.0636018880806869,0.7619473682633827,0.5598863958216841,0.6940671422653133,0.9472765147791888,0.2593482553280769,0.2441988890494913,0.7334602532679543
26,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,5883,549,0.60709136424416,0.9858587735363158,0.001902317920923635,7.04461548816445e-07,238,224,False,1e-05,7.075771605783651e-07,True,0.823732397444138,0.04384413308769218,0.6917258154239017,0.5521842168452857,0.21368590914993307,0.6596829729416251,0.42660965012045876,0.9475691309388067,0.9128295942634951,0.0010041141115267904,0.9957384918158977,0.9802181203669129,5.70780107729736e-05,0.5000097638482941,0.24954183216099057,0.7507347172092188
27,latin_hypercube,nan,False,False,2,ABNORMAL: ,18,13333,1998,3.0735335719452914,0.9994443010646904,0.43301611020557534,0.023136871576044344,512,504,True,0.0001953125,0.023132193901106924,False,0.3245366941058467,0.3124570455484282,0.762767078077233,0.4035065960056401,0.0005254390741160535,0.5378923015800573,0.5983587344555713,0.03710923813850897,0.5899252978126319,0.47180042832795105,0.9585787169346717,0.7915703481169282,0.0010629997766262726,0.5000861524633796,0.17601254284986634,0.6841394271398898
28,latin_hypercube,nan,False,False,2,ABNORMAL: ,38,12441,873,0.035974430490131874,1.0928778027403379,0.0006810421653937964,0.0006441435342540565,512,499,True,1e-05,0.0006440076620763601,False,0.3479013920697058,0.02703784827786694,0.28669832311117466,0.20295011730966303,0.35103118849455567,0.994909836316986,0.10372855331887085,0.516422469808869,0.6428396855962492,0.0015937296565135118,0.9219486796644686,0.8200199170333501,0.4797761872176571,4.520841063707099e-07,0.8624819114307157,0.6370377922749103
29,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43,892,576,11.15061573843961,0.8964455404266738,0.0010095491161940466,0.0010095109325303161,16,2,False,1e-05,0.0010095109311488598,True,0.4871070577520863,0.6768496850775682,0.13157412327204235,0.5047241841055495,0.5488694029270882,0.27959813735389843,0.6033749503250994,0.26753886730283294,1.0,1.0,0.0,0.0,0.6641269237864316,0.141381350463003,0.7499837944765013,0.24990868604791888
30,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.04441691476587753,0.28548305110140804,0.19984776288852799,0.858034752888374,0.539997307920244,0.7492465529940064,0.6285313413267001,0.6190991030796149,0.04441691476587753,0.28548305110140804,0.19984776288852799,0.858034752888374,0.539997307920244,0.7492465529940064,0.6285313413267001,0.6190991030796149
31,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.30405634373641455,0.8526268289887236,0.7194674874460566,0.9190813941851765,0.8642215838828804,0.37277987228514026,0.39753438016034737,0.8076206592095301,0.30405634373641455,0.8526268289887236,0.7194674874460566,0.9190813941851765,0.8642215838828804,0.37277987228514026,0.39753438016034737,0.8076206592095301
32,latin_hypercube,nan,True,False,2,ABNORMAL: ,5,2037,621,8.470133513751371,0.9989341098700059,0.5079753180942139,0.39135039718830034,63,49,False,1e-05,0.3913503996218204,True,0.25701581640017357,0.23536442799890475,0.1382267824552971,0.011050605174794089,0.8170952999253454,0.14218627883727428,0.40382068508149876,0.3030055020796127,0.05303248373601616,0.9839229177370249,0.10881226077384405,0.912666652244389,0.8880980521931545,0.9912771482026911,0.2822184941460864,0.17129628368099975
33,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,13009,1890,1.838944169593741,0.9998665617826694,0.32904722554223115,0.000981895665852688,512,507,True,0.0015625,0.0009817974185037895,False,0.7559005347401636,0.6972185966392556,0.8244163410792431,0.5927223145934625,0.2866133970018992,0.5555462139963016,0.005113747350337272,0.961555050607291,1.0,0.99617474191016,0.9999738459430715,0.3660184099236479,0.745677297489822,0.6942409933477969,0.25046812957257947,0.7486013029902109
34,latin_hypercube,nan,False,False,2,ABNORMAL: ,10,12715,1359,3.1821216544594746,1.1388022518100345,0.544183726216772,0.01966017690831572,512,505,True,0.000390625,0.019658379991285144,False,0.28383881826238144,0.73089123773938,0.39019523490825053,0.1975177683421516,0.03283578799971945,0.2520497245480026,0.25999638099835704,0.7915663910139988,0.33976589676548546,0.3754903922379889,0.8750879317090597,0.735180819222242,0.4390606608388735,0.4999537483176411,0.6010420124047461,0.8894713248660048
35,latin_hypercube,nan,False,False,2,ABNORMAL: ,16,11034,765,929.6155316487551,1.00070849099396,0.24768880889375713,0.20871350049873272,512,504,True,0.0001953125,0.20835424324327825,False,0.9619154581696434,0.24333503210293603,0.009549658451377303,0.07039944494185463,0.25384214915198205,0.10165203887174339,0.9469710768285138,0.047996335394745286,1.0,0.9998931184180809,0.00010476070711115456,1.0,0.03749999999999934,0.037451410067235055,0.25003448287081,0.7636389854099097
36,latin_hypercube,nan,False,False,2,ABNORMAL: ,6,12042,603,2.708683710274731,1.0092134120109573,0.7107006566226148,0.007080356776217996,512,500,True,1.220703125e-05,0.00708029507666224,False,0.4119448216291576,0.17929676176708925,0.6842664489822766,0.5513868504108606,0.18909919482288454,0.6558178223414212,0.11167984153230899,0.30850251500051035,0.42853335311201257,0.00041915551970553354,0.8863284211520895,0.7559689825247338,0.49360000471284216,0.49999121465969043,0.10529236424163825,0.38992394997720803
37,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,12911,1557,99977933.59937623,0.9971369656276615,0.22066401078875472,0.12004736875126665,512,502,True,4.8828125e-05,0.12003952471492839,False,0.21080065964611344,0.8000913435705436,0.46346603855898794,0.3405156346335766,0.5975281008441518,0.25975215774157284,0.2914396785582181,0.5273708309916373,0.07156645080450175,0.7503091527688558,0.5825911115423609,0.6904483448174267,0.5606298392348873,0.24997955525366883,0.24870115204966917,0.7605836989924298
