lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_trace,lepton_muon_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_muon_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_muon_alpha_e_mix_proton_alpha_p_mix_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_muon_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_muon_alpha_e_mix_proton_alpha_p_mix_F3,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_purity,optimization_run,start_source,screening_dGHZ,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_dGHZ,lbfgs_dGHZ,final_dGHZ,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_dGHZ,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,dGHZ_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
muon,gradient_local_minimum_0000,gradient,gradient,gradient,0.1056583755,18.044819630179994,4.247919447232961,2.0189491477681925,0.17713155899353122,0.0,0.0,3.141592653589793,0.0,1.7320430296358464,0.15568780671738863,0.0002357766697282733,3.1283094779226297,2.4307664676981043e-05,0.032407093201893146,3.1417320381737563,-0.985758336735703,12.577271270373002,0.762773265790888,-1.7839018547198984,0.12795929132975278,0.11851843419118872,4.791445418855496,0.9612366480962546,3.122468735906045,178.90428022896563,0.005093851780749503,5.401778559606935,0.005093851780749503,5.401778559606935,False,,gradient,1226002726,0.8051443072483374,2.3733153532107276,1.0,147.54447767625769,0.9981541410048121,1.0,0.27062244197423796,-0.0003306897542290077,0.00027812503837360003,-0.8409284166644111,-0.8409283246913105,4.5879171198583307e-07,1.4188059854080494e-07,6.684850528283814e-08,0.9999999453220156,0.9999999453220079,0.9999999453219127,1.1547001529859664,4.970386355473638e-07,0.9999998906439607,0.9999998906438037,0.9999998906438038,0.9999998906438039,6.090413294564524e-07,0.000791290932401512,0.0007912909787606975,0.0007918999737309685,0.00039534099189521336,-3.1411083730952125,0.9984619396629055,6.090413294564524e-07,0.09873772069294223,0.4995341287265078,0.4995341287265078,0.2165233242000786,0.4996739712997612,0.49967397129976127,0.09873772069294223,1226,sobol_screened,0.5097283157818153,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,2789,855,0.876673406827102,0.5097283157818153,0.0001309718782199467,4.970386355473638e-07,85,71,False,1e-05,4.991499090865385e-07,True,0.7886430872604251,0.13217228185385466,0.7405714076012373,0.779743816703558,0.028921911492943764,0.013834241777658463,0.25333094969391823,0.7228594468906522,0.8073642468314113,0.04955696803641598,0.9957718338652259,0.8609107806286022,3.752502245299994e-05,3.868684988361792e-06,0.2562853928017453,0.7554497399587496,0,0.0,True,1,204,0.010334156521973118,True,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0001,gradient,gradient,gradient,0.1056583755,21.712551549553503,4.659672901562244,2.234126815364665,1.2607099468589378,0.0,0.0,3.141592653589793,0.0,2.171369016711146,0.0031545175161384067,0.00035863171865178586,3.1282047307854044,3.141654001657936,0.027552755062062693,1.423108523648497e-05,-0.9999476391631863,8.147516727584069,0.3984845958032709,-0.2222274505223123,0.6259307380086401,0.979964766360072,13.178579934103364,0.9819758228243832,3.127427821303217,179.18841489246853,0.00585676087828535,3.968501399409141,0.00585676087828535,3.968501399409141,False,,gradient,26005845,0.7839587866803052,2.358502672379293,1.0,31584.044891005622,0.9998637692743009,0.9999999999999999,0.22841982018550347,0.0006341919227903503,-0.0005368930536586713,-0.8466444215255569,-0.8466440810323188,1.4603574902122327e-07,5.528954649891e-07,8.647373278816436e-08,0.9999997988977377,0.9999997988975866,0.9999997988977312,1.1547000849255498,7.04461548816445e-07,0.9999995977954101,0.9999995977951889,0.9999995977951849,0.9999995977951897,2.7112077677596144e-06,2.9127966030928985e-05,2.912796871355655e-05,3.18391737986886e-05,1.3208381814212247e-05,-3.1409553147448284,0.82969375384711,2.7112077677596144e-06,0.263350304046135,0.5002789586628988,0.5002789586628988,0.07375556172422555,0.4996892021633024,0.4996892021633024,0.263350304046135,26,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,5883,549,0.60709136424416,0.9858587735363158,0.001902317920923635,7.04461548816445e-07,238,224,False,1e-05,7.075771605783651e-07,True,0.823732397444138,0.04384413308769218,0.6917258154239017,0.5521842168452857,0.21368590914993307,0.6596829729416251,0.42660965012045876,0.9475691309388067,0.9128295942634951,0.0010041141115267904,0.9957384918158977,0.9802181203669129,5.70780107729736e-05,0.5000097638482941,0.24954183216099057,0.7507347172092188,1,2.074229132690812e-07,True,1,204,0.0035179050828287265,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0002,gradient,gradient,gradient,0.1056583755,12.446165053878017,3.527912279787866,1.637435435866432,0.2299440381454178,0.0,0.0,3.141592653589793,0.0,1.1642270911248445,3.1058765149705576,6.281652753763776,3.1254619005635926,3.1416086884647663,0.00758167562845822,0.0012192228573660849,0.9986562516554531,9.129928129031288,0.8419341944221295,-2.637835678691588,0.07745487645847596,0.059456837074933044,2.593908417556883,0.9384547702187029,3.1330435658377778,179.51017335312252,0.004212617291314613,3.250258842461868,0.004212617291314613,3.250258842461868,False,,gradient,1505008379,0.7363046794095287,2.3064466130228682,1.0,23.1570334329722,0.9893313222080765,1.0,0.27075513706702914,-6.0593066674607954e-05,4.766760538238435e-05,-0.7838220614512275,-0.7838220585629011,8.064639991115575e-07,4.443531218587343e-07,2.244159425554612e-07,0.9999999981642236,0.9999999981641485,0.9999999981639244,1.1546996866531198,9.477393503360907e-07,0.9999999963281975,0.9999999963275994,0.9999999963275963,0.999999996327601,2.5368491588656505e-07,0.10807677719871586,0.10807703085759726,0.10807703088363176,0.05403851541578138,3.1385286554341585,0.9999999995182233,2.5368491588656505e-07,0.15309369581512094,0.44600326948733937,0.4460032694873392,0.14650275926863504,0.44591969962902894,0.44591969962902905,0.15309369581512094,1505,sobol_screened,0.6386225287698699,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,8417,1215,0.09853556894028707,0.6386225287698699,0.0030960952503894783,9.477393503360907e-07,315,301,False,1e-05,9.491836087899091e-07,True,0.5726411733776331,0.9413339691236615,0.8770891912281513,0.5730808665975928,0.09214130230247974,0.5446580266579986,0.13830509316176176,0.5863579614087939,0.6229436784796974,0.9886311999811866,0.9948654218401712,0.7087473919141668,0.9997560865483214,0.5000025520296139,0.23437305869943956,0.7341647588802986,2,4.5070071478872683e-07,True,1,204,0.020379903075406398,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0003,gradient,gradient,gradient,0.1056583755,7.190610429072241,2.68153135895746,1.1740462318223626,0.06180957591805623,0.0,0.0,3.141592653589793,0.0,0.8369618575794816,3.0397497868836005,3.1420338804593357,3.121374863913922,6.283174765373924,0.011840272832041586,3.141315206184671,0.9925598426309766,4.219433388949126,0.7415153887136459,-1.2099494284080383,0.1966011033001125,0.21366723369809323,2.3506949303943303,0.9032766917412046,3.133215135728247,179.52000358373795,0.004172021882586363,1.5089140021532692,0.004172021882586363,1.5089140021532692,False,,gradient,416006961,0.8266494998553401,2.3969039941928876,0.9999999999999999,210.26226994586725,0.9909361683794767,0.9999999999999996,0.25051704431829014,-0.0013063054202228086,0.0010778405556961523,-0.8251335072924545,-0.8251320993034944,4.3426692167829444e-07,2.311040773305609e-07,2.613747739392632e-07,0.9999991467223884,0.9999991467223969,0.9999991467223297,1.1547000033223405,1.7951718542880538e-06,0.9999982934454711,0.9999982934452629,0.9999982934452649,0.9999982934452658,1.3147605527202844e-07,0.08729773283826447,0.08729774979783816,0.08729786431431975,0.04364881764067828,-3.140711125338076,0.9999973764196296,1.3147605527202844e-07,0.1435590828175072,0.4568167295863064,0.4568167295863064,0.16852168915310023,0.45588540609937395,0.455885406099374,0.1435590828175072,416,latin_hypercube,nan,True,False,2,ABNORMAL: ,2,7023,513,1.6617705074473552,1.1197874251313997,0.7706428996524808,1.7951718542880538e-06,285,271,False,1e-05,1.7966629486689497e-06,True,0.4028293544284452,0.009834995974290455,0.05080047703364778,0.10639869838612427,0.22676613636709295,0.1589023143303391,0.1581943040231374,0.5033973695437393,0.40615409982110307,0.9675824086901209,0.9935644776693857,0.7217709210956695,0.5000702234373127,0.9999983222195198,0.2631307082128408,0.7629582375850114,3,1.29813321874069e-06,True,1,204,0.020475974792106954,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0004,gradient,gradient,gradient,0.1056583755,12.897203240014049,3.591267636923493,1.6713540236117248,0.6831297727705514,0.0,0.0,3.141592653589793,0.0,1.5537854882647466,0.00866532719961397,3.14151855791426,3.124162682805321,6.283182014947021,0.02430644036428977,3.141609166989553,-0.9999615907569176,5.82502519598796,0.5041644692471552,-0.40485725302640097,0.46787892661708674,0.6771342691778106,6.608638145319831,0.9623214360789262,3.1347161839978974,179.60600731443432,0.0055784945874428615,2.7156624660675965,0.0055784945874428615,2.7156624660675965,False,,gradient,1144002275,2.3630979785893294,0.7909271240092419,0.9999999999999998,6373.010829278379,0.9992991109766491,0.9999999999999997,0.23299438901360348,-0.0012759566539178313,0.0010747337937886403,-0.8423817912431588,-0.8423804199294235,2.679246297557642e-07,7.980660922152192e-07,5.347087720256502e-07,0.9999991859389119,0.9999991859387375,0.9999991859390215,1.1546996142150285,1.9092894936186987e-06,0.9999983718784429,0.9999983718777777,0.99999837187778,0.9999983718777828,6.811879958714652e-06,4.384816691043851e-05,4.384816706356584e-05,5.0660046869153164e-05,1.8518143628989254e-05,3.141464053099796,0.7310748715578046,6.811879958714652e-06,0.24660230503525318,0.4994898306911948,0.4994898306911948,0.08203333336057005,0.5004595092619362,0.5004595092619362,0.24660230503525318,1144,sobol_screened,0.4409971235726637,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,2312,639,1.145986563386564,0.4409971235726637,2.3077549750277767e-05,1.9092894936186987e-06,74,60,False,1e-05,1.9095609651441447e-06,True,0.153513983823359,0.04044623393565416,0.7747194683179259,0.6955956872552633,0.5762597527354956,0.9734848281368613,0.3506773915141821,0.18149153236299753,0.6391713377300049,0.0027582593146544283,0.9944518679834079,0.9422468883535647,0.4999882073069772,0.9999994760249136,0.7521974486059152,0.2517599228230547,4,1.4122508580713348e-06,True,2,193,0.003152756486315003,True,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0005,gradient,gradient,gradient,0.1056583755,22.73105245514669,4.7677093509511135,2.290318438043001,0.033249418640874766,0.0,0.0,3.141592653589793,0.0,1.9001480205384758,2.314232013105104,3.141483133336723,2.9961196268443415,3.1415909093549264,0.15635327070483088,6.283174767424565,0.7763844152060567,17.538026307217713,0.8348721521976723,-2.989325977773039,0.06502243090478044,0.04676837290734366,4.348658394141846,0.961849709076982,3.13071240955015,179.37660793645608,0.05059612391809498,7.324946288641167,0.05059612391809498,7.324946288641167,False,,gradient,1942011063,0.4970636517359997,1.0744874145482934,1.0,2.468850007067699,0.7059093939484883,1.0,0.5275428538215007,-0.0005872404252380559,-0.000489200196323869,0.832059333063986,0.8320590457858548,6.78105219386426e-07,1.8144081931715177e-06,6.145503418375498e-07,0.9999998274899848,0.9999998274885202,0.9999998274899402,1.1546987445155512,2.0612169700297726e-06,0.9999996549789936,0.9999996549762475,0.9999996549762327,0.9999996549762404,0.7802258678282474,2.401090889003754e-06,0.7802258772087118,0.7802282689191364,0.39011174274914356,-0.00021929698205414702,0.9999938692033603,0.7802258678282474,2.414288981462262e-07,0.10653192784981755,0.10653192784981756,0.008197382962075365,0.1132398032310459,0.11323980323104588,2.414288981462262e-07,1942,sobol_screened,0.7318916072734283,True,False,2,ABNORMAL: ,6,11106,1116,4.290582548092016,0.7318916072734283,0.4058775436090195,2.0612169700297726e-06,437,423,False,1e-05,2.0611886570314013e-06,True,0.8958137892186642,0.5657916273921728,0.8467360818758607,0.5934746917337179,0.17048555705696344,0.2576248124241829,0.23765873350203037,0.34943410754203796,0.9405017401807313,0.7366429286943705,0.9536944974138437,0.8286405830217823,0.49998256931035523,0.49999972239639906,0.15822027441018544,0.3420199666307828,5,1.5641783344824087e-06,True,0,203,0.1304097317356199,True,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0006,gradient,gradient,gradient,0.1056583755,6.011949227379156,2.451927655413013,1.0434859185892809,0.0073028478166280745,0.0,0.0,3.141592653589793,0.0,0.7508660442967614,2.309806905403144,6.282419909555943,3.1191159791881287,3.1416263174143144,0.015189186508861648,0.00040944863603553736,0.6567748909568046,3.1551498846612365,0.6924329237998318,-0.8828844800460358,0.2652009492501502,0.320886962999793,2.2813085919394247,0.8898001364395701,3.1343051623895946,179.58245751098988,0.004204221244478834,1.1403369235520824,0.004204221244478834,1.1403369235520824,False,,gradient,754003798,2.3184670540965313,0.7485265942201911,1.0,439.7041574554724,0.9912412126511085,1.0000000000000002,0.5258491320399002,-0.0013363834545161435,0.0011141887656817562,-0.8335903121671129,-0.8335888231836812,1.1844986097125182e-06,5.886163356006721e-07,6.924639864847038e-07,0.999999106917388,0.9999991069174519,0.9999991069169153,1.1546991148766792,2.3279598048069135e-06,0.9999982138353006,0.9999982138338241,0.9999982138338188,0.9999982138338022,5.1316976584503404e-06,0.07062547675908983,0.07062551768632926,0.07063060845674828,0.03531021345795512,3.1400701052348245,0.9998558480372673,5.1316976584503404e-06,0.21861359912301198,0.4634635788903506,0.46346357889035056,0.02558450633751625,0.4659058126529011,0.46590581265290104,0.21861359912301198,754,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,3836,612,0.5880765673989155,0.8043275455396864,0.0002675743618193261,2.3279598048069135e-06,143,129,False,1e-05,2.3301612415278706e-06,True,0.12406950419205783,0.7586162436728809,0.8804236425087487,0.6430321288538783,0.11214975481067353,0.7055196142219134,0.619664497157393,0.2893732166469115,0.34734406650771354,0.7352343731654085,0.992845452329416,0.734724587827542,0.9998781831847665,0.500005357764076,0.7379909841103354,0.2382634150117695,6,1.8309211692595497e-06,True,2,193,0.01644561360056969,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0007,gradient,gradient,gradient,0.1056583755,24.88536324979066,4.988523153177768,2.4048737560767663,0.0358484237005604,0.0,0.0,3.141592653589793,0.0,2.0331484829703257,0.9853137662477487,6.282897539519708,3.129708345980083,1.272341970806395e-05,0.026836310905906973,3.1414392401776836,-0.5426579218822043,19.36975868922713,0.8325409428994316,-2.9911407292528778,0.0649661757063141,0.04671287712555649,4.775918486219394,0.9696377600021097,3.1266406499992474,179.14331329899727,0.005062058047993645,8.1943710380357,0.005062058047993645,8.1943710380357,False,,gradient,1986011127,0.8093800085291074,2.3777034439987506,1.0,27.722810510794773,0.9974526745912593,1.0,0.47148317019973834,0.001159863521425164,-0.0009460667644859977,-0.8156991282942161,-0.8156980309858871,4.104328057286868e-07,5.828348728537726e-07,2.392289939485377e-06,0.9999993273520724,0.9999993273547807,0.9999993273548665,1.154698583727693,2.83566792537286e-06,0.9999986547082653,0.9999986547040891,0.9999986547041223,0.9999986547041226,2.2104200239278504e-07,0.022126764516805477,0.02212676636261047,0.02212698555880787,0.011063273583206532,3.141015001850162,0.9999801874325067,2.2104200239278504e-07,0.17791467534673494,0.48933972556702793,0.489339725567028,0.06563380809468566,0.4885332888741642,0.4885332888741642,0.17791467534673494,1986,sobol_screened,0.7383370559734689,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,11164,243,1.041758340634493,0.7383370559734689,0.3061839524430352,2.83566792537286e-06,492,478,False,1e-05,2.8374442795932817e-06,True,0.9373125415295362,0.20606551971286535,0.9376762732863426,0.8094610264524817,0.33370319847017527,0.15432768501341343,0.15219045151025057,0.7024481669068336,0.9970603534109918,0.313635112789643,0.9962171073973801,0.8446761039462822,0.9999542003544684,2.0249951395712174e-06,0.2576336583943357,0.7568465126380495,7,2.338629289825496e-06,True,1,204,0.01226489691978295,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0008,gradient,gradient,gradient,0.1056583755,10.528765596709826,3.2448059413021637,1.484791319707848,0.009148711068764585,0.0,0.0,3.141592653589793,0.0,1.153270046594387,1.054765054025912,3.142006635383913,3.1238101000246514,6.28316894597191,0.010925815881090494,3.1413034220651728,-0.5088202515670754,6.822505842009096,0.7583190538135147,-1.5218070189349442,0.1538180741547462,0.15263185025152198,3.0542185709244327,0.9335034664887523,3.1347359148508604,179.6071378090353,0.0046008021151797696,2.6549502136526377,0.0046008021151797696,2.6549502136526377,False,,gradient,1667009909,2.3896536576882803,0.8199940433467473,1.0,147.78271382401792,0.9942421320711202,1.0000000000000002,0.4420560444901958,-0.0016135749620304063,0.0013169357575797402,-0.8160685133269692,-0.8160663883524041,5.854307661638956e-07,7.786163560576592e-07,1.1498152326134536e-06,0.9999986981462388,0.9999986981466022,0.9999986981467341,1.1546990870002156,3.008376428624331e-06,0.9999973962947449,0.9999973962932234,0.9999973962932346,0.9999973962932348,3.5046505692266222e-06,0.024257162992989176,0.02425716708095055,0.0242606676435584,0.012126833259171351,-3.1407715561482163,0.9997114207523651,3.5046505692266222e-06,0.05772673236243035,0.48851134012374153,0.4885113401237415,0.18287138030065997,0.4872279922327002,0.4872279922327002,0.05772673236243035,1667,sobol_screened,0.6795223239869662,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,9946,432,2.555174623777493,0.6795223239869662,0.1315286485792795,3.008376428624331e-06,420,406,False,1e-05,3.009091142073704e-06,True,0.08657138515263796,0.12270405609160662,0.8856841772794724,0.7677261279895902,0.12843086570501328,0.18220369331538677,0.8778858799487352,0.2808578070253134,0.5504296338865413,0.33574214429762783,0.9943396373986225,0.7819630780356418,0.5000658872488842,0.9999973960329233,0.7606503837974355,0.26101221060908947,8,2.511337793076967e-06,True,2,193,0.015683788961971073,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
muon,gradient_local_minimum_0009,gradient,gradient,gradient,0.1056583755,7.201006495299083,2.6834691157714268,1.1751364578192496,0.27488437557606915,0.0,0.0,3.141592653589793,0.0,0.9847528778907918,0.3099791257172769,3.1416050804549576,2.6935682491152124,6.283184978568718,0.5010650774323651,3.14158920430106,-0.9904868721437059,3.1504384229266162,0.561398870927268,-0.5644174117349985,0.3778906280182488,0.5137331731318818,3.34117037760283,0.8893448280646352,3.0885519806128974,176.9609932958903,0.11888024009025822,1.4118907456858882,0.11888024009025822,1.4118907456858882,False,,gradient,82001259,1.0969439701526735,0.47382637061590316,0.9999999999999999,68.00309244948743,0.6815459793196839,0.9999999999999997,0.3114505929278134,0.000584292267455655,0.0005901404207924732,0.9490171431240757,0.9490167983095911,2.0084176977337993e-06,6.665001698880069e-07,2.1765478158175504e-06,0.9999998180528805,0.9999998180550355,0.999999818053233,1.1546977373848264,3.057407773920528e-06,0.9999996361074658,0.9999996361013161,0.9999996361013329,0.9999996361013176,0.06750536191763032,0.0001478748503860386,0.06750536192867704,0.06765323676801635,0.03367874354466886,2.56126161878052e-05,0.9956284474652298,0.06750536191763032,0.14189013936532857,0.456367630385613,0.4563676303856133,0.1570553173864851,0.4759791328463707,0.4759791328463706,0.14189013936532857,82,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,1304,675,1.0559920675060068,0.8161920297430167,3.644192237299896e-05,3.057407773920528e-06,27,13,False,1e-05,4.313036309890562e-06,True,0.43645297710543735,0.047865224439082754,0.6443853953215382,0.7357981895657412,0.6107687605206192,0.9257979540929956,0.2421306058667978,0.06688703293301865,0.4066504312871177,0.09866942022641736,0.8573894028041356,0.8576226512714065,0.500001977797018,0.9999999476999559,0.349168110289293,0.15082361810162676,9,2.5603691383731643e-06,True,0,203,0.13980913045490476,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
