local_minimum_id,contour_status,contour_file,contour_point_count,configured_direction_count,contour_delta
0,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0000_contour_samples.csv,418,1536,0.05
1,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0001_contour_samples.csv,607,1536,0.05
2,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0002_contour_samples.csv,391,1536,0.05
3,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0003_contour_samples.csv,393,1536,0.05
4,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0004_contour_samples.csv,417,1536,0.05
5,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0005_contour_samples.csv,392,1536,0.05
6,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0006_contour_samples.csv,422,1536,0.05
7,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0007_contour_samples.csv,375,1536,0.05
8,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0008_contour_samples.csv,536,1536,0.05
9,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0009_contour_samples.csv,404,1536,0.05
10,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0010_contour_samples.csv,668,1536,0.05
11,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0011_contour_samples.csv,670,1536,0.05
12,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0012_contour_samples.csv,384,1536,0.05
13,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0013_contour_samples.csv,636,1536,0.05
14,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0014_contour_samples.csv,392,1536,0.05
15,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0015_contour_samples.csv,482,1536,0.05
16,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0016_contour_samples.csv,396,1536,0.05
17,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0017_contour_samples.csv,459,1536,0.05
18,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0018_contour_samples.csv,548,1536,0.05
19,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0019_contour_samples.csv,378,1536,0.05
20,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0020_contour_samples.csv,393,1536,0.05
21,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0021_contour_samples.csv,729,1536,0.05
22,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0022_contour_samples.csv,507,1536,0.05
23,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0023_contour_samples.csv,373,1536,0.05
24,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0024_contour_samples.csv,564,1536,0.05
25,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0025_contour_samples.csv,392,1536,0.05
26,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0026_contour_samples.csv,522,1536,0.05
27,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0027_contour_samples.csv,416,1536,0.05
28,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0028_contour_samples.csv,416,1536,0.05
29,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0029_contour_samples.csv,489,1536,0.05
30,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0030_contour_samples.csv,608,1536,0.05
31,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0031_contour_samples.csv,462,1536,0.05
32,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0032_contour_samples.csv,392,1536,0.05
33,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0033_contour_samples.csv,642,1536,0.05
34,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0034_contour_samples.csv,470,1536,0.05
35,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0035_contour_samples.csv,375,1536,0.05
36,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0036_contour_samples.csv,378,1536,0.05
37,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0037_contour_samples.csv,627,1536,0.05
38,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0038_contour_samples.csv,667,1536,0.05
39,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0039_contour_samples.csv,785,1536,0.05
40,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0040_contour_samples.csv,449,1536,0.05
41,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0041_contour_samples.csv,651,1536,0.05
42,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0042_contour_samples.csv,406,1536,0.05
43,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0043_contour_samples.csv,519,1536,0.05
44,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0044_contour_samples.csv,419,1536,0.05
45,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0045_contour_samples.csv,458,1536,0.05
46,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0046_contour_samples.csv,553,1536,0.05
47,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0047_contour_samples.csv,409,1536,0.05
48,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0048_contour_samples.csv,1374,1536,0.05
49,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0049_contour_samples.csv,383,1536,0.05
