lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,local_minimum_id,dGHZ_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
electron,gradient_local_minimum_0000,gradient,gradient,gradient,0.00051099895,24.706153049221406,4.97052844768254,2.396758113307378,0.3718226964907352,0.0,0.0,3.141592653589793,0.0,2.166671790035045,1.3011077852574285e-07,1.7421834669259215,3.141592653589793,3.7462699374552453,2.580956827951785e-08,4.883776125493592,-0.9999999999999916,17.207276530450134,0.7419843695344641,-1.6518808578817499,0.1400796229604233,0.13421984821933386,6.86345562969578,0.9733311343520871,3.1415926237874707,179.99999829245272,1.1802633892443737e-07,7.77769795431176,1.1802633892443737e-07,7.77769795431176,False,,gradient,5000001402,0.7579927998177342,2.383595906448016,1.0,11970110.70287256,0.9969992233305986,1.0,0.11587338882131354,-7.907696637221573e-06,7.907696637221573e-06,-0.9999999999999996,-0.9999999999374679,2.1320091809069244e-13,1.4341014453413716e-15,2.2283374168646508e-08,0.9999999999687336,0.999999999968734,0.9999999999687341,1.1547005255138156,2.2283461909263584e-08,0.9999999999374678,0.9999999999374671,0.9999999999374676,0.9999999999374678,7.511931152170003e-17,1.5654912938231738e-16,2.3097480392292754e-16,2.316684409040174e-16,1.1514058347091884e-16,-1.9322244077277664,0.9940118129307285,7.511931152170003e-17,0.16666538092234812,0.4999960461516813,0.4999960461516813,0.1666679524110192,0.5000039538483185,0.5000039538483185,0.16666538092234812,0,0.0,True,1,97,0.023037565134323642,True,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0001,gradient,gradient,gradient,0.00051099895,25.0,5.0,2.4120155719830048,2.286957843551818,0.0,0.0,3.141592653589793,0.0,0.1205983008750418,3.141592653589793,8.733938101272923e-09,3.141592653589793,2.3142547890121468,0.0,3.181826226141028,1.0,23.228251643124693,0.9980838495336337,-22.0668629219837,0.0016992028571036222,0.00031121466496671356,0.9244382745588373,0.9648712955932232,3.141592653589793,180.0,6.527863971594883e-09,0.5806943670982474,6.527863971594883e-09,0.5806943670982474,False,,gradient,5000000410,2.4389177418774413,0.7026618843453465,1.0,63.40509203320149,0.9728720644464037,1.0,0.006994403460699085,2.6415481384323147e-05,-2.6415481384545192e-05,-0.9999999999999998,-0.9999999993022222,0.0,1.321473230688737e-16,2.279621849529656e-08,0.999999999651111,0.9999999996511112,0.9999999996511112,1.1547005252178486,2.280689526761525e-08,0.999999999302222,0.9999999993022219,0.9999999993022218,0.9999999993022218,3.32161478032192e-24,1.3740808769581123e-22,1.3740843003389263e-22,1.4072970247613317e-22,6.704357879582606e-23,3.1383969668960368,0.9527992686148996,3.32161478032192e-24,0.16666226371569492,0.4999867922593078,0.49998679225930776,0.16667106898100784,0.5000132077406921,0.5000132077406922,0.16666226371569492,1,5.234333583516646e-10,True,2,87,0.034730610070978565,True,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0002,gradient,gradient,gradient,0.00051099895,25.0,5.0,2.4120155719830048,2.2862741067126535,0.0,0.0,3.141592653589793,0.0,0.12125646002932378,3.141592653589793,0.03350956918859602,3.141592653589793,0.5228842828633161,0.0,3.198914024905934,1.0,23.228004868027778,0.9980728599238393,-22.06029033226113,0.0017003037235102329,0.00031149306443585675,0.9246940514019002,0.9648716687975362,3.141592653589793,180.0,6.5634894741428695e-09,0.5838572744467642,6.5634894741428695e-09,0.5838572744467642,False,,gradient,5000000012,0.8769663281031554,0.8769773078245011,1.0,63.1159530135061,0.9668304328262616,1.0,0.20839995525225152,-2.2332972546612595e-05,2.233297254683464e-05,-0.9999999999999998,-0.9999999995012381,0.0,5.551065174816981e-17,2.290707009900665e-08,0.9999999997506189,0.999999999750619,0.999999999750619,1.1547005251538485,2.2912499293258053e-08,0.9999999995012382,0.9999999995012379,0.9999999995012375,0.9999999995012375,1.367848637354866e-22,3.318204893110404e-24,1.3678564870860136e-22,1.4010306862859701e-22,6.673411439430285e-23,0.004850302933749595,0.952643151181936,1.367848637354866e-22,0.16667039039392295,0.5000111664862733,0.5000111664862734,0.16666294676670113,0.4999888335137267,0.4999888335137269,0.16667039039392295,2,6.290373839944693e-10,True,0,111,0.06133066922304765,True,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0003,gradient,gradient,gradient,0.00051099895,24.999634132593627,4.999963413125502,2.4119966347259707,1.1870735436106092,0.0,0.0,3.141592653589793,0.0,1.1499748813214048,3.141592653589793,2.9810646762754267,3.141592653589793,2.6999542560048355,0.0,5.9843481207776685,1.0,22.5478117447708,0.9678298785092254,-11.797623800363956,0.006254737849898702,0.0018770497574299868,1.6293205963391122,0.96589930779884,3.141592653589793,180.0,6.224746540439696e-08,5.375094034450855,6.224746540439696e-08,5.375094034450855,False,,gradient,5000000603,0.8268566707627577,2.3147292387221077,1.0,1922.7025661982416,0.9931393972177152,1.0,0.2751496316485569,-1.3534716771568256e-05,1.3534716771457234e-05,-0.9999999999999997,-0.9999999998168111,0.0,0.0,2.3242619833171554e-08,0.9999999999084054,0.9999999999084056,0.9999999999084056,1.1547005249601188,2.324334173144766e-08,0.9999999998168112,0.9999999998168108,0.9999999998168106,0.9999999998168106,1.0152166790977766e-26,1.4801363674736915e-24,1.4801363674780384e-24,1.4902885342646692e-24,7.349921003457039e-25,3.1415892142816104,0.9863755688201145,1.0152166790977766e-26,0.166668920198023,0.5000067673583858,0.5000067673583857,0.16666440821854975,0.4999932326416142,0.49999323264161444,0.166668920198023,3,9.598798221840755e-10,True,1,97,0.013210233189226626,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0004,gradient,gradient,gradient,0.00051099895,25.0,5.0,2.4120155719830048,2.4120155705088564,0.0,0.0,3.141592653589793,0.0,0.12059598552424938,3.141592653589793,0.0,0.0,0.43763543917635883,0.0,3.141592653589793,-1.0,22.10775888440592,0.9482725233295203,-23.271276463731336,0.0015134827395630725,0.00026520940640806934,2.0858038414962303,0.9665658455232112,0.0,0.0,0.5817587965339917,6.871289481846787e-09,0.5817587965339917,6.871289481846787e-09,True,,gradient,5000000629,0.8123203648602715,2.3831047457203134,1.0,45.90784368561829,0.9971048649749777,0.9999999999999998,5.724792863621681e-10,2.392653007943224e-05,-2.3926530079321218e-05,-0.9999999999999997,-0.9999999994275208,1.1102230246251565e-16,2.3648543602868178e-14,2.366447138246741e-08,0.9999999997137603,0.9999999997137606,0.9999999997137606,1.154700524716549,2.367139493067438e-08,0.999999999427521,0.9999999994275206,0.9999999994275207,0.9999999994275207,1.4000161716675837e-16,4.2017877053770503e-19,1.4000161716675837e-16,1.4042179593729607e-16,6.979071919811033e-17,0.0,0.9940154764759549,1.4000161716675837e-16,0.16667065442533663,0.5000119632650396,0.5000119632650396,0.16666267890798822,0.49998803673496023,0.49998803673496023,0.16667065442533663,4,1.3879330214107966e-09,True,1,97,0.02283478091165025,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0005,gradient,gradient,gradient,0.00051099895,25.0,5.0,2.4120155719830048,2.4120155705088564,0.0,0.0,3.141592653589793,0.0,0.12059598552424938,3.141592653589793,6.283185307177605,0.0,0.0,0.0,3.1415926535878116,-1.0,22.10775888440592,0.9482725233295203,-23.271276463731336,0.0015134827395630725,0.00026520940640806934,2.0858038414962303,0.9665658455232112,0.0,0.0,0.5817587965339917,6.871289481846787e-09,0.5817587965339917,6.871289481846787e-09,True,,gradient,5000001489,2.280949415329478,0.7101601838504819,1.0,45.0063768031155,0.9775252693766129,1.0,2.0600421370876837e-10,1.4352836421982484e-05,-1.4352836421871462e-05,-0.9999999999999998,-0.9999999997939959,0.0,2.4664554434237566e-14,2.3899859362360305e-08,0.9999999998969978,0.9999999998969981,0.9999999998969981,1.1547005245806472,2.390074716985364e-08,0.9999999997939958,0.9999999997939957,0.9999999997939956,0.9999999997939956,1.428058211583113e-16,3.1682302050998747e-18,1.428058211583113e-16,1.4597405136341117e-16,6.981879547660571e-17,-5.841589371210524e-16,0.9565918712879679,1.428058211583113e-16,0.16666905880973665,0.5000071764182109,0.5000071764182109,0.1666642745236057,0.499992823581789,0.499992823581789,0.16666905880973665,5,1.6172852605900555e-09,True,2,87,0.03137061626156024,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,24.973647085095006,4.997364013667106,2.410651169197498,0.0005562143164724765,0.0,0.0,3.141592653589793,0.0,2.0299570021708746,0.14692582569777152,0.02858377007693308,3.141592653589793,0.8917557455504203,4.0124306141720424e-05,3.170176423669046,-0.9892258038686617,19.56876732951648,0.8370160799222012,-3.0903332633133536,0.0619982316366512,0.04381169077295717,4.690277857795665,0.9703408531279313,3.1415525292836515,179.9977010466022,1.0994170818179327e-07,8.239217143042751,1.0994170818179327e-07,8.239217143042751,False,,gradient,5000001501,0.8104084500755008,2.331173038386661,1.0000000000000002,1083287.4127137968,0.9974996763160522,1.0,0.06473982824732817,-7.04744436202942e-06,7.047444362195954e-06,-0.9999999999999997,-0.9999999999503332,2.5289514926640777e-10,3.2158001622343078e-09,2.3714500475755223e-08,0.9999999999751665,0.9999999999751666,0.9999999999751666,1.1547005226850262,2.393293392547712e-08,0.9999999999503328,0.9999999999503331,0.9999999999503327,0.9999999999503327,1.142826186292004e-16,7.83228392235637e-17,1.8252534144603556e-16,1.926054578527641e-16,8.622261251965353e-17,-1.3607259759006387,0.8953288601568685,1.142826186292004e-16,0.16219474081276264,0.49999651406519197,0.49999651406519197,0.17113859291475278,0.5000034859348077,0.5000034859348077,0.16219474081276264,6,1.649472016213536e-09,True,1,97,0.009212197910945382,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0007,gradient,gradient,gradient,0.00051099895,24.999349834947054,4.999934983071986,2.4119819194086243,0.01262814172521098,0.0,0.0,3.141592653589793,0.0,2.0372390294250966,7.540419555792885e-07,1.4284833338814458,3.141592653589793,5.611485300963248,0.0,4.570075964856715,-0.9999999999997157,19.533299427903682,0.8345081991437984,-3.03483410641751,0.06363332738435377,0.045403662566964084,4.7535038421727,0.9704576737043915,3.141592653589793,180.0,1.1027522539563961e-07,8.249232771016716,1.1027522539563961e-07,8.249232771016716,False,,gradient,5000001087,0.7879649667514662,2.353658433114927,1.0,1172187.3726935643,0.9999739619880632,1.0,0.04944328169316763,6.149360677354387e-05,-6.149360677348836e-05,-0.9999999999999996,-0.9999999962185359,6.222800053024002e-14,0.0,2.3816593462791985e-08,0.9999999981092678,0.9999999981092682,0.9999999981092682,1.154700524628699,2.4114924757736163e-08,0.9999999962185357,0.9999999962185355,0.9999999962185359,0.9999999962185359,6.921150277820883e-17,1.094979025658044e-16,1.7870474627579928e-16,1.7870940534401323e-16,8.935004360379267e-17,1.7981924137596272,0.9999478587239997,6.921150277820883e-17,0.1666767963670509,0.5000307468033867,0.5000307468033867,0.16665653696626193,0.4999692531966132,0.4999692531966132,0.1666767963670509,7,1.831462848472579e-09,True,1,97,0.011820970938895201,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0008,gradient,gradient,gradient,0.00051099895,24.98351963804504,4.998351692112615,2.41116240338766,0.5610947232542554,0.0,0.0,3.141592653589793,0.0,1.672123357219725,3.141592653589793,4.054730027679435,3.141592653589793,1.2574048429190714,0.0,4.563052907691423,1.0,21.53860589835318,0.9237113998056393,-6.601741427419832,0.01844153909626889,0.008310450761702925,2.6587005719434718,0.9673820322281176,3.141592653589793,180.0,9.054237093408801e-08,7.468432326008732,9.054237093408801e-08,7.468432326008732,False,,gradient,5000001717,2.332037019127289,2.33202984376754,1.0,35684.26563854279,0.9976667898974527,1.0,0.25576221373970537,-1.4367490314359799e-05,1.4367490314248776e-05,-0.9999999999999997,-0.9999999997935749,0.0,1.874267124968688e-16,2.4275128767787647e-08,0.9999999998967871,0.9999999998967875,0.9999999998967875,1.1547005243639994,2.427600643016904e-08,0.9999999997935745,0.9999999997935742,0.9999999997935743,0.9999999997935743,6.959468460973211e-25,1.708152007632722e-27,6.9594687194868585e-25,6.9765499810495375e-25,3.4711937289620897e-25,-0.00038593779612220856,0.9951032353787826,6.959468460973211e-25,0.16666906436694154,0.5000071837451572,0.5000071837451572,0.16666427552001817,0.4999928162548428,0.4999928162548428,0.16666906436694154,8,1.992544520905457e-09,True,3,81,0.010179650470968346,True,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0009,gradient,gradient,gradient,0.00051099895,24.444826517395658,4.944170963609132,2.383107543228541,0.8278787362566871,0.0,0.0,3.141592653589793,0.0,1.4326008822045726,3.141592653589793,3.1492824059465576,3.141592653589793,4.992480569844177,0.0,1.2681815601736273,1.0,21.547864121006526,0.946723954474808,-8.594403730037056,0.011467766168400426,0.004325083539191918,2.092430820535494,0.9658590315925466,3.141592653589793,180.0,7.848589023140562e-08,6.476730273969755,7.848589023140562e-08,6.476730273969755,False,,gradient,5000000150,2.3800639984753986,2.3800831418079946,1.0,9557.372977597808,0.9977208920821264,1.0,0.22642018439893488,3.8330369832750844e-05,-3.833036983263982e-05,-0.9999999999999998,-0.9999999985307825,0.0,0.0,2.426390899312736e-08,0.9999999992653911,0.9999999992653914,0.9999999992653914,1.1547005243704773,2.4308350027689875e-08,0.999999998530782,0.9999999985307821,0.9999999985307823,0.9999999985307823,9.047196867633878e-25,1.9205111956714718e-27,9.04719753442129e-25,9.066401979590592e-25,4.513996544625993e-25,-0.0005435357173625068,0.9957636016553129,9.047196867633878e-25,0.16666028186107434,0.49998083481508365,0.4999808348150835,0.16667305832404558,0.5000191651849164,0.5000191651849164,0.16666028186107434,9,2.024888118426291e-09,True,3,81,0.0114945258181352,False,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
