local_minimum_id,contour_point_count,original_contour_cut,target_covariance_cut,covariance_rank,covariance_min_eigenvalue,covariance_max_eigenvalue,requested_samples,attempted_samples,accepted_samples,rejected_samples,rejection_fraction
0,415,0.05,0.02,8,3.2804650902861637e-11,2.346771878242774e-05,2000,10090,2000,8090,0.8017839444995044
1,205,0.05,0.02,8,2.4803142155426405e-11,0.0013573607433700337,2000,34547,2000,32547,0.9421078530697311
2,217,0.05,0.02,8,2.4570838950478815e-11,0.0012818180140620951,2000,36167,2000,34167,0.9447009704979678
3,355,0.05,0.02,8,1.9246131547860807e-11,0.00016694877039602905,2000,14806,2000,12806,0.8649196271781711
4,126,0.05,0.02,8,1.9489442202445007e-11,8.247978708045904e-06,2000,51929,2000,49929,0.961485874944636
5,121,0.05,0.02,8,2.073091461880993e-11,8.426547676379552e-06,2000,40074,2000,38074,0.9500923291909966
6,766,0.05,0.02,8,2.3761155533705253e-11,0.0003180047863456525,2000,8524,2000,6524,0.7653683716564993
7,283,0.05,0.02,8,1.855442315785321e-11,0.0002705653300831568,2000,20009,2000,18009,0.9000449797591084
8,396,0.05,0.02,8,5.938931563739422e-12,0.0005198948349450004,2000,19969,2000,17969,0.8998447593770345
9,385,0.05,0.02,8,1.1739330829680841e-11,0.0008058324763062681,2000,13879,2000,11879,0.8558973989480511
10,781,0.05,0.02,8,1.8369052290930306e-11,0.00011313660793107135,2000,3988,2000,1988,0.49849548645937813
11,230,0.05,0.02,8,2.2633809055234357e-11,0.0006234760583121749,2000,21823,2000,19823,0.9083535719195345
12,401,0.05,0.02,8,1.5287782151783034e-11,0.000583124080369687,2000,8470,2000,6470,0.7638724911452184
13,235,0.05,0.02,8,2.6407406682045623e-11,0.00041706736428552343,2000,19198,2000,17198,0.8958224815084904
14,362,0.05,0.02,8,2.3333832927598717e-11,2.8498389886467065e-06,2000,8751,2000,6751,0.7714546908924694
15,572,0.05,0.02,8,4.068797771666198e-11,0.0005772422128905701,2000,10968,2000,8968,0.8176513493800146
16,648,0.05,0.02,8,7.975613455562874e-12,0.00033915631464603955,2000,18367,2000,16367,0.8911090542821365
17,354,0.05,0.02,8,8.11053486844012e-12,0.00037685103098141203,2000,21030,2000,19030,0.9048977650974798
18,233,0.05,0.02,8,2.2803789861644053e-11,0.0004509135643963105,2000,20485,2000,18485,0.9023675860385648
19,375,0.05,0.02,8,9.376056191603192e-12,0.0001727794937032219,2000,21821,2000,19821,0.9083451720819394
20,770,0.05,0.02,8,1.5249140292712966e-11,0.0004717084227879977,2000,12791,2000,10791,0.8436400594167774
21,363,0.05,0.02,8,1.4120799856586826e-11,0.00025125413891276743,2000,18052,2000,16052,0.8892089519166851
22,397,0.05,0.02,8,2.3014455586816408e-11,2.427593193959209e-06,2000,7566,2000,5566,0.7356595294739625
23,698,0.05,0.02,8,1.4680813381081215e-11,0.0005443241637827578,2000,15814,2000,13814,0.8735297837359302
24,390,0.05,0.02,8,8.89463391435856e-12,0.0009799108281427717,2000,18141,2000,16141,0.8897524943498153
25,386,0.05,0.02,8,1.1101990966992238e-11,0.0010103517256373363,2000,18232,2000,16232,0.8903027643703378
26,733,0.05,0.02,8,9.971894411477159e-12,0.000528257955150377,2000,15853,2000,13853,0.873840913391787
27,379,0.05,0.02,8,1.8187178520824563e-11,2.7216336454127743e-06,2000,7065,2000,5065,0.7169143665958952
28,392,0.05,0.02,8,1.5883331086180476e-11,0.0009693558881406878,2000,15473,2000,13473,0.8707425838557488
29,473,0.05,0.02,8,8.883812341337882e-12,0.00017603209616490965,2000,21815,2000,19815,0.9083199633279854
30,600,0.05,0.02,8,1.2215469285625841e-11,0.0006498465187507814,2000,17450,2000,15450,0.8853868194842407
31,638,0.05,0.02,8,6.168346969087896e-12,0.00012838859961426151,2000,20276,2000,18276,0.9013612152298284
32,380,0.05,0.02,8,1.0266181697283484e-11,0.00019920517871844137,2000,18492,2000,16492,0.8918451222150119
33,770,0.05,0.02,8,1.3897061433889496e-11,0.0005033887568855227,2000,15326,2000,13326,0.8695028056896776
34,422,0.05,0.02,8,1.8300012831313405e-11,0.0001836519802334924,2000,19702,2000,17702,0.8984874632017054
35,745,0.05,0.02,8,9.51191399256144e-12,0.000527852209276507,2000,15700,2000,13700,0.8726114649681529
