lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phi_in_lepton,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_cross_section_ratio,unpolarized_purity,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,unpolarized_M_e,unpolarized_M_p,unpolarized_M_gamma,unpolarized_F3,unpolarized_GHZ_purity,unpolarized_W_purity,L_proton_cross_section_ratio,L_proton_purity,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_proton_M_e,L_proton_M_p,L_proton_M_gamma,L_proton_F3,L_proton_GHZ_purity,L_proton_W_purity,L_electron_cross_section_ratio,L_electron_purity,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,L_electron_M_e,L_electron_M_p,L_electron_M_gamma,L_electron_F3,L_electron_GHZ_purity,L_electron_W_purity,Tx_proton_cross_section_ratio,Tx_proton_purity,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Tx_proton_M_e,Tx_proton_M_p,Tx_proton_M_gamma,Tx_proton_F3,Tx_proton_GHZ_purity,Tx_proton_W_purity,Ty_proton_cross_section_ratio,Ty_proton_purity,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Ty_proton_M_e,Ty_proton_M_p,Ty_proton_M_gamma,Ty_proton_F3,Ty_proton_GHZ_purity,Ty_proton_W_purity,Tx_electron_cross_section_ratio,Tx_electron_purity,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Tx_electron_M_e,Tx_electron_M_p,Tx_electron_M_gamma,Tx_electron_F3,Tx_electron_GHZ_purity,Tx_electron_W_purity,Ty_electron_cross_section_ratio,Ty_electron_purity,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,Ty_electron_M_e,Ty_electron_M_p,Ty_electron_M_gamma,Ty_electron_F3,Ty_electron_GHZ_purity,Ty_electron_W_purity,LL_cross_section_ratio,LL_purity,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LL_M_e,LL_M_p,LL_M_gamma,LL_F3,LL_GHZ_purity,LL_W_purity,LTx_cross_section_ratio,LTx_purity,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTx_M_e,LTx_M_p,LTx_M_gamma,LTx_F3,LTx_GHZ_purity,LTx_W_purity,LTy_cross_section_ratio,LTy_purity,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,LTy_M_e,LTy_M_p,LTy_M_gamma,LTy_F3,LTy_GHZ_purity,LTy_W_purity,TxTx_cross_section_ratio,TxTx_purity,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTx_M_e,TxTx_M_p,TxTx_M_gamma,TxTx_F3,TxTx_GHZ_purity,TxTx_W_purity,TxTy_cross_section_ratio,TxTy_purity,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest,TxTy_M_e,TxTy_M_p,TxTy_M_gamma,TxTy_F3,TxTy_GHZ_purity,TxTy_W_purity
muon,phase_space_00036,phase_space,phase_space,phase_space,1.0565837550000000e-01,1.3323220927268215e+01,3.6500987558240414e+00,1.7027803667587529e+00,1.6981674117433472e+00,1.0868599005610027e+00,2.4552783364035413e+00,4.9954861370004533e-01,3.6411412672898384e+00,3.6411412672898384e+00,4.7563159054216984e+00,1.3807652231520784e+00,1.4870009972250287e-01,-4.0276869484110414e+00,4.1706260767767039e-02,2.5446693549143810e-02,8.7846490335511618e+00,7.4689599359473269e-01,1.2170974315642001e-01,6.9734546084841211e+00,1.3382043166463160e+00,1.4743454016835271e-02,1.3382043166463160e+00,1.4743454016835271e-02,True,4.5791023838739680e+00,1.0000000000000000e+00,3.0954946528192206e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,1.7986007026717934e-01,8.8930318342026110e-02,1.0000000000000002e+00,5.9967354642005632e-01,0.0000000000000000e+00,1.3915839662065135e-01,8.4987827706192835e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9365059350030508e-02,-7.2229308582175182e-05,-1.9437288658612682e-02,0.0000000000000000e+00,1.7986007026717934e-01,4.6211502606459252e-02,1.0000000000000002e+00,6.1878852436949305e-01,0.0000000000000000e+00,3.3028225796636862e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0908636992736287e-01,-0.0000000000000000e+00,-1.0908636992736287e-01,0.0000000000000000e+00,1.7986007026717934e-01,7.9910445736946278e-02,9.9999999999999978e-01,5.1185577562948625e-01,0.0000000000000000e+00,4.8101006674046001e-02,2.0978414185202188e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3137068430566180e-03,-4.4009386172589237e-04,-2.7538007047825104e-03,0.0000000000000000e+00,1.7986007026717934e-01,5.4388081561749603e-02,9.9999999999999978e-01,5.0756960851430166e-01,0.0000000000000000e+00,3.7646887305132291e-02,2.1209529639994621e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4172881237653309e-03,-4.4984414754981034e-04,-1.8671322713151412e-03,0.0000000000000000e+00,1.7986007026717940e-01,6.8654851220223162e-02,1.0000000000000000e+00,5.0001280704178730e-01,0.0000000000000000e+00,7.6431069605806556e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.8417084010876463e-01,-0.0000000000000000e+00,-5.8417084010876463e-01,0.0000000000000000e+00,1.7986007026717940e-01,1.3336632874887433e-01,9.9999999999999978e-01,5.0029759915256378e-01,0.0000000000000000e+00,7.9941169898420850e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.3905906447281879e-01,-0.0000000000000000e+00,-6.3905906447281879e-01,0.0000000000000000e+00,1.7986007026717937e-01,5.1873054763182096e-02,1.4459051690174423e+00,1.0000000000000000e+00,2.1004015054763915e-04,3.2403869081135128e-01,8.6950105809922087e-03,3.2412718531239754e-01,1.1530919632269552e-02,3.2424372219384479e-01,5.7314998937935124e-05,5.7314781697450856e-05,5.7315030381108046e-05,4.3155481374548624e-03,2.2039769806786147e-01,2.9173821845481777e-02,1.1537802653109863e+00,1.0000000000000000e+00,2.1399750257319410e-03,3.2789471532402154e-01,3.0480305674393790e-02,3.2851059513188646e-01,3.6514575697305519e-02,3.2991465678825671e-01,3.9968728337434756e-04,3.9968571123901613e-04,3.9968739228761355e-04,1.3849112236083797e-02,2.3365201703243077e-01,2.1475765324555796e-02,8.7712909627012847e-01,9.9999999999999978e-01,1.9861840095746833e-03,3.3363407226084157e-01,3.8450652735147028e-02,3.3480578616848089e-01,4.7557043008916576e-02,3.3700062698204647e-01,7.7927535162219952e-04,7.7927471707318115e-04,7.7927571718109084e-04,1.8379955044238193e-02,1.2419731481940925e-01,1.4109605385875190e-01,9.9884747176778377e-01,9.9999999999999978e-01,1.5591083642187609e-01,8.1154116351686922e-01,3.2113643575140113e-02,9.3475149859212125e-01,4.6496514250695248e-01,9.2221660126170224e-01,1.9085311512413372e-01,1.9085310872907046e-01,1.9085311345670047e-01,4.8244391970724826e-01,2.8857652186989213e-01,8.4885353141608319e-02,1.0018301778861538e+00,9.9999999999999978e-01,1.5811563551556060e-01,7.2694392650142226e-01,3.3166567323958764e-02,8.6656639862253682e-01,4.7285288381692026e-01,8.5266452326481212e-01,1.9748929674983862e-01,1.9748927435143360e-01,1.9748929576904944e-01,4.5105667160589880e-01,3.2276827269535602e-01,1.0828133282263767e-01
muon,phase_space_00060,phase_space,phase_space,phase_space,1.0565837550000000e-01,1.7019017539010328e+00,1.3045695665241592e+00,3.0136188107826795e-01,3.0051881190500207e-01,1.5642685714185343e-02,1.3818309160565527e+00,4.1233352769714804e+00,9.8174262338168727e-01,9.8174262338168727e-01,4.8386806376443623e+00,3.1274376828622941e-01,8.8624659440474418e-01,-3.2905303408128400e-01,5.2419068573314576e-01,7.8262358852422709e-01,9.1998595252862625e-01,4.3518103970807748e-01,1.3320484006914901e-01,7.6320751466773551e+00,8.4906283542029431e-03,3.3599545667574590e-04,8.4906283542029431e-03,3.3599545667574590e-04,True,8.0147698934791639e+04,1.0000000000000000e+00,5.1550880934893750e-01,2.6589847916117071e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.0702001220223534e-02,-7.0702001220223534e-02,-0.0000000000000000e+00,0.0000000000000000e+00,3.3196494740107568e-01,6.7585808871775621e-02,9.9999999999999978e-01,9.2940981395109046e-01,3.0038788413388795e-01,1.1413656789879542e-01,1.1369333257190282e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0326003706615042e-01,-9.0362142673147142e-02,-1.3156417870429390e-02,0.0000000000000000e+00,3.3196494740107563e-01,1.8146245940715768e-02,1.0000000000000000e+00,9.2865910828816267e-01,3.0528090173496053e-01,1.1906352233447247e-01,6.5933084918803264e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0737255131480204e-01,-9.3239900680979718e-02,-1.4219594067560527e-02,0.0000000000000000e+00,3.3196494740107568e-01,9.2218044357380187e-03,1.0000000000000000e+00,5.5092916094792477e-01,2.9259644179905431e-01,2.2823549419267713e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.6133592161561121e-02,-8.5612677753467370e-02,-5.2091440809375555e-04,0.0000000000000000e+00,3.3196494740107563e-01,8.8783940473264170e-02,9.9999999999999978e-01,5.5067864379885978e-01,3.0216176643746978e-01,2.2666939755809100e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.1815523254505510e-02,-9.1301733096612034e-02,-5.1379015789347908e-04,0.0000000000000000e+00,3.3196494740107563e-01,3.9937983626931260e-02,9.9999999999999967e-01,5.4952871201799214e-01,3.1794036691890559e-01,4.4014878036479251e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0110545001141398e-01,-1.0108607691652832e-01,-1.9373094885661434e-05,0.0000000000000000e+00,3.3196494740107563e-01,7.9888850849399395e-02,9.9999999999999978e-01,5.5282979839172008e-01,2.7568956843367820e-01,2.3218179450547074e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.6543822000145534e-02,-7.6004738143147732e-02,-5.3908385699780637e-04,0.0000000000000000e+00,3.3196494740107568e-01,5.7570243422699945e-02,1.9200053982733218e+00,9.9999999999999978e-01,3.2254973291618139e-01,1.2327011071284462e-01,2.1781238735018069e-02,3.4541214430599460e-01,3.2340137837388933e-01,1.2548159307552165e-01,7.5699034608309526e-05,7.5698968999727862e-05,7.5687644781982047e-05,4.6855076772516477e-02,3.4577106362927945e-01,4.4507232991811739e-03,9.3697920286139258e-01,1.0000000000000002e+00,4.1820447794450161e-01,1.0492487683573579e-01,2.0468185387693162e-02,4.3225048793354182e-01,4.1982162947821144e-01,1.1119552426245727e-01,9.3626916695751898e-04,9.3626859184255248e-04,9.3626822394342292e-04,5.3894327863579942e-02,3.5358876147848289e-01,3.4749979525250949e-03,1.0832866306935642e+00,9.9999999999999989e-01,2.1501625469188834e-01,1.2639021088027638e-01,8.3317259355476427e-03,2.5029302430162581e-01,2.1619789284492402e-01,1.2839013063952301e-01,4.4012282596651159e-04,4.4012143179317318e-04,4.4012258220797480e-04,3.2050060071935588e-02,3.1159504118966103e-01,1.4974180946247377e-02,8.9516278871420574e-01,9.9999999999999956e-01,8.7178137074125528e-01,3.2455493734952115e-02,2.0411894869974516e-02,8.8206932306164942e-01,8.8170832876095229e-01,1.3586823678521714e-01,1.6990173241354982e-02,1.6990173182746652e-02,1.6990173241361425e-02,1.3794539993000651e-01,2.0505533790171787e-01,1.2080230630155360e-01,1.2770669090485880e+00,1.0000000000000000e+00,9.4498236665799440e-01,1.6909842102937202e-02,1.8606326412752602e-02,9.5175249571699416e-01,9.5178414863896721e-01,1.1483605593735670e-01,1.2555197049036558e-02,1.2555196923281510e-02,1.2555181600723553e-02,1.2597580173297368e-01,4.9242716031213662e-01,5.6422814801253190e-02
muon,phase_space_00078,phase_space,phase_space,phase_space,1.0565837550000000e-01,2.2023503571858058e+01,4.6929205801779830e+00,2.2514302027167230e+00,2.2484242125059084e+00,5.6839362405880689e-01,1.5386318321012200e+00,5.9941598187744880e+00,2.8525671651846949e+00,2.8525671651846949e+00,4.5981743696489756e+00,1.0027393464884710e+01,6.5383801394639918e-01,-1.3008471132476895e+01,5.1484849983082530e-03,1.4355024394443862e-03,6.1886549940177709e+00,7.2571666623378783e-01,1.5266835477562241e-01,8.7472523938490898e+00,1.5035594727723685e+00,1.3020638976279607e-02,1.5035594727723685e+00,1.3020638976279607e-02,True,9.7379469442580482e-02,1.0000000000000000e+00,4.1413520825433719e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,2.8225926561986303e-01,6.3074064762750681e-02,1.0000000000000000e+00,8.0141679484196038e-01,0.0000000000000000e+00,7.6241690774995499e-02,2.8969776950830916e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.8127954122300339e-03,-8.3924797658089426e-06,-5.8211878919958429e-03,0.0000000000000000e+00,2.8225926561986303e-01,4.4081742884748448e-02,1.0000000000000000e+00,8.2820939713501462e-01,0.0000000000000000e+00,1.0009152953740222e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0018314285136661e-02,-0.0000000000000000e+00,-1.0018314285136661e-02,0.0000000000000000e+00,2.8225926561986298e-01,1.0299754401774929e-02,9.9999999999999989e-01,5.0204305250677073e-01,0.0000000000000000e+00,6.0520848707525544e-03,9.8990760943646165e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6627731282791965e-05,-9.7991707522021037e-05,-1.3461943880481301e-04,0.0000000000000000e+00,2.8225926561986292e-01,7.7502101884490165e-02,9.9999999999999967e-01,5.2481056915994295e-01,0.0000000000000000e+00,2.1704371784203327e-02,9.5329779708569554e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7107975454692153e-04,-9.0877668992843995e-05,-5.6195742353976552e-04,0.0000000000000000e+00,2.8225926561986298e-01,1.2146129291836998e-01,9.9999999999999967e-01,5.0000539664133314e-01,0.0000000000000000e+00,1.9088011412121564e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6435217966928307e-02,-0.0000000000000000e+00,-3.6435217966928307e-02,0.0000000000000000e+00,2.8225926561986303e-01,7.5500785492717409e-02,9.9999999999999967e-01,5.0005562273232629e-01,0.0000000000000000e+00,1.8309516399787473e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.3523839079408646e-02,-0.0000000000000000e+00,-3.3523839079408646e-02,0.0000000000000000e+00,2.8225926561986298e-01,9.5298182051252178e-02,1.7763520645159292e+00,9.9999999999999967e-01,2.0246702109625314e-03,9.9365712722521107e-02,2.7423438163336920e-03,9.9391170931784636e-02,3.5468163724881731e-03,9.9408380070179880e-02,9.6070487347853228e-07,9.6016731000746314e-07,9.6071371575826459e-07,4.0702326498200553e-04,3.0479950691697244e-01,3.9312381673297812e-03,9.3608443663185847e-01,9.9999999999999978e-01,1.1861634168538764e-02,1.0019232539168947e-01,1.7542021165018202e-02,1.0107695934460295e-01,2.2040244804822744e-02,1.0189983354622051e-01,3.7351277808087002e-05,3.7351519354323086e-05,3.7351502799317184e-05,2.5658055724946411e-03,2.6834702916828312e-01,1.3767788264601857e-02,7.7726458083363348e-01,9.9999999999999989e-01,1.3993264137330614e-02,1.0053259428598256e-01,2.0459969983588618e-02,1.0175336782492433e-01,2.5798372754008682e-02,1.0284234203786080e-01,5.1133908627270727e-05,5.1134223808327166e-05,5.1134430233030560e-05,3.0203732761414671e-03,2.2496470836780516e-01,2.5346879987756001e-02,1.0000030286501176e+00,1.0000000000000000e+00,7.7184005080323081e-01,1.8901095236036491e-01,1.6257138569377137e-02,8.2946858352845965e-01,8.0781017927846566e-01,3.0421267614847453e-01,5.6555926924603164e-02,5.6555927167509054e-02,5.6555917662780578e-02,2.8184270717123383e-01,5.1407607747388506e-01,9.3307138549407156e-02,1.0010166368803983e+00,1.0000000000000004e+00,7.4390282629116067e-01,1.8519953808145731e-01,1.5623859665064683e-02,8.0012676442819131e-01,7.7855511872742555e-01,2.9505172898603266e-01,5.2512555284764326e-02,5.2512552941865270e-02,5.2512548881228471e-02,2.6347996082880265e-01,1.2544517378751821e-01,1.4520961233872759e-01
muon,phase_space_00099,phase_space,phase_space,phase_space,1.0565837550000000e-01,1.6851486993307553e+01,4.1050562716371566e+00,1.9438525770200592e+00,1.9423930641014655e+00,5.7331333139939711e-01,5.4120025962646778e-01,4.2537040845906002e+00,1.1121114310008071e+00,1.1121114310008071e+00,4.7746864259594135e+00,7.8223094024660238e+00,6.2486070078972245e-01,-1.1039583250833772e+01,7.1250082928379869e-03,2.2460137356897125e-03,5.5760197456316147e+00,7.8434268244800154e-01,8.8341088657283531e-02,5.0615715376533750e+00,1.6140325380423064e+00,5.3956138584329086e-03,1.6140325380423064e+00,5.3956138584329086e-03,True,1.8480571597961343e-01,1.0000000000000000e+00,4.4777485185242050e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,2.9726478081009799e-01,3.6273662659811544e-02,1.0000000000000000e+00,8.7058091920756142e-01,0.0000000000000000e+00,1.9969737272336199e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.9879040672613365e-02,-0.0000000000000000e+00,-3.9879040672613365e-02,0.0000000000000000e+00,2.9726478081009794e-01,1.3878346260441019e-02,1.0000000000000000e+00,8.9548629077092590e-01,0.0000000000000000e+00,2.3245754276573882e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.4036509188685293e-02,-0.0000000000000000e+00,-5.4036509188685293e-02,0.0000000000000000e+00,2.9726478081009799e-01,1.3006707528202724e-02,9.9999999999999967e-01,5.0010279329650953e-01,0.0000000000000000e+00,3.1086155299501375e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.6634905130471743e-06,-0.0000000000000000e+00,-9.6634905130471743e-06,0.0000000000000000e+00,2.9726478081009794e-01,1.4918342956322108e-02,9.9999999999999967e-01,5.2486599120077004e-01,0.0000000000000000e+00,5.1560193748542454e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.6584535793872364e-03,-0.0000000000000000e+00,-2.6584535793872364e-03,0.0000000000000000e+00,2.9726478081009794e-01,3.7214811875501755e-02,9.9999999999999967e-01,5.0003928331238701e-01,0.0000000000000000e+00,1.9791079666135286e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.9168683435131357e-02,-0.0000000000000000e+00,-3.9168683435131357e-02,0.0000000000000000e+00,2.9726478081009799e-01,2.8873046336687899e-02,9.9999999999999944e-01,5.0002412962152842e-01,0.0000000000000000e+00,1.7056232737993726e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9091507521260895e-02,-0.0000000000000000e+00,-2.9091507521260895e-02,0.0000000000000000e+00,2.9726478081009799e-01,5.5309558095907291e-02,1.8608382809396391e+00,1.0000000000000000e+00,1.3906811834954399e-03,2.3225443467113807e-01,1.9182175752344406e-03,2.3226126642737199e-01,2.6172824276452446e-03,2.3226502416665473e-01,1.2394638826060400e-06,1.2366144859940102e-06,1.2394680608273991e-06,7.0192856990622160e-04,3.1047120284723850e-01,4.2398384605518424e-03,1.0143363111450299e+00,9.9999999999999978e-01,1.1093227737102722e-02,2.3239912905239116e-01,1.4267958293963967e-02,2.3281686595487702e-01,1.9947747380538297e-02,2.3298971669403729e-01,7.1278187113991975e-05,7.1278290052252186e-05,7.1278266979501987e-05,5.3594960601871175e-03,2.9953234238145315e-01,1.3346067043268727e-02,7.7701007692388591e-01,1.0000000000000004e+00,1.3852025422252810e-02,2.3259265280711020e-01,1.7985516586404113e-02,2.3324637496790632e-01,2.5060075843560233e-02,2.3352831013444669e-01,1.1265068752151081e-04,1.1264998610643553e-04,1.1265068752159857e-04,6.7433353658688530e-03,2.5609140957035698e-01,3.2113839100927001e-02,1.0000532901038146e+00,9.9999999999999978e-01,8.0332378426344231e-01,1.9850079853751237e-01,1.6068108903228726e-02,9.1107284442829883e-01,8.8933084027084441e-01,4.3009626779861776e-01,1.4532205847130353e-01,1.4532205696978251e-01,1.4532204843054425e-01,4.3357031529203016e-01,9.6813732543874681e-02,2.3737754099960356e-04,9.9784598469358887e-01,1.0000000000000002e+00,7.7966202024122400e-01,1.9582151026106981e-01,1.5617158113006896e-02,8.8491439847673303e-01,8.6311721368819350e-01,4.1886097499632330e-01,1.3685456294388515e-01,1.3685456313071723e-01,1.3685455686641765e-01,4.0985428889093511e-01,5.0401164926946085e-01,3.0260142667646664e-02
muon,phase_space_00119,phase_space,phase_space,phase_space,1.0565837550000000e-01,1.3542166725937927e+01,3.6799683050181189e+00,1.7187112901648514e+00,1.7159512076953967e+00,7.5306405336998861e-01,2.6585827908119049e+00,5.5131666378225574e+00,2.3715739842327643e+00,2.3715739842327643e+00,4.7754426285680882e+00,4.3402244054766248e+00,4.3996638348490036e-01,-7.8055615462280592e+00,1.3682038532109345e-02,5.5138555820377346e-03,6.4045196605203065e+00,7.7976255296275265e-01,1.1221845759541814e-01,6.4296440036852562e+00,1.7415825881665132e+00,8.9140177907948755e-03,1.7415825881665132e+00,8.9140177907948755e-03,True,3.1524937356828819e-01,1.0000000000000000e+00,4.2297772675743617e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,2.9926117948928438e-01,2.1323344197957710e-02,1.0000000000000002e+00,8.1821976705276855e-01,0.0000000000000000e+00,2.5457559978081629e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.4808736003762343e-02,-0.0000000000000000e+00,-6.4808736003762343e-02,0.0000000000000000e+00,2.9926117948928443e-01,2.3355848072491029e-02,1.0000000000000004e+00,8.4594820215918398e-01,0.0000000000000000e+00,3.1861043522688454e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0151260943546479e-01,-0.0000000000000000e+00,-1.0151260943546479e-01,0.0000000000000000e+00,2.9926117948928443e-01,2.2372848740342718e-02,1.0000000000000000e+00,5.2751598895275575e-01,0.0000000000000000e+00,7.4562733473856210e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.5596012230933172e-03,-0.0000000000000000e+00,-5.5596012230933172e-03,0.0000000000000000e+00,2.9926117948928449e-01,2.7193938738600380e-02,1.0000000000000000e+00,5.0021969750934769e-01,0.0000000000000000e+00,7.0034811066865977e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9048747611716134e-05,-0.0000000000000000e+00,-4.9048747611716134e-05,0.0000000000000000e+00,2.9926117948928438e-01,1.6410002592977126e-02,1.0000000000000000e+00,5.0000291025939514e-01,0.0000000000000000e+00,3.2101695925391793e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0305188812863160e-01,-0.0000000000000000e+00,-1.0305188812863160e-01,0.0000000000000000e+00,2.9926117948928449e-01,1.3498243832605771e-02,1.0000000000000000e+00,5.0000434109629222e-01,0.0000000000000000e+00,3.5638419647665587e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2700969549831165e-01,-0.0000000000000000e+00,-1.2700969549831165e-01,0.0000000000000000e+00,2.9926117948928443e-01,2.1957554317343825e-02,1.7977637158849524e+00,9.9999999999999978e-01,4.5829595952954344e-04,3.1881656889120635e-01,4.0882713123647418e-03,3.1881809182629561e-01,4.2053631624233258e-03,3.1884397384300650e-01,7.6104101241758482e-07,7.6108181784148129e-07,7.6109411497726748e-07,1.5481598149011920e-03,3.1976649396630230e-01,6.8684461540233456e-03,7.6541201361790978e-01,9.9999999999999978e-01,2.6186413776794013e-03,3.1839991251092425e-01,3.6200476952788815e-02,3.1870868451217410e-01,3.8822627373669441e-02,3.2074732011663160e-01,1.8986401385140406e-04,1.8986458192049908e-04,1.8986454342732211e-04,1.4286751572871105e-02,2.3930790577202996e-01,5.5191694635097981e-02,9.7907311344230463e-01,1.0000000000000000e+00,3.0086724877294233e-03,3.1788698654895009e-01,3.0020186458462980e-02,3.1812529550221236e-01,3.2446560066615004e-02,3.1952443313050288e-01,1.4251531105913262e-04,1.4251555501715134e-04,1.4251555519595124e-04,1.1918540771031157e-02,2.9434628891943454e-01,2.5172431197596067e-02,1.0006563778069710e+00,1.0000000000000000e+00,5.9423875557526851e-01,2.5147882800495569e-01,2.7529130104776145e-02,8.3630168604374255e-01,7.9807064984823661e-01,5.8909987646942263e-01,2.8303921051721681e-01,2.8303921051721731e-01,2.8303921051721725e-01,5.1741906597562515e-01,3.0085273694500719e-01,4.8789530291034038e-03,9.9879692112304008e-01,1.0000000000000004e+00,6.1970024905853316e-01,3.1440558257192164e-01,2.8086637650751339e-02,8.8942144209862495e-01,8.3247131410687303e-01,6.3861643994754813e-01,3.0819123262920017e-01,3.0819123091309147e-01,3.0819122780436631e-01,5.8724340860362290e-01,2.1763415810660547e-04,2.1848968786684714e-02
