rank_group,rank,rank_value,rank_observable,rank_spin_case,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_cross_section_ratio,unpolarized_purity,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,unpolarized_M_e,unpolarized_M_p,unpolarized_M_gamma,unpolarized_F3,L_proton_cross_section_ratio,L_proton_purity,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_proton_M_e,L_proton_M_p,L_proton_M_gamma,L_proton_F3,L_electron_cross_section_ratio,L_electron_purity,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,L_electron_M_e,L_electron_M_p,L_electron_M_gamma,L_electron_F3,Tx_proton_cross_section_ratio,Tx_proton_purity,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Tx_proton_M_e,Tx_proton_M_p,Tx_proton_M_gamma,Tx_proton_F3,Ty_proton_cross_section_ratio,Ty_proton_purity,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Ty_proton_M_e,Ty_proton_M_p,Ty_proton_M_gamma,Ty_proton_F3,Tx_electron_cross_section_ratio,Tx_electron_purity,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Tx_electron_M_e,Tx_electron_M_p,Tx_electron_M_gamma,Tx_electron_F3,Ty_electron_cross_section_ratio,Ty_electron_purity,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,Ty_electron_M_e,Ty_electron_M_p,Ty_electron_M_gamma,Ty_electron_F3,LL_cross_section_ratio,LL_purity,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LL_M_e,LL_M_p,LL_M_gamma,LL_F3,LTx_cross_section_ratio,LTx_purity,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTx_M_e,LTx_M_p,LTx_M_gamma,LTx_F3,LTy_cross_section_ratio,LTy_purity,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,LTy_M_e,LTy_M_p,LTy_M_gamma,LTy_F3,TxTx_cross_section_ratio,TxTx_purity,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTx_M_e,TxTx_M_p,TxTx_M_gamma,TxTx_F3,TxTy_cross_section_ratio,TxTy_purity,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest,TxTy_M_e,TxTy_M_p,TxTy_M_gamma,TxTy_F3
unpolarized_C_e_gamma,1,1.3078427230084344e-13,C_e_gamma,unpolarized,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,8.8357293382212898e-01,4.0251655874119221e+00,4.7123889803846897e+00,1.7413843138129932e+00,2.7294845640052684e-01,-2.2463038411498046e+00,9.5992073971267092e-02,7.9832472010122529e-02,5.5183613598483179e+00,3.0916368261243032e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.5245980152465353e-01,3.7856248025214256e-08,2.5245980152465353e-01,3.7856248025214256e-08,True,2.3968967079892140e+07,1.0000000000000000e+00,2.5759957703351183e-01,0.0000000000000000e+00,1.3078427230084344e-13,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7104525881261165e-26,-0.0000000000000000e+00,-1.7104525881261165e-26,0.0000000000000000e+00,9.9999999999997990e-01,5.1147883690982132e-01,0.0000000000000000e+00,4.3277761238470487e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.8729646178140586e-07,-0.0000000000000000e+00,-1.8729646178140586e-07,0.0000000000000000e+00,9.9999999999998990e-01,5.1519914780192200e-01,0.0000000000000000e+00,2.2240877659761376e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9465663907647264e-06,-0.0000000000000000e+00,-4.9465663907647264e-06,0.0000000000000000e+00,9.9999999999998923e-01,5.0222305161561553e-01,0.0000000000000000e+00,1.9045421762972604e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6272809012951046e-08,-0.0000000000000000e+00,-3.6272809012951046e-08,0.0000000000000000e+00,1.0000000000000062e+00,5.0149726554158536e-01,0.0000000000000000e+00,1.5630224109575627e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.4430390571555919e-08,-0.0000000000000000e+00,-2.4430390571555919e-08,0.0000000000000000e+00,1.0000000000001028e+00,5.0000000374368869e-01,0.0000000000000000e+00,9.8468212345088524e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.6959888424374441e-01,-0.0000000000000000e+00,-9.6959888424374441e-01,0.0000000000000000e+00,9.9999999999993783e-01,5.0000000252140886e-01,0.0000000000000000e+00,9.8468258865724889e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.6959980040474081e-01,-0.0000000000000000e+00,-9.6959980040474081e-01,0.0000000000000000e+00,1.1515178681095828e+00,9.9999999999999989e-01,1.5565186255137518e-12,2.3072723996244325e-03,6.5543157852279688e-08,2.3077735883261720e-03,4.8093794967484990e-05,2.3077735892883316e-03,2.3130089071686120e-09,2.3130088184689410e-09,2.3130090521560162e-09,1.2815278141917132e-07,1.0666790926643737e+00,1.0000000000000000e+00,9.8663708476278648e-11,2.2636067546669548e-03,1.4812696917000651e-07,2.2656825522020243e-03,9.6963439424377907e-05,2.2656825570531928e-03,9.4018875788055988e-09,9.4018866433962729e-09,9.4018876196318077e-09,2.5361619906691253e-07,9.4527770245299292e-01,1.0000000000000002e+00,8.9474247374219176e-11,2.1874899783396870e-03,1.6302819834176506e-07,2.1903775814313851e-03,1.1243473470830747e-04,2.1903775874123777e-03,1.2641543900631629e-08,1.2641542990726021e-08,1.2641543523710873e-08,2.8427964675462095e-07,9.9996690747952000e-01,1.0000000000000002e+00,6.4359064129644650e-07,9.8456748919726800e-01,1.4845178415125025e-07,9.9766079289151854e-01,1.6110219191609773e-01,9.9766079289132126e-01,2.5953916888306838e-02,2.5953916239734937e-02,2.5953916888305339e-02,1.8498372412859734e-01,1.0000271584339109e+00,1.0000000000000000e+00,6.6228987176514349e-07,9.8477620674745203e-01,1.5768896219348072e-07,9.9859223878210013e-01,1.6553634609250095e-01,9.9859223878189196e-01,2.7402281979507892e-02,2.7402281877192760e-02,2.7402281979505897e-02,1.9021904279301999e-01
unpolarized_C_e_gamma,2,7.5495165674510645e-14,C_e_gamma,unpolarized,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.7306412761378791e+00,5.8904862254808599e-01,4.7123889803846897e+00,1.1933789993087926e+01,7.2010431250984042e-01,-1.5394027792753974e+01,3.6516260770513378e-03,8.9410589161340644e-04,5.5183613598483179e+00,8.0307751321165854e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.7301189376892725e+00,3.7856248025214256e-08,1.7301189376892725e+00,3.7856248025214256e-08,True,4.0501620387681379e+02,1.0000000000000000e+00,4.6116593832322761e-01,0.0000000000000000e+00,7.5495165674510645e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.6995200402218103e-27,-0.0000000000000000e+00,-5.6995200402218103e-27,0.0000000000000000e+00,9.9999999999984890e-01,9.0125948138784129e-01,0.0000000000000000e+00,4.8936660918852100e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3947967818867063e-07,-0.0000000000000000e+00,-2.3947967818867063e-07,0.0000000000000000e+00,9.9999999999976374e-01,9.2233187027893038e-01,0.0000000000000000e+00,4.9787458291968478e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.4787910031745009e-07,-0.0000000000000000e+00,-2.4787910031745009e-07,0.0000000000000000e+00,9.9999999999997824e-01,5.0650415209700128e-01,0.0000000000000000e+00,6.2304153100583255e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.8818074935809183e-09,-0.0000000000000000e+00,-3.8818074935809183e-09,0.0000000000000000e+00,1.0000000000000302e+00,5.1456824316153515e-01,0.0000000000000000e+00,9.3244940138792476e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.6946188614869922e-09,-0.0000000000000000e+00,-8.6946188614869922e-09,0.0000000000000000e+00,9.9999999999967959e-01,5.0000000196541217e-01,0.0000000000000000e+00,3.9412719771981169e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5533624798247153e-01,-0.0000000000000000e+00,-1.5533624798247153e-01,0.0000000000000000e+00,9.9999999999978462e-01,5.0000000440216963e-01,0.0000000000000000e+00,3.9412719972503929e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5533624956310102e-01,-0.0000000000000000e+00,-1.5533624956310102e-01,0.0000000000000000e+00,1.8958342205315843e+00,9.9999999999999967e-01,1.1948547169001206e-12,5.2074236438161216e-04,4.0475245954378317e-09,5.2091208668927382e-04,1.3296328761373185e-05,5.2091208668927382e-04,1.7679199722178692e-10,1.7679234214806302e-10,1.7679198083933158e-10,7.9970566995067244e-09,1.1140539521361197e+00,9.9999999999999989e-01,7.8600107945873766e-12,5.0282909494541567e-04,1.9893368399268329e-08,5.1277688011576016e-04,1.0051383194499822e-04,5.1277688054878401e-04,1.0103030057626772e-08,1.0103030016521177e-08,1.0103030105969929e-08,5.9228082461481131e-08,8.2930587038868275e-01,1.0000000000000002e+00,1.2436069318430554e-11,4.8791363631219670e-04,2.8833291285701458e-08,5.0590330894380461e-04,1.3371029235695377e-04,5.0590331004107261e-04,1.7878441500899929e-08,1.7878441450823209e-08,1.7878441779764427e-08,7.7424078261062884e-08,9.9999221945066985e-01,1.0000000000000000e+00,1.0955220508385207e-07,3.9409565304060645e-01,1.8287377194556061e-08,9.9346855541416224e-01,9.1195854448061420e-01,9.9346855541415569e-01,8.3166838685118827e-01,8.3166838685118805e-01,8.3166838685118682e-01,9.2945991288489826e-01,1.0000116444351643e+00,1.0000000000000000e+00,1.1163239016509507e-07,3.9417441960301935e-01,1.9648600462257171e-08,9.8533331612573460e-01,9.0305496554524423e-01,9.8533331612572883e-01,8.1550827079794719e-01,8.1550827079590948e-01,8.1550827079794797e-01,9.1323502426223846e-01
unpolarized_C_e_gamma,3,7.5439654523279387e-14,C_e_gamma,unpolarized,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,5.6941366846315002e+00,2.5525440310417071e+00,4.7123889803846897e+00,1.1933789993087926e+01,7.2010431250984019e-01,-1.5394027792753974e+01,3.6516260770513378e-03,8.9410589161340644e-04,5.5183613598483188e+00,8.0307751321165877e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.7301189376892723e+00,3.7856248025214256e-08,1.7301189376892723e+00,3.7856248025214256e-08,True,4.0501620387681612e+02,1.0000000000000000e+00,4.6116593832322772e-01,0.0000000000000000e+00,7.5439654523279387e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.6911414745917481e-27,-0.0000000000000000e+00,-5.6911414745917481e-27,0.0000000000000000e+00,9.9999999999984890e-01,9.0125948138784140e-01,0.0000000000000000e+00,4.8936661945279047e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3947968823465227e-07,-0.0000000000000000e+00,-2.3947968823465227e-07,0.0000000000000000e+00,9.9999999999976374e-01,9.2233187027893015e-01,0.0000000000000000e+00,4.9787459070062495e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.4787910806531483e-07,-0.0000000000000000e+00,-2.4787910806531483e-07,0.0000000000000000e+00,1.0000000000000215e+00,5.0650415209705457e-01,0.0000000000000000e+00,6.2304155807654991e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.8818078309045492e-09,-0.0000000000000000e+00,-3.8818078309045492e-09,0.0000000000000000e+00,1.0000000000000304e+00,5.1456824316153504e-01,0.0000000000000000e+00,9.3244939689417672e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.6946187776831389e-09,-0.0000000000000000e+00,-8.6946187776831389e-09,0.0000000000000000e+00,1.0000000000003200e+00,5.0000000196541206e-01,0.0000000000000000e+00,3.9412719773494365e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5533624799439938e-01,-0.0000000000000000e+00,-1.5533624799439938e-01,0.0000000000000000e+00,9.9999999999978473e-01,5.0000000440216952e-01,0.0000000000000000e+00,3.9412719971980326e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5533624955897368e-01,-0.0000000000000000e+00,-1.5533624955897368e-01,0.0000000000000000e+00,1.8958342205315846e+00,9.9999999999999989e-01,5.2936926399871149e-13,5.2074237403906918e-04,4.0481512401466695e-09,5.2091209628015041e-04,1.3296312061669954e-05,5.2091209628015041e-04,1.7679193113484701e-10,1.7679189805378118e-10,1.7679191474731855e-10,7.9970468043950774e-09,8.8594604786340780e-01,9.9999999999999989e-01,9.8590229081787146e-12,4.9164442356091265e-04,2.6869043320962391e-08,5.0763132063755788e-04,1.2639350968167502e-04,5.0763132151238413e-04,1.5975318473688959e-08,1.5975318567706093e-08,1.5975318639921945e-08,7.3510727219324072e-08,8.2930587038868286e-01,9.9999999999999967e-01,9.1445965441433440e-12,4.8791364592849307e-04,2.8832406627958980e-08,5.0590331794140219e-04,1.3371029401759336e-04,5.0590331969703093e-04,1.7878441220884469e-08,1.7878441894963509e-08,1.7878442165933690e-08,7.7424080658306375e-08,9.9999221945135319e-01,9.9999999999999978e-01,1.1069480188038567e-07,3.9409565300287469e-01,1.9782341182711165e-08,9.9346855541386514e-01,9.1195854448063585e-01,9.9346855541385914e-01,8.3166838688033762e-01,8.3166838685122724e-01,8.3166838688033740e-01,9.2945991288456276e-01,9.9998835556489574e-01,9.9999999999999944e-01,1.1163625246446429e-07,3.9407998996598692e-01,2.0694094008629022e-08,9.8531482012145433e-01,9.0307599692209961e-01,9.8531482012144822e-01,8.1554625625936916e-01,8.1554625621683119e-01,8.1554625625936905e-01,9.1322893916225478e-01
unpolarized_C_e_gamma,4,6.6946448384896939e-14,C_e_gamma,unpolarized,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.0000000000000000e+00,1.5707949999999999e+00,3.7306412761378791e+00,5.8904862254808599e-01,4.7123889803846897e+00,8.4735521438986137e+00,4.7736743796311693e-01,-1.5394027681395196e+01,3.6516261317301041e-03,8.9410591006481731e-04,1.0156878657862487e+01,8.6017576208422819e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.4602378753785450e+00,1.0663025395984960e-07,3.4602378753785450e+00,1.0663025395984960e-07,True,2.8758053532588696e+02,1.0000000000000000e+00,4.6116593443549725e-01,0.0000000000000000e+00,6.6946448384896939e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4818269513516700e-27,-0.0000000000000000e+00,-4.4818269513516700e-27,0.0000000000000000e+00,1.0000000000000351e+00,9.0125947403829698e-01,0.0000000000000000e+00,2.4468332896558349e-04,2.9937909674567706e-11,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.9869931473679956e-08,-8.9627843568257459e-22,-5.9869931473680856e-08,0.0000000000000000e+00,1.0000000000000244e+00,9.2233186250342236e-01,0.0000000000000000e+00,2.2474001588938713e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.0508074741961979e-08,-0.0000000000000000e+00,-5.0508074741961979e-08,0.0000000000000000e+00,1.0000000000000044e+00,5.0650415196559440e-01,0.0000000000000000e+00,3.1152080839236458e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.7045214061432317e-10,-0.0000000000000000e+00,-9.7045214061432317e-10,0.0000000000000000e+00,9.9999999999999289e-01,5.1456824286709568e-01,0.0000000000000000e+00,4.6622474369095723e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.1736551162969877e-09,-0.0000000000000000e+00,-2.1736551162969877e-09,0.0000000000000000e+00,9.9999999999992928e-01,5.0000000196541283e-01,0.0000000000000000e+00,3.9412722072711037e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5533626611807638e-01,-0.0000000000000000e+00,-1.5533626611807638e-01,0.0000000000000000e+00,1.0000000000000022e+00,5.0000000440217152e-01,0.0000000000000000e+00,3.9412722679857221e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5533627090393318e-01,-0.0000000000000000e+00,-1.5533627090393318e-01,0.0000000000000000e+00,1.8958342123278003e+00,9.9999999999999967e-01,5.5824791353296802e-13,2.4760780362454056e-04,4.8527563537206956e-10,2.4796454756051281e-04,1.3296345461055441e-05,2.4796454890371657e-04,1.7679243112078014e-10,1.7679280238423686e-10,1.7679309701911569e-10,3.8057048567513933e-09,1.1140539509840008e+00,1.0000000000000000e+00,1.2593458857205672e-12,2.2969452866250224e-04,1.1248565649085458e-08,2.5072417249330769e-04,1.0051385072230408e-04,2.5072417160769460e-04,1.0103034174964845e-08,1.0103034060495398e-08,1.0103033604345393e-08,2.8509303218893455e-08,8.2930587211360551e-01,1.0000000000000000e+00,2.2411769304128189e-12,2.1477906565660644e-04,1.3259502274802217e-08,2.5299900494492203e-04,1.3371031394526669e-04,2.5299900362844684e-04,1.7878449458795823e-08,1.7878447879527374e-08,1.7878448616847595e-08,3.7673383135576625e-08,9.9999221944973526e-01,1.0000000000000004e+00,1.4940104035524741e-08,3.9411298080068485e-01,9.4118431828739912e-09,9.9347542153848478e-01,9.1195853609970801e-01,9.9347542153848467e-01,8.3166837156546880e-01,8.3166837156512208e-01,8.3166837156546869e-01,9.2946804473454225e-01,1.0000116444381126e+00,1.0000000000000002e+00,1.7413444741709583e-08,3.9414853508919834e-01,1.1009656975333564e-08,9.8532295393115599e-01,9.0305495725933405e-01,9.8532295393115588e-01,8.1550825583065767e-01,8.1550825583065722e-01,8.1550825583065767e-01,9.1322286128816677e-01
unpolarized_C_e_gamma,5,5.3235194030776256e-14,C_e_gamma,unpolarized,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.0000000000000000e+00,1.5707949999999999e+00,6.8722339297276713e-01,3.8288160465625602e+00,4.7123889803846897e+00,1.9915447204692902e+00,1.7673432059224867e-01,-3.6180686571599323e+00,4.9141874830957319e-02,3.1860638465911563e-02,1.0156878657862487e+01,5.4606413650513697e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.1326207497557512e-01,1.0663025395984960e-07,8.1326207497557512e-01,1.0663025395984960e-07,True,1.6058335436530467e+06,1.0000000000000000e+00,2.6692986805070062e-01,0.0000000000000000e+00,5.3235194030776256e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8339858834943959e-27,-0.0000000000000000e+00,-2.8339858834943959e-27,0.0000000000000000e+00,9.9999999999998812e-01,5.2628875891088689e-01,0.0000000000000000e+00,2.4773702129824967e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.1373631721729407e-08,-0.0000000000000000e+00,-6.1373631721729407e-08,0.0000000000000000e+00,9.9999999999996902e-01,5.3385972811350135e-01,0.0000000000000000e+00,6.1144291459407280e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7386243780729459e-07,-0.0000000000000000e+00,-3.7386243780729459e-07,0.0000000000000000e+00,9.9999999999999512e-01,5.0304696832079143e-01,0.0000000000000000e+00,8.4341215355832055e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.1134406076988408e-09,-0.0000000000000000e+00,-7.1134406076988408e-09,0.0000000000000000e+00,1.0000000000000047e+00,5.0452400886971716e-01,0.0000000000000000e+00,1.0277029328741040e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.0561733182380350e-08,-0.0000000000000000e+00,-1.0561733182380350e-08,0.0000000000000000e+00,1.0000000000000366e+00,5.0000000321477689e-01,0.0000000000000000e+00,9.6554668910139241e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.3228040883466090e-01,-0.0000000000000000e+00,-9.3228040883466090e-01,0.0000000000000000e+00,9.9999999999996925e-01,5.0000000477312156e-01,0.0000000000000000e+00,9.6554665927983241e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.3228035124644482e-01,-0.0000000000000000e+00,-9.3228035124644482e-01,0.0000000000000000e+00,1.2292978530604470e+00,9.9999999999999989e-01,1.2486155847050897e-11,6.9891926021024148e-04,2.2794580125400950e-08,7.0060828139801418e-04,4.8619267057798100e-05,7.0060828250727324e-04,2.3638316706477092e-09,2.3638326096444525e-09,2.3638327053670606e-09,3.9308950787990822e-08,1.0780636612256462e+00,1.0000000000000002e+00,3.9545108236182375e-11,6.4540170961740920e-04,6.2071060042846586e-08,6.5502085183751055e-04,1.1184343166494579e-04,6.5502085488840798e-04,1.2508949564861811e-08,1.2508949353773341e-08,1.2508949708849741e-08,8.4284256305415058e-08,9.0487894236867050e-01,1.0000000000000000e+00,3.3351664508453238e-11,5.6214438673107565e-04,6.6972282563205246e-08,5.7698398633248031e-04,1.3001620935364452e-04,5.7698398979601044e-04,1.6904208950861575e-08,1.6904210209402980e-08,1.6904208462378892e-08,8.6070922907062674e-08,9.9997594626303643e-01,1.0000000000000000e+00,1.3334780389617773e-07,9.6551641017833079e-01,6.0337571190188489e-08,9.9692047465626032e-01,2.4825087001905891e-01,9.9692047465625344e-01,6.1628494465194916e-02,6.1628494465198254e-02,6.1628494465195270e-02,2.8354890951150280e-01,1.0000293096332142e+00,1.0000000000000000e+00,1.2556895714620366e-07,9.6558358847436376e-01,6.3259787241864984e-08,9.9549971177591456e-01,2.4221480088507269e-01,9.9549971177590790e-01,5.8668009814883737e-02,5.8668009767775642e-02,5.8668009814882176e-02,2.7635886861754672e-01
