kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_cross_section_ratio,unpolarized_purity,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,unpolarized_M_e,unpolarized_M_p,unpolarized_M_gamma,unpolarized_F3,L_proton_cross_section_ratio,L_proton_purity,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_proton_M_e,L_proton_M_p,L_proton_M_gamma,L_proton_F3,L_electron_cross_section_ratio,L_electron_purity,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,L_electron_M_e,L_electron_M_p,L_electron_M_gamma,L_electron_F3,Tx_proton_cross_section_ratio,Tx_proton_purity,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Tx_proton_M_e,Tx_proton_M_p,Tx_proton_M_gamma,Tx_proton_F3,Ty_proton_cross_section_ratio,Ty_proton_purity,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Ty_proton_M_e,Ty_proton_M_p,Ty_proton_M_gamma,Ty_proton_F3,Tx_electron_cross_section_ratio,Tx_electron_purity,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Tx_electron_M_e,Tx_electron_M_p,Tx_electron_M_gamma,Tx_electron_F3,Ty_electron_cross_section_ratio,Ty_electron_purity,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,Ty_electron_M_e,Ty_electron_M_p,Ty_electron_M_gamma,Ty_electron_F3,LL_cross_section_ratio,LL_purity,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LL_M_e,LL_M_p,LL_M_gamma,LL_F3,LTx_cross_section_ratio,LTx_purity,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTx_M_e,LTx_M_p,LTx_M_gamma,LTx_F3,LTy_cross_section_ratio,LTy_purity,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,LTy_M_e,LTy_M_p,LTy_M_gamma,LTy_F3,TxTx_cross_section_ratio,TxTx_purity,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTx_M_e,TxTx_M_p,TxTx_M_gamma,TxTx_F3,TxTy_cross_section_ratio,TxTy_purity,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest,TxTy_M_e,TxTy_M_p,TxTy_M_gamma,TxTy_F3
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.6142142099600090e+00,7.4602399009338294e+00,6.1731655807300212e-01,-9.8888815470349520e+00,8.8094062670431936e-03,3.0084739577272415e-03,5.5045543622204640e+00,5.8562465671993413e-01,1.2657444085644604e-01,7.2521812553026113e+00,1.2212243597206396e+00,6.9035366700783132e-03,1.2212243597206396e+00,6.9035366700783132e-03,True,1.1090052900849257e+00,1.0000000000000000e+00,3.5246182003858817e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,6.8032387915124815e-01,0.0000000000000000e+00,2.8439512991638088e-04,4.2446017295123010e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.0880589920155157e-08,-1.8016643842178815e-05,-1.8097524432098970e-05,0.0000000000000000e+00,1.0000000000000000e+00,7.0492363931646607e-01,0.0000000000000000e+00,4.9968386557654751e-04,8.2753796260992091e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.4968396551752118e-07,-6.8481907956057882e-09,-2.5653215631312698e-07,0.0000000000000000e+00,9.9999999999999978e-01,5.0000000000084754e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2334875967151621e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-1.5214916512501465e-04,-1.5214916512501465e-04,0.0000000000000000e+00,9.9999999999999978e-01,5.2459976092508054e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1581607661698908e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-1.3413363602952284e-04,-1.3413363602952284e-04,0.0000000000000000e+00,9.9999999999999978e-01,5.0000000000084754e-01,0.0000000000000000e+00,1.8032464687984853e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.2516978272342068e-02,-0.0000000000000000e+00,-3.2516978272342068e-02,0.0000000000000000e+00,9.9999999999999978e-01,5.0000000075986284e-01,0.0000000000000000e+00,1.8032425630034882e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.2516837410273891e-02,-0.0000000000000000e+00,-3.2516837410273891e-02,0.0000000000000000e+00,1.6005395548616481e+00,1.0000000000000004e+00,7.3589037150075852e-06,5.0494323772223187e-04,2.5985007995803461e-03,5.0501193245471650e-04,2.5985150123838184e-03,2.6471104607535111e-03,1.5225136350082525e-11,1.9710700490877041e-11,1.9712689558018287e-11,1.5152916770437316e-06,9.9999999991731536e-01,1.0000000000000002e+00,3.9027697825207277e-05,4.9968393498603131e-04,1.2335065705618905e-02,5.0157462592336139e-04,1.2335156351140786e-02,1.2345211342974227e-02,3.6990928949985719e-10,7.1308395573435081e-10,7.1310588079594346e-10,7.1441336128324177e-06,7.7819034809209620e-01,9.9999999999999967e-01,4.5579661046573307e-05,4.9562409615727231e-04,1.4772867478555142e-02,4.9823916487007065e-04,1.4772957877710394e-02,1.4781199214398090e-02,5.2151521759180290e-10,5.9341215228876469e-10,5.9343207884049280e-10,8.4991338499790769e-06,1.0000013019644307e+00,9.9999999999999956e-01,6.1845657843256907e-01,1.8032458165631710e-01,1.2335077190210403e-02,6.6510433370429034e-01,6.4031162016508547e-01,2.4500485293206886e-01,2.7358280556181773e-02,2.7358277382627784e-02,2.7358269081450476e-02,1.8044337500819718e-01,1.0000000000011369e+00,9.9999999999999967e-01,5.8015264855090098e-01,1.8032467767384619e-01,1.1581746360373320e-02,6.2702851468048726e-01,6.0065123245486829e-01,2.3816338837357262e-01,2.4070673223616300e-02,2.4070670580170980e-02,2.4070673334648646e-02,1.6458474103728754e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.7123889803846897e+00,7.6716497585463035e+00,6.2319623159971915e-01,-9.8960673494481988e+00,8.7972178534314761e-03,3.0027391098516195e-03,5.5183613598483179e+00,5.9653844127557176e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1122088333071964e+00,3.7856248025214256e-08,1.1122088333071964e+00,3.7856248025214256e-08,True,6.9590480543938065e+03,1.0000000000000000e+00,3.5468885325321942e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,9.9999999999993283e-01,6.8422205426937222e-01,0.0000000000000000e+00,6.2034825661189640e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.8483195948141927e-07,-0.0000000000000000e+00,-3.8483195948141927e-07,0.0000000000000000e+00,9.9999999999961064e-01,7.0937769545719587e-01,0.0000000000000000e+00,8.4685842884764698e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.1716919851030512e-07,-0.0000000000000000e+00,-7.1716919851030512e-07,0.0000000000000000e+00,1.0000000000000002e+00,4.9999999999999989e-01,0.0000000000000000e+00,9.4368957093138306e-13,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.9055000628465786e-25,-0.0000000000000000e+00,-8.9055000628465786e-25,0.0000000000000000e+00,1.0000000000000240e+00,5.2515565223694116e-01,0.0000000000000000e+00,2.2923585716507787e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.2549078210207983e-08,-0.0000000000000000e+00,-5.2549078210207983e-08,0.0000000000000000e+00,9.9999999999989231e-01,5.0000000000000000e-01,0.0000000000000000e+00,7.6239397329263159e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.8124457051292588e-01,-0.0000000000000000e+00,-5.8124457051292588e-01,0.0000000000000000e+00,1.0000000000001974e+00,5.0000001104936020e-01,0.0000000000000000e+00,7.6239379425741127e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.8124429752221196e-01,-0.0000000000000000e+00,-5.8124429752221196e-01,0.0000000000000000e+00,1.6069959547599479e+00,1.0000000000000002e+00,2.5849752046065699e-12,9.1301206584509917e-04,1.7536870148231333e-08,9.1357492863814588e-04,3.2064279738538299e-05,9.1357492851662069e-04,1.0281178574577013e-09,1.0281177276094166e-09,1.0281173278711759e-09,3.3819575082147123e-08,9.9999999999961076e-01,9.9999999999999989e-01,3.5312512771954715e-11,8.4685842885076233e-04,8.4848088305624901e-08,8.5980690725935831e-04,1.4865640757994434e-04,8.5980691152047310e-04,2.2098719255319849e-08,2.2098720315375197e-08,2.2098719383594886e-08,1.4703646675392745e-07,7.7569819033537291e-01,1.0000000000000000e+00,4.4729747005431616e-11,7.9621504601210078e-04,1.0157948838898732e-07,8.1625519962128651e-04,1.7976139992405995e-04,8.1625520574192577e-04,3.2314151412732552e-08,3.2314150584263358e-08,3.2314151086349324e-08,1.6840026653906748e-07,1.0000000000008469e+00,9.9999999999999989e-01,3.0396102259980725e-07,7.6239397511716323e-01,7.9611571534799971e-08,9.9999999999997313e-01,6.4711313772205636e-01,9.9999999999992983e-01,4.1875542670490418e-01,4.1875541301238639e-01,4.1875542670490362e-01,7.0702794761417087e-01,9.9999999999987377e-01,9.9999999999999978e-01,2.8153799005203401e-07,7.6239401214980640e-01,7.7714649448397936e-08,9.7451975253235723e-01,6.0699597077669243e-01,9.7451975253231782e-01,3.6844411831376833e-01,3.6844410853905391e-01,3.6844411831376472e-01,6.4907057540773649e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.8105637508093704e+00,7.8963020065876028e+00,6.3064405449024319e-01,-9.8888815470349520e+00,8.8094062670431936e-03,3.0084739577272415e-03,5.5045543622204640e+00,6.0675579217116182e-01,1.2657444085644604e-01,7.2521812553026113e+00,1.0031933068937533e+00,6.9035366700782950e-03,1.0031933068937533e+00,6.9035366700782950e-03,True,1.3408859211863970e+00,1.0000000000000000e+00,3.5694650364853353e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,9.9999999999999989e-01,6.8820638897220610e-01,0.0000000000000000e+00,2.9024048619791877e-04,3.8152988758806557e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.4239539828404271e-08,-1.4556505512296195e-05,-1.4640745052124598e-05,0.0000000000000000e+00,9.9999999999999989e-01,7.1389300637757869e-01,0.0000000000000000e+00,5.1181348239717111e-04,7.6898832607794729e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.6195304076351937e-07,-5.9134304564416339e-09,-2.6786647121996100e-07,0.0000000000000000e+00,9.9999999999999967e-01,5.0000000000096245e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1090731778618969e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-1.2300433138526869e-04,-1.2300433138526869e-04,0.0000000000000000e+00,9.9999999999999967e-01,5.2568661832389885e-01,0.0000000000000000e+00,4.0775632608351244e-06,1.0413865772114533e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.6626522146112373e-11,-1.0844860031961863e-04,-1.0844861694614077e-04,0.0000000000000000e+00,9.9999999999999967e-01,5.0000000000096245e-01,0.0000000000000000e+00,1.9854355108140559e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.9419541676014712e-02,-0.0000000000000000e+00,-3.9419541676014712e-02,0.0000000000000000e+00,9.9999999999999967e-01,5.0000000091852626e-01,0.0000000000000000e+00,1.9854317468311825e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.9419392213251206e-02,-0.0000000000000000e+00,-3.9419392213251206e-02,0.0000000000000000e+00,1.6135248783169085e+00,1.0000000000000004e+00,8.0581948964465425e-06,5.0825674725822189e-04,2.3147607899587268e-03,5.0833795940163104e-04,2.3147919443997711e-03,2.3699201968102176e-03,1.7625330117151678e-11,7.9296622734042197e-11,7.9303385123220555e-11,1.3587322103978787e-06,1.0000000000881228e+00,9.9999999999999989e-01,4.2920131093999970e-05,5.1181357585738387e-04,1.1090925808275746e-02,5.1403289758720474e-04,1.1091036263559078e-02,1.1102756252645101e-02,4.3454571684957580e-10,6.0797725233712081e-10,6.0798454096754051e-10,6.5831292141464113e-06,7.7334335120853070e-01,1.0000000000000000e+00,5.0495109598813339e-05,5.1484905331435039e-04,1.3362241290426501e-02,5.1791930913254794e-04,1.3362373252357663e-02,1.3372192741909766e-02,6.2110698025672784e-10,9.7687565119865781e-10,9.7687550664740316e-10,7.9912558013936578e-06,1.0000013874690246e+00,1.0000000000000002e+00,6.3490288215015933e-01,1.9854347261920552e-01,1.1090814824617892e-02,6.8352397038777579e-01,6.5414716424269281e-01,2.5342916342685567e-01,2.4683837812396706e-02,2.4683836550703473e-02,2.4683824182068746e-02,1.9088434129868839e-01,9.9999999999884270e-01,1.0000000000000000e+00,5.9555892692463008e-01,1.9854358830349347e-01,1.0414008828810120e-02,6.4485063498300588e-01,6.1361326310550746e-01,2.4748807611557455e-01,2.1722349541941882e-02,2.1722349639485331e-02,2.1722339783074775e-02,1.7489701392706483e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.6142142099600090e+00,8.2135884579963268e+00,6.3977233845516845e-01,-1.0858161398697717e+01,7.3583793900488248e-03,2.3480118153633950e-03,5.5045543622204640e+00,6.2213117768306070e-01,1.2657444085644604e-01,7.2521812553026113e+00,1.3291900070207732e+00,6.9035366700783132e-03,1.3291900070207732e+00,6.9035366700783132e-03,True,6.1984308089080775e-01,1.0000000000000000e+00,3.7139763244325585e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000002e+00,7.1693519716593579e-01,0.0000000000000000e+00,3.1311123717861641e-04,4.0645140264034966e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.8038646847523771e-08,-1.6520274270830762e-05,-1.6618312917678286e-05,0.0000000000000000e+00,1.0000000000000004e+00,7.4279526389497663e-01,0.0000000000000000e+00,4.9774380419275040e-04,3.4529452935795689e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.4774889461227103e-07,-1.1922831200453295e-09,-2.4894117773231635e-07,0.0000000000000000e+00,1.0000000000000000e+00,5.0024844631508258e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2491254912852077e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-1.5603144929785115e-04,-1.5603144929785115e-04,0.0000000000000000e+00,9.9999999999999978e-01,5.2561162140549311e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.1824925469732229e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-1.3982886236472197e-04,-1.3982886236472197e-04,0.0000000000000000e+00,9.9999999999999967e-01,5.0000000000968270e-01,0.0000000000000000e+00,1.6733213339079414e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8000042865114524e-02,-0.0000000000000000e+00,-2.8000042865114524e-02,0.0000000000000000e+00,9.9999999999999978e-01,5.0000000098185216e-01,0.0000000000000000e+00,1.6733178473952218e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7999926184113788e-02,-0.0000000000000000e+00,-2.7999926184113788e-02,0.0000000000000000e+00,1.6586883880516219e+00,9.9999999999999978e-01,8.2974370011957402e-06,5.0310781410038067e-04,2.4281792318461993e-03,5.0319115950445679e-04,2.4282029568079414e-03,2.4797617272979684e-03,1.5022933787667303e-11,4.6370020842375302e-11,4.6369593742105275e-11,1.4108711518426165e-06,1.0222910885306280e+00,1.0000000000000000e+00,4.3624276529604798e-05,4.9804087880908230e-04,1.2222412314170761e-02,5.0033899097457130e-04,1.2222507408207276e-02,1.2232572459829252e-02,3.9131142179769475e-10,4.2148858594949143e-10,4.2149041510697663e-10,7.0614518199441841e-06,7.7367447645475362e-01,1.0000000000000000e+00,5.3849405684131144e-05,4.9379764455423142e-04,1.5236793627252554e-02,4.9733302852039544e-04,1.5236911202873550e-02,1.5244815491474887e-02,6.0426899742726286e-10,6.8320627692568248e-10,6.8321586135420241e-10,8.7501111217447599e-06,1.0000006972484174e+00,9.9999999999999956e-01,6.7309965212253497e-01,1.6733320210213759e-01,1.2491435818010235e-02,7.1630557389013394e-01,6.9659838240584937e-01,2.4532949133784115e-01,3.2030132972841782e-02,3.2030128714172899e-02,3.2030122825533587e-02,1.9644840490143223e-01,9.9999865875777183e-01,9.9999999999999967e-01,6.3693752172357776e-01,1.6732107964742557e-01,1.1825103160758882e-02,6.7997419169433804e-01,6.5917250453940412e-01,2.3835966071413023e-01,2.8679151096615188e-02,2.8679151096615091e-02,2.8679151096612558e-02,1.8065467390292148e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.7123889803846897e+00,8.4236029278202125e+00,6.4488786983324808e-01,-1.0866051571548994e+01,7.3480123969019151e-03,2.3434512042795875e-03,5.5183613598483179e+00,6.3297734313585630e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2212243597206400e+00,3.7856248025214256e-08,1.2212243597206400e+00,3.7856248025214256e-08,True,3.8563204831970152e+03,1.0000000000000000e+00,3.7370354880840972e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000304e+00,7.2103711624587019e-01,0.0000000000000000e+00,6.1587416698212006e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7930098955592033e-07,-0.0000000000000000e+00,-3.7930098955592033e-07,0.0000000000000000e+00,1.0000000000000782e+00,7.4740708689153634e-01,0.0000000000000000e+00,7.7829752686704528e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.0574704032735911e-07,-0.0000000000000000e+00,-6.0574704032735911e-07,0.0000000000000000e+00,1.0000000000000011e+00,5.0025334522663389e-01,0.0000000000000000e+00,2.0850461185042316e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.3474173162895623e-10,-0.0000000000000000e+00,-4.3474173162895623e-10,0.0000000000000000e+00,9.9999999999998945e-01,5.2611663614433812e-01,0.0000000000000000e+00,2.1169860961256504e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4816301311893210e-08,-0.0000000000000000e+00,-4.4816301311893210e-08,0.0000000000000000e+00,1.0000000000000004e+00,5.0000000010304169e-01,0.0000000000000000e+00,7.1076423229558505e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.0518579391073237e-01,-0.0000000000000000e+00,-5.0518579391073237e-01,0.0000000000000000e+00,9.9999999999999645e-01,5.0000001062222532e-01,0.0000000000000000e+00,7.1076411368800707e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.0518562530669819e-01,-0.0000000000000000e+00,-5.0518562530669819e-01,0.0000000000000000e+00,1.6648866168961345e+00,1.0000000000000002e+00,5.7991925068907896e-12,8.3739738634553112e-04,1.4442810524520379e-08,8.3788973995246386e-04,2.8719911433751104e-05,8.3788973955495707e-04,8.2483365928082736e-10,8.2483310416769791e-10,8.2483278455234260e-10,2.7782770233306402e-08,1.0225097852344802e+00,1.0000000000000000e+00,3.2660510241948847e-11,7.8155535399728870e-04,7.3498931517210179e-08,7.9455915910420357e-04,1.4316246394244952e-04,7.9455916287686436e-04,2.0495485954550742e-08,2.0495485679979159e-08,2.0495486547663200e-08,1.3081429309514957e-07,7.7145400895152039e-01,9.9999999999999989e-01,3.1919712275802870e-11,7.3445586622000779e-04,9.1744480560529027e-08,7.5608429124139425e-04,1.7954955803355495e-04,7.5608429667441970e-04,3.2238036037018409e-08,3.2238035372994189e-08,3.2238035835620140e-08,1.5564698851751431e-07,9.9999954062047558e-01,9.9999999999999978e-01,2.6499694607158650e-07,7.1076251811241298e-01,7.3703096565275417e-08,9.9974562821826041e-01,7.0307037963812802e-01,9.9974562821822643e-01,4.9430796398795573e-01,4.9430795872442579e-01,4.9430796398795263e-01,7.5979946933534914e-01,1.0000046641682543e+00,1.0000000000000000e+00,2.5356257178278932e-07,7.1078169770283595e-01,6.9359254895164020e-08,9.7354374641495289e-01,6.6526445436816317e-01,9.7354374641492170e-01,4.4257680439427216e-01,4.4257679424570073e-01,4.4257680439427088e-01,7.0285149309137862e-01
