rank_group,rank,rank_value,rank_observable,rank_spin_case,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_M_e,unpolarized_M_p,unpolarized_M_gamma,unpolarized_F3,longitudinal_polarized_C_e_p,longitudinal_polarized_C_e_gamma,longitudinal_polarized_C_p_gamma,longitudinal_polarized_M_e,longitudinal_polarized_M_p,longitudinal_polarized_M_gamma,longitudinal_polarized_F3,Tx_C_e_p,Tx_C_e_gamma,Tx_C_p_gamma,Tx_M_e,Tx_M_p,Tx_M_gamma,Tx_F3,Ty_C_e_p,Ty_C_e_gamma,Ty_C_p_gamma,Ty_M_e,Ty_M_p,Ty_M_gamma,Ty_F3,double_transverse_C_e_p,double_transverse_C_e_gamma,double_transverse_C_p_gamma,double_transverse_M_e,double_transverse_M_p,double_transverse_M_gamma,double_transverse_F3
unpolarized_C_e_p,1,8.5467808337783469e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.5554431518404002e+00,1.7500000000000000e+00,1.5707949999999999e+00,6.5449846949787327e-01,3.7960911230876664e+00,3.7960911230876664e+00,1.1067988456394451e+01,5.3366817783961829e-01,-3.1039385831703719e+00,6.1606908843856299e-02,4.3432904370872577e-02,1.0551312974250177e+01,8.4620273109245780e-01,2.1477386151907645e+00,1.2305635814770280e+02,3.7458924850852782e-12,3.9820249366162859e+00,3.7458924850852782e-12,3.9820249366162859e+00,False,4.2583170845312842e+11,8.5467808337783469e-12,5.6941461048648044e-12,3.4287990668566501e-07,-1.0547076248418792e-22,-1.1579027364241755e-13,-1.1579027360179338e-13,0.0000000000000000e+00,-2.7162516879237487e-12,-9.4278592036716581e-11,-3.6465315775448008e-07,1.0015933510625931e-20,1.1103176588793720e-13,1.1191995421595403e-13,0.0000000000000000e+00,1.1799967769891373e-01,6.0150277039838196e-01,1.2314412203839886e-07,3.7571953361127342e-02,3.7571953361122817e-02,3.7571953361127668e-02,1.6416814014014003e-01,1.1799967359334852e-01,6.0150276361180743e-01,1.1806233562215559e-07,3.7571962506961654e-02,3.7571954331157210e-02,3.7571961538295943e-02,1.6416814014454986e-01,3.6214116301359084e-01,6.0150276656223522e-01,4.3535915092729460e-07,3.5388155295513968e-01,3.5388154834617447e-01,3.5388154777929370e-01,6.4891714343704310e-01
unpolarized_C_e_p,2,6.7380078035655324e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,2.0562807957603635e+00,1.7500000000000000e+00,1.5707949999999999e+00,2.0943951023931948e+00,5.2359877559829879e+00,5.2359877559829879e+00,4.8534505508597912e+00,2.5549002106834923e-01,-1.3611156612355213e+00,1.7384348243346648e-01,1.8054590872094609e-01,1.5023027957857034e+01,7.7509279384951391e-01,1.5408566360318117e+00,8.8284582079348425e+01,3.7461145296902032e-12,1.7461674448156308e+00,3.7461145296902032e-12,1.7461674448156308e+00,False,2.0797988181353129e+13,6.7380078035655324e-12,2.2904842233161803e-11,3.5306340822286447e-07,2.2204403489248441e-16,-1.1799243212359484e-13,-1.1754834339297583e-13,1.3984697568629880e-15,5.9156804789841663e-12,-2.2215994777091126e-11,-8.5329355083979214e-08,2.2204607145863916e-16,3.1415092208816083e-15,4.0296891965644054e-15,1.3984697568629880e-15,7.6159830882542315e-02,7.9529204395407382e-01,1.3364108821190514e-07,1.5651440232557934e-02,1.5651436815249643e-02,1.5651438888538607e-02,1.3585540573584637e-01,7.6159834417014863e-02,7.9529203604156617e-01,1.3847130394062840e-07,1.5651452300146973e-02,1.5651436276402145e-02,1.5651451495211108e-02,1.3585540573654975e-01,1.7788299204096555e-01,7.9529204371285556e-01,3.4908966555526764e-07,8.5382920260484774e-02,8.5382916438835318e-02,8.5382918309924546e-02,3.3103202106527180e-01
unpolarized_C_e_p,3,6.4253850541495086e-12,C_e_p,unpolarized,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.6225172467509510e+00,1.2500000000000000e+00,1.5707949999999999e+00,1.3089969389957457e-01,3.2724923474893677e+00,3.2724923474893677e+00,1.4362710041293932e+01,7.3363290330886077e-01,-6.9807170122081867e+00,1.6715675092109864e-02,7.2611300822536633e-03,6.0946501476810422e+00,7.9879368698617415e-01,2.1439332323249047e+00,1.2283832577005764e+02,2.6751934001367772e-12,3.6909965145459536e+00,2.6751934001367772e-12,3.6909965145459536e+00,False,2.0780760148901123e+10,6.4253850541495086e-12,5.8016341196324421e-12,2.5625440814038071e-07,-7.4944531552171194e-23,-6.3001786473562015e-14,-6.3889964885635521e-14,0.0000000000000000e+00,-2.5083081770279427e-11,-2.4271874891388798e-11,-5.0883717570016714e-07,1.8222548943099432e-21,2.9676602757902776e-13,2.9587784907858675e-13,0.0000000000000000e+00,1.8832419137934883e-01,3.6482466235307759e-01,9.4051654445632057e-08,2.1895508094001120e-02,2.1895506730363688e-02,2.1895506513160391e-02,1.0814035662617452e-01,1.8832419557370852e-01,3.6482465728692504e-01,9.5200573771436758e-08,2.1895510205744623e-02,2.1895505149297230e-02,2.1895510205744553e-02,1.0814035662358881e-01,6.3411076750517503e-01,3.6482465785656859e-01,3.4316984059978850e-07,2.4824070138547877e-01,2.4824069674774327e-01,2.4824070138547824e-01,5.5688686802178711e-01
unpolarized_C_e_p,4,6.1930502946948795e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.0164511297057333e+00,1.7500000000000000e+00,1.5707949999999999e+00,1.3089969389957457e-01,3.2724923474893677e+00,3.2724923474893677e+00,1.7135883190160818e+01,7.6359184483619091e-01,-4.8056364713539637e+00,3.1507633112524712e-02,1.7328123365798101e-02,6.1851161286690761e+00,9.1563470178369322e-01,2.5843611961080470e+00,1.4807298927437236e+02,3.7463365742951282e-12,6.1651233594075530e+00,3.7463365742951282e-12,6.1651233594075530e+00,False,4.1064502728704720e+10,6.1930502946948795e-12,4.7984733069990754e-11,1.3483308985244020e-07,-2.3408884797508846e-21,-1.7735872947660020e-14,-1.8179964421690817e-14,0.0000000000000000e+00,-1.1567891785638081e-10,1.4330566935702587e-11,-1.1007711710288345e-06,1.3644491039460190e-20,1.5273358453098680e-13,1.5184539012693213e-13,0.0000000000000000e+00,1.0045178004838833e-01,2.8794655095223859e-01,3.8721839087118072e-08,2.7228107094217024e-02,2.7228106155762436e-02,2.7228106606928495e-02,7.2341641618679980e-02,1.0045178047155494e-01,2.8794655258059998e-01,3.9963818022270787e-08,2.7228106070580585e-02,2.7228106070580800e-02,2.7228105669064126e-02,7.2341641618402369e-02,4.8937724114027936e-01,2.8794655000110797e-01,3.6835964184668192e-07,6.4623379693081995e-01,6.4623379543692749e-01,6.4623379693082095e-01,8.4964179996438816e-01
unpolarized_C_e_p,5,5.5163166754125666e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,6.9946695464456277e-01,1.7500000000000000e+00,1.5707949999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,2.7488935718910690e+00,2.0119435647963318e+01,8.6431595607299372e-01,-5.6423525218906567e+00,2.4154551227003350e-02,1.2036318273082785e-02,4.0382797214091326e+00,9.4977404267463761e-01,2.8316346409621302e+00,1.6224071405017224e+02,3.7472247527148284e-12,7.2385415630389067e+00,3.7472247527148284e-12,7.2385415630389067e+00,False,1.6986778241877129e+10,5.5163166754125666e-12,2.9980464885505795e-11,2.1058658427773586e-07,-9.2925802441448062e-22,-4.3458531088493569e-14,-4.3458531956892094e-14,0.0000000000000000e+00,-3.0240752857095192e-10,1.9504917280931890e-11,-2.1378986450120338e-06,9.3997573544508253e-20,-3.2561320170701975e-14,-3.2783460351384757e-14,0.0000000000000000e+00,6.2076726676131351e-02,1.0278902311650194e-01,1.1337868587152565e-08,1.0398238016507688e-02,1.0398237904452996e-02,1.0398238016507817e-02,1.9034721529732485e-02,6.2076725738533865e-02,1.0278902369080162e-01,1.2692644692566951e-08,1.0398238019213649e-02,1.0398238019213798e-02,1.0398237903248316e-02,1.9034721531141809e-02,5.1566387066660091e-01,1.0278901549848136e-01,2.3285460461583318e-07,7.1752253643186359e-01,7.1752253474853545e-01,7.1752253643186437e-01,8.8492209384678855e-01
unpolarized_C_e_p,6,4.8267237471546029e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.7211075708979078e+00,1.7500000000000000e+00,1.5707949999999999e+00,7.8539816339744783e-01,3.9269908169872410e+00,3.9269908169872410e+00,9.0549982567225147e+00,4.4882430122047906e-01,-2.5394098096792810e+00,8.1574798421302303e-02,6.3840774696117028e-02,1.1999774400436724e+01,8.2316906246823673e-01,1.9835878735020205e+00,1.1365121344499559e+02,3.7467806635049783e-12,3.2577942235250639e+00,3.7467806635049783e-12,3.2577942235250639e+00,False,1.1770052793576326e+12,4.8267237471546029e-12,5.6657298184591240e-11,3.7692047760676591e-07,-3.2333466997090317e-21,-1.3896042199365936e-13,-1.3851633597056146e-13,0.0000000000000000e+00,-4.1357696375136534e-12,-2.7597244033110928e-11,-3.5474840247751281e-07,3.9458074722757484e-21,2.1696688739102431e-13,2.1741098043262380e-13,0.0000000000000000e+00,1.1058859509197909e-01,6.7905855233684109e-01,1.3493729806255172e-07,3.3000687576593912e-02,3.3000681370367088e-02,3.3000685678769182e-02,1.7156960541350860e-01,1.1058859391132066e-01,6.7905855035013241e-01,1.2954164604211778e-07,3.3000690497394625e-02,3.3000681632110077e-02,3.3000688338287218e-02,1.7156960540784869e-01,3.0559106840534561e-01,6.7905855031351992e-01,4.1852656193765610e-07,2.5199009126467597e-01,2.5199008234426296e-01,2.5199008673784101e-01,5.5427613510176754e-01
unpolarized_C_e_p,7,4.7343938418974309e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,2.2057347773265255e+00,1.7500000000000000e+00,1.5707949999999999e+00,1.9634954084936203e+00,5.1050880620834134e+00,5.1050880620834134e+00,2.9378723769783006e+00,1.5915297996648431e-01,-8.2390539702242860e-01,2.8159947249274514e-01,3.4786048633484495e-01,1.6401395867525203e+01,7.5317376369800626e-01,1.2421662316825763e+00,7.1170882529081226e+01,3.7467806635049783e-12,1.0569834899815407e+00,3.7467806635049783e-12,1.0569834899815407e+00,False,1.5235403302522966e+14,4.7343938418974309e-12,1.6655831085927103e-11,3.2239339963717880e-07,2.2204430509383709e-16,-9.6832076794431154e-14,-9.7276166259283445e-14,1.3984697568629880e-15,1.3030636641643201e-12,9.5630462646697666e-12,-1.5719091546980611e-07,2.2204436717546041e-16,9.5421455676723364e-14,9.4977366250404643e-14,1.3984697568629880e-15,5.0753038931029455e-02,8.2882369421400603e-01,1.2636441941438203e-07,6.9506658469710159e-03,6.9506658469421050e-03,6.9506650917187298e-03,9.3796802073161670e-02,5.0753040082568000e-02,8.2882368526901185e-01,1.2595070327596420e-07,6.9506805489151224e-03,6.9506657297089902e-03,6.9506799109009384e-03,9.3796802070886698e-02,1.1666915777101540e-01,8.2882369258702726e-01,2.9581232880150400e-07,3.6729438741825882e-02,3.6729436056601887e-02,3.6729437900076080e-02,2.1937338612414972e-01
unpolarized_C_e_p,8,4.5454275095392109e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,8.3324290637600162e-01,1.7500000000000000e+00,1.5707949999999999e+00,6.1522856132800108e+00,3.0106929596902177e+00,3.0106929596902181e+00,1.8935142161907681e+01,8.2521366890082415e-01,-5.3102258432600120e+00,2.6738951163267702e-02,1.3837074554590406e-02,4.8904465288329488e+00,9.3622274783161819e-01,2.7233688488782430e+00,1.5603754109812462e+02,3.7463365742951282e-12,6.8124581593267832e+00,3.7463365742951282e-12,6.8124581593267832e+00,False,2.3726231839022301e+10,4.5454275095392109e-12,5.3873208087917416e-11,2.3248510752689203e-07,-2.9229834609285263e-21,-5.3161146822751335e-14,-5.3605238914263035e-14,0.0000000000000000e+00,-1.6808760985597076e-10,1.4546840699445123e-11,-1.4530643504780270e-06,-2.2201617917973023e-16,-5.2034638631060544e-14,-5.3144892792949298e-14,-2.8995318755607250e-14,8.0896493471629374e-02,1.7763673526499063e-01,8.0493559976001976e-09,1.7658815103669928e-02,1.7658813990369903e-02,1.7658815044903301e-02,3.8525519169926484e-02,8.0896493073646200e-02,1.7763673736507030e-01,9.0427555998751075e-09,1.7658814410486959e-02,1.7658814053724929e-02,1.7658814287694891e-02,3.8525519164495425e-02,5.0851115296659710e-01,1.7763673835187577e-01,3.0039489927472782e-07,6.9775523778543080e-01,6.9775523778543158e-01,6.9775523527761873e-01,8.7616735421447933e-01
unpolarized_C_e_p,9,4.4368983421620219e-12,C_e_p,unpolarized,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.2571400462762903e+00,1.7500000000000000e+00,1.5707949999999999e+00,3.9269908169872370e-01,3.5342917352885168e+00,3.5342917352885168e+00,1.4539369135232747e+01,6.6961643106200686e-01,-4.0774625860479450e+00,4.0917514972179929e-02,2.4789709090708933e-02,8.0534562982924314e+00,8.8592405325223322e-01,2.4003844224711735e+00,1.3753189661654579e+02,3.7467806635049783e-12,5.2309532745962102e+00,3.7467806635049783e-12,5.2309532745962102e+00,False,1.0046319788078354e+11,4.4368983421620219e-12,3.0859931373228050e-11,2.0021587018396775e-07,-9.7202143125902487e-22,-3.9642305483359434e-14,-4.0086395625858793e-14,0.0000000000000000e+00,-1.1229693665967208e-11,-5.0284555041984456e-11,-7.0548555237203610e-07,5.8578483494787611e-21,1.6292467068061443e-13,1.6248058687710060e-13,0.0000000000000000e+00,1.1595022335150738e-01,4.3528563179469848e-01,7.5828031464248239e-08,3.6278170286737826e-02,3.6278168631734053e-02,3.6278169310802626e-02,1.2053183704441903e-01,1.1595022589547557e-01,4.3528563185594144e-01,8.0065287814630157e-08,3.6278169673580246e-02,3.6278168043653858e-02,3.6278169286855677e-02,1.2053183705471489e-01,4.4519941460134888e-01,4.3528562490545486e-01,4.2381615472653067e-07,5.3482452856390772e-01,5.3482452090316213e-01,5.3482452212358833e-01,7.8266278377897980e-01
unpolarized_C_e_p,10,4.1197568120716141e-12,C_e_p,unpolarized,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,2.1825057278351867e+00,1.2500000000000000e+00,1.5707949999999999e+00,2.2252947962927694e+00,5.3668874498825625e+00,5.3668874498825625e+00,4.5318100722987680e+00,3.0621584537949298e-01,-2.2025985052200392e+00,9.8466127571867054e-02,8.2672950933971687e-02,1.1147431609694145e+01,6.0383887953217974e-01,1.2231148010400410e+00,7.0079315959577741e+01,2.6760815785564773e-12,1.1646057835418979e+00,2.6760815785564773e-12,1.1646057835418979e+00,False,1.0175841397512461e+13,4.1197568120716141e-12,9.5018651874262329e-12,4.7603183127528489e-07,-1.0725783823063302e-22,-2.1994496625652277e-13,-2.1950087711998575e-13,0.0000000000000000e+00,-8.8418351662837724e-13,-1.4390253795579664e-11,-2.6471287779427846e-07,4.8861493008066790e-22,2.9700537927878919e-13,2.9633924593649503e-13,0.0000000000000000e+00,1.0805820637119135e-01,5.8835815574583783e-01,1.1753895440974604e-07,7.2087303865109309e-03,7.2087241135097308e-03,7.2087286561636280e-03,9.4237879986222989e-02,1.0805821002019934e-01,5.8835815512229028e-01,1.1753923373492015e-07,7.2087303150200066e-03,7.2087233235986845e-03,7.2087293742784733e-03,9.4237879980892308e-02,2.2411298829982096e-01,5.8835815642531353e-01,2.4831852142581656e-07,3.1008220012039400e-02,3.1008214543969553e-02,3.1008220012039244e-02,2.0132645840568295e-01
