rank_group,rank,rank_value,rank_observable,rank_spin_case,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_C12,unpolarized_C13,unpolarized_C23,unpolarized_M1,unpolarized_M2,unpolarized_M3,unpolarized_F3,longitudinal_polarized_C12,longitudinal_polarized_C13,longitudinal_polarized_C23,longitudinal_polarized_M1,longitudinal_polarized_M2,longitudinal_polarized_M3,longitudinal_polarized_F3,Tx_C12,Tx_C13,Tx_C23,Tx_M1,Tx_M2,Tx_M3,Tx_F3,Ty_C12,Ty_C13,Ty_C23,Ty_M1,Ty_M2,Ty_M3,Ty_F3,double_transverse_C12,double_transverse_C13,double_transverse_C23,double_transverse_M1,double_transverse_M2,double_transverse_M3,double_transverse_F3
unpolarized_C13,1,8.4713995244042666e-11,C13,unpolarized,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.6914690428030391e-01,1.7500000000000000e+00,1.5707949999999999e+00,5.6941366846315002e+00,2.5525440310417071e+00,2.5525440310417071e+00,1.6959836570878196e+01,8.5431555615860977e-01,-3.6171470121487150e+00,3.7719654657251755e+00,9.6200610760822725e-01,3.0243212004880364e+00,1.7328084067990298e+02,3.4261482539932331e-12,6.6713447793683773e+00,3.4261482539932331e-12,6.6713447793683773e+00,False,1.5146464490709527e+13,2.6143922633491844e-11,8.4713995244042666e-11,4.7352473096350376e-07,2.2203674495935044e-16,3.9379456718338989e-17,4.8346217361206291e-16,8.1473528372048091e-15,-1.2240799716857658e-09,-8.9034601647722048e-11,4.6145827346060486e-07,2.2362999332019909e-16,1.8654191317353089e-16,6.2909175885624991e-16,8.1473528372048091e-15,4.5489284161295544e-02,3.5954811931822130e-02,4.7133669481915530e-07,1.0361741470564047e-02,1.0361741470564978e-02,1.0361741470563410e-02,1.2545157626844369e-02,4.5489284168439233e-02,3.5954811675911996e-02,4.7079675186830975e-07,1.0361741485858049e-02,1.0361741473461838e-02,1.0361741485858805e-02,1.2545157626190212e-02,4.0689531421461533e-01,3.5954807837163781e-02,1.7459162088284685e-07,8.2904837314478419e-01,8.2904837285464017e-01,8.2904837184720126e-01,9.3383587588439365e-01
unpolarized_C13,2,8.4713995244042666e-11,C13,unpolarized,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.6914690428030391e-01,1.7500000000000000e+00,1.5707949999999999e+00,5.6941366846315002e+00,2.5525440310417071e+00,2.5525440310417071e+00,1.6959836570878196e+01,8.5431555615860977e-01,-3.6171470121487150e+00,3.7719654657251755e+00,9.6200610760822725e-01,3.0243212004880364e+00,1.7328084067990298e+02,3.4261482539932331e-12,6.6713447793683773e+00,3.4261482539932331e-12,6.6713447793683773e+00,False,1.5146464490709527e+13,2.6143922633491844e-11,8.4713995244042666e-11,4.7352473096350376e-07,2.2203674495935044e-16,3.9379456718338989e-17,4.8346217361206291e-16,8.1473528372048091e-15,-1.2240799716857658e-09,-8.9034601647722048e-11,4.6145827346060486e-07,2.2362999332019909e-16,1.8654191317353089e-16,6.2909175885624991e-16,8.1473528372048091e-15,4.5489284161295544e-02,3.5954811931822130e-02,4.7133669481915530e-07,1.0361741470564047e-02,1.0361741470564978e-02,1.0361741470563410e-02,1.2545157626844369e-02,4.5489284168439233e-02,3.5954811675911996e-02,4.7079675186830975e-07,1.0361741485858049e-02,1.0361741473461838e-02,1.0361741485858805e-02,1.2545157626190212e-02,4.0689531421461533e-01,3.5954807837163781e-02,1.7459162088284685e-07,8.2904837314478419e-01,8.2904837285464017e-01,8.2904837184720126e-01,9.3383587588439365e-01
unpolarized_C13,3,8.2998236708989312e-11,C13,unpolarized,low_s_low_theta_in_mid_Egamma,low_s,low_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.1707123323773092e+00,1.2500000000000000e+00,1.5707949999999999e+00,3.9269908169872414e-01,3.5342917352885173e+00,3.5342917352885173e+00,8.3400812530337838e+00,6.3132432007913153e-01,-2.9688853845623835e+00,5.7502173228146791e+00,8.3071483603282581e-01,2.2088253548156942e+00,1.2655637051242584e+02,2.1356805213201824e-12,2.6855979342379266e+00,2.1356805213201824e-12,2.6855979342379266e+00,False,7.1151052277430938e+13,5.8466489283636764e-12,8.2998236708989312e-11,2.0798929758616638e-07,2.2203768203443081e-16,-6.2698379896417504e-16,2.6118776621196824e-16,3.5318356507356406e-15,-1.1640786305003512e-11,-6.1385904866205645e-11,1.7412479250418963e-07,2.2205883462516028e-16,5.1982121129344396e-16,1.4080133174395346e-15,3.5318356507356406e-15,1.1172933697891764e-01,5.7454116358867602e-01,1.7133410230851798e-07,1.8781704647607034e-02,1.8781698000660745e-02,1.8781704605175097e-02,1.2010868194317492e-01,1.1172933638741035e-01,5.7454116068627981e-01,1.7133119747936298e-07,1.8781708104746220e-02,1.8781698132069018e-02,1.8781707930914781e-02,1.2010868194006195e-01,4.2195488192985142e-01,5.7454116879227868e-01,3.9923843740935087e-07,2.6787518725991694e-01,2.6787518665506727e-01,2.6787518607212379e-01,5.7585807159442048e-01
unpolarized_C13,4,8.2998236708989312e-11,C13,unpolarized,low_s_high_theta_in_mid_Egamma,low_s,high_theta_in,mid_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.1707123323773092e+00,1.2500000000000000e+00,1.5707949999999999e+00,3.9269908169872414e-01,3.5342917352885173e+00,3.5342917352885173e+00,8.3400812530337838e+00,6.3132432007913153e-01,-2.9688853845623835e+00,5.7502173228146791e+00,8.3071483603282581e-01,2.2088253548156942e+00,1.2655637051242584e+02,2.1356805213201824e-12,2.6855979342379266e+00,2.1356805213201824e-12,2.6855979342379266e+00,False,7.1151052277430938e+13,5.8466489283636764e-12,8.2998236708989312e-11,2.0798929758616638e-07,2.2203768203443081e-16,-6.2698379896417504e-16,2.6118776621196824e-16,3.5318356507356406e-15,-1.1640786305003512e-11,-6.1385904866205645e-11,1.7412479250418963e-07,2.2205883462516028e-16,5.1982121129344396e-16,1.4080133174395346e-15,3.5318356507356406e-15,1.1172933697891764e-01,5.7454116358867602e-01,1.7133410230851798e-07,1.8781704647607034e-02,1.8781698000660745e-02,1.8781704605175097e-02,1.2010868194317492e-01,1.1172933638741035e-01,5.7454116068627981e-01,1.7133119747936298e-07,1.8781708104746220e-02,1.8781698132069018e-02,1.8781707930914781e-02,1.2010868194006195e-01,4.2195488192985142e-01,5.7454116879227868e-01,3.9923843740935087e-07,2.6787518725991694e-01,2.6787518665506727e-01,2.6787518607212379e-01,5.7585807159442048e-01
unpolarized_C13,5,7.1117243382687576e-11,C13,unpolarized,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9325147420610969e+00,1.7500000000000000e+00,1.5707949999999999e+00,1.9634954084936211e+00,5.1050880620834143e+00,5.1050880620834143e+00,3.1363303081630050e+00,1.8554084646135138e-01,-6.6890784919897694e-01,1.4647232565493800e+01,8.1913737515297591e-01,1.5229507393250594e+00,8.7258649769654312e+01,3.4265923432030831e-12,1.2337112294853045e+00,3.4265923432030831e-12,1.2337112294853045e+00,False,1.0443290968866196e+15,4.1528454423202228e-12,7.1117243382687576e-11,6.3555432381237255e-08,-5.0749084316202194e-21,-4.2490113761583442e-17,-4.2495154177764249e-17,0.0000000000000000e+00,2.8191024476214447e-12,1.5928522021131495e-11,5.7932279381125795e-08,-2.0273345957208349e-21,-1.0870262320050548e-17,-1.0872258720136208e-17,0.0000000000000000e+00,1.1786828708274157e-02,9.0026704012548320e-01,3.6606673633164788e-08,6.9568316122059493e-04,6.9567843056309758e-04,6.9568314872669231e-04,3.0042040534171876e-02,1.1786828819400680e-02,9.0026704207230301e-01,3.6559383568403170e-08,6.9567968579220540e-04,6.9567842797630514e-04,6.9567967599748048e-04,3.0042040535366216e-02,6.6979837188900285e-02,9.0026703709051370e-01,1.8942772284939293e-07,2.2464824024193031e-02,2.2464813817009592e-02,2.2464823433387602e-02,1.7252108083218337e-01
unpolarized_C13,6,7.1117243382687576e-11,C13,unpolarized,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9325147420610969e+00,1.7500000000000000e+00,1.5707949999999999e+00,1.9634954084936211e+00,5.1050880620834143e+00,5.1050880620834143e+00,3.1363303081630050e+00,1.8554084646135138e-01,-6.6890784919897694e-01,1.4647232565493800e+01,8.1913737515297591e-01,1.5229507393250594e+00,8.7258649769654312e+01,3.4265923432030831e-12,1.2337112294853045e+00,3.4265923432030831e-12,1.2337112294853045e+00,False,1.0443290968866196e+15,4.1528454423202228e-12,7.1117243382687576e-11,6.3555432381237255e-08,-5.0749084316202194e-21,-4.2490113761583442e-17,-4.2495154177764249e-17,0.0000000000000000e+00,2.8191024476214447e-12,1.5928522021131495e-11,5.7932279381125795e-08,-2.0273345957208349e-21,-1.0870262320050548e-17,-1.0872258720136208e-17,0.0000000000000000e+00,1.1786828708274157e-02,9.0026704012548320e-01,3.6606673633164788e-08,6.9568316122059493e-04,6.9567843056309758e-04,6.9568314872669231e-04,3.0042040534171876e-02,1.1786828819400680e-02,9.0026704207230301e-01,3.6559383568403170e-08,6.9567968579220540e-04,6.9567842797630514e-04,6.9567967599748048e-04,3.0042040535366216e-02,6.6979837188900285e-02,9.0026703709051370e-01,1.8942772284939293e-07,2.2464824024193031e-02,2.2464813817009592e-02,2.2464823433387602e-02,1.7252108083218337e-01
unpolarized_C13,7,7.0919234429706534e-11,C13,unpolarized,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.7500000000000000e+00,1.5707949999999999e+00,1.3744467859455343e+00,4.5160394395353274e+00,4.5160394395353274e+00,8.6423860942163711e-01,5.2636067085606336e-02,-1.8432241908236810e-01,1.6434738834117280e+01,7.9565484801022102e-01,8.6935597894500050e-01,4.9810428488012583e+01,3.4270364324129332e-12,3.3995809517304321e-01,3.4270364324129332e-12,3.3995809517304321e-01,False,1.5763757259159896e+16,1.4163182540867561e-12,7.0919234429706534e-11,1.7877578190990776e-08,-5.0315437694925320e-21,-3.1960780398094646e-16,-3.1961283151280114e-16,0.0000000000000000e+00,4.9403170204247255e-13,4.0746592770453851e-11,1.6786800067603767e-08,-4.1203048523107801e-21,-3.1841800621587429e-16,-3.1842212421003673e-16,0.0000000000000000e+00,1.6028057842178776e-03,9.1214151302014246e-01,8.8966807581993684e-09,1.2873271720281743e-05,1.2864009422419380e-05,1.2873271719869526e-05,4.1377035232723122e-03,1.6028057177536719e-03,9.1214151262663501e-01,8.5322208123250101e-09,1.2873980493210979e-05,1.2864009634151879e-05,1.2873980282306828e-05,4.1377035230704927e-03,1.7450339423939989e-02,9.1214151809810440e-01,7.0814489460356360e-08,1.5248353099172052e-03,1.5248353100397942e-03,1.5248349433922650e-03,4.5081127182871786e-02
unpolarized_C13,8,7.0919234429706534e-11,C13,unpolarized,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.7500000000000000e+00,1.5707949999999999e+00,1.3744467859455343e+00,4.5160394395353274e+00,4.5160394395353274e+00,8.6423860942163711e-01,5.2636067085606336e-02,-1.8432241908236810e-01,1.6434738834117280e+01,7.9565484801022102e-01,8.6935597894500050e-01,4.9810428488012583e+01,3.4270364324129332e-12,3.3995809517304321e-01,3.4270364324129332e-12,3.3995809517304321e-01,False,1.5763757259159896e+16,1.4163182540867561e-12,7.0919234429706534e-11,1.7877578190990776e-08,-5.0315437694925320e-21,-3.1960780398094646e-16,-3.1961283151280114e-16,0.0000000000000000e+00,4.9403170204247255e-13,4.0746592770453851e-11,1.6786800067603767e-08,-4.1203048523107801e-21,-3.1841800621587429e-16,-3.1842212421003673e-16,0.0000000000000000e+00,1.6028057842178776e-03,9.1214151302014246e-01,8.8966807581993684e-09,1.2873271720281743e-05,1.2864009422419380e-05,1.2873271719869526e-05,4.1377035232723122e-03,1.6028057177536719e-03,9.1214151262663501e-01,8.5322208123250101e-09,1.2873980493210979e-05,1.2864009634151879e-05,1.2873980282306828e-05,4.1377035230704927e-03,1.7450339423939989e-02,9.1214151809810440e-01,7.0814489460356360e-08,1.5248353099172052e-03,1.5248353100397942e-03,1.5248349433922650e-03,4.5081127182871786e-02
unpolarized_C13,9,6.9880388728383840e-11,C13,unpolarized,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,3.9889680959850726e-01,1.7500000000000000e+00,1.5707949999999999e+00,6.0868357663302239e+00,2.9452431127404317e+00,2.9452431127404308e+00,1.6447536040496292e+01,8.3309473249668786e-01,-3.5078849726802588e+00,4.1750039566383190e+00,9.5671137803521134e-01,2.9307314695113917e+00,1.6791854408917644e+02,3.4265368320518519e-12,6.4698255339117345e+00,3.4265368320518519e-12,6.4698255339117345e+00,False,1.6544999223586363e+13,2.2196438885179134e-11,6.9880388728383840e-11,5.1472285658841127e-07,-5.3759506280135283e-21,-6.1768806080812424e-14,-6.1990855076324249e-14,0.0000000000000000e+00,-1.2909625283626784e-10,-8.9668793623939848e-11,4.3965908431657234e-07,4.2969469529602302e-20,-5.6134213283655362e-14,-5.6356259712704170e-14,0.0000000000000000e+00,7.5054141994451179e-02,1.1027141472133178e-01,4.4544466190621357e-07,2.8207453187637711e-02,2.8207453187638010e-02,2.8207453187638298e-02,3.9448456530771871e-02,7.5054140228466237e-02,1.1027141479514994e-01,4.4413863098408506e-07,2.8207453444783068e-02,2.8207453444785372e-02,2.8207453183686424e-02,3.9448456533345111e-02,4.0474424840514450e-01,1.1027141257698717e-01,3.0649833813135353e-07,8.2030598840220315e-01,8.2030598791666176e-01,8.2030598840220492e-01,9.3168233497220776e-01
unpolarized_C13,10,6.9880388728383840e-11,C13,unpolarized,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,3.9889680959850726e-01,1.7500000000000000e+00,1.5707949999999999e+00,6.0868357663302239e+00,2.9452431127404317e+00,2.9452431127404308e+00,1.6447536040496292e+01,8.3309473249668786e-01,-3.5078849726802588e+00,4.1750039566383190e+00,9.5671137803521134e-01,2.9307314695113917e+00,1.6791854408917644e+02,3.4265368320518519e-12,6.4698255339117345e+00,3.4265368320518519e-12,6.4698255339117345e+00,False,1.6544999223586363e+13,2.2196438885179134e-11,6.9880388728383840e-11,5.1472285658841127e-07,-5.3759506280135283e-21,-6.1768806080812424e-14,-6.1990855076324249e-14,0.0000000000000000e+00,-1.2909625283626784e-10,-8.9668793623939848e-11,4.3965908431657234e-07,4.2969469529602302e-20,-5.6134213283655362e-14,-5.6356259712704170e-14,0.0000000000000000e+00,7.5054141994451179e-02,1.1027141472133178e-01,4.4544466190621357e-07,2.8207453187637711e-02,2.8207453187638010e-02,2.8207453187638298e-02,3.9448456530771871e-02,7.5054140228466237e-02,1.1027141479514994e-01,4.4413863098408506e-07,2.8207453444783068e-02,2.8207453444785372e-02,2.8207453183686424e-02,3.9448456533345111e-02,4.0474424840514450e-01,1.1027141257698717e-01,3.0649833813135353e-07,8.2030598840220315e-01,8.2030598791666176e-01,8.2030598840220492e-01,9.3168233497220776e-01
