lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_trace,lepton_muon_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_muon_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_muon_alpha_e_mix_proton_alpha_p_mix_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_muon_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_muon_alpha_e_mix_proton_alpha_p_mix_F3,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_purity,optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,D_W_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
muon,gradient_local_minimum_0000,gradient,gradient,gradient,0.1056583755,1.2785373325767881,1.1307242513437077,0.14725141342607312,0.1388558371836716,0.0,0.0,3.141592653589793,0.0,0.032284079438306294,3.141592653589793,5.964486763426072,0.09941638156560895,3.1416094972960553,0.030012974032930035,1.6843706263744446e-05,-0.9950622604426247,0.06355528268993008,0.4753516046881502,-0.08185575671621548,0.8224533163379156,1.3954773815460173,0.9499903437758623,0.34501006522981303,0.12942935559853863,7.415755820894197,0.010581456678709609,0.0014312196655665208,0.010581456678709609,0.0014312196655665208,True,,gradient,1732002046,3.121410046638632,0.7807911460951563,1.0,3403.9506240276,0.706418573054714,0.9999999999999999,0.6698812528652288,-0.30394767799377226,-0.0392796537649301,0.24166952219748922,0.22973056264323938,0.666665271485188,0.666665861143817,0.6666635225962126,0.9428083749089532,0.9428066552021793,0.9428073559734398,3.5327860732549638e-06,1.160031270214279,0.8888859104545425,1.677179414794061e-06,1.552528710813128e-06,2.0877026104537677e-06,0.4614523001959013,8.49016102899558e-05,0.4614523001972888,0.46153720180619123,0.23068369929419313,-3.468319708604306e-06,0.9996320920239139,0.4614523001959013,0.0005265736086985133,0.26323533279539457,0.2632353327953945,0.18782031959374157,0.2752274653984142,0.27522746539841414,0.0005265736086985133,1732,sobol_screened,0.6079568872649931,True,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,80,2081,1035,6.3033895774786295,0.6079568872649931,0.017630211986471817,3.5327860732549638e-06,48,34,False,1e-05,3.533490726296063e-06,True,0.04075680300593376,0.765243411064148,0.24174526054412127,0.35693656373769045,0.42230313923209906,0.1851578475907445,0.07184984255582094,0.3788817813619971,0.008934820456339502,1.0,0.03164521710095329,0.35331413440565096,0.9492775514054395,0.5000026807591116,0.9935756766784838,0.2485335408468607,0,0.0,True,0,583,0.2538486394334183,True,"alpha_e~0,alpha_p~pi/2",0/pi,W narrow alpha_e capture bands
muon,gradient_local_minimum_0001,gradient,gradient,gradient,0.1056583755,1.4839746867500918,1.2181849969319485,0.2293808146936935,0.21108970550437392,0.0,0.0,3.141592653589793,0.0,0.09519789262356806,2.808153494170624,6.2828343592757605,0.059663968400550216,3.1409463602387815,0.5456910117962489,3.1412681444053803,-0.9627570679267683,0.107169875914088,0.32582220583533855,-0.18866308546071633,0.665072983912667,1.05868311750939,1.1015954621491886,0.5547042940824899,0.4860270468257701,27.84729851232386,0.04583951823237216,0.0050929134590576245,0.04583951823237216,0.0050929134590576245,False,,gradient,450002018,4.672369140563335e-05,1.9864468076676416,1.0,464.19270789102006,0.26700069751466443,1.0000000000000004,0.8707359039603,-0.06258677420388048,-0.06893196324319217,0.6287436593434215,0.6244294301244896,0.66666512905227,0.6666622061928908,0.6666658830029372,0.9428075799479595,0.9428102314382812,0.9428082344968313,4.78269936101858e-06,1.160030224056518,0.8888882107772675,5.241347075690683e-06,5.3386503396368745e-06,5.470308973631877e-06,0.5579643194229088,0.010827164533783296,0.5579643292421326,0.5687914839566921,0.2735685872637865,0.0002679294569695158,0.9619292657504559,0.5579643194229088,0.07604135060593223,0.3622253300271549,0.3622253300271549,0.003977578568356246,0.06898318601615314,0.06898318601615312,0.07604135060593223,450,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61,2080,1593,5.208589357347851,0.7881355113683778,7.320944050540769e-05,4.78269936101858e-06,23,9,False,1e-05,5.3945400200447704e-06,True,0.0741240283190164,0.2340293934534962,0.03380100413998444,0.41599410194485503,0.9668083707464098,0.39123451343984383,0.6444702171249888,0.9246667190971888,0.031336764685704455,0.8938630191160654,0.018991630990852423,0.5658448896026257,0.9999441449063384,0.4998971392184991,1.487261289341371e-05,0.6323056572588414,1,1.2499132877636164e-06,True,0,583,0.13000478324971215,False,"alpha_e~0,alpha_p~pi/2",0/pi,W narrow alpha_e capture bands
muon,gradient_local_minimum_0002,gradient,gradient,gradient,0.1056583755,1.369042499916819,1.1700608958156062,0.18588925723639957,0.1200398574955848,0.0,0.0,3.141592653589793,0.0,0.07646285596694094,3.141592653589793,0.2667589221155023,1.024875207332254,6.282784103922722,0.6828617622923133,3.1411914503329292,-0.5192055448549396,0.07080951607128,0.31477214300510425,-0.09348042820771331,0.8023273396870257,1.350528977357299,1.0339893207680515,0.4705825460013535,1.7077369696245672,97.84612087794856,0.023728993433752767,0.012393537365533183,0.023728993433752767,0.012393537365533183,False,,gradient,1311002136,0.2424792796723813,2.3337404719970363,1.0000000000000002,3328.7502476245127,0.5933561860896668,1.0000000000000004,0.7867754554009285,0.3036095397090082,-0.10765933575201406,0.3522817906586331,0.38496819203167965,0.6666590237442492,0.6666671195487017,0.6666602712564199,0.9428072178813104,0.9428023318883534,0.9428079166700397,9.976003079382514e-06,1.1600268305421408,0.8888828182549483,6.147862098238033e-06,6.065802798049802e-06,5.802176654190472e-06,0.3851973762155784,0.05705458202702968,0.3851973787631082,0.4422519582426081,0.16407139964180417,0.00017622121580671975,0.7419815631513781,0.3851973762155784,0.003281416001702048,0.4975001713961833,0.4975001713961833,3.8066863240633473e-06,0.06024787036120853,0.06024787036120853,0.003281416001702048,1311,sobol_screened,0.5449548671574692,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64,2197,819,7.997811313116736,0.5449548671574692,0.0006287133992363326,9.976003079382514e-06,63,49,False,1e-05,9.977685677248776e-06,True,0.02436114940792322,0.6016114074736834,0.3339561028406024,0.5642986334860325,0.9869216606020927,0.8219063002616167,0.03991854190826416,0.7319623986259103,0.019010395615263218,1.0,0.32622791059851863,0.6204807001860502,0.042456001068548105,0.9999361465184855,0.07718355191444325,0.7428526640238826,2,6.44321700612755e-06,True,0,583,0.25263108271974066,False,"alpha_e~0,alpha_p~pi/2",0/pi,W narrow alpha_e capture bands
muon,gradient_local_minimum_0003,gradient,gradient,gradient,0.1056583755,1.2217447274405084,1.1053256205483108,0.11976552540802526,0.10565920583968268,0.0,0.0,3.141592653589793,0.0,0.03337347718283258,2.2596096470760902,2.773437264497239e-05,0.874363848817528,3.1415700987600186,0.8855005874212155,3.1416433926423237,-0.999970973609541,0.029523627724099718,0.29648016548795625,-0.04159154583798268,0.9000662258663347,1.5719346856235552,0.9499008203490751,0.3010864750446644,0.011136881854404375,0.6380963271932004,0.007894108258662349,0.0018601492017221288,0.007894108258662349,0.0018601492017221288,True,,gradient,1275001648,2.971056946511161,0.0005347417447193116,1.0,14280.541083073756,1.388568038366444,1.0,0.8733074362352671,-0.3322065896997683,0.027562454446124856,-0.04054384989962691,-0.03138742090432455,0.6666588967138187,0.6666644965683437,0.6666518677455313,0.9428058975595508,0.9427969965329616,0.9428010134587684,1.6854956563549658e-05,1.1600212370526393,0.888874295988189,7.324920661078149e-06,7.379335281720856e-06,7.487225552382792e-06,0.3873300871101434,0.009223142359571751,0.3873301068208739,0.39655322946971516,0.1890534920860163,-0.00045664006073421715,0.953483558002164,0.3873300871101434,0.007389331814621401,0.14722230631791264,0.1472223063179126,0.19086023942172053,0.4562244642123722,0.45622446421237217,0.007389331814621401,1275,sobol_screened,0.5354233348200446,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53,1686,1071,11.072879737240822,0.5354233348200446,0.0004512967476133697,1.6854956563549658e-05,27,13,False,1e-05,1.695167195805835e-05,True,0.0361158587038517,0.8572312006726861,0.29995182156562805,0.5673440415412188,0.0859405193477869,0.6794694531708956,0.8644862426444888,0.9143025623634458,0.002429288097177834,0.7192560895805857,0.2783186572003285,0.5333861744466731,4.4140625e-06,0.49999641028735076,0.9457167984895283,0.00017021358389932573,3,1.3322170490294695e-05,True,0,583,0.5008198722172995,False,"alpha_e~0,alpha_p~pi/2",0/pi,W narrow alpha_e capture bands
muon,gradient_local_minimum_0004,gradient,gradient,gradient,0.1056583755,1.5469938393219596,1.2437820706707263,0.2513795651201914,0.05536802560332438,0.0,0.0,3.141592653589793,0.0,0.15330244072297314,0.36725234329199036,0.0028639163626375174,2.284039385656244,3.141641957747029,1.1021539765880735,6.282652080608401,-0.8821901201954935,0.08438735398822161,0.2177965903512825,-0.03928654581791818,0.9049588876205367,1.5830956217905496,1.1829161275955529,0.5906519266460348,2.8969914722148578,165.98538464330224,0.016588359278663447,0.039138763363805576,0.016588359278663447,0.039138763363805576,False,,gradient,736001640,1.4990353529497906,1.8615241962021063,0.9999999999999999,12504.441864175555,1.1243849950227809,0.9999999999999998,0.874960095947663,-0.3208130936879293,-0.1962728556756124,-0.0366425228277342,-0.09960942486399187,0.6666563306126791,0.666652769689768,0.6666580395154122,0.9428053975253597,0.9428091095529776,0.9428066087262398,1.934910121213965e-05,1.1600155337150662,0.888885112029412,2.5439121950909804e-05,2.5412259583801333e-05,2.544447230112823e-05,0.0005979514305741035,0.02219940123066544,0.022199523280578334,0.022797352661239542,0.010800846949958563,-3.136838696715917,0.947552736535269,0.0005979514305741035,0.1473725555562977,0.8572179450013786,0.8572179450013786,0.007155256893133877,0.11998470233738201,0.11998470233738208,0.1473725555562977,736,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,1679,684,4.252897213864429,0.6395159235670926,0.0003323052504944087,1.934910121213965e-05,43,29,False,1e-05,1.9357090378125493e-05,True,0.10439984882072871,0.2278835473990607,0.6679322061786028,0.7305401555135732,0.8375880378703111,0.36731752455177874,0.7019938972007279,0.3608995691263744,0.037893125650550044,0.11690005159400388,0.7270323168875342,0.8242720598430311,0.000455806445715522,0.5000078470003391,0.47715777258292635,0.5925415550214649,4,1.5816315138884686e-05,True,3,537,0.40657008953754437,True,"alpha_e~pi/2,alpha_p~pi",pi/2,W narrow alpha_e capture bands
muon,gradient_local_minimum_0005,gradient,gradient,gradient,0.1056583755,1.331706279735966,1.1539957884394405,0.1705406658821515,0.1294172138352092,0.0,0.0,3.141592653589793,0.0,0.07794057476146744,3.141592653589793,2.257966872159357,0.5400621410407063,3.141591715635565,0.5696736045695022,6.283184369225358,-0.8576767307622339,0.0508414142814681,0.23565448209208323,-0.0899325917692028,0.8083760539775053,1.3639861191500422,1.0447481715020497,0.4895536131514758,1.1097357456102084,63.58317459826851,0.027036598016612255,0.007491009272741591,0.027036598016612255,0.007491009272741591,False,,gradient,1302005471,1.4840719373738471,2.3173329391131596,1.0,3411.809284133925,0.7881389091676818,1.0,0.8609466763729974,-0.0917280950623191,0.03437753404864996,0.646954342450253,0.6501077281614757,0.6666567175686245,0.6666502191168132,0.6666641085028072,0.9428040694704344,0.9428138787912415,0.94280917464445,1.9392025432202337e-05,1.1600174164958754,0.8888888876841977,2.5819682143768397e-05,2.5797396170146314e-05,2.55915794112882e-05,0.6046520614677665,0.01939652382675605,0.6046520614677763,0.6240485852945226,0.292627768820515,2.58653476608477e-07,0.9378364945171953,0.6046520614677665,0.00042236765290594935,0.013421058309888283,0.013421058309888281,0.03810714789361109,0.3625303563955892,0.36253035639558917,0.00042236765290594935,1302,sobol_screened,0.5425432986939422,True,False,2,ABNORMAL: ,2,5533,621,19.211924941448626,0.5425432986939422,0.3171238108375202,1.9392025432202337e-05,226,212,False,1e-05,1.9392025471795527e-05,True,0.004582647234201431,0.8864399706944823,0.5056554013863206,0.7702628476545215,0.29571415949612856,0.3293544976040721,0.6081790262833238,0.5446206517517567,0.014895525143269337,1.0,0.17190711864684152,0.7282631610245094,0.3593665890419074,0.4999998507199482,0.47239476947402703,0.737629984099059,5,1.5859239358947375e-05,True,3,537,0.26229617800724203,False,"alpha_e~pi/2,alpha_p~pi",pi/2,W narrow alpha_e capture bands
muon,gradient_local_minimum_0006,gradient,gradient,gradient,0.1056583755,1.3622715806324353,1.1671639047847715,0.18315836270158248,0.1194960526665323,0.0,0.0,3.141592653589793,0.0,0.08067112006813922,3.1397242716187654,2.4250904149517245,0.8912732503668784,3.14175870114273,0.7407880963170956,6.281020518752027,-0.627325180122065,0.06246666447012752,0.27503392261471793,-0.09149692134612564,0.8056991566182055,1.3580248572468658,1.0445008258843118,0.48194545770210395,1.632059917996899,93.51014521368954,0.026343134998570286,0.011828006560564468,0.026343134998570286,0.011828006560564468,False,,gradient,1820002813,1.4248259270814836,2.334231520586079,0.9999999999999999,3461.9050381033967,0.7235667309304001,0.9999999999999998,0.7859993738709007,-0.25858044754781007,0.04738159380973733,0.4451759259169806,0.457427879649831,0.6666437329779918,0.6666631161231303,0.6666514378623877,0.9428027377479996,0.9427945210108496,0.942808219732784,2.775746593984847e-05,1.1600113876072062,0.8888752833228687,2.342518728887244e-05,2.3502525256346996e-05,2.3489192710113294e-05,0.2958761983555777,0.23395699705564715,0.4905760048038146,0.5298331954112249,0.22565940709820217,-1.4331660929996781,0.8518130198431936,0.2958761983555777,0.006940324902069625,0.031486023560806084,0.031486023560806084,0.07297440658983885,0.43868078102796915,0.4386807810279692,0.006940324902069625,1820,sobol_screened,0.6172214496460984,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,2855,954,0.6007342599585236,0.6172214496460984,0.00036463987872949525,2.775746593984847e-05,89,75,False,1e-05,2.7878077729329924e-05,True,0.035330007784068584,0.9488723147660494,0.06513336673378944,0.7101872563362122,0.34249112103134394,0.5433606263250113,0.596748155541718,0.479756822809577,0.018268368651403744,0.9994052755474543,0.28370108688293827,0.6733348127608173,0.38596512698434254,0.5000264272888382,0.4535361786810211,0.7430089696443715,6,2.4224679866593507e-05,True,3,537,0.25965159887276656,False,"alpha_e~pi/2,alpha_p~pi",pi/2,W narrow alpha_e capture bands
muon,gradient_local_minimum_0007,gradient,gradient,gradient,0.1056583755,1.3751257551804248,1.1726575609189687,0.1883242985537331,0.1382055334946573,0.0,0.0,3.141592653589793,0.0,0.07693127751804839,3.0546838491644523,3.1427971610508827,0.7401349517070607,3.141304437842069,0.6684824030129661,6.283177423358751,-0.6770543782054717,0.0718807478085003,0.30961819233096527,-0.10635145386134921,0.7810363700986899,1.3035414586819487,1.0401225683716795,0.47955103101348173,1.408617338077859,80.70782842081395,0.02731011309396065,0.01007476006753007,0.02731011309396065,0.01007476006753007,False,,gradient,348002487,2.899987555852155,0.9030383329213812,1.0,2265.91926631556,0.48456904734687234,1.0,0.8000658462351821,0.2952466110178418,-0.16717778312320397,0.4038528210343926,0.45321149493899426,0.6666450918933383,0.6666534647408309,0.6666547485878568,0.9427853700269533,0.9427856315064103,0.9427921948773211,2.796072768113834e-05,1.1600110707059954,0.8888487078379209,1.7333404274677555e-06,5.146147247225841e-07,1.7268559038829956e-06,0.3557120822512265,0.06441657535037981,0.35571254340038283,0.42012865760160634,0.1456482145995797,0.0025164206418656376,0.6933505342436931,0.3557120822512265,0.003829665032275811,0.5331445857932308,0.5331445857932309,0.001066668186163767,0.046726756605162914,0.046726756605162914,0.003829665032275811,348,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,2524,621,1.585168664404176,1.099514503347026,0.001046899451872584,2.796072768113834e-05,85,71,False,1e-05,2.8157861150954e-05,True,0.4784624138183232,0.46925571084293477,0.1264784645102582,0.12109273136499427,0.15689898165895483,0.7122161894577569,0.611902157140759,0.4731213864236943,0.019675497958452994,0.9723360683550004,0.2355922722385199,0.6116654753006963,0.5001917033164235,0.4999541290390728,0.9230947088377087,0.28744602897180493,7,2.442794160788338e-05,True,0,583,0.2282039189197478,False,"alpha_e~0,alpha_p~pi/2",0/pi,W narrow alpha_e capture bands
muon,gradient_local_minimum_0008,gradient,gradient,gradient,0.1056583755,1.3588896808598174,1.165714236363191,0.18178601852413268,0.16754385253610732,0.0,0.0,3.141592653589793,0.0,0.06244046281360055,2.941323257898218,3.1412393546213946,0.0,3.6313067616049723,0.3165393030775784,6.282832008211187,-0.98001302161643,0.07792620301177995,0.35840778311622,-0.12080706960873668,0.7582676324595639,1.25398382302635,1.0193410971583254,0.46469687975280627,0.3165393030775784,18.13636611635767,0.024479621146009843,0.0030391878475321014,0.024479621146009843,0.0030391878475321014,False,,gradient,1664002252,3.1362788542661275,0.9753767817180318,1.0,1435.8573037126173,0.46838119889259444,1.0,0.8289118764204368,-0.20530457371706345,-0.04826835270240942,0.48114639876722004,0.471236685191627,0.6666643451989382,0.6666383143733209,0.6666569141522941,0.942800000190772,0.9428132313923139,0.9427944571105915,3.0072467257664956e-05,1.1600119941058271,0.8888766724207458,2.3849009688048373e-05,2.3998941828418108e-05,2.3304980893090743e-05,0.5350064249129097,0.002183637875002309,0.5350066297179077,0.537190062787912,0.26641159832395167,-0.0012399630308751674,0.9918709104234998,0.5350064249129097,4.163725995758147e-05,0.30453035619754854,0.30453035619754837,0.12762559065245294,0.15827958101453954,0.15827958101453954,4.163725995758147e-05,1664,sobol_screened,0.6009017671413108,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65,2289,963,3.455342790973073,0.6009017671413108,0.005797682280097947,3.0072467257664956e-05,63,49,False,1e-05,3.0072467257664956e-05,True,0.08243689965456724,0.7735558357089758,0.46941548213362694,0.1786446925252676,0.43330603931099176,0.7923459578305483,0.015064175240695477,0.4638409735634923,0.017897054744657376,0.9362522714513182,0.0,0.515615765406141,0.4999437707227901,0.5779404209924541,0.9983085651420804,0.31047207237497876,8,2.6539681184409993e-05,True,0,583,0.19183625938455157,False,"alpha_e~0,alpha_p~pi/2",0/pi,W narrow alpha_e capture bands
muon,gradient_local_minimum_0009,gradient,gradient,gradient,0.1056583755,6.295477517460068,2.5090790177792464,1.0762581968751634,0.803847385976987,0.0,0.0,3.141592653589793,0.0,0.5344307354419194,2.50302255416803,1.5595390473241262,1.5564696979007056,5.416734612777092,0.5123183623894758,3.343372181111237,-0.4612930567948389,2.9495978475901437,0.6321026755755076,-3.1568506988929306,0.060119527467053166,0.042001664773487525,2.5965732564750894,0.8634199570054051,1.7963090632952474,102.92092802791593,0.5861907421685709,0.48256431651703274,0.5861907421685709,0.48256431651703274,False,,gradient,571001988,1.6419734143671074,0.0002587803105276098,1.0,0.006947358154454778,0.024930769608538562,1.0,0.7565342523104359,-0.3202138940478329,0.08353897619754248,0.15097965440732236,0.17772999528030667,0.6666585990747801,0.6666360014159217,0.6666555445265799,0.9428027693094431,0.9428166058506944,0.9428006330957923,3.3602762419242236e-05,1.1600058336988786,0.888884415749893,3.981571339772838e-05,3.984949944441096e-05,3.9860333987229435e-05,0.12324101657917146,0.2757860819338727,0.39754156572717636,0.3990270985130442,0.19802801647065424,1.9661778575270976,0.9925542260593146,0.12324101657917146,0.09401192823696125,0.3324988823019327,0.33249888230193275,0.0048400202876685595,0.26847401918502306,0.268474019185023,0.09401192823696125,571,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61,2052,1116,6.346160498392822,0.9480559810218062,0.0002049745018504126,3.3602762419242236e-05,41,27,False,1e-05,3.376829223227311e-05,True,0.2803457826353237,0.9478041261663811,0.41916232897242256,0.06993280853048302,0.1876082311207828,0.9111740284233808,0.31585014161765607,0.04964983339286181,0.3619826523527067,0.7967368243326868,0.49543969238729263,0.4896029338990249,0.24820834832645997,0.8621000890404379,0.5226563706440042,8.23723311906495e-05,9,3.0069976345987273e-05,True,3,537,0.02271370933737784,False,"alpha_e~pi/2,alpha_p~pi",pi/2,W narrow alpha_e capture bands
