kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_deg,aligned,unpolarized_purity,unpolarized_C_e_p,unpolarized_C_p_gamma,unpolarized_C_e_gamma,unpolarized_D_W,L_proton_purity,L_proton_C_e_p,L_proton_C_p_gamma,L_proton_C_e_gamma,L_proton_D_W,L_electron_purity,L_electron_C_e_p,L_electron_C_p_gamma,L_electron_C_e_gamma,L_electron_D_W,Tx_proton_purity,Tx_proton_C_e_p,Tx_proton_C_p_gamma,Tx_proton_C_e_gamma,Tx_proton_D_W,Ty_proton_purity,Ty_proton_C_e_p,Ty_proton_C_p_gamma,Ty_proton_C_e_gamma,Ty_proton_D_W,Tx_electron_purity,Tx_electron_C_e_p,Tx_electron_C_p_gamma,Tx_electron_C_e_gamma,Tx_electron_D_W,Ty_electron_purity,Ty_electron_C_e_p,Ty_electron_C_p_gamma,Ty_electron_C_e_gamma,Ty_electron_D_W,LL_purity,LL_C_e_p,LL_C_p_gamma,LL_C_e_gamma,LL_D_W,LTx_purity,LTx_C_e_p,LTx_C_p_gamma,LTx_C_e_gamma,LTx_D_W,LTy_purity,LTy_C_e_p,LTy_C_p_gamma,LTy_C_e_gamma,LTy_D_W,TxTx_purity,TxTx_C_e_p,TxTx_C_p_gamma,TxTx_C_e_gamma,TxTx_D_W,TxTy_purity,TxTy_C_e_p,TxTy_C_p_gamma,TxTy_C_e_gamma,TxTy_D_W
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.6142142099600090e+00,7.4602399009338294e+00,6.1731655807300212e-01,-9.8888815470349520e+00,8.8094062670431936e-03,3.0084739577272415e-03,5.5045543622204640e+00,5.8562465671993413e-01,7.2521812553026113e+00,True,3.5246182003858817e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,6.8032387915124815e-01,0.0000000000000000e+00,4.2446017295123010e-03,2.8439512991638088e-04,1.1520906077121396e+00,7.0492363931646607e-01,0.0000000000000000e+00,8.2753796260992091e-05,4.9968386557654751e-04,1.1543643299740221e+00,5.0000000000084754e-01,0.0000000000000000e+00,1.2334875967151621e-02,0.0000000000000000e+00,1.1476231878142420e+00,5.2459976092508054e-01,0.0000000000000000e+00,1.1581607661698908e-02,0.0000000000000000e+00,1.1480528399949328e+00,5.0000000000084754e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8032464687984853e-01,1.0608569409205044e+00,5.0000000075986284e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8032425630034882e-01,1.0608571199788446e+00,1.0000000000000004e+00,7.3589037150075852e-06,2.5985007995803461e-03,5.0494323772223187e-04,1.1529061554640410e+00,1.0000000000000002e+00,3.9027697825207277e-05,1.2335065705618905e-02,4.9968393498603131e-04,1.1473102030119191e+00,9.9999999999999967e-01,4.5579661046573307e-05,1.4772867478555142e-02,4.9562409615727231e-04,1.1459201791660463e+00,9.9999999999999956e-01,6.1845657843256907e-01,1.2335077190210403e-02,1.8032458165631710e-01,8.1670231127782356e-01,9.9999999999999967e-01,5.8015264855090098e-01,1.1581746360373320e-02,1.8032467767384619e-01,8.2045685956101944e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.7123889803846897e+00,7.6716497585463035e+00,6.2319623159971915e-01,-9.8960673494481988e+00,8.7972178534314761e-03,3.0027391098516195e-03,5.5183613598483179e+00,5.9653844127557176e-01,0.0000000000000000e+00,True,3.5468885325321942e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,6.8422205426937222e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.2034825661189640e-04,1.1543424912721860e+00,7.0937769545719587e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.4685842884764698e-04,1.1542118115539863e+00,4.9999999999999989e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.4368957093138306e-13,1.1547005383787066e+00,5.2515565223694116e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.2923585716507787e-04,1.1545682041667604e+00,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.6239397329263159e-01,9.4765637555115434e-01,5.0000001104936020e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.6239379425741127e-01,9.4765635746596644e-01,1.0000000000000002e+00,2.5849752046065699e-12,1.7536870148231333e-08,9.1301206584509917e-04,1.1541736412331114e+00,9.9999999999999989e-01,3.5312512771954715e-11,8.4848088305624901e-08,8.4685842885076233e-04,1.1542117625257811e+00,1.0000000000000000e+00,4.4729747005431616e-11,1.0157948838898732e-07,7.9621504601210078e-04,1.1542409677928764e+00,9.9999999999999989e-01,3.0396102259980725e-07,7.9611571534799971e-08,7.6239397511716323e-01,9.4765610589603577e-01,9.9999999999999978e-01,2.8153799005203401e-07,7.7714649448397936e-08,7.6239401214980640e-01,9.4765612674572164e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.8105637508093704e+00,7.8963020065876028e+00,6.3064405449024319e-01,-9.8888815470349520e+00,8.8094062670431936e-03,3.0084739577272415e-03,5.5045543622204640e+00,6.0675579217116182e-01,7.2521812553026113e+00,True,3.5694650364853353e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,6.8820638897220610e-01,0.0000000000000000e+00,3.8152988758806557e-03,2.9024048619791877e-04,1.1523341189063239e+00,7.1389300637757869e-01,0.0000000000000000e+00,7.6898832607794729e-05,5.1181348239717111e-04,1.1543607111498835e+00,5.0000000000096245e-01,0.0000000000000000e+00,1.1090731778618969e-02,0.0000000000000000e+00,1.1483330071426261e+00,5.2568661832389885e-01,0.0000000000000000e+00,1.0413865772114533e-02,4.0775632608351244e-06,1.1487171935844112e+00,5.0000000000096245e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.9854355108140559e-01,1.0526291560821126e+00,5.0000000091852626e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.9854317468311825e-01,1.0526293234732540e+00,1.0000000000000004e+00,8.0581948964465425e-06,2.3147607899587268e-03,5.0825674725822189e-04,1.1530672930050030e+00,9.9999999999999989e-01,4.2920131093999970e-05,1.1090925808275746e-02,5.1181357585738387e-04,1.1480109144705850e+00,1.0000000000000000e+00,5.0495109598813339e-05,1.3362241290426501e-02,5.1484905331435039e-04,1.1467092205555662e+00,1.0000000000000002e+00,6.3490288215015933e-01,1.1090814824617892e-02,1.9854347261920552e-01,8.0618109648542102e-01,1.0000000000000000e+00,5.9555892692463008e-01,1.0414008828810120e-02,1.9854358830349347e-01,8.0923610773783783e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.6142142099600090e+00,8.2135884579963268e+00,6.3977233845516845e-01,-1.0858161398697717e+01,7.3583793900488248e-03,2.3480118153633950e-03,5.5045543622204640e+00,6.2213117768306070e-01,7.2521812553026113e+00,True,3.7139763244325585e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.1693519716593579e-01,0.0000000000000000e+00,4.0645140264034966e-03,3.1311123717861641e-04,1.1521775548766235e+00,7.4279526389497663e-01,0.0000000000000000e+00,3.4529452935795689e-05,4.9774380419275040e-04,1.1543932971904938e+00,5.0024844631508258e-01,0.0000000000000000e+00,1.2491254912852077e-02,0.0000000000000000e+00,1.1475340335833886e+00,5.2561162140549311e-01,0.0000000000000000e+00,1.1824925469732229e-02,0.0000000000000000e+00,1.1479140189503401e+00,5.0000000000968270e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.6733213339079414e-01,1.0668757495653944e+00,5.0000000098185216e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.6733178473952218e-01,1.0668759127462220e+00,9.9999999999999978e-01,8.2974370011957402e-06,2.4281792318461993e-03,5.0310781410038067e-04,1.1530047860250936e+00,1.0000000000000000e+00,4.3624276529604798e-05,1.2222412314170761e-02,4.9804087880908230e-04,1.1473727383394463e+00,1.0000000000000000e+00,5.3849405684131144e-05,1.5236793627252554e-02,4.9379764455423142e-04,1.1456525734470828e+00,9.9999999999999956e-01,6.7309965212253497e-01,1.2491435818010235e-02,1.6733320210213759e-01,8.2299485101170833e-01,9.9999999999999967e-01,6.3693752172357776e-01,1.1825103160758882e-02,1.6732107964742557e-01,8.2404326987695220e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.7123889803846897e+00,8.4236029278202125e+00,6.4488786983324808e-01,-1.0866051571548994e+01,7.3480123969019151e-03,2.3434512042795875e-03,5.5183613598483179e+00,6.3297734313585630e-01,0.0000000000000000e+00,True,3.7370354880840972e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.2103711624587019e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.1587416698212006e-04,1.1543450727916442e+00,7.4740708689153634e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.7829752686704528e-04,1.1542513630247748e+00,5.0025334522663389e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.0850461185042316e-05,1.1546885004853740e+00,5.2611663614433812e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.1169860961256504e-04,1.1545783270687258e+00,5.0000000010304169e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.1076423229558505e-01,9.4383975556409239e-01,5.0000001062222532e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.1076411368800707e-01,9.4383975002258125e-01,1.0000000000000002e+00,5.7991925068907896e-12,1.4442810524520379e-08,8.3739738634553112e-04,1.1542172609411290e+00,1.0000000000000000e+00,3.2660510241948847e-11,7.3498931517210179e-08,7.8155535399728870e-04,1.1542494411151594e+00,9.9999999999999989e-01,3.1919712275802870e-11,9.1744480560529027e-08,7.3445586622000779e-04,1.1542766028564964e+00,9.9999999999999978e-01,2.6499694607158650e-07,7.3703096565275417e-08,7.1076251811241298e-01,9.4383943624094935e-01,1.0000000000000000e+00,2.5356257178278932e-07,6.9359254895164020e-08,7.1078169770283595e-01,9.4384034364390479e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.8105637508093704e+00,8.6475508054234815e+00,6.5155068124375759e-01,-1.0858161398697717e+01,7.3583793900488248e-03,2.3480118153633950e-03,5.5045543622204640e+00,6.4316056094136387e-01,7.2521812553026113e+00,True,3.7601786497517786e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.2518640296732828e-01,0.0000000000000000e+00,3.6801349428736072e-03,3.2119482086610720e-04,1.1523939749673249e+00,7.5203572879966740e-01,0.0000000000000000e+00,3.1881004299809663e-05,5.1448024573790788e-04,1.1543851685520470e+00,5.0025795046121391e-01,0.0000000000000000e+00,1.1311687878090646e-02,0.0000000000000000e+00,1.1482068790561497e+00,5.2659137652181343e-01,0.0000000000000000e+00,1.0708468431705694e-02,1.8681836216868149e-07,1.1485511732741518e+00,5.0000000001123079e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8584861911007489e-01,1.0583359030785178e+00,5.0000000113945708e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.8584826592719572e-01,1.0583360635349017e+00,1.0000000000000000e+00,8.8798691280933533e-06,2.1813675170052854e-03,5.1075364747366525e-04,1.1531422366448303e+00,1.0000000000000000e+00,4.6984926981279500e-05,1.1063815025456216e-02,5.1426384433158527e-04,1.1480226143019905e+00,1.0000000000000000e+00,5.8359842828635247e-05,1.3873285123265758e-02,5.1744768408344037e-04,1.1464120618976921e+00,9.9999999999999978e-01,6.8860979138080125e-01,1.1311817191045870e-02,1.8584743442230767e-01,8.1311660513698059e-01,1.0000000000000000e+00,6.5160487490130070e-01,1.0708642008746860e-02,1.8586033448405262e-01,8.1343869882813014e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,4.6142142099600090e+00,8.9617816148587188e+00,6.5960967922974612e-01,-1.1818106555526704e+01,6.2333536929381501e-03,1.8682132976640632e-03,5.5045543622204640e+00,6.5838787308574243e-01,7.2521812553026113e+00,True,3.9082580056504346e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.5526605982101103e-01,0.0000000000000000e+00,3.8435321264234843e-03,3.4088582047113117e-04,1.1522885916064993e+00,7.8165159989577737e-01,0.0000000000000000e+00,1.5055738788783761e-05,4.9637742789951931e-04,1.1544053313553440e+00,5.0100423720563492e-01,0.0000000000000000e+00,1.2511050745367850e-02,0.0000000000000000e+00,1.1475227486765840e+00,5.2538130410344142e-01,0.0000000000000000e+00,1.1953168545821163e-02,0.0000000000000000e+00,1.1478408659350490e+00,5.0000000004701006e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5312489674244961e-01,1.0735986393181516e+00,5.0000000118729959e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5312459757496455e-01,1.0735987824210100e+00,1.0000000000000000e+00,9.0945061643955888e-06,2.2517528028026665e-03,5.0168887390090295e-04,1.1531067920714442e+00,1.0000000000000002e+00,4.7452947617445246e-05,1.1971535341761754e-02,4.9691316247773578e-04,1.1475142838168810e+00,9.9999999999999967e-01,6.1504478128884574e-05,1.5451325491814537e-02,4.9277584956590708e-04,1.1455267415666386e+00,9.9999999999999978e-01,7.2428707819210003e-01,1.2511203942333748e-02,1.5312925829346041e-01,8.3364269986314621e-01,1.0000000000000004e+00,6.9211851863643536e-01,1.1953367281900707e-02,1.5310304636788533e-01,8.3249317910380982e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175990631589e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,4.7123889803846897e+00,9.1683143770145925e+00,6.6404187084688493e-01,-1.1826694315343644e+01,6.2244174903881115e-03,1.8645247934120906e-03,5.5183613598483179e+00,6.6906531845169614e-01,0.0000000000000000e+00,True,3.9313247864642120e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.5943255112075869e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.0415765324151049e-04,1.1543518331956457e+00,7.8626494711823314e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.1546962814057747e-04,1.1542876096215946e+00,5.0102124494083744e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.7905561039848392e-05,1.1546786540081668e+00,5.2581116123112159e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.9056441356718083e-04,1.1545905264479579e+00,5.0000000038725234e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.5381196169628431e-01,9.4289667107735853e-01,5.0000000978744463e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.5381188282303060e-01,9.4289667215265716e-01,1.0000000000000002e+00,2.1551533067042088e-12,1.1708325590930685e-08,7.6708115639196814e-04,1.1542578270289832e+00,9.9999999999999956e-01,2.6957737474589405e-11,6.2108033083498857e-08,7.2079944565555992e-04,1.1542844987744498e+00,1.0000000000000004e+00,3.5007369765071954e-11,8.0474447542938501e-08,6.7922996231769195e-04,1.1543084715062022e+00,1.0000000000000004e+00,2.3012415274248616e-07,6.2422845323757376e-08,6.5380565451722239e-01,9.4289655024280894e-01,9.9999999999999967e-01,2.2070774772383060e-07,6.2040594328571785e-08,6.5384370179444051e-01,9.4289603897739771e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,4.8105637508093704e+00,9.3894649094255787e+00,6.6999767930851173e-01,-1.1818106555526704e+01,6.2333536929381501e-03,1.8682132976640632e-03,5.5045543622204640e+00,6.7911297969451334e-01,7.2521812553026113e+00,True,3.9542375059850465e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.6360311671759695e-01,0.0000000000000000e+00,3.5020510250232577e-03,3.5116923906872621e-04,1.1524791078348278e+00,7.9084749981261238e-01,0.0000000000000000e+00,1.3631201259876637e-05,5.1651144816220840e-04,1.1543945354328922e+00,5.0103692488916407e-01,0.0000000000000000e+00,1.1398566672413268e-02,0.0000000000000000e+00,1.1481572939971978e+00,5.2620745959024817e-01,0.0000000000000000e+00,1.0890205339771520e-02,0.0000000000000000e+00,1.1484474981989006e+00,5.0000000005272627e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.7172247985813205e-01,1.0648279846737925e+00,5.0000000133167066e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.7172215862807400e-01,1.0648281339852237e+00,1.0000000000000004e+00,9.5687329291668010e-06,2.0383188368303614e-03,5.1275871362015232e-04,1.1532231163333342e+00,9.9999999999999989e-01,5.0229744298639475e-05,1.0899392229597392e-02,5.1612281408961304e-04,1.1481135567846850e+00,1.0000000000000000e+00,6.5453109079899259e-05,1.4144555905101133e-02,5.1919856134787531e-04,1.1462524731542798e+00,1.0000000000000002e+00,7.3856772595962172e-01,1.1398757469238052e-02,1.7171788583865935e-01,8.2433008606658864e-01,1.0000000000000000e+00,7.0576941195533260e-01,1.0890413943921567e-02,1.7174569170883897e-01,8.2250731898105478e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2228023006253963e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.4361169648638361e+00,2.9452431127404299e-01,4.6142142099600090e+00,9.6976138624164374e+00,6.7709777479655475e-01,-1.2759472220902245e+01,5.3520334636263439e-03,1.5142998685707628e-03,5.5045543622204640e+00,6.9404557113132559e-01,7.2521812553026113e+00,True,4.1004416430124124e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1547005383792515e+00,7.9397005808146848e-01,0.0000000000000000e+00,3.5864003290861290e-03,3.6712642989544748e-04,1.1524213471515068e+00,8.2008832713321278e-01,0.0000000000000000e+00,7.3765173135745455e-05,4.9555435603170482e-04,1.1543719035229492e+00,5.0220085529374114e-01,0.0000000000000000e+00,1.2384880367748831e-02,0.0000000000000000e+00,1.1475946779117581e+00,5.2391741522727286e-01,0.0000000000000000e+00,1.1945375571108668e-02,0.0000000000000000e+00,1.1478453109642968e+00,5.0000000012437273e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3792113817253684e-01,1.0809536173173322e+00,5.0000000134489719e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3792089703064991e-01,1.0809537352712522e+00,9.9999999999999978e-01,9.7417627954620271e-06,2.0726328107367352e-03,5.0065272930599762e-04,1.1532102338621413e+00,1.0000000000000002e+00,5.0360542440227568e-05,1.1594833622655560e-02,4.9623796232812817e-04,1.1477279495239590e+00,1.0000000000000000e+00,6.7985862902054857e-05,1.5381578457302692e-02,4.9249999120096438e-04,1.1455627820940018e+00,1.0000000000000000e+00,7.7107746031464408e-01,1.2384995419296331e-02,1.3793073676852952e-01,8.4767199005611849e-01,1.0000000000000002e+00,7.4427468492663607e-01,1.1945586861346242e-02,1.3788967161780677e-01,8.4515549299083803e-01
