polarization,polarization_label,rank,D_W,purity,C_e_p,C_p_gamma,C_e_gamma,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_deg,aligned
unpolarized,Unpolarized,1,1.1546836965010392e+00,4.9997859865388811e-01,2.9171414250321683e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1169776918849203e-01,1.8000000000000000e+00,1.5707949999999999e+00,5.2032628325080950e+00,2.0616701789183018e+00,2.1598449493429825e+00,1.6833197482714333e+01,8.4591009766531422e-01,-3.2394089105683106e+00,5.7902983782226081e-02,3.9893622717376793e-02,3.9461577409646851e+00,9.6431049987786932e-01,1.7812228776742094e+02,False
unpolarized,Unpolarized,2,1.1546836965013245e+00,4.9997859865388816e-01,2.9171413756506706e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1169776918849203e-01,1.8000000000000000e+00,1.5707949999999999e+00,4.2215151282612844e+00,1.0799224746714913e+00,9.8174770424681035e-01,1.6833197482714333e+01,8.4591009766531422e-01,-3.2394089105683106e+00,5.7902983782226081e-02,3.9893622717376793e-02,3.9461577409646824e+00,9.6431049987786899e-01,1.7812228776742114e+02,False
unpolarized,Unpolarized,3,1.1546837493203777e+00,4.9997844514037038e-01,2.9079925807926132e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.0640153408455078e-01,1.8000000000000000e+00,1.5707949999999999e+00,5.1050880620834143e+00,1.9634954084936211e+00,2.0616701789183018e+00,1.6835000007350732e+01,8.4616529689362519e-01,-3.2355375449084338e+00,5.8004190139748883e-02,3.9989263494593606e-02,3.9404838506699713e+00,9.6412289735280132e-01,1.7848290489318305e+02,False
unpolarized,Unpolarized,4,1.1546837493203801e+00,4.9997844514037049e-01,2.9079925803710892e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.0640153408455078e-01,1.8000000000000000e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.0799224746714913e+00,1.6835000007350736e+01,8.4616529689362519e-01,-3.2355375449084334e+00,5.8004190139748897e-02,3.9989263494593613e-02,3.9404838506699691e+00,9.6412289735280166e-01,1.7848290489318256e+02,False
unpolarized,Unpolarized,5,1.1546838591617545e+00,4.9997838847048837e-01,2.8889669447703290e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1846406287587699e-01,1.8000000000000000e+00,1.5707949999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,2.2580197197676637e+00,1.6829490152216682e+01,8.4555652610274590e-01,-3.2433454549270557e+00,5.7800344367587596e-02,3.9796689347338848e-02,3.9538016158296241e+00,9.6450126089827504e-01,1.7772481795763903e+02,False
unpolarized,Unpolarized,6,1.1546838591617943e+00,4.9997838847048826e-01,2.8889669378701405e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1846406287587699e-01,1.8000000000000000e+00,1.5707949999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,8.8357293382212931e-01,1.6829490152216682e+01,8.4555652610274568e-01,-3.2433454549270557e+00,5.7800344367587596e-02,3.9796689347338848e-02,3.9538016158296250e+00,9.6450126089827526e-01,1.7772481795763886e+02,False
unpolarized,Unpolarized,7,1.1546839223086731e+00,4.9997809055761155e-01,2.8780292622594415e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.0233656224036637e-01,1.8000000000000000e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.2762720155208536e+00,1.1780972450961724e+00,1.6835343943948093e+01,8.4634535264635935e-01,-3.2317112253026155e+00,5.8104470043307099e-02,4.0084029524107875e-02,3.9363135944700081e+00,9.6393747771474048e-01,1.7881579752115476e+02,False
unpolarized,Unpolarized,8,1.1546839223086900e+00,4.9997809055761144e-01,2.8780292593189049e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.0233656224036637e-01,1.8000000000000000e+00,1.5707949999999999e+00,5.0069132916587327e+00,1.8653206380689404e+00,1.9634954084936207e+00,1.6835343943948089e+01,8.4634535264635924e-01,-3.2317112253026146e+00,5.8104470043307155e-02,4.0084029524107910e-02,3.9363135944700085e+00,9.6393747771474048e-01,1.7881579752115476e+02,False
unpolarized,Unpolarized,9,1.1546841674975821e+00,4.9997761645500216e-01,2.8355600841699360e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.9330465713654503e-02,1.8000000000000000e+00,1.5707949999999999e+00,4.9087385212340520e+00,1.7671458676442597e+00,1.8653206380689396e+00,1.6834512783804801e+01,8.4646577663037881e-01,-3.2278993622990360e+00,5.8204630585237137e-02,4.0178748153569657e-02,3.9333328916082717e+00,9.6375275862900389e-01,1.7912828550225547e+02,False
unpolarized,Unpolarized,10,1.1546841674976531e+00,4.9997761645500227e-01,2.8355600718669661e-05,0.0000000000000000e+00,0.0000000000000000e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.9330465713654503e-02,1.8000000000000000e+00,1.5707949999999999e+00,4.5160394395353274e+00,1.3744467859455343e+00,1.2762720155208536e+00,1.6834512783804804e+01,8.4646577663037881e-01,-3.2278993622990364e+00,5.8204630585237123e-02,4.0178748153569643e-02,3.9333328916082713e+00,9.6375275862900411e-01,1.7912828550225589e+02,False
