detail_id,selected_observable,selected_region,alpha_e,alpha_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,1.0712526846498855e-04,2.3528343153149627e+00,k,2.2867872806695355e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2843450647217618e+00,2.2843450647217618e+00,0.0000000000000000e+00,2.2621587123373871e+01,4.7562156304538874e+00,2.2843450647217618e+00,1.9316148811373828e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7471657802556653e-05,6.0749269736494038e-01,3.3741139638152579e-01,5.1425196140974549e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,1.0712526846498855e-04,2.3528343153149627e+00,p,2.4694283497843523e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2843450647217618e+00,2.2843450647217618e+00,0.0000000000000000e+00,2.2621587123373871e+01,4.7562156304538874e+00,2.2843450647217618e+00,1.9316148811373828e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7471657802556653e-05,6.0749269736494038e-01,3.3741139638152579e-01,5.1425196140974549e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,1.0712526846498855e-04,2.3528343153149627e+00,kp,2.2714849636714880e+00,-5.1326648939972555e-06,-2.8997215246170352e-06,-2.2690262774674097e+00,2.2690262774750676e+00,3.6558446149995385e+00,2.2621587123373871e+01,4.7562156304538874e+00,2.2843450647217618e+00,1.9316148811373828e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7471657802556653e-05,6.0749269736494038e-01,3.3741139638152579e-01,5.1425196140974549e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,1.0712526846498855e-04,2.3528343153149627e+00,pp,2.1473192704000459e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9316148811373828e+00,1.9316148811373828e+00,0.0000000000000000e+00,2.2621587123373871e+01,4.7562156304538874e+00,2.2843450647217618e+00,1.9316148811373828e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7471657802556653e-05,6.0749269736494038e-01,3.3741139638152579e-01,5.1425196140974549e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_3,C_p_gamma,polarization_cluster_01_local_minimum_3,1.0712526846498855e-04,2.3528343153149627e+00,qout,3.3741139638152579e-01,5.1326648939972555e-06,2.8997215246170352e-06,3.3741139633002687e-01,3.3741139638152579e-01,5.1425196140974549e-01,2.2621587123373871e+01,4.7562156304538874e+00,2.2843450647217618e+00,1.9316148811373828e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7471657802556653e-05,6.0749269736494038e-01,3.3741139638152579e-01,5.1425196140974549e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,0.0000000000000000e+00,2.3261676861073051e+00,k,2.1226096640659273e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.1199783238686121e+00,2.1199783238686121e+00,0.0000000000000000e+00,1.9720983670183845e+01,4.4408314165462137e+00,2.1199783238686121e+00,7.6424573076739799e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1659440636782397e+00,1.2319338018701662e+00,4.4604317087109422e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,0.0000000000000000e+00,2.3261676861073051e+00,p,2.3182217524802864e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1199783238686121e+00,2.1199783238686121e+00,0.0000000000000000e+00,1.9720983670183845e+01,4.4408314165462137e+00,2.1199783238686121e+00,7.6424573076739799e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1659440636782397e+00,1.2319338018701662e+00,4.4604317087109422e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,0.0000000000000000e+00,2.3261676861073051e+00,kp,1.9989738414582676e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9961795326375642e+00,1.9961795326375642e+00,0.0000000000000000e+00,1.9720983670183845e+01,4.4408314165462137e+00,2.1199783238686121e+00,7.6424573076739799e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1659440636782397e+00,1.2319338018701662e+00,4.4604317087109422e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,0.0000000000000000e+00,2.3261676861073051e+00,pp,1.2099237732172197e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,7.6424573076739799e-01,7.6424573076739799e-01,3.1415926535897931e+00,1.9720983670183845e+01,4.4408314165462137e+00,2.1199783238686121e+00,7.6424573076739799e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1659440636782397e+00,1.2319338018701662e+00,4.4604317087109422e+00
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_4,C_p_gamma,polarization_cluster_01_local_minimum_4,0.0000000000000000e+00,2.3261676861073051e+00,qout,1.2319338018701662e+00,-0.0000000000000000e+00,-0.0000000000000000e+00,1.2319338018701662e+00,1.2319338018701662e+00,3.1415926535897931e+00,1.9720983670183845e+01,4.4408314165462137e+00,2.1199783238686121e+00,7.6424573076739799e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1659440636782397e+00,1.2319338018701662e+00,4.4604317087109422e+00
