detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_321,C_p_gamma,polarization_cluster_01_local_minimum_321,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.9056188572041726e-04,7.9246408887726649e-01,p_gamma_lepton,|-1+1+1>,5,1,-1,1,6.4706561607518172e+00,8.1056237893050849e+00,1.0371621289095739e+01,8.9709760040359721e-01,1.0757052816442395e+02,4.9975561981961691e-01,1,9.9950615198218196e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_321,C_p_gamma,polarization_cluster_01_local_minimum_321,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.9056188572041726e-04,7.9246408887726649e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-9.9852582477420562e+00,-2.8042914953994655e+00,1.0371568495906033e+01,-2.8678022583171172e+00,1.0756943306527052e+02,4.9975053216256504e-01,2,9.9950615198218196e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_322,C_p_gamma,polarization_cluster_01_local_minimum_322,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.5170175727184464e-04,7.8881921675937006e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-9.5210635706955919e+00,1.3964167152977447e+01,1.6901142440483749e+01,2.1692172007310324e+00,2.8564861579352100e+02,4.9937342239196381e-01,1,9.9873654864051831e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_322,C_p_gamma,polarization_cluster_01_local_minimum_322,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.5170175727184464e-04,7.8881921675937006e-01,p_gamma_lepton,|-1+1+1>,5,1,-1,1,1.3913623957281299e+01,-9.5944668757652707e+00,1.6900968204655882e+01,-6.0369400822161079e-01,2.8564272625478907e+02,4.9936312624855450e-01,2,9.9873654864051831e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_330,C_p_gamma,polarization_cluster_01_local_minimum_330,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.2265163279514036e-04,2.3411263988338460e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-2.9347631608170985e+00,-3.5459503574116908e+00,4.6028902601862303e+00,-2.2621639774537905e+00,2.1186598747317262e+01,5.0000185213043380e-01,1,9.9999778227837066e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_330,C_p_gamma,polarization_cluster_01_local_minimum_330,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.2265163279514036e-04,2.3411263988338460e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-2.9347884750142654e+00,-3.5458940229279716e+00,4.6028630019709329e+00,-2.2621760177424513e+00,2.1186347814912878e+01,4.9999593014793686e-01,2,9.9999778227837066e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_331,C_p_gamma,polarization_cluster_01_local_minimum_331,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.6195099104555265e-04,2.3840874469531284e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-7.6943360487650487e+00,-2.4841093550793175e+01,2.6005436662947684e+01,-1.8711668219148603e+00,6.7628273603058381e+02,4.9787298229266208e-01,1,9.9574489166011226e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_331,C_p_gamma,polarization_cluster_01_local_minimum_331,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.6195099104555265e-04,2.3840874469531284e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-2.5840778444322172e+01,2.9215489077893984e+00,2.6005408641841235e+01,3.0290110876570040e+00,6.7628127862915085e+02,4.9787190936745018e-01,2,9.9574489166011226e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_332,C_p_gamma,polarization_cluster_01_local_minimum_332,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.5105140425001844e-05,8.8077846430831330e-01,p_gamma_lepton,|-1-1+1>,4,1,-1,-1,1.3144859236981898e-01,7.9613181607446456e-08,1.3144859236984310e-01,6.0566020656540830e-07,1.7278732436013175e-02,2.8223240280711620e-01,1,9.9999999913225890e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_332,C_p_gamma,polarization_cluster_01_local_minimum_332,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.5105140425001844e-05,8.8077846430831330e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,1.3138111177649153e-01,-4.0727153547004792e-03,1.3144422217042245e-01,-3.0989321739752572e-02,1.7277583541987371e-02,2.8221363666656307e-01,2,9.9999999913225890e-01
max_c_p_gamma_mixing_angles_polarization_01_local_minimum_332,C_p_gamma,polarization_cluster_01_local_minimum_332,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.5105140425001844e-05,8.8077846430831330e-01,p_gamma_lepton,|-1+1+1>,5,1,-1,1,1.1545526905594147e-01,-1.7889975718400673e-03,1.1546912862359310e-01,-1.5493917494699175e-02,1.3333119665091887e-02,2.1778440136908350e-01,3,9.9999999913225890e-01
