detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_Ty_proton_region_2,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_2,2,2.0126733613068382e-11,2.1690856690535938e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,2,-1,1,-1,4.3093475868997608e+04,-6.8347044489299020e+04,8.0798305383801824e+04,-1.0082447732361741e+00,6.5283661528940992e+09,3.2641830764470496e+09,8.5017778381538026e-02,3,9.6487430469019431e-01
c_ep_Ty_proton_region_2,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_2,2,2.0126733613068382e-11,2.1690856690535938e+00,high_s_high_theta_in_high_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,6.8104084038726709e+04,-4.2633835156304194e+04,8.0348056372813837e+04,-5.5932525151578427e-01,6.4558101628888702e+09,3.2279050814444351e+09,8.4072894327235553e-02,4,9.6487430469019431e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,2.7957931021278084e+05,-1.3669357834033053e+04,2.7991327593140193e+05,-4.8853691227273691e-02,7.8351442042649185e+10,3.9175721021324593e+10,4.4800528473805473e-01,1,9.8497622159347920e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-1.5581941131939020e+04,-1.7585139544648182e+05,1.7654039245995274e+05,-1.6591740829400308e+00,3.1166510169914146e+10,1.5583255084957073e+10,1.7820681915928860e-01,2,9.8497622159347920e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,1.5389280255452479e+05,-7.5238902060325745e+03,1.5407661601267854e+05,-4.8851563790607622e-02,2.3739603601918388e+10,1.1869801800959194e+10,1.3574055044777317e-01,3,9.8497622159347920e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,-5.5930228062921291e+04,1.3985414191323041e+05,1.5062327649289925e+05,1.9512322547441954e+00,2.2687371421456379e+10,1.1343685710728189e+10,1.2972399778034649e-01,4,9.8497622159347920e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,-8.5772475675690293e+03,-9.6796337067285698e+04,9.7175614458972967e+04,-1.6591767717622332e+00,9.4431000454789524e+09,4.7215500227394762e+09,5.3994650441556748e-02,5,9.8497622159347920e-01
c_ep_Ty_proton_region_3,enhanced_cluster,C_e_p,C_{ep},Ty_proton,enhanced_region_3,3,9.6953001182953358e-12,2.5541702232240766e+00,high_s_high_theta_in_mid_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,-3.0786321228466724e+04,7.6981958754341103e+04,8.2909707202699836e+04,1.9512303351785718e+00,6.8740195484374170e+09,3.4370097742187085e+09,3.9304919026459481e-02,6,9.8497622159347920e-01
c_ep_low_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_0,0,8.8847262880165090e-12,2.9102514255125698e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,4.6332702390653096e+04,1.9335572019355488e+04,5.0205414609746163e+04,3.9534783608122681e-01,2.5205836561365137e+09,1.2602918280682569e+09,3.7728755787352170e-01,1,9.9707756974930384e-01
c_ep_low_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_0,0,8.8847262880165090e-12,2.9102514255125698e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,3.5918119182921437e+04,1.4989396493624003e+04,3.8920345487695973e+04,3.9534879129200867e-01,1.5147932928816168e+09,7.5739664644080842e+08,2.2673822420577602e-01,2,9.9707756974930384e-01
c_ep_low_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_0,0,8.8847262880165090e-12,2.9102514255125698e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.7621143579279717e+04,3.1577219132303719e+04,3.6161104368798231e+04,1.0618063520643179e+00,1.3076254691711185e+09,6.5381273458555925e+08,1.9572880220646391e-01,3,9.9707756974930384e-01
c_ep_low_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_0,0,8.8847262880165090e-12,2.9102514255125698e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,1.3660321433364694e+04,2.4479344387606903e+04,2.8032885747098968e+04,1.0618054433750526e+00,7.8584268330990446e+08,3.9292134165495223e+08,1.1762698934310295e-01,4,9.9707756974930384e-01
c_ep_low_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_0,0,8.8847262880165090e-12,2.9102514255125698e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-4.7458977493162056e+03,-1.7608115585568088e+04,1.8236482114752573e+04,-1.8340691102102011e+00,3.3256927992169046e+08,1.6628463996084523e+08,4.9779840133429239e-02,5,9.9707756974930384e-01
