spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,0,-1,-1,-1,3.1035471866765579e-01,9.6683821971818257e-18,3.1035471866765579e-01,3.1152683093358212e-17
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,1,-1,-1,1,9.6385347858439774e-03,2.3289664013887537e-16,9.6385347858439774e-03,2.4163075126411164e-14
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,2,-1,1,-1,1.5569728301323002e-01,-2.2548755680531470e-18,1.5569728301323002e-01,-1.4482433632843447e-17
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,3,-1,1,1,-6.1138299625497867e-03,-2.5438666329603313e-17,6.1138299625497867e-03,-3.1415926535897891e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,4,1,-1,-1,-8.1100819095262939e-18,-1.2182724685326626e-17,1.4635306943747111e-17,-2.1581317947405232e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,5,1,-1,1,2.5638933409819074e-17,-3.3943152225331251e-17,4.2538129829426524e-17,-9.2388050100474206e-01
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,6,1,1,-1,-2.9673205782968717e-19,5.8521628761692411e-18,5.8596808994481334e-18,1.6214576224159749e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,0,-1,-1,-1,7,1,1,1,9.8206830393563983e-19,1.4413921740487995e-17,1.4447338789358666e-17,1.5027681451205854e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,0,-1,-1,-1,9.6385347858439774e-03,-2.3313491365479914e-16,9.6385347858439774e-03,-2.4187796053524870e-14
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,1,-1,-1,1,9.5707567069053274e-03,1.6210654762521834e-19,9.5707567069053274e-03,1.6937693913821675e-17
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,2,-1,1,-1,3.5071598092391361e-02,-1.1020447798469484e-16,3.5071598092391361e-02,-3.1422713528586898e-15
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,3,-1,1,1,-5.6686604636650073e-03,5.1470410322985966e-17,5.6686604636650073e-03,3.1415926535897842e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,4,1,-1,-1,-3.1723570361485429e-18,2.4938554471292152e-18,4.0352402847881595e-18,2.4753721981830998e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,5,1,-1,1,2.1680902024453091e-17,-9.9160788855472637e-18,2.3840933980411304e-17,-4.2896149409428197e-01
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,6,1,1,-1,-8.4474865046856169e-18,-1.4018161225227733e-18,8.5630086236211625e-18,-2.9771464537527002e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,1,-1,-1,1,7,1,1,1,4.4251115248864086e-18,-5.6613630947770187e-18,7.1855858563227638e-18,-9.0735517962667112e-01
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,2,-1,1,-1,0,-1,-1,-1,1.5569728301323002e-01,-5.2072132641152076e-20,1.5569728301323002e-01,-3.3444470984588320e-19
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,2,-1,1,-1,1,-1,-1,1,3.5071598092391361e-02,1.0992975484746381e-16,3.5071598092391361e-02,3.1344381444457937e-15
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,2,-1,1,-1,2,-1,1,-1,1.7671648987213340e-01,-2.0063348071599027e-18,1.7671648987213340e-01,-1.1353410248311432e-17
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,2,-1,1,-1,3,-1,1,1,-2.0934715003159320e-02,1.4650955529397784e-16,2.0934715003159320e-02,3.1415926535897865e+00
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11,2,-1,1,-1,4,1,-1,-1,-1.1981668730266880e-18,-7.8818839945702649e-19,1.4341704252484015e-18,-2.5597337168546037e+00
