selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_heavy_unpolarized_proton_unpolarized_C_heavy_p,lepton_heavy_unpolarized_proton_unpolarized_C_heavy_gamma,lepton_heavy_unpolarized_proton_unpolarized_C_p_gamma,lepton_heavy_unpolarized_proton_unpolarized_C_heavy_rest,lepton_heavy_unpolarized_proton_unpolarized_C_p_rest,lepton_heavy_unpolarized_proton_unpolarized_C_gamma_rest,lepton_heavy_unpolarized_proton_unpolarized_W_purity,lepton_heavy_unpolarized_proton_L_C_heavy_p,lepton_heavy_unpolarized_proton_L_C_heavy_gamma,lepton_heavy_unpolarized_proton_L_C_p_gamma,lepton_heavy_unpolarized_proton_L_C_heavy_rest,lepton_heavy_unpolarized_proton_L_C_p_rest,lepton_heavy_unpolarized_proton_L_C_gamma_rest,lepton_heavy_unpolarized_proton_L_W_purity,lepton_heavy_L_proton_unpolarized_C_heavy_p,lepton_heavy_L_proton_unpolarized_C_heavy_gamma,lepton_heavy_L_proton_unpolarized_C_p_gamma,lepton_heavy_L_proton_unpolarized_C_heavy_rest,lepton_heavy_L_proton_unpolarized_C_p_rest,lepton_heavy_L_proton_unpolarized_C_gamma_rest,lepton_heavy_L_proton_unpolarized_W_purity,lepton_heavy_unpolarized_proton_Tx_C_heavy_p,lepton_heavy_unpolarized_proton_Tx_C_heavy_gamma,lepton_heavy_unpolarized_proton_Tx_C_p_gamma,lepton_heavy_unpolarized_proton_Tx_C_heavy_rest,lepton_heavy_unpolarized_proton_Tx_C_p_rest,lepton_heavy_unpolarized_proton_Tx_C_gamma_rest,lepton_heavy_unpolarized_proton_Tx_W_purity,lepton_heavy_unpolarized_proton_Ty_C_heavy_p,lepton_heavy_unpolarized_proton_Ty_C_heavy_gamma,lepton_heavy_unpolarized_proton_Ty_C_p_gamma,lepton_heavy_unpolarized_proton_Ty_C_heavy_rest,lepton_heavy_unpolarized_proton_Ty_C_p_rest,lepton_heavy_unpolarized_proton_Ty_C_gamma_rest,lepton_heavy_unpolarized_proton_Ty_W_purity,lepton_heavy_Tx_proton_unpolarized_C_heavy_p,lepton_heavy_Tx_proton_unpolarized_C_heavy_gamma,lepton_heavy_Tx_proton_unpolarized_C_p_gamma,lepton_heavy_Tx_proton_unpolarized_C_heavy_rest,lepton_heavy_Tx_proton_unpolarized_C_p_rest,lepton_heavy_Tx_proton_unpolarized_C_gamma_rest,lepton_heavy_Tx_proton_unpolarized_W_purity,lepton_heavy_Ty_proton_unpolarized_C_heavy_p,lepton_heavy_Ty_proton_unpolarized_C_heavy_gamma,lepton_heavy_Ty_proton_unpolarized_C_p_gamma,lepton_heavy_Ty_proton_unpolarized_C_heavy_rest,lepton_heavy_Ty_proton_unpolarized_C_p_rest,lepton_heavy_Ty_proton_unpolarized_C_gamma_rest,lepton_heavy_Ty_proton_unpolarized_W_purity,lepton_heavy_L_proton_L_C_heavy_p,lepton_heavy_L_proton_L_C_heavy_gamma,lepton_heavy_L_proton_L_C_p_gamma,lepton_heavy_L_proton_L_C_heavy_rest,lepton_heavy_L_proton_L_C_p_rest,lepton_heavy_L_proton_L_C_gamma_rest,lepton_heavy_L_proton_L_W_purity,lepton_heavy_L_proton_Tx_C_heavy_p,lepton_heavy_L_proton_Tx_C_heavy_gamma,lepton_heavy_L_proton_Tx_C_p_gamma,lepton_heavy_L_proton_Tx_C_heavy_rest,lepton_heavy_L_proton_Tx_C_p_rest,lepton_heavy_L_proton_Tx_C_gamma_rest,lepton_heavy_L_proton_Tx_W_purity,lepton_heavy_L_proton_Ty_C_heavy_p,lepton_heavy_L_proton_Ty_C_heavy_gamma,lepton_heavy_L_proton_Ty_C_p_gamma,lepton_heavy_L_proton_Ty_C_heavy_rest,lepton_heavy_L_proton_Ty_C_p_rest,lepton_heavy_L_proton_Ty_C_gamma_rest,lepton_heavy_L_proton_Ty_W_purity,lepton_heavy_Tx_proton_Tx_C_heavy_p,lepton_heavy_Tx_proton_Tx_C_heavy_gamma,lepton_heavy_Tx_proton_Tx_C_p_gamma,lepton_heavy_Tx_proton_Tx_C_heavy_rest,lepton_heavy_Tx_proton_Tx_C_p_rest,lepton_heavy_Tx_proton_Tx_C_gamma_rest,lepton_heavy_Tx_proton_Tx_W_purity,lepton_heavy_Tx_proton_Ty_C_heavy_p,lepton_heavy_Tx_proton_Ty_C_heavy_gamma,lepton_heavy_Tx_proton_Ty_C_p_gamma,lepton_heavy_Tx_proton_Ty_C_heavy_rest,lepton_heavy_Tx_proton_Ty_C_p_rest,lepton_heavy_Tx_proton_Ty_C_gamma_rest,lepton_heavy_Tx_proton_Ty_W_purity
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_0,0,1,5.0946407979092334e-01,9.9999999999999978e-01,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9927683372268068e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.9087385212340520e+00,8.8029148492417075e-01,9.5743899197361704e-02,-1.9083567402595416e+00,9.1937830854182998e+00,4.6823337595958814e-01,2.2161633374416713e+01,9.9558052051952417e-01,4.8154789285182281e-01,9.9558052051952417e-01,4.8154789285182281e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1524050021209862e-01,0.0000000000000000e+00,2.7537821136700436e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.1166058488464680e-02,0.0000000000000000e+00,1.1923886535365952e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3722975878104129e-01,0.0000000000000000e+00,1.0514890618318143e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1751368060895530e-02,0.0000000000000000e+00,8.5454534380262209e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2853266279752519e-01,0.0000000000000000e+00,9.1184361554843441e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5068956242698213e-01,0.0000000000000000e+00,9.0404409042212097e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.8213953761191021e-02,4.0170286021508336e-02,3.0388265232983719e-01,1.1502875938409771e-02,3.2720931892805166e-01,1.2187529640033926e-01,3.2493784429081496e-01,5.4432048025830300e-02,1.3146422016089154e-01,2.0538794753084422e-01,5.3770292543286469e-03,3.3566414449183318e-01,2.6554683402207169e-01,3.0889559511490750e-01,4.2003809893773551e-02,1.4853847164196782e-01,3.3238493600722702e-02,8.8401562053332106e-03,3.4918009632266400e-01,3.4770690325731934e-01,3.1613479794528782e-01,2.4096516756984335e-01,7.3983027305642185e-02,9.0032584153735462e-01,7.8662623813994054e-02,9.8886862231055006e-01,4.1648809627190048e-01,9.8922973699334782e-01,1.5136503084426731e-01,6.2213518880130360e-02,9.2373042327711907e-01,6.8930345021003425e-02,9.9517249364613958e-01,3.7661889154963363e-01,9.9561496703238528e-01,5.0946407979092334e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_0,0,2,5.0304784266767766e-01,1.0000000000000002e+00,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9927683372268068e+00,1.5707949999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.0000000000000000e+00,4.9087385212340520e+00,6.9579890129234179e-01,7.7227429068264228e-02,-1.4174578403080684e+00,9.1937830854182998e+00,4.5883774631852947e-01,2.2161633374416713e+01,8.4237736235970218e-01,4.8154789285182281e-01,8.4237736235970218e-01,4.8154789285182281e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1319004409435113e-01,0.0000000000000000e+00,2.8193221542895286e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1326438498784505e-01,0.0000000000000000e+00,2.4303126432374117e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1823967825701066e-01,0.0000000000000000e+00,1.1232178649018201e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0534092118184092e-02,0.0000000000000000e+00,7.2766268249001342e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2336460706585768e-01,0.0000000000000000e+00,9.1654306270776420e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5459991128127427e-01,0.0000000000000000e+00,9.0953223772206115e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.5068660878613464e-02,4.9543180168615933e-02,4.1542358678452435e-01,6.5860111710688875e-03,4.3258534963365863e-01,1.2081681049307108e-01,4.2978940596983606e-01,4.6578144266741270e-02,1.6352390882580495e-01,3.2684364261406929e-01,4.9191209585591845e-02,4.1584390051795950e-01,2.6176164358974013e-01,3.8549429979509969e-01,3.1628201198269396e-02,1.8087144200560579e-01,1.7651844819387466e-01,4.7314632021765522e-02,3.7628338905205294e-01,3.3566218200893339e-01,3.3333674381857487e-01,1.9304106506531593e-01,6.1691474389181530e-02,8.9271780399624456e-01,7.6749458926453795e-02,9.6620239334077584e-01,3.7748174267200685e-01,9.6728057238489884e-01,1.0775115829074061e-01,5.8742516962170047e-02,9.3323442669598444e-01,7.9526615625191088e-02,9.9587210307432628e-01,3.5659393450988763e-01,9.9731391533021552e-01,5.0304784266767766e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_1,1,1,5.0088027836778659e-01,9.9999999999999989e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0892782708873359e+00,1.5707949999999999e+00,3.9269908169872414e+00,7.8539816339744828e-01,2.5000000000000000e-01,4.9087385212340520e+00,2.1474511505787643e+00,4.9742815193041778e-01,-2.5786775551260881e+00,3.0495010433281182e+00,2.1985680351939726e-01,1.2765014943009470e+01,2.9041403949844380e-01,7.4800837224790986e-02,2.9041403949844380e-01,7.4800837224790986e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0359290606177233e-01,0.0000000000000000e+00,2.0012129084757391e-01,2.3584013292179462e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.7021840684882122e-02,0.0000000000000000e+00,1.5708302962394169e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7827166317640195e-01,0.0000000000000000e+00,7.5822873232013782e-02,4.2974908903837782e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0137429468739870e-01,0.0000000000000000e+00,7.5823068568164440e-02,4.2975025525163482e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0526447452989713e-01,0.0000000000000000e+00,9.0644899678922108e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4014621400853656e-01,0.0000000000000000e+00,9.0644577886746103e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1644193521682919e-02,1.7015015115624223e-02,3.4400826776366439e-02,3.0235687493575227e-02,1.2309910868071815e-01,1.2200069880428885e-01,1.2561081415891853e-01,7.2252963731083267e-02,4.8386505353964042e-02,7.1720957029465640e-02,5.5410374903503333e-02,2.6760624149851042e-01,2.6370345940557927e-01,2.6896497203624775e-01,6.1952549475630121e-02,5.4709295710518739e-02,2.6262477761604780e-01,7.4527205364369492e-02,4.1576040420842447e-01,3.3081602675400978e-01,4.1882921446161470e-01,3.2302220112271940e-01,5.7423701070337022e-02,9.1934083262557731e-01,8.5621436604012516e-02,9.9476761059939234e-01,3.8949462527205631e-01,9.9679293110147260e-01,2.0141678815968941e-01,4.7900871072240947e-02,8.9822460974076079e-01,7.0972348254862191e-02,9.5737563910193613e-01,3.3881814522111886e-01,9.5880691262020057e-01,5.0088027836778659e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_1,1,2,4.8122107007024389e-01,1.0000000000000002e+00,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0892782708873359e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.9087385212340520e+00,1.6502744615720166e+00,4.3201676769729414e-01,-1.9984630473822151e+00,3.0495010433281182e+00,1.9453715140049582e-01,1.2765014943009470e+01,2.4889513012988104e-01,7.4800837224790986e-02,2.4889513012988104e-01,7.4800837224790986e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0851910050945144e-01,0.0000000000000000e+00,3.1673398136866560e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2742801570547688e-01,0.0000000000000000e+00,4.9216060895355279e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4907363603630719e-02,0.0000000000000000e+00,1.3289061858172244e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1582632772687010e-02,0.0000000000000000e+00,1.0826627565042235e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3073449958450390e-01,0.0000000000000000e+00,8.6456158721338860e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2894274571195836e-01,0.0000000000000000e+00,8.7647508035835320e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0484295670641729e-01,3.1558323698978388e-02,6.2784377087999377e-01,2.5188808139983254e-02,6.3600969024173626e-01,1.0466612727165744e-01,6.3572547060732976e-01,2.5228323520823222e-02,9.9879248763730347e-02,5.5951646032430247e-01,7.5108011097294966e-02,5.9439248934980027e-01,2.1420778057526424e-01,5.9073494911365665e-01,2.4396395215438366e-02,1.1105347789619800e-01,4.2317593731691788e-01,8.6553049101214127e-02,5.0112299077402878e-01,2.8202448203263147e-01,4.9626888677033920e-01,1.2754537563722923e-01,3.5105478671745308e-02,8.2299364402219377e-01,6.9003353193656469e-02,9.0238621881584757e-01,3.7648878739959107e-01,9.0433951403658086e-01,9.7188883748743710e-02,4.4989777642930093e-02,9.0256580549983634e-01,7.1653986835805095e-02,9.6665008661159779e-01,3.5344256175275945e-01,9.6825750891511075e-01,4.8122107007024389e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_2,2,1,4.4463838167329867e-01,9.9999999999999967e-01,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.5721104487859965e+00,1.5707949999999999e+00,3.6324665057131984e+00,4.9087385212340529e-01,1.0000000000000000e+00,3.5342917352885173e+00,7.5032689666163259e+00,6.0667467214356718e-01,-3.5616550774899856e+00,5.7444375981829934e+00,6.2985651684657395e-01,1.0533803661218565e+02,2.3541369190532246e-01,2.2062206364686245e+00,2.3541369190532246e-01,2.2062206364686245e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5457138280856592e-01,0.0000000000000000e+00,1.1244719572500611e-02,4.0555702672272480e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.2728621088180362e-02,0.0000000000000000e+00,1.6650301143638321e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7324543111446176e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0974141778602696e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1336666792343897e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0549939710528761e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5841062124627406e-01,0.0000000000000000e+00,6.9003334375724712e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4706757371120278e-01,0.0000000000000000e+00,6.7881513310375496e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3996696532220720e-01,1.3932596455903570e-01,4.8678116108878677e-01,1.0936653821938813e-01,5.2808529722119957e-01,2.3211898154775731e-01,5.2098310391637170e-01,2.1020668276171459e-01,1.6146402433200152e-01,1.9046030266154262e-01,1.3268002027923850e-01,3.0459852188202036e-01,2.7222990283861637e-01,2.9036806745436217e-01,2.1544513661075129e-01,1.1480320871680451e-01,1.3362916310504719e-01,9.1003920440499778e-02,2.1494358697120650e-01,1.9137843605285887e-01,2.0323061272883264e-01,3.6861103430886194e-01,2.1561063470793212e-02,6.8279960938920359e-01,1.1569376597393873e-01,9.6560343057856934e-01,6.9250250786051659e-01,9.7227061773511214e-01,1.8295157945719526e-01,2.1224292934254652e-02,7.0429154788703840e-01,1.1594242145257251e-01,9.8031563201855976e-01,6.9168981126476381e-01,9.8691991256864142e-01,4.4463838167329867e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_2,2,2,4.3463516864863144e-01,1.0000000000000000e+00,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.7286284617152807e+00,1.5707949999999999e+00,3.9269908169872414e+00,7.8539816339744828e-01,1.0000000000000000e+00,3.8288160465625602e+00,4.8408099526550723e+00,4.4137701698943321e-01,-2.1613095476167019e+00,7.0065510822678476e+00,5.5854130346928732e-01,8.5863875993363024e+01,2.3541369190532269e-01,1.5751638944248314e+00,2.3541369190532269e-01,1.5751638944248314e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4855329715418775e-01,0.0000000000000000e+00,5.9641360973259326e-04,5.8814477665112011e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.8989098716993630e-02,0.0000000000000000e+00,3.2597461551459372e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5145062715839012e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4256820686860064e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.7738735847352048e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.4256825323875921e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4429349815261900e-01,0.0000000000000000e+00,7.8782270933943943e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3978624502273374e-01,0.0000000000000000e+00,7.8782497793856676e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6539809838001193e-01,8.6614237284992415e-03,5.6446637258951660e-01,1.0089292511623583e-01,5.8001218757416795e-01,1.6724602098157879e-01,5.8865822092087894e-01,1.9012135830966176e-01,1.4059035166573029e-02,3.7430379322300100e-01,1.6373762976426881e-01,4.3191465861263850e-01,2.7066022060893968e-01,4.6169538452601694e-01,1.2756660391067953e-01,1.0885041123487845e-02,2.8859196225991479e-01,1.2632551076336868e-01,3.3327829892950667e-01,2.0915840478586159e-01,3.5625001870172340e-01,3.5941784877885546e-01,2.5050395340486808e-03,7.5885665337135977e-01,1.3727979859607745e-01,8.7779282067454967e-01,4.6206336527579123e-01,8.8845917454701273e-01,1.6583521355782224e-01,2.5820031992090098e-03,8.1911738060353367e-01,1.4843876178600779e-01,9.4771355924411704e-01,4.9924119153652147e-01,9.5926450487691239e-01,4.3463516864863144e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_3,3,1,4.2879688630424490e-01,9.9999999999999978e-01,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.7788808468314095e+00,1.5707949999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.0000000000000000e+00,5.4977871437821380e+00,3.4914854422879387e+00,3.4812948179744990e-01,-1.2837426353640362e+00,7.4176310693672729e+00,5.1075944752776625e-01,7.8414975442244199e+01,2.6575249741571472e-01,1.3696239008775803e+00,2.6575249741571472e-01,1.3696239008775803e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5319005542741074e-01,3.9834490652484568e-03,5.2606614415235675e-02,2.2382218501714558e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1371429846873427e-02,0.0000000000000000e+00,1.6430189355898148e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9698440235573653e-01,2.1837723641436385e-04,0.0000000000000000e+00,4.3599434278718208e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2717453754728095e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.5675910531414482e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2043435114048548e-01,0.0000000000000000e+00,8.1043150569374334e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9657453162877595e-01,0.0000000000000000e+00,8.1678150486866374e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5786457024659967e-01,2.2892067023102755e-01,3.7414659800806088e-01,5.2967392608790860e-02,4.4610219888239061e-01,2.4865043184737967e-01,3.8653336604141780e-01,7.3727685291137948e-02,2.8016583833949488e-01,1.2524956760132849e-01,6.8471616557934392e-02,3.2353915926584909e-01,3.0606942948976279e-01,1.7570728720667381e-01,2.6641511514633709e-01,2.9978145492517277e-01,1.3715245956857780e-01,7.6583653643049379e-02,3.4812068054233047e-01,3.2900192523943272e-01,1.9283190480187526e-01,2.3537809084144173e-01,3.8467769170991595e-02,7.9957052236747872e-01,8.4256254766553962e-02,9.4580171382811506e-01,5.1217864970181448e-01,9.4876774293703114e-01,4.2387697422104670e-01,3.8574516225106423e-02,8.0245321330701858e-01,8.7831183247403938e-02,9.6102493544658318e-01,5.3605231339673309e-01,9.6425891270784436e-01,4.2879688630424490e-01
W_purity,P_W,lepton_heavy_Tx_proton_Ty,enhanced_region_3,3,2,4.2834131320735125e-01,1.0000000000000002e+00,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.7286284617152807e+00,1.5707949999999999e+00,5.3996123733574573e+00,2.2580197197676641e+00,1.0000000000000000e+00,5.5959619142068187e+00,4.3000740717704975e+00,4.1240666781474111e-01,-1.6812512777529136e+00,7.0065510822678547e+00,5.3100331809117729e-01,8.5863875993362981e+01,2.6575249741571438e-01,1.5751638944248296e+00,2.6575249741571438e-01,1.5751638944248296e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5210947614565787e-01,6.6812568032744574e-03,5.5143498852218628e-02,2.2726595559109507e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9507193438504037e-02,6.7585371807693372e-03,5.7443357936777149e-02,2.6012624041697953e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2233786597432875e-01,3.3961522649636079e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2956503381016155e-01,2.3817456855367079e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2543879722548496e-01,0.0000000000000000e+00,7.7410330092431046e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.8220856301118169e-01,0.0000000000000000e+00,7.7448688642560914e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5889048039985756e-01,2.9959103952849814e-01,2.1341710080908372e-01,3.1328804605794916e-02,3.7267000050824334e-01,3.0711164606976610e-01,2.2385180416247225e-01,8.9179738907130643e-02,3.5293185045269765e-01,3.1963633844803108e-02,3.9976100133353634e-02,3.6219590791419576e-01,3.6299075805473818e-01,9.0681159649335527e-02,2.9382164105428327e-01,3.6568121627202260e-01,3.6242552672294287e-02,4.3182570178945764e-02,3.7586809852351588e-01,3.7660063635135771e-01,9.7050553829968397e-02,2.7440075262242108e-01,4.0537370145091386e-02,7.7377954792975179e-01,6.3706931180539425e-02,9.6903133412315223e-01,5.8680960085975742e-01,9.7027677564465020e-01,4.2095104774542402e-01,4.1661468797902668e-02,7.7241294550124917e-01,6.0388889337239370e-02,9.7647956917635681e-01,6.0044767363724094e-01,9.7745766617889440e-01,4.2834131320735125e-01
