state,absolute_threshold,direct_contour_delta,target_success_count,maximum_attempt_count,configured_workers,selected_minimum_count,recorded_minimum_count,usable_covariance_count,nonusable_covariance_count,mean_initial_success_fraction,minimum_initial_success_fraction,mean_attempted_direction_count,maximum_attempted_direction_count,elapsed_hours
W,0.01,0.02,64,1280,2,0,0,0,0,nan,nan,nan,0,0.004090362472221993
GHZ,0.01,0.02,64,1280,2,950,1,1,0,1.0,1.0,64.0,64,0.00409042763888768
CEP,0.01,0.02,64,1280,2,0,0,0,0,nan,nan,nan,0,0.004090448499999992
CEGAMMA,0.01,0.02,64,1280,2,0,0,0,0,nan,nan,nan,0,0.0040904536388875895
CPGAMMA,0.01,0.02,64,1280,2,0,0,0,0,nan,nan,nan,0,0.004090458111111527
