local_minimum_id,contour_status,contour_file,contour_point_count,configured_direction_count,contour_delta
0,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0000_contour_samples.csv,590,1536,0.05
1,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0001_contour_samples.csv,976,1536,0.05
2,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0002_contour_samples.csv,1020,1536,0.05
3,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0003_contour_samples.csv,621,1536,0.05
4,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0004_contour_samples.csv,1138,1536,0.05
5,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0005_contour_samples.csv,591,1536,0.05
6,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0006_contour_samples.csv,424,1536,0.05
7,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0007_contour_samples.csv,1533,1536,0.05
8,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0008_contour_samples.csv,394,1536,0.05
9,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0009_contour_samples.csv,643,1536,0.05
10,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0010_contour_samples.csv,611,1536,0.05
11,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0011_contour_samples.csv,483,1536,0.05
12,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0012_contour_samples.csv,457,1536,0.05
13,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0013_contour_samples.csv,668,1536,0.05
14,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0014_contour_samples.csv,614,1536,0.05
15,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0015_contour_samples.csv,413,1536,0.05
16,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0016_contour_samples.csv,418,1536,0.05
17,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0017_contour_samples.csv,391,1536,0.05
18,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0018_contour_samples.csv,1521,1536,0.05
19,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0019_contour_samples.csv,379,1536,0.05
20,complete,Output\GradientPhaseSpaceScan\electron\Data\CEP\contour\local_minima\local_minimum_0020_contour_samples.csv,405,1536,0.05
