lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phi_in_lepton,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_trace,unpolarized_spin_signal_M2,unpolarized_cross_section_ratio,unpolarized_purity,unpolarized_GHZ_purity,unpolarized_W_purity,unpolarized_h_out_mean,unpolarized_lambda_mean,unpolarized_h_lambda,unpolarized_h_lambda_connected,L_proton_trace,L_proton_spin_signal_M2,L_proton_cross_section_ratio,L_proton_purity,L_proton_GHZ_purity,L_proton_W_purity,L_proton_h_out_mean,L_proton_lambda_mean,L_proton_h_lambda,L_proton_h_lambda_connected,L_electron_trace,L_electron_spin_signal_M2,L_electron_cross_section_ratio,L_electron_purity,L_electron_GHZ_purity,L_electron_W_purity,L_electron_h_out_mean,L_electron_lambda_mean,L_electron_h_lambda,L_electron_h_lambda_connected,Tx_proton_trace,Tx_proton_spin_signal_M2,Tx_proton_cross_section_ratio,Tx_proton_purity,Tx_proton_GHZ_purity,Tx_proton_W_purity,Tx_proton_h_out_mean,Tx_proton_lambda_mean,Tx_proton_h_lambda,Tx_proton_h_lambda_connected,Ty_proton_trace,Ty_proton_spin_signal_M2,Ty_proton_cross_section_ratio,Ty_proton_purity,Ty_proton_GHZ_purity,Ty_proton_W_purity,Ty_proton_h_out_mean,Ty_proton_lambda_mean,Ty_proton_h_lambda,Ty_proton_h_lambda_connected,Tx_electron_trace,Tx_electron_spin_signal_M2,Tx_electron_cross_section_ratio,Tx_electron_purity,Tx_electron_GHZ_purity,Tx_electron_W_purity,Tx_electron_h_out_mean,Tx_electron_lambda_mean,Tx_electron_h_lambda,Tx_electron_h_lambda_connected,Ty_electron_trace,Ty_electron_spin_signal_M2,Ty_electron_cross_section_ratio,Ty_electron_purity,Ty_electron_GHZ_purity,Ty_electron_W_purity,Ty_electron_h_out_mean,Ty_electron_lambda_mean,Ty_electron_h_lambda,Ty_electron_h_lambda_connected,LL_trace,LL_spin_signal_M2,LL_cross_section_ratio,LL_purity,LL_GHZ_purity,LL_W_purity,LL_h_out_mean,LL_lambda_mean,LL_h_lambda,LL_h_lambda_connected,LTx_trace,LTx_spin_signal_M2,LTx_cross_section_ratio,LTx_purity,LTx_GHZ_purity,LTx_W_purity,LTx_h_out_mean,LTx_lambda_mean,LTx_h_lambda,LTx_h_lambda_connected,LTy_trace,LTy_spin_signal_M2,LTy_cross_section_ratio,LTy_purity,LTy_GHZ_purity,LTy_W_purity,LTy_h_out_mean,LTy_lambda_mean,LTy_h_lambda,LTy_h_lambda_connected,TxTx_trace,TxTx_spin_signal_M2,TxTx_cross_section_ratio,TxTx_purity,TxTx_GHZ_purity,TxTx_W_purity,TxTx_h_out_mean,TxTx_lambda_mean,TxTx_h_lambda,TxTx_h_lambda_connected,TxTy_trace,TxTy_spin_signal_M2,TxTy_cross_section_ratio,TxTy_purity,TxTy_GHZ_purity,TxTy_W_purity,TxTy_h_out_mean,TxTy_lambda_mean,TxTy_h_lambda,TxTy_h_lambda_connected
electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2237119569260306e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6142142099600090e+00,8.6777356198986890e+00,7.8953373029649632e-01,-9.8929281390543125e+00,8.8025396683913716e-03,3.0052426605165282e-03,3.1930708772195895e+00,5.3261109886575164e-01,1.1058189583548216e-01,6.3358759219284222e+00,6.1061217986031979e-01,3.0159202825068001e-03,6.1061217986031979e-01,3.0159202825068001e-03,True,5.6487650609624449e+00,1.0000000000000000e+00,5.6487650609624449e+00,1.0000000000000000e+00,3.5354548618108472e-01,2.2431922346106747e-01,1.1038505716609200e-01,1.1102230246251565e-16,1.1796119636642288e-16,1.1659740695254911e-01,1.1659740695254911e-01,1.0000000000000000e+00,5.6487650609624458e+00,1.0000000000000002e+00,6.8221964857840356e-01,2.2431922346106750e-01,1.3435463258642163e-02,6.0368801489786783e-01,7.4314872402402588e-02,1.1659740695254928e-01,7.1734409154554507e-02,9.9999999999999989e-01,5.6487650609624458e+00,1.0000000000000002e+00,7.0709097136308396e-01,2.2431922346106750e-01,2.9481746473450546e-02,9.9999987278299707e-01,1.1659752396412124e-01,1.1659740695254922e-01,-1.0217838446180405e-07,1.0000000000000000e+00,5.6487650609624440e+00,9.9999999999999989e-01,5.0000000000091760e-01,2.2431922346106750e-01,1.1038522069865329e-01,-4.3066383792478291e-11,4.3066522570356369e-11,1.1659740695254914e-01,1.1659740695254914e-01,1.0000000000000000e+00,5.6487650609624449e+00,1.0000000000000000e+00,5.2487132378284795e-01,2.2431922346106742e-01,9.1116114160277456e-02,-2.2303057418905903e-01,-2.7470267710475435e-02,1.1659740695254907e-01,1.1047069737195456e-01,1.0000000000000000e+00,5.6487650609624449e+00,1.0000000000000000e+00,5.0000000000091771e-01,2.2431922346106742e-01,1.0968044979181901e-01,2.8478330804659890e-10,-2.8732975720924259e-10,1.1659740695254911e-01,1.1659740695254911e-01,1.0000000000000000e+00,5.6487650609624449e+00,1.0000000000000000e+00,5.0000000099816744e-01,2.2431922346106745e-01,5.3598846068453554e-02,-3.3492515733524186e-04,1.9284417090024986e-04,1.1659740695254911e-01,1.1659747154091339e-01,9.9999999999999989e-01,9.0588571830649283e+00,1.6036880778896241e+00,9.9999999999999967e-01,2.6132150658661518e-01,9.7547008488386919e-03,9.9999988139292062e-01,1.1904584126967836e-01,1.1904572893757238e-01,-9.8212426427601862e-08,9.9999999999999989e-01,5.6487650607191693e+00,9.9999999995693301e-01,9.9999999999999978e-01,2.2431892557702976e-01,2.9481646718279332e-02,9.9999987278299773e-01,1.1659752401220914e-01,1.1659740700063766e-01,-1.0217838401771484e-07,1.0000000000000000e+00,4.3889176153059779e+00,7.7696940268182935e-01,1.0000000000000000e+00,1.4545946869656851e-01,7.1449353980884686e-02,9.9999986603347468e-01,1.1471141070164305e-01,1.1471128993547268e-01,-1.0539868126879792e-07,1.0000000000000000e+00,5.6487727134217343e+00,1.0000013547136775e+00,9.9999999999999956e-01,4.4862057325753324e-01,1.5881260081573967e-01,2.4171653567606199e-10,-2.4426304728875081e-10,1.1659742952957558e-01,1.1659742952957558e-01,1.0000000000000000e+00,5.6487650609650668e+00,1.0000000000004641e+00,9.9999999999999978e-01,2.2190269359279519e-01,9.0075705688822977e-02,-2.2303057390417225e-01,-2.7470267997792647e-02,1.1659740695235932e-01,1.1047069731551021e-01
electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7123889803846897e+00,8.7838585714021544e+00,7.9111643773401197e-01,-9.8960673716464456e+00,8.7972178158150401e-03,3.0027390921581213e-03,3.1991026847146382e+00,5.3804600681388493e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.5610441665359822e-01,1.6531452207146913e-08,5.5610441665359822e-01,1.6531452207146913e-08,True,7.9679577606612984e+03,1.0000000000000000e+00,7.9679577606612984e+03,1.0000000000000000e+00,3.5468887742228961e-01,4.1961362054338284e-07,1.6642157911627201e-01,1.9151347174783950e-13,-1.9140244944537699e-13,-9.9999791104451075e-01,-9.9999791104451075e-01,9.9999999999999989e-01,7.9679577606607718e+03,9.9999999999993394e-01,6.8422209669559453e-01,4.1961362054622501e-07,3.5349787038280095e-02,-6.0699350469708324e-01,6.0699477268444546e-01,-9.9999791104451108e-01,-6.3155602663997024e-01,1.0000000000000000e+00,7.9679577606597732e+03,9.9999999999980860e-01,7.0937774379529772e-01,4.1961362055487147e-07,6.5605290532619584e-02,-9.9999615368583217e-01,9.9999824264130455e-01,-9.9999791104451097e-01,-3.5147106148825102e-06,9.9999999999999989e-01,7.9679577606612966e+03,9.9999999999999978e-01,4.9999999999999989e-01,4.1961362054337199e-07,1.6642157946017441e-01,1.9156898289907076e-13,-1.9151347174783950e-13,-9.9999791104451086e-01,-9.9999791104451086e-01,9.9999999999999989e-01,7.9679577606614894e+03,1.0000000000000240e+00,5.2515565814893461e-01,4.1961362052530663e-07,2.6194017909724648e-01,2.2430090482758058e-01,-2.2430137338401401e-01,-9.9999791104451097e-01,-9.4968691004040762e-01,1.0000000000000000e+00,7.9679577606612966e+03,9.9999999999999978e-01,4.9999999999999989e-01,4.1961362054337183e-07,1.6642141052634737e-01,-2.9016788971603091e-12,2.9017899194627716e-12,-9.9999791104451086e-01,-9.9999791104451086e-01,1.0000000000000000e+00,7.9679577606613602e+03,1.0000000000000078e+00,5.0000001104931624e-01,4.1961362055766774e-07,2.9346367283740737e-01,1.3286049939914002e-03,-1.3286052338096765e-03,-9.9999791104451097e-01,-9.9999614585296226e-01,9.9999999999999989e-01,1.2804476446004886e+04,1.6069960246554047e+00,9.9999999999999989e-01,4.8781618314401133e-07,2.2000320937804217e-02,-9.9999603840177709e-01,9.9999812735705951e-01,-9.9999791104470570e-01,-3.7452784504843351e-06,1.0000000000000000e+00,7.9679577606597722e+03,9.9999999999980849e-01,1.0000000000000000e+00,4.1961362064497280e-07,6.5605290544078543e-02,-9.9999615368583195e-01,9.9999824264130432e-01,-9.9999791104451075e-01,-3.5147106151045548e-06,1.0000000000000000e+00,6.1807302055995133e+03,7.7569816397803615e-01,1.0000000000000000e+00,2.7251471697552965e-07,1.5962380058329714e-01,-9.9999624194061387e-01,9.9999833089623380e-01,-9.9999791104435987e-01,-3.3382012396554472e-06,1.0000000000000000e+00,7.9679577606873663e+03,1.0000000000032716e+00,1.0000000000000002e+00,8.3922724108252449e-07,1.2910486796071577e-01,-2.9031221870923218e-12,2.9032332093947844e-12,-9.9999791104126201e-01,-9.9999791104126201e-01,1.0000000000000000e+00,7.9679577606611147e+03,9.9999999999997691e-01,1.0000000000000002e+00,4.1961458590561829e-07,2.6193988367377558e-01,2.2430090482449783e-01,-2.2430137338093126e-01,-9.9999791104451108e-01,-9.4968691004179062e-01
electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2237119569260306e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8105637508093704e+00,8.8957666727255749e+00,7.9362760207575400e-01,-9.8929281390543125e+00,8.8025396683913716e-03,3.0052426605165282e-03,3.1930708772195895e+00,5.4317666659136543e-01,1.1058189583548216e-01,6.3358759219284222e+00,5.0159665344687665e-01,3.0159202825067954e-03,5.0159665344687665e-01,3.0159202825067954e-03,True,6.8525448650629999e+00,1.0000000000000000e+00,6.8525448650629999e+00,1.0000000000000000e+00,3.5584321405021901e-01,2.2510191792735426e-01,1.1027913251987585e-01,0.0000000000000000e+00,-2.0816681711721685e-17,1.2049400822954173e-01,1.2049400822954173e-01,1.0000000000000000e+00,6.8525448650629990e+00,9.9999999999999989e-01,6.8625805729818645e-01,2.2510191792735429e-01,1.3482163196348994e-02,6.1034094956644780e-01,7.0027970831159719e-02,1.2049400822954173e-01,7.7753070016240211e-02,1.0000000000000002e+00,6.8525448650629999e+00,1.0000000000000000e+00,7.1168642701758067e-01,2.2510191792735423e-01,2.8279367279558331e-02,9.9999995344155923e-01,1.2049404428972618e-01,1.2049400822954168e-01,-3.0450169677398442e-08,1.0000000000000000e+00,6.8525448650629981e+00,9.9999999999999978e-01,5.0000000000097111e-01,2.2510191792735426e-01,1.1027926048849944e-01,4.4303227753061947e-11,-4.4303352653152217e-11,1.2049400822954172e-01,1.2049400822954172e-01,9.9999999999999989e-01,6.8525448650629990e+00,9.9999999999999989e-01,5.2542837080128069e-01,2.2510191792735429e-01,9.0159123851542192e-02,-2.2551438117003075e-01,-2.5860635890897612e-02,1.2049400822954172e-01,1.1466206292994245e-01,1.0000000000000000e+00,6.8525448650629981e+00,9.9999999999999978e-01,5.0000000000097100e-01,2.2510191792735423e-01,1.1096455005046234e-01,-2.3395718695695678e-10,2.3651274688729629e-10,1.2049400822954179e-01,1.2049400822954179e-01,1.0000000000000000e+00,6.8525448650629981e+00,9.9999999999999978e-01,5.0000000108188636e-01,2.2510191792735426e-01,5.5051994966028486e-02,5.7923452046471091e-05,-2.0151626146578533e-04,1.2049400822954170e-01,1.2049401990205921e-01,9.9999999999999978e-01,1.1034933818045335e+01,1.6103409806633764e+00,9.9999999999999978e-01,2.6114994031056465e-01,9.6126850846602295e-03,9.9999995177706447e-01,1.1831159823207180e-01,1.1831155661479995e-01,-3.5911939283428396e-08,1.0000000000000000e+00,6.8525448653665917e+00,1.0000000000443034e+00,1.0000000000000000e+00,2.2510221637349120e-01,2.8279469145952817e-02,9.9999995344155868e-01,1.2049404424008453e-01,1.2049400817989958e-01,-3.0450170065976501e-08,1.0000000000000000e+00,5.3071973707127817e+00,7.7448560720426440e-01,1.0000000000000004e+00,1.4643516886381652e-01,6.9073264913689023e-02,9.9999995489556437e-01,1.2218872438499645e-01,1.2218869277153344e-01,-2.6102209560452394e-08,9.9999999999999989e-01,6.8525544147547635e+00,1.0000013935978460e+00,1.0000000000000000e+00,4.5018588226675715e-01,1.5981782465027175e-01,-1.8965362613698744e-10,1.9220911667838791e-10,1.2049400655595272e-01,1.2049400655595272e-01,1.0000000000000000e+00,6.8525448650597864e+00,9.9999999999953104e-01,1.0000000000000004e+00,2.2752688329298559e-01,9.1181156903969746e-02,-2.2551438140409352e-01,-2.5860635654396988e-02,1.2049400822973676e-01,1.1466206297741878e-01
electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2237119569260306e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,9.8174770424680702e-02,4.6142142099600090e+00,9.5394464909031953e+00,8.0483501018083337e-01,-1.0862604657358954e+01,7.3525388859996049e-03,2.3454421150970171e-03,3.1930708772195895e+00,5.7436874966572560e-01,1.1058189583548216e-01,6.3358759219284222e+00,6.6459500351038658e-01,3.0159202825068001e-03,6.6459500351038658e-01,3.0159202825068001e-03,True,3.1575011835245812e+00,9.9999999999999978e-01,3.1575011835245812e+00,1.0000000000000000e+00,3.7252287038154797e-01,2.3243232770865158e-01,1.0813708158461802e-01,0.0000000000000000e+00,6.9388939039072284e-18,1.1677418257715647e-01,1.1677418257715647e-01,9.9999999999999989e-01,3.1575011835245812e+00,1.0000000000000000e+00,7.1893574480216160e-01,2.3243232770865158e-01,1.1431248816659679e-02,6.6171851743003363e-01,8.1012279752702976e-02,1.1677418257715649e-01,6.3166856925570752e-02,9.9999999999999989e-01,3.1575011835245812e+00,1.0000000000000000e+00,7.4504573950373798e-01,2.3243232770865158e-01,2.5192237716802884e-02,9.9999987339908680e-01,1.1677429872120358e-01,1.1677418257715648e-01,-1.0136031423912950e-07,1.0000000000000000e+00,3.1575011835245803e+00,9.9999999999999967e-01,5.0025084745963488e-01,2.3243232770865158e-01,1.0994282284255687e-01,2.2398544872757720e-02,2.7428853594160738e-03,1.1677418257715655e-01,1.1671274593635284e-01,1.0000000000000000e+00,3.1575011835245803e+00,9.9999999999999967e-01,5.2585914850129978e-01,2.3243232770865155e-01,8.9804600582190683e-02,-2.2741654738026629e-01,-2.7849019525656368e-02,1.1677418257715648e-01,1.1044085470870608e-01,1.0000000000000000e+00,3.1575011835245803e+00,9.9999999999999967e-01,5.0000000001226685e-01,2.3243232770865158e-01,1.1267920590360679e-01,3.1361540797136822e-05,-1.7462764453780866e-05,1.1677418257715652e-01,1.1677418312481572e-01,1.0000000000000002e+00,3.1575011835245803e+00,9.9999999999999967e-01,5.0000000124709154e-01,2.3243232770865152e-01,5.5308295539944138e-02,-3.1841594154868869e-04,1.7729946004665931e-04,1.1677418257715651e-01,1.1677423903213101e-01,1.0000000000000000e+00,5.2468784026695303e+00,1.6617185862184438e+00,1.0000000000000000e+00,2.6442748093893481e-01,8.1111126214743357e-03,9.9999988241732096e-01,1.1902531518529100e-01,1.1902520379940812e-01,-9.7390567443955689e-08,1.0000000000000002e+00,3.2282246228004032e+00,1.0223985471944863e+00,1.0000000000000002e+00,2.3748016172296704e-01,2.2502034061235653e-02,9.9999987390177525e-01,1.1689882033633642e-01,1.1689870446068817e-01,-1.0113491452634626e-07,1.0000000000000000e+00,2.4394330915867188e+00,7.7258342904679000e-01,1.0000000000000002e+00,1.6460446859126726e-01,6.1337159454562362e-02,9.9999986664486229e-01,1.1510119923910717e-01,1.1510107948879711e-01,-1.0440097378272561e-07,9.9999999999999978e-01,3.1575035018352731e+00,1.0000007342232218e+00,9.9999999999999967e-01,4.6115703942411113e-01,1.5863292646079191e-01,2.2429889945008830e-02,2.7254205938951753e-03,1.1677420182104788e-01,1.1671307093707295e-01,1.0000000000000000e+00,3.1574963878333517e+00,9.9999848117516010e-01,1.0000000000000004e+00,2.7277551105151165e-01,1.0094505100252701e-01,-2.2738553119826227e-01,-2.7866524614479984e-02,1.1677408113628961e-01,1.1043763663417662e-01
electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,9.8174770424680702e-02,4.7123889803846897e+00,9.6448272692653134e+00,8.0614827629660102e-01,-1.0866051595923050e+01,7.3480123649073423e-03,2.3434511902092436e-03,3.1991026847146373e+00,5.7976769264241379e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.1061217986032001e-01,1.6531452207146913e-08,6.1061217986032001e-01,1.6531452207146913e-08,True,4.4154014623090316e+03,9.9999999999999989e-01,4.4154014623090316e+03,1.0000000000000000e+00,3.7370357137599447e-01,3.5711522158081715e-07,1.6642583706731698e-01,-5.7409632603366845e-13,5.7404081488243719e-13,-9.9999828399525015e-01,-9.9999828399525015e-01,1.0000000000000000e+00,4.4154014623094317e+03,1.0000000000000906e+00,7.2103715649605715e-01,3.5711522155099137e-07,3.0436433977987436e-02,-6.6488440994773379e-01,6.6488555089620094e-01,-9.9999828399525026e-01,-5.5792624680485581e-01,1.0000000000000000e+00,4.4154014623115627e+03,1.0000000000005733e+00,7.4740713202654196e-01,3.5711522154554776e-07,5.5930981096434206e-02,-9.9999682047118177e-01,9.9999853647591797e-01,-9.9999828399525026e-01,-2.9270434972472614e-06,1.0000000000000002e+00,4.4154014623090425e+03,1.0000000000000024e+00,5.0025334527357967e-01,3.5711522140077214e-07,1.5780066948415833e-01,-2.2509710554169116e-02,2.2509749181063188e-02,-9.9999828399525026e-01,-9.9949159605653759e-01,1.0000000000000002e+00,4.4154014623088951e+03,9.9999999999996914e-01,5.2611664098257682e-01,3.5711522158194106e-07,2.5399875345743789e-01,2.2854523280001382e-01,-2.2854562498597708e-01,-9.9999828399525026e-01,-9.4776527092740548e-01,1.0000000000000000e+00,4.4154014623101866e+03,1.0000000000002616e+00,5.0000000010304158e-01,3.5711522140282593e-07,1.5481677087490736e-01,-1.0865511058594235e-04,1.0865512930913201e-04,-9.9999828399525115e-01,-9.9999827218931603e-01,1.0000000000000000e+00,4.4154014623075545e+03,9.9999999999966549e-01,5.0000001062218968e-01,3.5711522156025823e-07,2.8429289497427951e-01,1.1031923340598659e-03,-1.1031925241665186e-03,-9.9999828399525015e-01,-9.9999706696171453e-01,1.0000000000000000e+00,7.3511430701173740e+03,1.6648866774331994e+00,1.0000000000000002e+00,4.0549550918063850e-07,1.8283748622637926e-02,-9.9999672829736297e-01,9.9999844430196672e-01,-9.9999828399538648e-01,-3.1113909669810980e-06,9.9999999999999989e-01,4.5147912101582579e+03,1.0225097873200528e+00,9.9999999999999978e-01,3.6483311944652777e-07,4.9927391476774843e-02,-9.9999681539018948e-01,9.9999853139491812e-01,-9.9999828399525759e-01,-2.9372054730636421e-06,1.0000000000000000e+00,3.4062790657560649e+03,7.7145398778183882e-01,1.0000000000000002e+00,2.5325273137213914e-07,1.3672341663814341e-01,-9.9999688884789806e-01,9.9999860485273306e-01,-9.9999828399514856e-01,-2.7902901769127908e-06,1.0000000000000000e+00,4.4153994339721394e+03,9.9999954062231722e-01,1.0000000000000002e+00,7.0774462494404162e-07,1.0918090710610992e-01,-2.2618376054565847e-02,2.2618414700200928e-02,-9.9999828399313584e-01,-9.9948669218368857e-01,9.9999999999999989e-01,4.4154220564514753e+03,1.0000046641608060e+00,9.9999999999999967e-01,4.2296720792119541e-07,2.3007585032102132e-01,2.2843551223010838e-01,-2.2843590439551920e-01,-9.9999828400508817e-01,-9.4781541117274970e-01
electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2237119569260306e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,9.8174770424680702e-02,4.8105637508093704e+00,9.7564276646167727e+00,8.0834357195548723e-01,-1.0862604657358954e+01,7.3525388859996049e-03,2.3454421150970171e-03,3.1930708772195895e+00,5.8488344129487713e-01,1.1058189583548216e-01,6.3358759219284222e+00,5.5610441665359855e-01,3.0159202825067954e-03,5.5610441665359855e-01,3.0159202825067954e-03,True,3.7614656863051099e+00,1.0000000000000000e+00,3.7614656863051099e+00,1.0000000000000000e+00,3.7489008896996751e-01,2.3317601767324689e-01,1.0801703791634039e-01,0.0000000000000000e+00,-2.2204460492503131e-16,1.2034797442829180e-01,1.2034797442829180e-01,1.0000000000000000e+00,3.7614656863051099e+00,1.0000000000000000e+00,7.2316316452926366e-01,2.3317601767324686e-01,1.1465611454436685e-02,6.6807655323678050e-01,7.7031058221618792e-02,1.2034797442829162e-01,6.8885330559410776e-02,1.0000000000000000e+00,3.7614656863051108e+00,1.0000000000000002e+00,7.4978017659583984e-01,2.3317601767324683e-01,2.4061856321698948e-02,9.9999995251315954e-01,1.2034801118630274e-01,1.2034797442829163e-01,-3.1043064299685064e-08,1.0000000000000000e+00,3.7614656863051090e+00,9.9999999999999978e-01,5.0025571854662898e-01,2.3317601767324689e-01,1.0990075983035069e-01,2.2614973747736467e-02,2.6069116245148599e-03,1.2034797442829179e-01,1.2028901919034071e-01,1.0000000000000000e+00,3.7614656863051095e+00,9.9999999999999989e-01,5.2636129486404193e-01,2.3317601767324686e-01,8.8892488373645717e-02,-2.2961398918251080e-01,-2.6468453563519970e-02,1.2034797442829191e-01,1.1427044721808005e-01,1.0000000000000000e+00,3.7614656863051090e+00,9.9999999999999978e-01,5.0000000001308975e-01,2.3317601767324692e-01,1.1369066588638080e-01,-4.5753104555013024e-06,1.8585166120944907e-05,1.2034797442829182e-01,1.2034797451332473e-01,9.9999999999999989e-01,3.7614656863051099e+00,1.0000000000000000e+00,5.0000000133100519e-01,2.3317601767324692e-01,5.6920930585575381e-02,4.6451585353823877e-05,-1.8869582023495202e-04,1.2034797442829170e-01,1.2034798319351170e-01,9.9999999999999989e-01,6.2744128456824244e+00,1.6680765874128667e+00,9.9999999999999956e-01,2.6426246009001919e-01,7.9880286744927042e-03,9.9999995104365857e-01,1.1832734233986829e-01,1.1832729990906628e-01,-3.6637928232940986e-08,1.0000000000000000e+00,3.8465311384295386e+00,1.0226149749110136e+00,1.0000000000000002e+00,2.3819017061008099e-01,2.1465867139676350e-02,9.9999995242577222e-01,1.2023579336056281e-01,1.2023575628299221e-01,-3.1357445570701081e-08,1.0000000000000000e+00,2.8977805004729147e+00,7.7038599900652194e-01,1.0000000000000002e+00,1.6560234856163969e-01,5.9050304400957557e-02,9.9999995369091144e-01,1.2186041509561271e-01,1.2186038264442930e-01,-2.6807938646733476e-08,1.0000000000000000e+00,3.7614685240237455e+00,1.0000007544183231e+00,1.0000000000000004e+00,4.6156554175999676e-01,1.5926145353840485e-01,2.2610381379594868e-02,2.6254948099146622e-03,1.2034797354821888e-01,1.2028861010925657e-01,1.0000000000000002e+00,3.7614597829645033e+00,9.9999843057438276e-01,1.0000000000000002e+00,2.7869574723277651e-01,1.0177109922999854e-01,-2.2961892486278929e-01,-2.6449909908564745e-02,1.2034798087648244e-01,1.1427458100056016e-01
