polarization,polarization_label,rank,D_W,purity,C_e_p,C_p_gamma,C_e_gamma,search_stage,sample_id,s,theta_in,qOut,phi_in,phi_in_electron,phiOut,Q2,xB,t,theta_e_gamma_deg,aligned
unpolarized,Unpolarized,1,1.1546948953564486,0.49999960239067154,9.774049969206053e-06,0.0,0.0,broad,2200,25.22560458320524,1.5394571892853652,0.34783916460186814,4.7134585303005405,1.5718658767107474,1.3212417820844609,23.303771598130826,0.9920944369941531,-20.048897095681923,167.74846789697412,False
unpolarized,Unpolarized,2,1.1547005383792515,0.41258693134486835,0.0,0.0,0.0,broad,0,23.51096979877711,0.48587866053738143,0.8229584453756105,5.4417519713558455,2.3001593177660524,5.680317144660114,9.786201838240554,0.6323843272061762,-13.078293953887908,78.28921850901529,False
unpolarized,Unpolarized,3,1.1547005383792515,0.2742322913242412,0.0,0.0,0.0,broad,1,25.036423682018132,1.7882339928525832,0.5268974049083262,0.4880012826579936,3.6295939362477867,5.737821254889104,3.5584023210599534,0.48305102179272197,-5.9090227917846665,71.55223919117445,False
unpolarized,Unpolarized,4,1.1547005383792515,0.274166449187245,0.0,0.0,0.0,broad,2,17.76715726677283,2.1174833518650598,1.5125517610300168,0.0430877646490293,3.1846804182388224,0.3196964653611031,1.701090512028912,0.3860958128539704,-2.6944366924315686,166.91376292651015,False
unpolarized,Unpolarized,5,1.1547005383792515,0.43576160799912333,0.0,0.0,0.0,broad,3,21.22788114235604,2.7746232280149896,1.5323174784871691,4.017979097558915,0.876386443969122,6.172670725389686,10.13287632691546,0.6937196053142883,-5.915486188030896,145.80342810602494,False
unpolarized,Unpolarized,6,1.1547005383792515,0.4110901317969302,0.0,0.0,0.0,broad,4,16.427299359753512,2.2179268111522665,1.1600133415938203,5.446439369171841,2.3048467155820482,0.6003066564075197,7.72221656711009,0.810746995672593,-5.044786811165113,158.76364456517922,False
unpolarized,Unpolarized,7,1.1547005383792515,0.30373740023349566,0.0,0.0,0.0,broad,6,25.34038026900133,2.1754102880041826,1.2608957280544564,2.672469797116271,5.814062450706064,5.047681338967644,5.384166761432757,0.3096117546057509,-7.190971739820611,38.80662196985267,False
unpolarized,Unpolarized,8,1.1547005383792515,0.48365966971850893,0.0,0.0,0.0,broad,7,24.420613511762213,2.113610252931107,1.1498211587708633,5.310120595767286,2.1685279421774926,4.553383159996669,10.505059734004616,0.48329225985993973,-19.259680051414367,17.515901990382027,False
unpolarized,Unpolarized,9,1.1547005383792515,0.48409454003522046,0.0,0.0,0.0,broad,8,25.166180001096276,2.0865176380024644,1.3118781051406725,5.478473678702004,2.336881025112211,1.8736163442383538,19.26087537953753,0.9470476805361138,-8.583884221785134,172.38634730683208,False
unpolarized,Unpolarized,10,1.1547005383792515,0.3002627381297235,0.0,0.0,0.0,broad,9,22.698541013105004,0.42532620448464903,1.640876653821095,1.9671184721944321,5.108711125784225,2.276003413674581,5.572299050601703,0.7142275090312151,-2.635113958756387,170.74994271797794,False
unpolarized,Unpolarized,11,1.1547005383792515,0.4771929642225727,0.0,0.0,0.0,broad,10,25.0482889856128,2.3464736940885658,1.3353273190552242,4.67479729685187,1.533204643262077,2.3319410064141066,17.745485481945924,0.9110932240494887,-9.347657925787663,160.6511216941084,False
unpolarized,Unpolarized,12,1.1547005383792515,0.29217210678999683,0.0,0.0,0.0,broad,11,17.98032328953605,1.9502964103197336,1.4608238085461156,0.525615171695522,3.667207825285315,1.5393645906547375,3.6993414103482296,0.654867066120832,-2.0445135520141053,179.67160202022467,False
unpolarized,Unpolarized,13,1.1547005383792515,0.4869357537884623,0.0,0.0,0.0,broad,12,15.858794297101403,1.6935536828996622,1.1574060188003232,5.624992117690107,2.483399464100314,3.785052279146434,8.646936557695142,0.5989986385159469,-8.421895719951685,106.4989198887746,False
unpolarized,Unpolarized,14,1.1547005383792515,0.3923555986134679,0.0,0.0,0.0,broad,13,21.977444422633365,0.8237107489458838,1.4335064020476127,0.22902424649494968,3.370616900084743,2.2113502430410654,10.64220643377343,0.860206008247105,-3.4890637766412493,167.8015730493224,False
unpolarized,Unpolarized,15,1.1547005383792515,0.43977814570356527,0.0,0.0,0.0,broad,14,20.628298928853727,1.6144601440720576,1.663854611815804,0.4507868561770554,3.5923795097668485,2.563120352618246,11.2284803410993,0.8064003041285533,-2.319353383451068,171.0548027915223,False
unpolarized,Unpolarized,16,1.1547005383792515,0.26275198079721473,0.0,0.0,0.0,broad,15,23.251274407353293,1.6873389136590689,1.6591153384929986,2.5458489114383296,5.687441565028123,1.9503607096917,2.2259600986053876,0.5241749905480663,-2.2729794670903845,175.18896562776254,False
unpolarized,Unpolarized,17,1.1547005383792515,0.2753416278619382,0.0,0.0,0.0,broad,16,16.926150823840327,2.353556981169644,0.8751758810218135,0.7884704606701405,3.9300631142599336,0.14381859178774248,1.9951288009253936,0.44809459847379224,-2.599055100964787,129.87199530464486,False
unpolarized,Unpolarized,18,1.1547005383792515,0.33307626412238445,0.0,0.0,0.0,broad,17,19.394401095857738,2.443560117685897,0.7137794154235004,2.621273437927554,5.762866091517347,6.177824958777852,6.901517385588727,0.6964749129036703,-4.858210552920932,107.74009258875543,False
unpolarized,Unpolarized,19,1.1547005383792515,0.2567248969859127,0.0,0.0,0.0,broad,18,18.303095274579846,1.069377577191788,0.7635475884950382,1.0364302436235535,4.178022897213347,0.8081187303590488,1.1843632083697413,0.5393138985629127,-1.4284511644068658,152.2651565103183,False
unpolarized,Unpolarized,20,1.1547005383792515,0.2884356913546525,0.0,0.0,0.0,broad,19,24.23362790021942,1.6299570815701658,0.5925615490442432,2.818193786001748,5.959786439591541,2.316363706344785,5.654999108270866,0.8705304643949869,-5.933307549924988,147.40744701719208,False
unpolarized,Unpolarized,21,1.1547005383792515,0.49609031589850994,0.0,0.0,0.0,broad,20,23.905613870738286,1.5706508449145664,1.6742703303675397,5.228460821610303,2.0868681680205086,4.029663341765669,10.088086413046494,0.4664028434897425,-16.008144637828075,103.20084225701711,False
unpolarized,Unpolarized,22,1.1547005383792515,0.4060163087113024,0.0,0.0,0.0,broad,21,21.257128104733646,0.6197867245310948,1.204074682762423,3.8213593853869114,0.6797667317971179,3.954747012562998,5.735191464436255,0.4069913557352355,-11.374152242751302,82.80999023740985,False
unpolarized,Unpolarized,23,1.1547005383792515,0.2768547874057382,0.0,0.0,0.0,broad,22,19.903408745635808,0.8902686569231182,0.7071462181053394,1.099292572444675,4.240885226034468,2.654066242271387,3.8144523125282057,0.7146091398947079,-2.081097617153331,136.5078456926864,False
