selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_0,0,1,2.6485230392985437e-01,5.2554320174115798e-01,2.5525440310417071e+00,aux,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8708892135738879e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.3014376029327757e+00,8.2959460452631195e-01,1.0208518986656315e-01,-1.0162413604693920e-02,8.1767426273586015e+00,4.1385685638036862e-01,6.1874523293975720e+01,5.8035202642150063e-01,9.9006812188221915e-01,5.8035202642150063e-01,9.9006812188221915e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7305147300603183e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9845551628407151e-02,1.4866551716613971e-01,6.7405821358917026e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9345382962837913e-02,1.3253683174645306e-01,2.1306566690359921e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6816490397988768e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0960059946870202e-01,1.4894997084705824e-01,2.6485230392985437e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9694335613356783e-02,0.0000000000000000e+00,2.7591470735862456e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6926490854127190e-01,2.8585201986766634e-01,7.9660085177863960e-01,5.5534789749165636e-01,9.2804785766776698e-01,8.5016154219288842e-01,4.8594307651987667e-01,1.3903196294858418e-03,1.4494039984722765e-01,4.9324027184681440e-01,5.1409313599328155e-01,1.6778859272299121e-01,3.9578546800247050e-01,3.0631284846412915e-01,8.6520715601301867e-01,5.4947084705817328e-01,9.7809717571182531e-01,9.4543932225156957e-01,2.3146833730167526e-01,1.4197636039733732e-02,4.4588154572664884e-01,3.4432706715852812e-01,5.6317840558442400e-01,5.1360869915060892e-01,2.5582017310451505e-01,1.5697363490671645e-01,8.5878789330966088e-01,4.8552087519791731e-01,9.7396429629211545e-01,9.5278707578385846e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_0,0,2,2.6485230392975639e-01,5.2554320174115698e-01,2.5525440310417071e+00,aux,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8708892135738879e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.1233403578366037e+00,8.2959460452631317e-01,1.0208518986656333e-01,-1.0162413604693920e-02,8.1767426273586015e+00,4.1385685638036851e-01,6.1874523293975756e+01,5.8035202642150086e-01,9.9006812188222015e-01,5.8035202642150086e-01,9.9006812188222015e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7305147300603128e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9845551628400115e-02,1.4866551768547151e-01,6.7405821358922521e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9345382962756852e-02,1.3253683174644612e-01,2.1306566690360512e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6816490397989168e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0960059946877740e-01,1.4894995856861737e-01,2.6485230392975639e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9694335613352550e-02,0.0000000000000000e+00,2.7591470735862617e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6926490556439782e-01,2.8585202147499772e-01,7.9660085177856343e-01,5.5534789749163438e-01,9.2804785766775844e-01,8.5016154219288687e-01,2.7969606642059198e-02,3.6431940508232108e-01,3.8526390231400170e-01,6.3293867210282750e-01,6.4522167338160019e-01,7.4044401452567221e-01,3.9578546432132761e-01,3.0631285249885642e-01,8.6520716107543250e-01,5.4947084705815952e-01,9.7809717571182675e-01,9.4543932225157135e-01,2.3146834124953300e-01,1.4197638871059556e-02,4.4588155410169233e-01,3.4432706715853523e-01,5.6317840558443422e-01,5.1360869915062146e-01,2.5582201902425905e-01,1.5693515148032605e-01,8.5872972915026347e-01,4.8549433862845542e-01,9.7390598157391017e-01,9.5272062870892216e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_1,1,1,2.3363890786644018e-01,5.2239839616295936e-01,2.3561944901923444e+00,aux,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.7788808468314095e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,3.9269908169872414e+00,1.0749320333790093e+00,1.4120211436557914e-01,-2.0438956343080090e-02,7.4176310693672720e+00,3.8769194860186823e-01,7.8414975442244227e+01,8.4237736235970251e-01,1.3696239008775812e+00,8.4237736235970251e-01,1.3696239008775812e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.2208262266291858e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0862957716286158e-02,5.0659848475166518e-02,1.4665300791846220e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8740028759047675e-02,1.1376221627167164e-02,5.0910428668133867e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7780328995359982e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7001534106972199e-01,1.0833404981727013e-01,2.3363890786644018e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.3782465033001707e-02,0.0000000000000000e+00,2.7664535241687677e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7066715610411455e-01,1.7272663862964199e-01,6.4957307041447321e-01,4.1229565913009592e-01,7.4973221350748276e-01,6.7419488557175589e-01,2.4375762852490129e-02,2.0915672630655963e-01,7.0903162104525286e-01,4.6523726527529624e-01,8.2184245460500438e-01,8.4768943519181317e-01,3.5142152178572944e-01,2.4026474034511741e-01,8.6151041194481626e-01,4.7696435531658371e-01,9.5497018500094011e-01,9.1989027401419277e-01,2.0518515219572120e-01,2.9846974612297565e-02,6.7353240078316623e-01,3.6932325940303101e-01,7.6756415401712241e-01,7.4023281774881444e-01,2.0227690846683985e-01,1.3358449002273851e-01,8.4012535573024028e-01,5.0732349585560721e-01,9.7228747225272583e-01,9.6034982969922589e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_1,1,2,2.1476001933431602e-01,5.1664071179344528e-01,2.7488935718910685e+00,aux,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.3196898986859651e+00,5.9872774299664211e-01,7.0352598441221714e-02,-4.6500353589176251e-03,8.7915018896942119e+00,4.3340729439248604e-01,4.3049295338158380e+01,3.8564963689377457e-01,6.8268849071269377e-01,3.8564963689377457e-01,6.8268849071269377e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1539738411731677e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0296920234614594e-02,2.1577442034102962e-01,9.9587481748708399e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7724450991907872e-02,5.1510534627147601e-02,4.5415449246883635e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8704899485639834e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5902495076901838e-01,7.1546280709376131e-02,2.1476001933431602e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7265484865192516e-02,5.1874385162021551e-02,1.6832442407993625e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5800159129232881e-01,3.7844965459276331e-01,8.6431391993995521e-01,6.0055523397004995e-01,9.8207993823632522e-01,9.4759680031425253e-01,4.3294733458920640e-02,4.6022632189626728e-01,1.4497436670334665e-01,6.6884981465983340e-01,5.0652677655593414e-01,6.8301040156012927e-01,3.3174738585599961e-01,3.0737885120116470e-01,8.5371874064415731e-01,4.8742532305681979e-01,9.3377589018965812e-01,9.2539874662691957e-01,1.9443517480171746e-01,4.3355924097556474e-02,1.2160312449134945e-01,3.1415658276512759e-01,3.3406876910172906e-01,2.7509387561744203e-01,2.1595322284777949e-01,7.2799030226513226e-02,8.5317298123174268e-01,4.3092105433598354e-01,9.5304637863017561e-01,9.3110756810146289e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_2,2,1,7.5641119190772863e-02,5.0276574134545016e-01,1.9634954084936211e+00,aux,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0090636084867080e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.8904862254808616e+00,6.4907095383660351e-02,4.1661917618707286e-02,-1.6484960164739042e-03,2.3728847642826780e+00,7.9341406583129950e-02,7.4382997831615285e+01,3.8147967706527774e-01,4.1310897674886893e-01,3.8147967706527774e-01,4.1310897674886893e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6537743785599432e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.9974452896598625e-02,1.0285153428585231e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1576724915520922e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.1827137900855593e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8955033565334648e-02,7.5641119190772863e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0188781133002041e-01,4.7716745549293567e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5421174148676892e-01,1.0091024739225120e-01,8.3921212200782302e-01,1.8499965886108749e-01,8.5341607014655707e-01,8.4541150051923042e-01,1.0445169727287774e-01,1.7881975701665411e-02,4.4069445146362479e-01,1.2681077611007449e-01,4.5822790109150208e-01,4.4652258283343577e-01,8.2476926602418746e-02,1.2117313594928923e-01,9.2667580786347203e-01,1.6419017108247880e-01,9.3327570974687268e-01,9.3748815238248906e-01,7.5297236773009604e-02,4.2139087738851638e-02,5.5581838412017515e-01,1.2688372081612834e-01,5.6855769891934516e-01,5.6512289358152934e-01,9.6878323230438129e-02,1.3103673869902852e-01,9.2230477043402859e-01,1.9682170459678039e-01,9.3392412082949372e-01,9.3808287552068370e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_2,2,2,7.5264622882399948e-02,5.0269884896581241e-01,2.0616701789183018e+00,aux,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.7923114550561809e+00,6.0924885854080540e-02,3.6901073594448712e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02,6.8484625621757516e+01,3.3475121890185011e-01,3.6457536124476042e-01,3.3475121890185011e-01,3.6457536124476042e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7649355946461818e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0915287062807795e-01,8.7179384664553161e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0966608881091415e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.7389419145629854e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8771492857005876e-02,7.5264622882399948e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2330081773099953e-01,3.9649779096826709e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5430354109080649e-01,1.1971066979049742e-01,8.4179699388381879e-01,1.9591604387631895e-01,8.5596416210888748e-01,8.5040914138501023e-01,1.0179493629633597e-01,3.8551868794958442e-02,3.3622867828884495e-01,1.2854867156078306e-01,3.5789417387840511e-01,3.4527130951517765e-01,8.1930212003744909e-02,1.3572172886932760e-01,8.8216357426346192e-01,1.7455435349165588e-01,8.8896649747477563e-01,8.9552736489991824e-01,7.4904572904618341e-02,4.6560846730562683e-02,4.5679326940644921e-01,1.1824806737233108e-01,4.6954742870879224e-01,4.6586693846402855e-01,8.8805369067569653e-02,1.2915373351940954e-01,8.7837292679746992e-01,1.8498981463030906e-01,8.8830150607367953e-01,8.9323785087710172e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_3,3,1,7.5641119190748035e-02,5.0276574134544749e-01,1.9634954084936203e+00,aux,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0090636084867080e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.5342917352885173e+00,6.4907095383660435e-02,4.1661917618707363e-02,-1.6484960164739042e-03,2.3728847642826771e+00,7.9341406583129895e-02,7.4382997831615327e+01,3.8147967706527802e-01,4.1310897674886932e-01,3.8147967706527802e-01,4.1310897674886932e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.6537743785598067e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.9974451433156133e-02,1.0285153428584605e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1576724915463767e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.1827137900862021e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8955036780159055e-02,7.5641119190748035e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0188781429182360e-01,4.7716745549280376e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5421173814112976e-01,1.0091024424502483e-01,8.3921212079575969e-01,1.8499965886105627e-01,8.5341607014654863e-01,8.4541150051922564e-01,6.0317755807901594e-02,1.5432349714643517e-01,5.8128362443144166e-01,1.8859321378801572e-01,5.9130559791746073e-01,6.0812812837485086e-01,8.2476926602403439e-02,1.2117313594927467e-01,9.2667581548196021e-01,1.6419017108245243e-01,9.3327570974685659e-01,9.3748815238247241e-01,7.5297237963830546e-02,4.2139087738844075e-02,5.5581838309660847e-01,1.2688372081609509e-01,5.6855769891931218e-01,5.6512289358149781e-01,9.6881829258992663e-02,1.3112943209459363e-01,9.2226398706654811e-01,1.9688653770283035e-01,9.3388449040345356e-01,9.3805601204190847e-01
C_p_gamma,C_{p\gamma},Tx_electron,enhanced_region_3,3,2,7.5264622882393994e-02,5.0269884896581196e-01,2.0616701789183014e+00,aux,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0206050891716032e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.6324665057131984e+00,6.0924885854080686e-02,3.6901073594448795e-02,-1.2766011681654981e-03,2.4699519952934716e+00,8.4081935279463921e-02,6.8484625621757544e+01,3.3475121890185022e-01,3.6457536124476059e-01,3.3475121890185022e-01,3.6457536124476059e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7649355946462251e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0915287062807295e-01,8.7179384664535675e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0966608881030919e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.7389419145637426e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8771478617298991e-02,7.5264622882393994e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2330081248831506e-01,3.9649779096812610e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5430354048045503e-01,1.1971067020590324e-01,8.4179700361832466e-01,1.9591604387630365e-01,8.5596416210886517e-01,8.5040914138499180e-01,6.1064441753101113e-02,1.7398245089876851e-01,4.7592220954318842e-01,2.0539918424041570e-01,4.8828360635296469e-01,5.1474450786433801e-01,8.1930215478133353e-02,1.3572172857149067e-01,8.8216358980058818e-01,1.7455435349165080e-01,8.8896649747473189e-01,8.9552736489987583e-01,7.4904565776174353e-02,4.6560846730567831e-02,4.5679326807558929e-01,1.1824806737232076e-01,4.6954742870873667e-01,4.6586693846397398e-01,8.8809548363282656e-02,1.2925177264532894e-01,8.7832426506093120e-01,1.8506181160223903e-01,8.8825411116313358e-01,8.9320448466017477e-01
