hOut,sOut,lambda,amplitude_real,amplitude_imag,normalized_probability
-1,-1,-1,0.6263456997370328,0.6288124624487554,0.3926529423785045
-1,-1,1,0.37885980077984666,-0.4794881708400938,0.186150989788099
-1,1,-1,0.027697808721350983,0.011110577625159216,0.00044394539984826263
-1,1,1,-0.1296165369051628,-0.010566021962312558,0.008430192295358624
1,-1,-1,0.12318074064420453,-0.4128613152417767,0.0925302335429123
1,-1,1,-0.4210906589637811,-0.11757151119606785,0.09527802875883198
1,1,-1,-0.29973766119907364,0.1923681293559075,0.06323018413424186
1,1,1,0.3823670940205714,0.42113125504198534,0.16128348370220316
