measurement,value
electron_state,Tx
proton_state,Ty
squared_amplitude,2.0061330592312485
F1,0.08184710791057422
F2,0.06413355654912764
C_e_p,0.6166377992401115
C_e_gamma,0.08383129839715468
C_p_gamma,0.21323957324111883
C_e_rest,0.6803853102704704
C_p_rest,0.7080731611813951
C_gamma_rest,0.3579847883193367
F3,0.27643737074541136
M_e,0.07565430838920348
M_p,0.07565431053767135
M_gamma,0.07565430648103305
