Q2,t,phi,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
1.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.5051254297018581e+01,1.0000000000000000e+00,True,1,1,2.5215692445664677e-17,1.3258365941748084e-17,3.8917310017410622e-01,0.0000000000000000e+00,3.8917310102969976e-01,3.8917310102969949e-01,0.0000000000000000e+00,-8.1161541295965623e-34,6.6594799119634729e-10,6.6594776915174236e-10
1.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.0992029022650676e+01,9.9999999999999978e-01,True,1,1,4.3617836362061766e-18,8.5234696743016618e-17,3.4492806143019927e-01,0.0000000000000000e+00,3.4492806317254437e-01,3.4492806317254437e-01,0.0000000000000000e+00,-7.2839786853630847e-33,1.2019674422436566e-09,1.2019674422436566e-09
2.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.5148607646099293e+01,9.9999999999999978e-01,True,1,1,2.4480671024328526e-17,7.7439385864821586e-17,2.9195072784174081e-01,1.4901161193847656e-08,2.9195073229093477e-01,2.9195073229093554e-01,5.0234149062120764e-09,2.2204460492503131e-16,2.5978908468893280e-09,2.5978913048563257e-09
2.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,6.1638330116279889e+01,9.9999999999999956e-01,True,1,1,3.6419411328084999e-17,6.6423114980418965e-17,2.4723175227394159e-01,0.0000000000000000e+00,2.4723175506741546e-01,2.4723175506741457e-01,0.0000000000000000e+00,-5.7384037251862041e-33,1.3812708823945918e-09,1.3812704452442759e-09
3.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,6.9651916751637231e+01,9.9999999999999978e-01,True,1,1,3.1671816772843854e-17,3.3767448709349753e-17,2.1005474492956780e-01,0.0000000000000000e+00,2.1005474554950501e-01,2.1005474554950765e-01,0.0000000000000000e+00,-2.1433445700311597e-33,2.6044150863713256e-10,2.6044261192126328e-10
3.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,7.9373335071815546e+01,1.0000000000000000e+00,True,1,1,2.6771004093418894e-17,1.3175638426864533e-16,1.7893997697438607e-01,1.4901161193847656e-08,1.7893997858753674e-01,1.7893997858753674e-01,3.0789090635269914e-09,2.2204460492503128e-16,5.7731428665386275e-10,5.7731428665386275e-10
4.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,9.1462793562254291e+01,9.9999999999999989e-01,True,1,1,2.8263411168379506e-17,6.3343536543922278e-17,1.5282071054993995e-01,0.0000000000000000e+00,1.5282071054993959e-01,1.5282071054993884e-01,0.0000000000000000e+00,-4.8112240327640967e-33,-1.1102230246251565e-16,-3.4000580129145419e-16
4.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.0709268559030241e+02,1.0000000000000000e+00,True,1,1,1.7857431675074758e-17,1.6923616009512479e-17,1.3098304208533268e-01,0.0000000000000000e+00,1.3098304367399555e-01,1.3098304367399555e-01,0.0000000000000000e+00,-6.0529664486739030e-34,4.1617579174535457e-10,4.1617579174535457e-10
5.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.2828761644133218e+02,1.0000000000000000e+00,True,1,1,1.0398347462626401e-17,8.8154289518377224e-17,1.1290850172946425e-01,0.0000000000000000e+00,1.1290850364473086e-01,1.1290850364473086e-01,0.0000000000000000e+00,-7.8793043904433815e-33,4.3249977037251863e-10,4.3249977037251863e-10
5.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.5880842295689845e+02,1.0000000000000000e+00,True,1,1,4.7907394822752440e-18,5.9516879617501153e-17,9.8106564333510352e-02,0.0000000000000000e+00,9.8106565370595630e-02,9.8106565370595630e-02,0.0000000000000000e+00,-3.5652101441911553e-33,2.0348974762163241e-10,2.0348974762163241e-10
