lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id
electron,gradient_local_minimum_0000,gradient,gradient,gradient,0.00051099895,5.809583151535337,2.410307688145921,1.022636823807298,0.34727089869426053,0.0,0.0,3.141592653589793,0.0,0.6117377467709335,2.2581930842587767,0.6261454139636328,2.724249632334721,3.092715179622103,0.21724160151636782,4.888656182300498,0.33548827812060306,3.2273066123165046,0.7490539042924625,-1.4669473759476082,0.1602378524883457,0.16144690620827185,1.9610478884930962,0.8739835104018138,2.7193838518503495,155.80921758705415,0.05369463174081457,0.9338742499250485,0.05369463174081457,0.9338742499250485,False,,gradient,1622001378,0.03628431494646565,1.5599769628831104,1.0,0.1471566535145391,0.007526877740555861,1.0,1.1403165727196893,0.31090117596823774,-0.27620238433812627,0.23767027868984217,0.3235419247857968,0.6666554591142055,0.6666572236390225,0.666659233080698,0.9428010082725234,0.9428019080269702,0.9428036560678689,1.6432839182868406e-05,1.1600191541005749,0.8888759709531406,1.2386202825120929e-05,1.1403560779055244e-05,1.2347013106372984e-05,0.2697487796582997,0.09795827516945153,0.33625022566530405,0.36770705482775123,0.15239669825142843,-0.972023338968857,0.8289027705645581,0.2697487796582997,0.029854688238368364,0.13252666797799767,0.13252666797799767,0.002478365461647385,0.49976627719425104,0.49976627719425126,0.029854688238368364,1622,sobol_screened,0.6045126428441728,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53,1437,909,29.358487676699788,0.6045126428441728,0.0005340320679347049,1.6432839182868406e-05,23,9,False,1e-05,1.718061268736232e-05,True,0.2401130860671401,0.5929160360246897,0.4117483450099826,0.5397966895252466,0.10235764645040035,0.3450434021651745,0.13873032480478287,0.7185620749369264,0.35492554959048317,0.7188051836314344,0.8671555904046986,0.577171991466939,0.09965413772663323,0.4922209084121967,0.011549656160866296,0.49655608950465835,0
electron,gradient_local_minimum_0001,gradient,gradient,gradient,0.00051099895,2.1814587476800136,1.4769762177096875,0.44063476376190264,0.31310947935378625,0.0,0.0,3.141592653589793,0.0,0.21339059039734,2.2322769959198743,3.805429767126371,1.8597198045237178,1.1026558503842583,0.3989057528625921,5.995165908490471,-0.5096907480281562,0.46517316209312487,0.48693034693425613,-0.4594461465181743,0.43337067883619007,0.6136917742224538,1.3699885029936465,0.7339482427024066,1.7679218723999868,101.2944617973853,0.06723706781597978,0.07010057560343773,0.06723706781597978,0.07010057560343773,False,,gradient,159001834,1.4456911528280285,3.047187197212722,0.9999999999999999,23.8842283731665,0.08196751889372833,0.9999999999999998,1.0553926417219304,-0.2632916307426539,0.2287025209910365,0.21777442106938044,0.27798988077606646,0.666656560668184,0.6666463779339833,0.6666643191739556,0.9427920095390443,0.9428040462581792,0.942797511294786,2.2787597531435583e-05,1.1600172602935237,0.8888677966348758,8.410156237981248e-06,7.185299188916527e-06,8.43963146895943e-06,0.1681193779699457,0.2297034446990604,0.37304753763941745,0.3978228226690061,0.1741361263049144,-1.7485584141754242,0.8754456324885009,0.1681193779699457,0.018130352948060324,0.47096925218606867,0.4709692521860686,0.033051163603784975,0.1312079251449253,0.1312079251449253,0.018130352948060324,159,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,52,1874,1125,7.654821806763618,0.7703823474288146,0.00020059935039124345,2.2787597531435583e-05,33,19,False,1e-05,2.285414484357146e-05,True,0.06060288805095115,0.7236227344291946,0.5423741552098506,0.30503343978466085,0.6472358526339619,0.3226556412500057,0.3690372709308454,0.9355335194001704,0.12243913312098678,0.7105558365019494,0.5919671993116861,0.45751287345212055,0.6056529580272021,0.1754931291178521,0.4601777863136029,0.9699498099254856,1
electron,gradient_local_minimum_0002,gradient,gradient,gradient,0.00051099895,3.285328836940202,1.812547609565112,0.6635644691782578,0.4466329810027974,0.0,0.0,3.141592653589793,0.0,0.31720124199309235,2.315229014415987,2.102171337254923,1.9598399035001377,4.695707898887601,0.3855502928761369,0.05983673740567129,-0.323844738414696,1.167043048638062,0.60850452780541,-1.0292952782754992,0.23047208817518886,0.2653634568573279,1.6306881573076981,0.7972976527158804,1.9584953548140847,112.21351802682372,0.13064638909127044,0.19952027427248137,0.13064638909127044,0.19952027427248137,False,,gradient,104001763,1.4888396327071283,3.1123051595805618,1.0,1.040316448838609,0.03711985924441255,1.0000000000000002,1.1433739967139607,-0.2882535958144369,0.2341191629178473,0.1790824582822675,0.24656814884240294,0.6666557358738227,0.6666557628431738,0.6666485949065377,0.9427963005692024,0.9427912666910208,0.9427911928625979,2.3768973749756497e-05,1.160014034668375,0.8888584900621781,5.088061491742568e-06,5.153284530379221e-06,4.978116405207622e-06,0.32679505046536644,0.03745982234289874,0.3364816788703939,0.3642548728082652,0.15435424246626128,0.3561556463119863,0.8475068090441693,0.32679505046536644,0.08058692482958774,0.4887481418875167,0.4887481418875167,0.06989206970004411,0.14699698530421823,0.14699698530421823,0.08058692482958774,104,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53,1827,1296,3.0357548844425364,1.1416291079530685,0.0001190385382030295,2.3768973749756497e-05,26,12,False,1e-05,2.5567585581197828e-05,True,0.3934788597181499,0.792406175643173,0.17211748482189104,0.20453743597750337,0.25291036770859904,0.47237245798823657,0.9909083026034954,0.9629445170009763,0.206027646777003,0.7369602840681627,0.6238364166215802,0.45075500274347374,0.3345709595502208,0.7473451234236197,0.47391237403292275,0.9906775011153132,2
electron,gradient_local_minimum_0003,gradient,gradient,gradient,0.00051099895,3.4908569351310677,1.8683835085792928,0.6987356947972523,0.5554537757728082,0.0,0.0,3.141592653589793,0.0,0.32809214917179985,2.448765917994926,1.5501228541758088,1.538865288117646,5.188347258997343,0.3867542832500436,3.523132126609633,-0.5858318586068186,1.2117219363079808,0.5660746962151895,-1.3877024488526621,0.17026297612196126,0.175466323741187,1.808691045859264,0.8198232829252483,1.5767711182580784,90.34233033431111,0.2365686941486523,0.14857843787637845,0.2365686941486523,0.14857843787637845,False,,gradient,406001502,1.639419210144594,0.01716005341473211,1.0,0.27290872139449723,0.026616189351529276,1.0,0.9863030001802419,-0.30065775769871733,0.23016836241296243,0.16507641503722872,0.23427831877349575,0.6666506436394675,0.6666523985440803,0.6666558102619173,0.9427896154992947,0.9427919670935629,0.9427931007329053,2.4045337320230922e-05,1.1600135668667149,0.8888559276912474,3.75794381646255e-06,3.6431952601390094e-06,3.440949017385897e-06,0.19753789635898059,0.14854732068402995,0.31460189420714874,0.34608521704301054,0.14155928568564347,1.3968818670790089,0.8180602852392326,0.19753789635898059,0.18642221604872766,0.512616977677865,0.5126169776778648,0.001564282199841065,0.14129780527912456,0.14129780527912456,0.18642221604872766,406,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,67,1542,1071,19.738134508716993,0.7588920210750105,6.190834925994748e-05,2.4045337320230922e-05,20,6,False,1e-05,2.407056706201883e-05,True,0.8934988241698228,0.6043178769814496,0.5881072696824704,0.19548618695537523,0.2779717616141514,0.8131369842326399,0.4056245997769947,0.0040599232015693515,0.21993598318624483,0.7794664006477107,0.48983603471291415,0.44181475736930315,0.24670971464179722,0.8257511127467133,0.5218433421886457,0.005462214649351147,3
electron,gradient_local_minimum_0004,gradient,gradient,gradient,0.00051099895,7.61269514833603,2.759111296837449,1.2201122199542145,0.843757736560562,0.0,0.0,3.141592653589793,0.0,0.6567275545131039,2.4787179396804304,2.3257002526064556,1.7094199027204227,4.866308939338484,0.45330743884804836,0.80169941810814,-0.39377119109989267,3.8959360948029538,0.650465951607326,-3.7466061009653293,0.0466109938229238,0.029633918028383305,2.973362211261719,0.8895866559939796,1.967034396500251,112.70276907652733,0.6905603120509894,0.7652253089699596,0.6905603120509894,0.7652253089699596,False,,gradient,1135001548,3.0790539445801137,1.6316118448071575,1.0,0.0025215849679224005,0.022601658734089078,1.0,1.0209240414996394,0.314737902338157,-0.13279555868043105,0.3153632360161225,0.357159031595025,0.6666485087887458,0.6666624880088825,0.6666508683955042,0.9428066769466152,0.9427989216822344,0.9428086074943306,2.442857104261375e-05,1.1600129184715062,0.8888807689918181,2.5322906667402112e-05,2.619212244558966e-05,2.581711472543491e-05,0.3610368521069744,0.0769350006315575,0.42907198423667836,0.4379718527385319,0.21008605786741238,-0.8282638641443375,0.959358719304883,0.3610368521069744,0.09439636248996659,0.1605812229602182,0.16058122296021818,0.13287519160333527,0.40144692430124995,0.4014469243012499,0.09439636248996659,1135,sobol_screened,0.4904565902854616,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,1585,711,4.77992058363163,0.4904565902854616,0.00031075287092406526,2.442857104261375e-05,40,26,False,1e-05,2.4450660730663804e-05,True,0.42942164465785027,0.6485720761120319,0.4728726027533412,0.6206155009567738,0.32173523120582104,0.7713459990918636,0.9615605659782887,0.49830444250255823,0.4418101169761941,0.7890004252613979,0.5441252546752443,0.5140304426348232,0.37014669135238704,0.774497122307998,0.9800933106530477,0.519358180616691,4
electron,gradient_local_minimum_0005,gradient,gradient,gradient,0.00051099895,8.37862462707052,2.8945853981305367,1.2953116376387481,0.6588676549386505,0.0,0.0,3.141592653589793,0.0,0.7716829761897384,2.335868060746331,3.973948363778309,2.1729799993954484,1.499873120384826,0.4157278725270842,5.483392427516224,-0.07454604717807212,4.844632623138593,0.7242078339219242,-3.088897113092322,0.062039740974804594,0.043851912956650856,2.7247725721644747,0.8920865619265349,2.403659918827536,137.71956873357587,0.43337023375898165,1.3112379887822236,0.43337023375898165,1.3112379887822236,False,,gradient,542001502,1.6335445299855549,0.05704552694227378,1.0,0.006175150324368179,0.022663612423539675,1.0,0.9886409232169406,-0.3102119580077218,0.16061117990078932,0.33820169537334366,0.388025203968298,0.6666436822994585,0.6666514505315994,0.6666592539556542,0.9427835245228986,0.9427890214577433,0.9427948647222982,2.8544004394953432e-05,1.1600114385045224,0.8888513565941748,2.8184661521879484e-06,2.7789467585415117e-06,3.4395661417940815e-06,0.05910798152935395,0.38480538764974337,0.4329964151929994,0.4439133691790973,0.21103973060345077,-2.452226775654664,0.9508149348766587,0.05910798152935395,0.18463243558052492,0.40662487708315226,0.4066248770831523,0.041227674336681015,0.14946175373775053,0.14946175373775053,0.18463243558052492,542,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44,1560,972,3.8424154779115747,0.9249360584357005,0.000198505755018533,2.8544004394953432e-05,27,13,False,1e-05,2.9533348928511603e-05,True,0.5848809876157353,0.7093562833016105,0.24345475579469686,0.26663764005023105,0.06326864593327729,0.10669734828272819,0.5625997741899044,0.2945454999192128,0.47555577897485635,0.7435298965565166,0.6916810162872188,0.5745553304991525,0.6324735256872673,0.23871222111991047,0.5199733734158558,0.018158155188289532,5
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,4.576480885029401,2.1392711106891995,0.8639943953665541,0.7345845914516588,0.0,0.0,3.141592653589793,0.0,0.5679637450939652,2.4967831049625304,2.2052294899600784,1.0892729767673723,4.944530147428888,0.5491016611366024,0.7439675010343499,-0.8603138286656691,1.2164113781999784,0.3699949801289337,-2.2935530472588463,0.09342156184979573,0.07690949120024973,2.9510755454312836,0.8893605885866946,1.4014967839622807,80.29985072219681,0.7179834936119652,0.17941265908254378,0.7179834936119652,0.17941265908254378,False,,gradient,1920001895,3.069749843666217,1.6286162193741671,1.0,0.02583859997394035,0.029292495008724342,1.0000000000000002,1.225669690710792,0.3040045123610002,-0.17940007461804652,0.3752369993262258,0.42977543152801206,0.6666603668999781,0.6666416658830588,0.6666501957609264,0.9428080885258472,0.9428141293080703,0.94280092244627,3.059439453945377e-05,1.160006842464399,0.8888863844095156,3.99363032083655e-05,3.995411963969575e-05,3.9985166116252024e-05,0.2189992504996707,0.23299893619093984,0.4352685295865451,0.45199818669061054,0.20926943624123984,-1.6042515169266491,0.9259746715952347,0.2189992504996707,0.06968790861773452,0.10940513872516566,0.10940513872516568,0.20071304264429501,0.4385966745842238,0.4385966745842238,0.06968790861773452,1920,sobol_screened,0.6339370301352626,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73,1958,1287,9.017590966148019,0.6339370301352626,0.000460635188723729,3.059439453945377e-05,29,15,False,1e-05,3.187375493597646e-05,True,0.8720690039917827,0.7735853502526879,0.4996882090345025,0.4938943423330784,0.3611126793548465,0.5524541568011045,0.8424519142135978,0.27539677545428276,0.28741221202390704,0.7947507459662346,0.3467263572579012,0.6395166785860138,0.35097317397916566,0.7869464142302055,0.9771317233501028,0.5184046434260666,6
electron,gradient_local_minimum_0007,gradient,gradient,gradient,0.00051099895,4.3620767922987165,2.0885585441396457,0.8336449100258899,0.602738058476591,0.0,0.0,3.141592653589793,0.0,0.3712024405050615,2.47008358422411,0.8701621493431463,1.8210329115959594,3.427259723786368,0.3599246112551364,5.220905649068262,-0.30885332863615,1.9443785688674284,0.6680943903295596,-1.8254205466602815,0.12447508460644653,0.11410439421809096,1.8458005529531563,0.8357670246780997,1.883026418575728,107.88946649602397,0.23282074114184395,0.29229975224545535,0.23282074114184395,0.29229975224545535,False,,gradient,1638004073,0.05775054892941202,1.5562398650907525,1.0,0.0748128574701214,0.019086971461416937,1.0,1.0833232973958373,0.3066074235319612,-0.2265199359567125,0.14455376437989204,0.2140064583222045,0.6666448849901502,0.6666652561877111,0.6666374942484825,0.9428023024399141,0.9427822587533696,0.9427967536007619,3.643433635268429e-05,1.1600067213557224,0.8888600955497987,1.8214994646270632e-05,1.7435998679427023e-05,1.7606054413699113e-05,0.29752624734850763,0.04153172490271814,0.3100403025522673,0.3390579722512258,0.14051131642665438,-0.4252414180067761,0.8288335796601897,0.29752624734850763,0.06460351734504222,0.15657137473358268,0.15657137473358268,0.0299399132014658,0.5043706530151915,0.5043706530151912,0.06460351734504222,1638,sobol_screened,0.6061309889557442,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,4112,1089,5.006143974819953,0.6061309889557442,0.0009900375252014943,3.643433635268429e-05,136,122,False,1e-05,3.647199458929455e-05,True,0.1970733841881156,0.77572301030159,0.64374780934304,0.40696167666465044,0.2596064554527402,0.31029693875461817,0.02917651552706957,0.4633937617763877,0.27478006231018737,0.7862520245588261,0.5796527788270468,0.41620995562195917,0.13849060735942978,0.5454653263003644,0.018382570656772575,0.4953665343317152,7
electron,gradient_local_minimum_0008,gradient,gradient,gradient,0.00051099895,2.027235290519002,1.423810131484884,0.4029296475569043,0.2589705734098695,0.0,0.0,3.141592653589793,0.0,0.19862721259216218,0.1377787876167363,2.035207020552387,1.867482772648563,5.39967953124279,2.4770665853286555,2.3086802260232067,-0.4176766037778172,0.04322824104630183,0.09143742676821832,-0.02041827666437348,0.9474559522677517,1.679077993625259,1.3093788557967407,0.41203311227789846,1.9378273589317914,111.02932909177456,0.0566350275877916,0.06804000977876495,0.0566350275877916,0.06804000977876495,False,,gradient,51001582,2.057828595820255,2.678986502787391,1.0,3725.4678301017557,0.7048082499346647,1.0,1.132659643416866,-0.05235380929873368,0.1663728979298466,0.4205792264927551,0.42928948146345197,0.6666346720190027,0.6666524467488925,0.6666426735058418,0.942803402982625,0.9427964080214503,0.9428090563350674,4.2444496781161925e-05,1.159994807789117,0.8888774133466761,5.098598144970268e-05,5.0826901249190204e-05,5.097781211899077e-05,0.06298626935968331,0.20842320265042297,0.2711224700145549,0.2714094720101063,0.13541773400950177,-2.1376656337652706,0.9978850996361639,0.06298626935968331,0.003317232179813421,0.3597411317891106,0.35974113178911077,0.19507657256563643,0.36884939620078305,0.3688493962007832,0.003317232179813421,51,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,1642,1089,4.631137108879965,0.7233713651310998,0.00038030195999577606,4.2444496781161925e-05,25,11,False,1e-05,4.276689762455899e-05,True,0.3235490917048215,0.1571345591168307,0.5366967683685555,0.44792332271636615,0.2568451804521212,0.7645599946525168,0.7588394451988332,0.7401141544434898,0.10919582861917286,0.04385635020482399,0.594438228811954,0.4667053177874141,0.32391325753624106,0.8593856885094184,0.6550271861212952,0.8527478887901658,8
electron,gradient_local_minimum_0009,gradient,gradient,gradient,0.00051099895,9.069525441884567,3.011565281026557,1.3597050637180756,1.0519911799803863,0.0,0.0,3.141592653589793,0.0,0.6006387822802325,2.66581620661931,3.776443099881688,1.5716115858589685,1.2715880458173225,0.3646236255296699,5.3441731252265345,-0.36754853582263197,5.2678437482656095,0.709430020180938,-5.439785176370568,0.025685031651172252,0.01309458686318388,3.037459561902941,0.906684783726253,1.786120382919116,102.33715964355584,0.8160258362551174,0.7300551222025086,0.8160258362551174,0.7300551222025086,False,,gradient,1503002750,0.037630978372675886,1.6161135947083352,1.0,0.0002597516161332542,0.008349347445350602,1.0,0.88563556632731,0.32280079573464115,-0.11927680254231109,0.23657718673929323,0.27507983351263493,0.6666431158199608,0.6666470430738691,0.6666353719103476,0.9427848788990776,0.9427763827471273,0.9427792686055733,4.380741430293793e-05,1.1599964740941942,0.888834461636549,1.200397146955412e-05,1.1544913564642822e-05,1.1750191279080724e-05,0.012184569317634508,0.3956630968292078,0.40076227433020206,0.4078476661468423,0.19683844125678088,-2.913478550396537,0.9652547144203137,0.012184569317634508,0.0209546720313491,0.1968067028655182,0.19680670286551816,0.1505482122911424,0.39534563098763953,0.39534563098763975,0.0209546720313491,1503,sobol_screened,0.5863699055553224,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,2793,756,6.900036767620286,0.5863699055553224,0.0012713500041643228,4.380741430293793e-05,92,78,False,1e-05,4.402864480175082e-05,True,0.48796161636710167,0.6031886078417301,0.3733128560706973,0.41290898714214563,0.1436109822243452,0.11560550890862942,0.17868275940418243,0.6351071326062083,0.5046946590351266,0.8485556533158972,0.500259505019895,0.4124148261362883,0.6010395866514509,0.20237952306839038,0.011978312442791149,0.514424934391687,9
