optimization_run,start_source,screening_one_minus_C_p_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_p_gamma,lbfgs_one_minus_C_p_gamma,final_one_minus_C_p_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_p_gamma,local_minimum_verified,initial_C_p_gamma,lbfgs_C_p_gamma,final_C_p_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,674,207,0.0017778653087035033,0.4117487772359918,7.241516216671684e-07,7.566380744172818e-09,20,6,False,1e-05,7.57740992174405e-09,True,0.5882512227640082,0.9999992758483783,0.9999999924336193,0.9258676244024053,0.04266233515320404,0.1419429291362877,0.3097531684357598,0.7137651717215495,0.8862208623912066,0.07768074411608142,0.10241977793208562,0.9304461130676543,0.005004442964197149,0.023061415435475605,0.35676634934072277,0.6618036938162988,0.8922284764032365,0.9999968711205569,0.2511267376831258
1,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,956,9,0.0,1000.0,1000.0,0.005201104886441543,41,27,False,1e-05,0.005201106095831021,True,nan,nan,0.9947988951135585,0.6598036184471335,0.3919956699653355,0.31669505647508306,0.8636040882157521,0.5011014938695811,0.9516396641658168,0.6532206080298696,0.0014023905863354918,0.646249185559766,0.38503376556397595,0.3143379077692903,0.7965966986789851,0.5272283362140925,0.9164675330925561,0.5000411893451625,0.831510345846654
2,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,664,126,0.0014763422155322323,0.7512077305805551,5.2920622550800545e-08,5.551186510466266e-09,23,9,False,1e-05,5.686667248205879e-09,True,0.24879226941944493,0.9999999470793774,0.9999999944488135,0.10272091413993566,0.17747189430302807,0.6639791089514556,0.27701734063525374,0.9624814351504511,0.10905015934068854,0.31706348911948,0.3356946201952549,0.3882242724323283,0.28958797181294627,0.3340331319799735,0.618985379114291,0.9921848633553442,0.05484215335933614,0.5000776192714844,0.196580177185457
3,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,1126,207,0.04387388720957716,0.7977816188931235,0.00019760823900072388,4.95391394572664e-10,42,28,False,1e-05,6.271919650302493e-10,True,0.2022183811068765,0.9998023917609993,0.9999999995046086,0.5540584607594852,0.16152108128393977,0.687146130288706,0.22887019324569835,0.7374700766907514,0.8356167534026185,0.8510088041936995,0.7583395423390443,0.5542407982923535,0.43487754896317665,3.293806980643177e-05,0.7540274549247266,0.999397319935881,0.7637585776740292,0.9999863293676909,0.7098979622712057
4,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,933,486,0.0009902559244499903,0.9932873267631069,4.4979229452124514e-08,4.432002986831662e-09,19,5,False,1e-05,4.4097251405972315e-09,True,0.006712673236893094,0.9999999550207705,0.999999995567997,0.41383073717461116,0.12637521007979666,0.9821057428496337,0.756496176216404,0.7860398206498198,0.29796858936518594,0.15576723596723324,0.3986758026478678,0.3663525531555402,0.194156797991909,0.25502734009007183,0.615343413502297,0.8697075064865596,0.30975193927623146,0.499981932370219,0.8057368241370821
5,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,994,261,0.0014358074635135785,0.5780417843107312,1.2558865447598322e-07,3.82965625878029e-09,32,18,False,1e-05,3.792159475324297e-09,True,0.42195821568926883,0.9999998744113455,0.9999999961703437,0.5311932658180069,0.22757591136509048,0.12558079422869786,0.24102582204851938,0.5951092804950706,0.056663829935161746,0.38096575438477276,0.8868490751789878,0.5068547757628898,0.009171687952339113,0.003871647200449536,0.5300993313441233,0.47554728736710883,0.9781797103242973,0.4999804616429269,0.7667951423925614
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411
7,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,867,216,0.0023968026815154933,0.863253626662172,2.091339804666248e-06,1.2452238129512239e-09,28,14,False,1e-05,1.2485139588847005e-09,True,0.13674637333782796,0.9999979086601953,0.9999999987547762,0.739488002973425,0.3684273559468389,0.04932451882726944,0.04928277710555935,0.01933580652746851,0.9914923168087362,0.5249705338583425,0.15422686768234883,0.7014492575298339,0.2723034606730947,0.12837347248614375,0.7386847150997273,0.0034372017552243895,0.03682583466973144,0.5000145940781437,0.21666343349609007
8,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253
9,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,952,207,0.0030968613400085567,0.6908690868885248,2.4300982901515056e-05,5.1388175603683806e-08,33,19,False,1e-05,5.153161108939486e-08,True,0.3091309131114753,0.9999756990170985,0.9999999486118244,0.08325133776792965,0.42347946676996023,0.5568706111366245,0.3378896227813176,0.7914098377012042,0.996138094108367,0.36022726811257433,0.8263359294198536,0.9408286537221504,0.452745345399253,0.0009606196326994879,0.8262083910305247,0.5759036796357675,0.857087954761502,0.49998258807664964,0.7787632209943354
