optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,angular_minimum:0,1.6432839182868406e-05,True,False,2,ABNORMAL: ,0,445,126,62.257126749828345,1.6032671033342927e-05,1.6032671033342927e-05,1.6032671033342927e-05,14,0,False,1e-05,3.5041370621524585e-05,True,0.5217487212689401,0.5157292739586972,0.47796471387303086,0.44865887479320105,0.5025114247668664,0.3840691588055735,0.011549656160866294,0.49655608950465835,0.5217487212689401,0.5157292739586972,0.47796471387303086,0.44865887479320105,0.5025114247668664,0.3840691588055735,0.011549656160866294,0.49655608950465835
1,angular_minimum:1,2.2787597531435583e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,571,270,43.47768206889741,2.2249534281196985e-05,2.157792149014557e-05,2.157792149014557e-05,14,0,False,1e-05,5.433428913828192e-05,True,0.4805399675960589,0.48477696807481024,0.48076612627539095,0.5191334543188714,0.5378409132859105,0.48739606649356193,0.4601777863136029,0.9699498099254856,0.4805398762295935,0.4847768759027516,0.4807660348659254,0.5191333556145139,0.5378408110246493,0.4873959738235265,0.46017769881865844,0.9699496255060998
2,angular_minimum:2,2.3768973749756497e-05,True,False,2,ABNORMAL: ,0,481,171,31.784335011798603,2.3740672990718905e-05,2.3740672990718905e-05,2.3740672990718905e-05,14,0,False,1e-05,4.18757016458466e-05,True,0.48335497083555573,0.5283191641355909,0.4697381734858797,0.49898511778759463,0.4391653306386439,0.47505812814531645,0.47391237403292275,0.9906775011153132,0.48335497083555573,0.5283191641355909,0.4697381734858797,0.49898511778759463,0.4391653306386439,0.47505812814531645,0.47391237403292275,0.9906775011153132
3,angular_minimum:3,2.4045337320230922e-05,True,False,2,ABNORMAL: ,1,571,270,34.18891365595233,2.4121556034730024e-05,2.4008274048198124e-05,2.4008274048198124e-05,14,0,False,1e-05,4.3868659899650204e-05,True,0.5007333940164581,0.5354700704923597,0.45726096394762344,0.53114781370293,0.4395756460859268,0.5021714120268872,0.5218433421886457,0.005462214649351147,0.5007333915194647,0.5354700678221459,0.45726096166741276,0.5311478110542698,0.439575643893907,0.5021714095227229,0.5218433395863838,0.005462214622112871
4,angular_minimum:4,2.442857104261375e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,445,126,28.221087348346188,2.3446120800727554e-05,2.3446120800727554e-05,2.3446120800727554e-05,14,0,False,1e-05,2.965773369104918e-05,True,0.4644209700651035,0.5378179076057107,0.43349278480288245,0.5206721143677774,0.3667579827978308,0.48118788324482464,0.9800933106530477,0.519358180616691,0.4644209700651035,0.5378179076057107,0.43349278480288245,0.5206721143677774,0.3667579827978308,0.48118788324482464,0.9800933106530477,0.519358180616691
5,angular_minimum:5,2.8544004394953432e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,571,261,28.11562651455193,2.8490030231979944e-05,2.836907302417583e-05,2.836907302417583e-05,14,0,False,1e-05,2.9263607117472236e-05,True,0.4680083740640909,0.4648534088412273,0.45436756781478205,0.5093422297959447,0.6315022387205016,0.4093844795116012,0.5199733734158558,0.018158155188289532,0.46800837210949325,0.4648534068998061,0.45436756591715405,0.5093422288959392,0.6315022360830855,0.4093844778018413,0.5199733712442307,0.01815815511245352
6,angular_minimum:6,3.059439453945377e-05,True,False,2,ABNORMAL: ,1,562,261,28.63084953049463,3.042253814037344e-05,3.0105160766165297e-05,3.0105160766165297e-05,14,0,False,1e-05,4.23306427567138e-05,True,0.4738302202904686,0.535560309310108,0.4412909525566455,0.5240075762498967,0.398446419657371,0.5545293773519012,0.9771317233501028,0.5184046434260666,0.47383021627454747,0.535560304770997,0.4412909488165091,0.5240075718087002,0.398446416280361,0.554529372652019,0.9771317150684783,0.5184046390323575
7,angular_minimum:7,3.643433635268429e-05,True,False,2,ABNORMAL: ,1,643,369,36.99946466401565,3.675765917816288e-05,3.6386126082496576e-05,3.6386126082496576e-05,14,0,False,1e-05,4.1264603714469424e-05,True,0.5241766316265285,0.5286665924392415,0.45281262210634216,0.4284665098030624,0.4789906087363328,0.4809442160920296,0.018382570656772575,0.4953665343317152,0.5241765989667365,0.5286665594996942,0.4528125938930164,0.42846648325327963,0.47899057889193936,0.480944186125913,0.0183825695114126,0.49536650346698946
8,angular_minimum:8,4.2444496781161925e-05,True,False,2,ABNORMAL: ,1,607,297,191.38275999321857,4.288725630269761e-05,4.2578955336606547e-05,4.2578955336606547e-05,14,0,False,1e-05,4.3132101362886305e-05,True,0.4984069293183999,0.5031800723845451,0.5256516440867802,0.5249826743876039,0.46956269171314197,0.4879620230781978,0.6550271861212952,0.8527478887901658,0.49840692913401263,0.503180072198392,0.5256516438923137,0.5249826741933848,0.4695626915394257,0.48796202289767465,0.6550271861108429,0.852747888474689
9,angular_minimum:9,4.380741430293793e-05,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,427,108,44.11406381684058,4.3602339111761296e-05,4.357119110739892e-05,4.357119110739892e-05,14,0,False,1e-05,4.548219802270357e-05,True,0.46120396970825617,0.4714240026242053,0.40648457434655005,0.5367024001437473,0.6189824651390926,0.4998984882964564,0.01197831244279115,0.514424934391687,0.4612039250509357,0.47142395697730255,0.4064845349875829,0.5367023844372594,0.618982405204443,0.4998984617697237,0.011978311282958684,0.5144248845811028
