selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_s_regime,best_theta_in_regime,best_qOut_regime,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
F3,F_3,TxTx,enhanced_region_0,0,50,9.5254096178323922e-01,9.9999999999999956e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.9269908169872458e-01,2.0616701789183018e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.9087385212340517e-01,2.3561944901923448e+00,1.5655395387039144e+01,1.6349403907775649e+01,8.3416739646464866e-01,8.4197941556118772e-01,-3.4662643904761756e+00,-3.0267665457297879e+00,3.9298056968822626e+00,4.0244399438983365e+00,9.0878432013074495e-01,9.4241528159306820e-01,1.7547172139594693e+02,1.8000000000000000e+02,,,3.0478267895776590e-01,6.7478754062449564e-01,6.7770334120601943e+00,6.8243505355684739e+00,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0640160253307238e-01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.0799224746714913e+00,1.5964030537498957e+01,8.3912259034319214e-01,-3.2715705509364690e+00,3.9404836611305867e+00,9.2191656322104820e-01,1.7848290396602061e+02,4.7278156016373163e-01,6.8190115534442874e+00,4.7278156016373163e-01,6.8190115534442874e+00
F3,F_3,TxTx,enhanced_region_1,1,27,9.5242788377458909e-01,9.9999999999999989e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.4726215563702159e+00,2.8470683423157510e+00,1.8000000000000000e+00,1.8000000000000000e+00,1.6689710972195777e+00,2.7488935718910690e+00,1.5655395387039141e+01,1.6349403907775649e+01,8.3416739646464888e-01,8.4197941556118761e-01,-3.5181728009746398e+00,-2.9957966656043378e+00,3.9301816240747032e+00,4.0629222040829802e+00,9.0878432013074495e-01,9.4241528159306831e-01,1.7462288222975423e+02,1.7971543516460650e+02,,,3.0478267895776601e-01,6.7478754062449642e-01,6.7577922819670784e+00,6.8241625719709855e+00,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,1.9634954084936211e+00,5.1050880620834143e+00,1.8000000000000000e+00,2.4543692606170260e+00,1.6039134680238597e+01,8.3810361827192204e-01,-3.3843128757280807e+00,3.9781218431789007e+00,9.2737994395316448e-01,1.7676908622751165e+02,4.7278156016373152e-01,6.8001924624194139e+00,4.7278156016373152e-01,6.8001924624194139e+00
F3,F_3,TxTx,enhanced_region_2,2,3,9.5207765899844732e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.9452431127404299e-01,8.8357293382212987e-01,1.8000000000000000e+00,1.8000000000000000e+00,3.9269908169872414e-01,9.8174770424681035e-01,1.5722195358594446e+01,1.6088194244579594e+01,8.3482781365047409e-01,8.3765810641187244e-01,-3.5181728009746394e+00,-2.9957966656043382e+00,3.9461575580190535e+00,4.0629222040829784e+00,9.1047242278607821e-01,9.3386666256360606e-01,1.7462288222975423e+02,1.7812228662918218e+02,,,3.0478267895776723e-01,4.7278156016373263e-01,6.7577922819670775e+00,6.8161746049999898e+00,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3783235472265357e-01,1.5707949999999999e+00,2.9452431127404299e-01,3.4361169648638361e+00,1.8000000000000000e+00,6.8722339297276724e-01,1.5986616232526782e+01,8.3765810641187244e-01,-2.9957966656043382e+00,3.9781218431789007e+00,9.2483495230207813e-01,1.7676908622751165e+02,3.0478267895776723e-01,6.8001924624194139e+00,3.0478267895776723e-01,6.8001924624194139e+00
