lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_one_minus_C_p_gamma,optimization_run,start_source,screening_one_minus_C_p_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_p_gamma,lbfgs_one_minus_C_p_gamma,final_one_minus_C_p_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_p_gamma,local_minimum_verified,initial_C_p_gamma,lbfgs_C_p_gamma,final_C_p_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_p_gamma_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
electron,gradient_local_minimum_0000,gradient,gradient,gradient,0.00051099895,24.566559047025613,4.956466387157853,2.3894759811020885,1.8715548943423241,0.0,0.0,3.141592653589793,0.0,0.4957272771462676,0.0,0.6554703947765671,0.0,5.907639030428503,3.141592653589793,3.141592653589793,1.0,2.2737942930416144e-11,1.033515906146987e-10,-0.04400830675225867,0.8949974033699811,1.5603616734927455,1.0998497376265721,0.009288149058991441,3.141592653589793,180.0,2.369056870922619,2.3470527175581566,2.369056870922619,2.3470527175581566,False,,gradient,51000842,1.5707763922620173,2.360860248957071,1.0,1095.8886915814649,0.9999129262417951,1.0,1.5898292694974786e-09,-0.9999999992050904,1.0007387498386448e-07,-1.0005904114443938e-07,1.4833759875421056e-11,5.8453894567763e-15,5.8455450990803576e-15,0.9999999999999605,3.7163388470828313e-07,0.9999999999999949,0.9999999999999949,0.9999999999999789,1.4142132589353034,4.291258470883737e-07,1.3811174426336942e-13,6.88338275267597e-14,6.88338275267597e-14,8.542861900262938e-30,8.542187062151573e-30,8.542861900262938e-30,1.708504896241451e-29,3.3741905568192402e-34,0.0,3.949875197012475e-05,8.542861900262938e-30,0.6666666664016953,0.9999999996025453,0.9999999996025452,2.6494680388065427e-10,3.974548106908499e-10,3.974548106908499e-10,0.6666666664016953,3.952393967665557e-14,51,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,1028,522,0.02536481636681258,0.5383012453358931,4.068798796663664e-06,3.952393967665557e-14,24,10,False,1e-05,3.952393967665557e-14,True,0.461698754664107,0.9999959312012033,0.9999999999999605,0.3235490917048215,0.1571345591168307,0.5366967683685555,0.44792332271636615,0.2568451804521212,0.7645599946525168,0.7588394451988332,0.7401141544434898,0.9891560780213369,0.0,0.0,0.1657592844261471,0.10432135337908671,0.9402299536953082,0.49999365464110807,0.7514851571413611,0,0.0,True,1,867,6.345358891935575e-06,True,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0001,gradient,gradient,gradient,0.00051099895,23.64174562455319,4.862277822641688,2.340662357594355,0.6890175040676387,0.0,0.0,3.141592653589793,0.0,1.5046960437191126,0.0,0.37239875146819074,0.0,5.876272502913982,3.141592653589793,3.141592653589793,1.0,1.0981292541956122e-09,7.684535714456207e-10,-0.8844531608415604,0.2647856790781267,0.3202097848774056,2.3088558416470395,0.0627808643895127,3.141592653589793,180.0,7.043970862239494,6.601744282368226,7.043970862239494,6.601744282368226,False,,gradient,567000393,0.0,0.8177943658364544,1.0,3.0889288935631027,0.9958077917767448,1.0000000000000002,1.3611334281905346e-13,1.0,3.6856456708811436e-07,3.6856456708811436e-07,0.0,1.198798169724186e-16,1.1987986376479069e-16,0.9999999999999319,0.0,0.999999999999932,0.999999999999932,0.9999999999999771,1.414213562373047,0.0,-2.8742352253605354e-32,2.220446049250313e-16,2.220446049250313e-16,3.592794109889584e-33,3.592794109889584e-33,3.592794109889584e-33,7.185588219779168e-33,0.0,0.0,0.0,3.592794109889584e-33,2.1038931783846426e-33,6.311679535153925e-33,6.311679535153925e-33,2.2626860947282714e-14,1.0,1.0,2.1038931783846426e-33,6.80566714095221e-14,567,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,611,261,0.001162826483825016,0.9720957826727379,2.1880738332313854e-08,6.80566714095221e-14,16,2,False,1e-05,6.80566714095221e-14,True,0.027904217327262167,0.9999999781192617,0.9999999999999319,0.8166500366718188,0.8082141689653762,0.6014309592851949,0.2517191180426383,0.741873809190664,0.5309165147443322,0.3341606021182305,0.436268531734095,0.965694357796116,0.0,0.0,0.6240823490368771,0.05926910209741277,0.9352378157937441,0.0,0.26031203151114707,1,2.853273173286652e-14,True,0,495,0.0,True,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0002,gradient,gradient,gradient,0.00051099895,24.500697806065773,4.949817956861219,2.3860325502224735,2.2042573458002606,0.0,0.0,3.141592653589793,0.0,0.17501209867447326,0.0,2.6230745161539475,0.0,2.8249657204569054,3.141592653589793,0.0,1.0,2.103837218911213e-12,3.1422934727509246e-11,-0.004734501269496108,0.9870342070566865,1.7654497630182386,0.9467962830088599,0.002834456548471707,3.141592653589793,180.0,0.835169137816469,0.8328018871827514,0.835169137816469,0.8328018871827514,False,,gradient,991000497,1.535442809476673e-05,0.7868163901458904,1.0,12801.580732412142,0.9999919488124124,1.0,9.471455846332811e-10,0.9999999995284754,2.023928098956496e-06,2.0239307748004193e-06,2.676798254827215e-12,0.0,0.0,0.9999999999979501,8.429369702178807e-08,0.999999999997952,0.999999999997952,0.9999999999993167,1.4142134935461317,9.733397746180187e-08,7.105427357601003e-15,3.774758283725532e-15,3.774758283725532e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.265434085590732e-15,2.357622584006077e-10,2.357622584006077e-10,6.827479018084924e-13,0.9999999997642377,0.9999999997642377,1.265434085590732e-15,2.049915792667889e-12,991,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,727,288,3.0321455657962013,0.9938092900826085,2.828649401376282e-07,2.049915792667889e-12,21,7,False,1e-05,1.9578783039264636e-12,True,0.006190709917391433,0.9999997171350599,0.9999999999979501,0.37708558545938203,0.20290120647061682,0.9717104863047352,0.5286365588066783,0.3861875197855334,0.5826340185867599,0.5819251413145096,0.44179953304677827,0.9875,0.0,0.0,0.02458061172136519,0.4174752753442824,0.4496072584758739,4.887466259262396e-06,0.2504514355948794,2,2.0103918529912335e-12,True,0,495,4.887466259262396e-06,False,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0003,gradient,gradient,gradient,0.00051099895,7.717039192681555,2.777955937858186,1.2306161467825019,0.5221293922561312,0.0,0.0,3.141592653589793,0.0,0.5911490428889506,0.0,2.4550195045306458,0.0,3.810419792225028,3.141592653589793,0.0,1.0,2.624150617289156e-09,4.025277588507504e-09,-0.2774562931214271,0.569499854718819,0.8693421691228574,1.5317619234292774,0.09534874061350315,3.141592653589793,180.0,1.4549551773851999,1.316227032136973,1.4549551773851999,1.316227032136973,False,,gradient,797000344,0.0,0.8354184659220157,0.9999999999999999,59.39429936928484,0.9900254313485858,0.9999999999999998,4.555023025442467e-12,0.9999999999999999,-2.1341714931955025e-06,-2.1341714931955025e-06,-4.235164736271502e-22,9.734277203680912e-17,9.734256429086168e-17,0.9999999999977232,0.0,0.9999999999977227,0.9999999999977227,0.9999999999992408,1.414213562371485,0.0,-1.8951190090530727e-32,-8.881784197001252e-16,-8.881784197001252e-16,2.3688987613163423e-33,2.3688987613163423e-33,2.3688987613163423e-33,4.7377975226326845e-33,0.0,0.0,0.0,2.3688987613163423e-33,1.2924560129284811e-33,3.8773680387854424e-33,3.8773680387854424e-33,7.591536192192137e-13,1.0,1.0,1.2924560129284811e-33,2.276845378901271e-12,797,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,518,189,0.0004822643487135677,0.7228569642761763,5.572447059343233e-09,2.276845378901271e-12,15,1,False,1e-05,2.276845378901271e-12,True,0.2771430357238237,0.9999999944275529,0.9999999999977232,0.1666958365256019,0.1490706370275784,0.001986398200959195,0.4929321842869495,0.3258379456530594,0.613361049815517,0.2941184372213448,0.021595885862230255,0.4465041867674094,0.0,0.0,0.4530906900407359,0.39072848953306805,0.606447145187806,0.0,0.26592195680347386,3,2.2373214392246155e-12,True,0,495,0.0,False,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0004,gradient,gradient,gradient,0.00051099895,24.49197112555826,4.9489363630540115,2.385575921045718,0.8348939400179303,0.0,0.0,3.141592653589793,0.0,1.429149402167623,0.0,5.380968889629449,0.0,4.826022950812114,3.141592653589793,3.141592653589793,1.0,7.140809679673232e-10,5.936259667854244e-10,-0.6947528420045315,0.3237815369208965,0.4191136502006087,2.08275796855546,0.0509447529303775,3.141592653589793,180.0,6.818688880991713,6.471312460346505,6.818688880991713,6.471312460346505,False,,gradient,1230000207,0.0,2.330061089637177,0.9999999999999998,6.3463097805992685,0.9972707905690541,0.9999999999999997,5.515810030957915e-12,0.9999999999999998,-2.3485894593000545e-06,-2.3485894593000545e-06,-4.235164736271502e-22,1.5483231798554147e-16,1.5483195798572972e-16,0.9999999999972422,0.0,0.9999999999972421,0.9999999999972421,0.9999999999990805,1.414213562371145,0.0,-4.79459819064706e-32,-2.220446049250313e-16,-2.220446049250313e-16,5.993247879102492e-33,5.993247879102492e-33,5.993247879102492e-33,1.1986495758204984e-32,0.0,0.0,0.0,5.993247879102492e-33,3.598752093696894e-33,1.079625628109068e-32,1.079625628109068e-32,0.6666666666657476,1.0,1.0,3.598752093696894e-33,2.757793993168889e-12,1230,sobol_screened,0.0511026019197941,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,515,225,0.0009838259686121224,0.0511026019197941,2.757793993168889e-12,2.757793993168889e-12,14,0,False,1e-05,8.304468224196171e-13,True,0.9488973980802059,0.9999999999972422,0.9999999999972422,0.9367691120132804,0.11151414643973112,0.149851162917912,0.6076660687103868,0.8442664099857211,0.7932917736470699,0.25075336545705795,0.7075472259894013,0.9872804010777395,0.0,0.0,0.5780045317436326,0.8564077974082343,0.7680854080966829,0.0,0.7416814802436891,4,2.7182700534922333e-12,True,0,495,0.0,False,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0005,gradient,gradient,gradient,0.00051099895,23.580217255410258,4.855946586960184,2.3373787754386357,0.4654839821583102,0.0,0.0,3.141592653589793,0.0,1.671657175474695,0.0,1.5411511452026552,1.0409790762494993e-05,2.3687308719607163,3.141584511117534,5.510323525550509,0.9999999999458181,2.4270803769543825e-09,1.2480575249153608e-09,-1.3389145870768622,0.17692280332102206,0.18494471562961742,2.8245303028928426,0.08566759259017716,3.141590386212732,179.99987008886382,7.814592096691264,7.145134804366988,7.814592096691264,7.145134804366988,False,,gradient,203000668,1.570805675858347,0.7406781361990142,0.9999999999999998,0.7792856061137103,0.9920212105626665,0.9999999999999998,0.0006282929203552776,-0.9999999998223666,-1.990084909046853e-06,1.9901163918325407e-06,3.1483139193308555e-11,5.4282387807194747e-11,5.330662214774337e-11,0.9999999999970905,1.6769600237857555e-06,0.9999999999977935,0.9999999999977935,0.9999999999273042,1.4142121931395748,1.9363866422402404e-06,2.8121949155873482e-12,1.4059864383852982e-12,1.4059864383852982e-12,7.104205250415623e-22,7.103926978853628e-22,7.109665029954544e-22,1.420813222926925e-21,5.598915319918703e-25,-1.5459432798200814,0.0007881282676106774,7.104205250415623e-22,0.32497676419082544,0.9999999999109572,0.9999999999109568,3.189575177051233e-11,8.904284693650823e-11,8.904284693650821e-11,0.32497676419082544,2.9094504583326852e-12,203,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,795,207,0.0006095708664314427,0.9893308929427261,8.72674249530192e-08,2.9094504583326852e-12,27,13,False,1e-05,1.903921464929681e-12,True,0.010669107057273832,0.999999912732575,0.9999999999970905,0.9653876589948162,0.09048166795263754,0.8715780711579927,0.057947864984548195,0.43245113526833634,0.21352732339321526,0.6054478838889454,0.21474963435145245,0.964117290760405,0.0,3.3135393128068565e-06,0.7002267871530016,0.2452818228107379,0.3769952271269234,0.5000029758993229,0.23576517323233043,5,2.8699265186560297e-12,True,1,867,2.9758993228582918e-06,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,7.928065633150488,2.815682090213753,1.2516010474576016,0.06878265684839112,0.0,0.0,3.141592653589793,0.0,0.9719730499143674,3.141592653589793,3.337557731996988,0.0,2.884872838877204,3.141592653589793,0.19596507840719454,-1.0,2.8039969637849715e-08,1.4291326513437799e-08,-1.35458301530343,0.17474097851935777,0.18182479350463202,2.8418710526151667,0.2783719433729825,3.141592653589793,180.0,2.4330450761375073,1.7557535825061605,2.4330450761375073,1.7557535825061605,False,,gradient,1496001171,1.5707939243957993,0.6250933260103473,1.0,0.7126064746963732,0.9006841534350871,1.0,3.370781431811988e-11,-0.9999999999859114,2.351766374050335e-06,-2.3517582963626826e-06,8.077654519269753e-12,0.0,0.0,0.9999999999965983,1.5953292016542255e-06,0.9999999999972348,0.9999999999972348,0.999999999998866,1.414212259790451,1.8421274882665205e-06,2.5450752616507084e-12,1.2729817200352045e-12,1.2729817200352045e-12,0.2500010766292335,0.24999774749161835,0.2500010766292335,0.49999882412085184,1.6645688075781056e-06,3.220235132858523e-16,6.65829088900326e-06,0.2500010766292335,5.009159455313796e-13,1.5027478365918902e-12,1.5027478365918902e-12,0.16666705862588188,0.5000011758776455,0.5000011758776455,5.009159455313796e-13,3.4017233474514796e-12,1496,sobol_screened,0.10909311037937852,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,1411,468,43082.15331791013,0.10909311037937852,0.09257787074227897,3.4017233474514796e-12,44,30,False,1e-05,3.4017233474514796e-12,True,0.8909068896206215,0.907422129257721,0.9999999999965983,0.4656644193455577,0.9565640883520246,0.238853070884943,0.7454974353313446,0.6992609398439527,0.4832193609327078,0.3130851462483406,0.1722696367651224,0.45590151049016825,1.0,0.0,0.7649370082561072,0.5311888109018958,0.4591417724988559,0.4999992352926168,0.19897338545660082,6,3.362199407774824e-12,True,1,867,7.647073832016512e-07,False,alpha_e~pi/2,around pi/2,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0007,gradient,gradient,gradient,0.00051099895,11.093118468575701,3.3306333434612254,1.5332330384725856,0.9670520228516015,0.0,0.0,3.141592653589793,0.0,0.508174698987791,0.0,4.1588234129417065,0.0,4.602664559540079,3.141592653589793,0.0,1.0,3.8843971442159564e-10,1.0052904125355595e-09,-0.11790936696382368,0.7627392495355246,1.263659184289363,1.2662395223161553,0.037832678811514066,3.141592653589793,180.0,1.5583005188806727,1.4993458355932436,1.5583005188806727,1.4993458355932436,False,,gradient,626000373,0.0,0.8046783148359324,0.9999999999999999,278.3994711208512,0.9985139533761629,0.9999999999999999,8.698375353371007e-12,0.9999999999999999,-2.9492289802535154e-06,-2.9492289802535154e-06,-4.235164736271502e-22,1.6638247856074345e-15,1.6638198849274314e-15,0.9999999999956509,0.0,0.999999999995651,0.999999999995651,0.999999999998548,1.4142135623700198,0.0,-5.5366095266815564e-30,2.220446049250313e-16,2.220446049250313e-16,6.920761934611491e-31,6.920761934611491e-31,6.920761934611491e-31,1.3841523869222983e-30,0.0,0.0,0.0,6.920761934611491e-31,4.5716895303169515e-31,1.2829245137625724e-30,1.2829245137625724e-30,1.4496254211384478e-12,1.0,1.0,4.5716895303169515e-31,4.349076654364126e-12,626,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,29,699,378,0.00102048251884456,0.9961063886168661,2.5321050034499137e-08,4.349076654364126e-12,15,1,False,1e-05,2.075339899931805e-12,True,0.003893611383133966,0.99999997467895,0.9999999999956509,0.5813017466239381,0.037327458164791084,0.9387320614642837,0.23035311523733185,0.48673395048219237,0.9250894709825117,0.9598347393129198,0.23008432331109624,0.5841723074322503,0.0,0.0,0.29628565111339916,0.6618973036159792,0.7325368160446848,0.0,0.25613706280999016,7,4.30955271468747e-12,True,0,495,0.0,False,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0008,gradient,gradient,gradient,0.00051099895,8.615081605054035,2.9351459256830887,1.3176921148701957,0.09250579838378353,0.0,0.0,3.141592653589793,0.0,0.9500447834775261,2.7102436464779174e-08,5.3623655109721735,5.1421840437439434e-06,3.1227619625289327,3.1415879691946262,6.264757380405064,0.9999999999866923,1.441949480651683e-08,8.92758998178156e-09,-1.04558707731846,0.22705552611863455,0.2600314700543968,2.495004945698806,0.2088056110372481,3.1415921960003894,179.99997378205842,2.503733134039863,1.9809396025906931,2.503733134039863,1.9809396025906931,False,,gradient,949000514,0.0,0.9014489676146904,1.0,1.7666255966818598,0.9470903572201774,1.0,0.001416701611913547,1.0,-3.0213497994037574e-06,-3.0213497994034533e-06,3.040848280642938e-19,1.3152803427054638e-10,1.3152789797464267e-10,0.9999999999951816,1.4901161193847656e-08,0.9999999999951829,0.9999999999951829,0.9999999998230232,1.4142135502029407,1.7206379109324038e-08,2.220100057132866e-16,2.4424906541753444e-15,2.4424906541753444e-15,6.62456203572763e-17,6.751708556144344e-17,6.795696464486316e-17,1.3376270591871975e-16,1.0756116855032802e-18,2.2031473948115585,0.016082385267488092,6.62456203572763e-17,8.202298495478998e-14,2.458114500589504e-13,2.458114500589504e-13,0.00023636854850225928,0.9999999999997542,0.9999999999997544,8.202298495478998e-14,4.818367926873179e-12,949,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,598,198,0.0016662431784417039,0.44496374087011237,3.463035425088634e-08,4.818367926873179e-12,18,4,False,1e-05,4.349742788178901e-12,True,0.5550362591298876,0.9999999653696457,0.9999999999951816,0.42337296783149786,0.08902415611561917,0.40578324055665865,0.260782309073742,0.5600347373004263,0.8084809040431177,0.18960509511273563,0.2629313355978632,0.4856591259630358,8.626973466407277e-09,1.636808017700239e-06,0.7064016226125188,0.8534469777367185,0.4970030024358277,0.0,0.2869401182819277,8,4.778843987196524e-12,True,0,495,0.0,False,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
electron,gradient_local_minimum_0009,gradient,gradient,gradient,0.00051099895,17.360315673649875,4.166571213077952,1.9777018730557774,0.3703065254232987,0.0,0.0,3.141592653589793,0.0,1.3939074257526518,0.0,2.128156222283097,0.0,3.2901434487899475,3.141592653589793,0.0,1.0,3.4109435206874927e-09,1.9173104057821732e-09,-1.1903295796088575,0.19989072311004485,0.21856866957262847,2.658869192718415,0.10794747016622253,3.141592653589793,180.0,5.5134667455749415,4.918301957476739,5.5134667455749415,4.918301957476739,False,,gradient,1307000504,0.0,2.2992047291735087,1.0,1.169236167453218,0.9870644768324838,1.0,9.864997707657951e-12,1.0,3.1408362606288875e-06,3.1408362606288875e-06,0.0,1.344600859440733e-16,1.344605082618502e-16,0.9999999999950674,0.0,0.9999999999950676,0.9999999999950676,0.9999999999983556,1.4142135623696073,0.0,-3.615914299412267e-32,4.440892098500626e-16,4.440892098500626e-16,4.519892874265339e-33,4.519892874265339e-33,4.519892874265339e-33,9.039785748530678e-33,0.0,0.0,0.0,4.519892874265339e-33,2.3978414814414794e-33,7.193524444324437e-33,7.193524444324437e-33,0.6666666666650227,1.0,0.9999999999999999,2.3978414814414794e-33,4.932609876107108e-12,1307,sobol_screened,0.06989209973465305,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,634,207,0.0023027204351516476,0.06989209973465305,2.3165688167736675e-07,4.932609876107108e-12,20,6,False,1e-05,1.5981660439479128e-12,True,0.930107900265347,0.9999997683431183,0.9999999999950674,0.7540084701031446,0.12015380244702101,0.1362663321197033,0.6836844300851226,0.39728718530386686,0.5742593957111239,0.10471899434924126,0.7822482092306018,0.7923986512921678,0.0,0.0,0.6893193591624356,0.3387065824481293,0.5236425933563363,0.0,0.7318595956564529,9,4.8930859364304524e-12,True,0,495,0.0,False,alpha_e~0,around 0,CPGAMMA nearest fixed alpha_e quarter-pi center
