detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,theta_e,theta_p,sqrt_s,theta_out,phi_p_out,qOut,phi_gamma_out
dw_mixing_angles_polarization_04_local_minimum_0,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_0,gradient_local_minimum,0,0,3.8028600070852562e-05,9.9999999999999989e-01,1.6971122236601608e+00,3.0476415744353686e+00,2.3077104090990535,1.9786954612674086,5.058103823584203,0.6735651210774386,1.3648077842148942
dw_mixing_angles_polarization_04_local_minimum_5,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_5,gradient_local_minimum,1,1,5.7486651598225543e-05,1.0000000000000002e+00,1.4992147145300083e+00,2.2219062185962656e-02,1.9352602795889888,2.264593781208342,1.1644894682070848,0.3752957928453832,4.8872215381683795
dw_mixing_angles_polarization_04_local_minimum_7,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_7,gradient_local_minimum,2,2,6.7722712710264015e-05,9.9999999999999978e-01,1.6896982402943856e+00,8.9307996293302078e-02,2.3532379414094504,2.0008127384828156,4.340119928830191,0.6867447894585652,1.744817659048593
dw_mixing_angles_polarization_04_local_minimum_8,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_8,gradient_local_minimum,3,3,6.8881519132933981e-05,1.0000000000000004e+00,1.6372977406158842e+00,1.6929532934902122e-02,2.0055393010668663,2.289804669380089,4.955075050973437,0.3955178337897771,1.185615391354294
dw_mixing_angles_polarization_04_local_minimum_10,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_10,gradient_local_minimum,4,4,7.1360493591996737e-05,1.0000000000000000e+00,1.5110596906501950e+00,1.3796981969176000e-02,2.087916742548132,2.321298503221174,4.552531021188124,0.4218163847982372,0.7825877893531096
dw_mixing_angles_polarization_04_local_minimum_11,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_11,gradient_local_minimum,5,5,7.2248145105492377e-05,1.0000000000000000e+00,1.5482564348611951e+00,3.0574738976253957e-02,3.4806969202904767,2.6056604750525705,2.7201114867081024,0.9169017187233653,5.1218643808816475
dw_mixing_angles_polarization_04_local_minimum_12,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_12,gradient_local_minimum,6,6,7.4080207425908042e-05,9.9999999999999978e-01,1.5889871438537768e+00,2.8144041603465869e-02,3.6147691502514823,2.6585157524293606,2.7717534405051145,0.9548416377441197,5.153371914037871
dw_mixing_angles_polarization_04_local_minimum_14,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_14,gradient_local_minimum,7,7,8.8410304764406679e-05,1.0000000000000000e+00,1.6856611691302434e+00,3.0584694585733088e+00,1.5535085328648741,2.1565379844440398,3.8010835343221956,0.24528235970862533,1.1374526716124198
dw_mixing_angles_polarization_04_local_minimum_18,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_18,gradient_local_minimum,8,8,1.1509804269396925e-04,1.0000000000000002e+00,1.3318553462829041e+00,4.2323051913341031e-01,1.0172273507807241,2.651716289227248,5.810672056441871,0.022903046266497716,2.232088293198037
dw_mixing_angles_polarization_04_local_minimum_21,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_21,gradient_local_minimum,9,9,1.2282861601383208e-04,9.9999999999999956e-01,1.6508277108340033e+00,6.5184775718511750e-02,2.7070657812956442,2.1701216295244388,4.115874713064445,0.7691096348917478,1.593054839486418
dw_mixing_angles_polarization_04_local_minimum_23,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_23,gradient_local_minimum,10,10,1.3090050580035324e-04,1.0000000000000000e+00,1.6300472450071857e+00,1.2424377468376069e-02,2.104983828740609,2.3270912357415603,4.517918230350271,0.4240898335323928,0.7264508938656002
dw_mixing_angles_polarization_04_local_minimum_24,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_24,gradient_local_minimum,11,11,1.3129708148308452e-04,1.0000000000000000e+00,1.5128222890605063e+00,1.3093191732176799e-02,2.1127615022345334,2.331330826865275,1.8513239950328546,0.4289823435857066,5.632714109805748
dw_mixing_angles_polarization_04_local_minimum_28,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_28,gradient_local_minimum,12,12,1.4011361009255743e-04,1.0000000000000002e+00,1.5172254516732893e+00,1.2293918189288128e-02,2.1755579365765363,2.3608916391888237,4.119826742539097,0.443311554852,0.3166357645434393
dw_mixing_angles_polarization_04_local_minimum_33,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_33,gradient_local_minimum,13,13,1.5727026256537088e-04,9.9999999999999978e-01,1.4454142811518245e+00,3.0482022484937779e+00,2.329913232671842,1.9833243640176035,5.069893268844193,0.6814987152847561,1.3657945906283184
dw_mixing_angles_polarization_04_local_minimum_34,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_34,gradient_local_minimum,14,14,1.6260978250612283e-04,9.9999999999999989e-01,1.6721162692892046e+00,6.0179903388571265e-02,1.659275383700288,2.173229944234774,0.7363467988191674,0.28736577662991647,4.405891423041008
dw_mixing_angles_polarization_04_local_minimum_35,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_35,gradient_local_minimum,15,15,1.6725966915396713e-04,9.9999999999999989e-01,1.5115593453258276e+00,1.3013458829507510e-02,2.0889701961503193,2.3283243995452225,1.7567179964987767,0.4180043067393344,5.541232935376066
dw_mixing_angles_polarization_04_local_minimum_37,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_37,gradient_local_minimum,16,16,1.7317968224034671e-04,1.0000000000000000e+00,1.5459470749530186e+00,3.1201275896448748e+00,2.8577191249893885,2.5817958678333524,6.276395629609147,0.6548814883828974,2.4150600569287453
dw_mixing_angles_polarization_04_local_minimum_39,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_39,gradient_local_minimum,17,17,1.7662736984095121e-04,9.9999999999999978e-01,1.5958473597500649e+00,3.2583371241203508e-02,3.4523251588342525,2.5772746112303326,3.6064045478419526,0.9173441595613574,1.2201915150318887
dw_mixing_angles_polarization_04_local_minimum_44,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_44,gradient_local_minimum,18,18,1.8358877671355693e-04,9.9999999999999978e-01,1.4736397646651465e+00,3.0653918107447216e+00,2.568359422811865,2.094996194764841,1.0652942679383337,0.7385723266107931,4.828731272059057
dw_mixing_angles_polarization_04_local_minimum_47,D_W,D_W,mixing_angles,polarization_cluster_04_local_minimum_47,gradient_local_minimum,19,19,2.1289891918249666e-04,1.0000000000000000e+00,1.8363577333225087e+00,3.6557101585255597e-01,1.080490369960238,2.4094146194583175,5.709990710489888,0.04811904743749725,2.176590000069877
