spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,1.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.3396031725380169e+01,8.3396031725380169e+01,1.0000000000000002e+00,True,1,1,3.9671569515796407e-16,3.4437883659249501e-17,3.2716395752523980e-01,1.4901161193847656e-08,3.2716395829724187e-01,3.2716395829724221e-01,5.6293070135133293e-09,2.2204460492503116e-16,5.0514251115352238e-10,5.0514273319812730e-10
unpolarized,pure_initial_state,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,8.8847579660929682e+01,1.0000000000000000e+00,True,1,1,8.6672598656862902e-17,2.6136646065402947e-17,8.7693196946122431e-02,0.0000000000000000e+00,8.7693198095515609e-02,8.7693198095515609e-02,0.0000000000000000e+00,-8.1952636254817766e-33,2.0158792603947040e-10,2.0158792603947040e-10
unpolarized,pure_initial_state,2.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.0505825648680468e+02,1.0505825648680468e+02,1.0000000000000000e+00,True,1,1,1.3807181824020669e-16,1.6893994861709964e-16,4.3464955276565501e-03,0.0000000000000000e+00,4.3464956078579156e-03,4.3464956078579156e-03,0.0000000000000000e+00,-4.7604533230904937e-32,6.9718975940200913e-13,6.9718975940200913e-13
unpolarized,pure_initial_state,2.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.2560172817056961e+02,1.2560172817056961e+02,1.0000000000000000e+00,True,1,1,5.8432612273273640e-17,5.9641977818681904e-17,2.9876137153583813e-02,0.0000000000000000e+00,2.9876137826461868e-02,2.9876137826469300e-02,0.0000000000000000e+00,-6.9715356952028734e-33,4.0205994675072965e-11,4.0206438655862597e-11
unpolarized,pure_initial_state,3.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.4998612999769580e+02,1.4998612999769580e+02,1.0000000000000000e+00,True,1,1,5.4557596295702238e-17,1.5300729037753871e-16,2.8375197603793537e-02,0.0000000000000000e+00,2.8375197865840529e-02,2.8375197865836616e-02,0.0000000000000000e+00,-2.6387762222241274e-32,1.4871270447719409e-11,1.4871048294694267e-11
unpolarized,pure_initial_state,3.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.7944293033106106e+02,1.7944293033106106e+02,9.9999999999999978e-01,True,1,1,1.5993201074285271e-16,1.9546514328493121e-16,1.5818125654689243e-02,0.0000000000000000e+00,1.5818126123941387e-02,1.5818126123927349e-02,0.0000000000000000e+00,-6.3784870299650638e-32,1.4845378995109043e-11,1.4844934905899193e-11
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.1642790962917491e+02,2.1642790962917491e+02,1.0000000000000000e+00,True,1,1,1.1975500162836368e-16,7.6382661760760501e-17,8.7561263430406913e-04,0.0000000000000000e+00,8.7561270488497342e-04,8.7561270463138580e-04,0.0000000000000000e+00,-2.0175571432668131e-32,1.2360306810523165e-13,1.2315897900126070e-13
unpolarized,pure_initial_state,4.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.6511115768605021e+02,2.6511115768605021e+02,1.0000000000000000e+00,True,1,1,3.4409527597011630e-17,2.2921213627781020e-16,1.8377109057326885e-02,0.0000000000000000e+00,1.8377109217757346e-02,1.8377109217757346e-02,0.0000000000000000e+00,-5.3722219006486929e-32,5.8964961277378769e-12,5.8964961277378769e-12
unpolarized,pure_initial_state,5.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,3.3287409408925032e+02,3.3287409408925032e+02,1.0000000000000000e+00,True,1,1,5.4351097701371159e-17,1.6600696421920356e-16,3.4858848401518754e-02,0.0000000000000000e+00,3.4858848401517768e-02,3.4858848401517768e-02,0.0000000000000000e+00,-3.0512353990619924e-32,-6.8738417735580981e-17,-6.8738417735580981e-17
unpolarized,pure_initial_state,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,4.3416619700249049e+02,1.0000000000000000e+00,True,1,1,9.5770989231961690e-17,4.8550202491113730e-17,4.9095003636875773e-02,0.0000000000000000e+00,4.9095004443994471e-02,4.9095004443992209e-02,0.0000000000000000e+00,-1.1529204540396669e-32,7.9250991619900235e-11,7.9250769575295310e-11
unpolarized,pure_initial_state,6.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,6.0204665318853426e+02,6.0204665318853426e+02,9.9999999999999989e-01,True,1,1,6.8399210592434115e-17,2.0045501498497328e-16,5.9946051855572093e-02,0.0000000000000000e+00,5.9946052954327630e-02,5.9946052954331336e-02,0.0000000000000000e+00,-4.4860665042294011e-32,1.3173211436609544e-10,1.3173255845530529e-10
unpolarized,pure_initial_state,1.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.4983808434579879e+02,1.4983808434579879e+02,9.9999999999999989e-01,True,1,1,1.1558168359056669e-16,1.0116518694277927e-16,4.8841072812080094e-01,0.0000000000000000e+00,4.8841072865444501e-01,4.8841072865444501e-01,0.0000000000000000e+00,-2.3593520630797352e-32,5.2127496763532122e-10,5.2127496763532122e-10
unpolarized,pure_initial_state,1.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.4819443606611765e+02,1.4819443606611765e+02,1.0000000000000000e+00,True,1,1,2.8136696611122542e-17,6.6698939301889996e-17,4.1561312266947659e-01,2.1073424255447017e-08,4.1561312384609339e-01,4.1561312384609389e-01,1.0113319607336902e-08,4.4408920985006271e-16,9.7803476428737213e-10,9.7803518062100636e-10
unpolarized,pure_initial_state,2.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.6075140536938193e+02,1.6075140536938193e+02,1.0000000000000000e+00,True,1,1,8.8382110435094022e-17,9.2465422822152058e-17,3.4959206618423333e-01,1.4901161193847656e-08,3.4959206696210959e-01,3.4959206696210959e-01,6.0152135481575609e-09,2.2204460492503131e-16,5.4387873371641859e-10,5.4387873371641859e-10
unpolarized,pure_initial_state,2.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.7922742096587677e+02,1.7922742096587677e+02,1.0000000000000000e+00,True,1,1,1.3092937268169062e-16,1.0083361978794815e-16,2.9465785886049883e-01,0.0000000000000000e+00,2.9465786117173531e-01,2.9465786117173570e-01,0.0000000000000000e+00,-2.7309919510361523e-32,1.3620480021625525e-09,1.3620482242071574e-09
unpolarized,pure_initial_state,3.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,2.0259280177942964e+02,2.0259280177942964e+02,1.0000000000000000e+00,True,1,1,8.2381418173250577e-17,9.0510182948538713e-17,2.4832490429332915e-01,0.0000000000000000e+00,2.4832490581447383e-01,2.4832490581447250e-01,0.0000000000000000e+00,-1.4978791277613929e-32,7.5547621630756012e-10,7.5547555711263925e-10
unpolarized,pure_initial_state,3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,2.3193480879977864e+02,2.3193480879977864e+02,9.9999999999999978e-01,True,1,1,1.2643676488352563e-16,1.2700106738931088e-16,2.0879663043251426e-01,2.1073424255447017e-08,2.0879663297263198e-01,2.0879663297263357e-01,5.0807516852831760e-09,4.4408920985006271e-16,1.0607360476089234e-09,1.0607367068038442e-09
unpolarized,pure_initial_state,4.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,2.6976845926324165e+02,2.6976845926324165e+02,9.9999999999999978e-01,True,1,1,8.8711673318465953e-17,8.6568739924809784e-17,1.7509362536004536e-01,0.0000000000000000e+00,1.7509362800232436e-01,1.7509362800232564e-01,0.0000000000000000e+00,-1.5363907715131580e-32,9.2529242948224955e-10,9.2529287704090635e-10
unpolarized,pure_initial_state,4.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,3.2051531473314094e+02,3.2051531473314094e+02,1.0000000000000000e+00,True,1,1,4.1447948903117729e-17,2.2850161156367271e-16,1.4674936550782131e-01,0.0000000000000000e+00,1.4674936567809732e-01,1.4674936567809732e-01,0.0000000000000000e+00,-5.3930918955471017e-32,4.9975794336187818e-11,4.9975794336187818e-11
