optimization_run,start_source,screening_one_minus_C_e_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_gamma,lbfgs_one_minus_C_e_gamma,final_one_minus_C_e_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_gamma,local_minimum_verified,initial_C_e_gamma,lbfgs_C_e_gamma,final_C_e_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,angular_minimum:0,4.3254178017093636e-11,True,False,2,ABNORMAL: ,0,548,189,18633.410733070687,1.5178536205695536e-10,1.5178536205695536e-10,4.407374465387193e-11,15,1,False,1e-05,4.353983840132969e-11,True,0.9999999998482146,0.9999999998482146,0.9999999999559263,0.5173902804824865,0.5,0.694975150720627,0.5,0.5,0.33984970981832957,0.7499090830200039,0.976887068746828,0.5173902804824865,0.4999755859375,0.694975150720627,0.5,0.5,0.33984970981832957,0.7499090830200039,0.976887068746828
1,angular_minimum:1,8.31155144709328e-11,True,False,2,ABNORMAL: ,0,547,189,2230.1511910796785,2.3073065680279115e-10,2.3073065680279115e-10,1.1532441668293814e-10,15,1,False,1e-05,7.381928401883897e-11,True,0.9999999997692693,0.9999999997692693,0.9999999998846756,0.5111437615691717,0.4996965106400809,0.6626782360816286,0.5,0.5,0.2994415491555328,0.7501720227704874,0.9866169596455304,0.5111437615691717,0.4996965106400809,0.6626782360816286,0.5,0.5,0.2994415491555328,0.7501720227704874,0.9867146158955304
2,angular_minimum:2,1.0399348049361379e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,508,189,1927.5905546663103,2.402136267676269e-10,1.644556713031875e-10,1.644556713031875e-10,14,0,False,1e-05,8.42075298379541e-11,True,0.9999999997597864,0.9999999998355443,0.9999999998355443,0.5132966355123226,0.499813209104325,0.6967916656922941,0.49999999999999994,0.5,0.25205713482227177,0.7504027819086393,0.9832746631215797,0.5132966355122861,0.49981320910429733,0.6967916656922951,0.49999999996970756,0.4999999999697076,0.2520571348222722,0.7504027819086095,0.9832746631215749
3,angular_minimum:3,1.1827960832988538e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,538,144,422.88307001721194,6.814062314397518e-09,2.026172452040953e-09,1.8579915384009382e-10,17,3,False,1e-05,1.483305700489268e-10,True,0.9999999931859377,0.9999999979738275,0.9999999998142008,0.48988942367215643,0.5001495694482825,0.6859788689474099,0.49999999999999994,0.5,0.21617863758213524,0.7494335811053975,0.5114699940791887,0.4898894236792321,0.4995636319508704,0.6859788689500272,0.4999999946825367,0.49999999468253675,0.21695988758222312,0.7494335811094646,0.5114699940797441
4,angular_minimum:4,2.7763269461189566e-10,True,False,2,ABNORMAL: ,0,615,189,2133.6118989970414,7.448854422165141e-09,7.448854422165141e-09,4.1330294742181195e-10,18,4,False,1e-05,3.912226098634619e-10,True,0.9999999925511456,0.9999999925511456,0.999999999586697,0.5157838161921775,0.5000397293348178,0.7005530353806546,0.5,0.5,0.250806627688621,0.7508870889336955,0.9799278687578299,0.5157938161921775,0.5000397293348178,0.7005530353806546,0.5,0.5,0.250806627688621,0.7508870889336955,0.98031849375783
5,angular_minimum:5,2.9097813047940235e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,427,108,49.138276383486755,8.786182226216965e-09,4.697380928675443e-09,4.697380928675443e-09,14,0,False,1e-05,4.790052798853139e-09,True,0.9999999912138178,0.9999999953026191,0.9999999953026191,0.5005925777208604,0.49999990223807667,0.5056999383598898,0.5,0.5,0.48703585333476507,0.2637060823573378,0.6730406589690261,0.5005925768832448,0.49999989718043386,0.5056999260759025,0.4999999711509869,0.4999999711509869,0.4870358505463003,0.26370608235786486,0.673040659016512
6,angular_minimum:6,3.5582659041466513e-10,True,False,2,ABNORMAL: ,0,570,189,141421356.23837656,4.24759116768314e-10,4.24759116768314e-10,1.4899714795291175e-10,16,2,False,1e-05,1.4676537762881026e-10,True,0.9999999995752409,0.9999999995752409,0.9999999998510029,0.509449969674162,0.4996290353085733,0.7407358939696593,0.49999999999999994,0.5,0.12794193838140233,0.25005206879872677,0.48920170286547005,0.509449969674162,0.5004102853085732,0.7407358939696593,0.49999999999999994,0.5,0.12794193838140233,0.25005206879872677,0.48842045286547003
7,angular_minimum:7,3.747385735053399e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,481,162,1086.7835362948608,6.160136512001202e-09,3.83483023114195e-10,3.83483023114195e-10,14,0,False,1e-05,4.0892511599111003e-10,True,0.9999999938398635,0.999999999616517,0.999999999616517,0.5144836253875401,0.4998356803596971,0.6801625743365936,0.5,0.5,0.2535306892077801,0.7513320714119014,0.9828699144989541,0.5144836253873825,0.49983568035928033,0.68016257433551,0.49999999880486945,0.49999999880486945,0.2535306892064967,0.7513320714123056,0.9828699144990946
8,angular_minimum:8,4.228716266041488e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,524,153,716.800914367665,6.379067940542882e-09,1.2725900333521167e-09,3.6588587715158383e-10,16,2,False,1e-05,3.635867162898876e-10,True,0.9999999936209321,0.99999999872741,0.9999999996341141,0.49184522328902364,0.5007291264814357,0.6040296088499126,0.5,0.5,0.34994935947804884,0.748996371131626,0.5047472219125786,0.4918452232923917,0.5007291264851962,0.6040051947875257,0.4999999968457178,0.4999999968457178,0.3501446719816243,0.7489963711339184,0.5047472219118655
9,angular_minimum:9,4.766462780025904e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,475,126,95.95832787165841,8.172326149136211e-09,2.303269686088072e-09,8.64607385686611e-10,15,1,False,1e-05,8.555349761962816e-10,True,0.9999999918276739,0.9999999976967303,0.9999999991353926,0.5192719605457173,0.5000249534743652,0.7369099640038199,0.5,0.5,0.0834958755829982,0.24562463252492014,0.9790086353012382,0.5192719605643423,0.5000249534937365,0.7369099640141217,0.49999998733988243,0.49999998733988243,0.0836911881024731,0.24562463251081154,0.9790086352912172
10,angular_minimum:10,4.945742704265399e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,507,135,183.16141374348553,5.9355450554576805e-09,8.827409914147211e-10,5.762766930317298e-10,16,2,False,1e-05,5.508528078124186e-10,True,0.999999994064455,0.999999999117259,0.9999999994237233,0.5199388012891715,0.4999481486513067,0.7347491284254597,0.49999999999999994,0.5,0.10852840926784613,0.7534259549053794,0.9770029786081661,0.5199388012950961,0.4999481486578379,0.7347369213974075,0.4999999939072379,0.499999993907238,0.10847958114944617,0.7534259549002363,0.9770029786146374
11,angular_minimum:11,5.100249111933408e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,533,162,2432.2799977895997,8.733481937639453e-09,5.538169922658653e-10,2.211161254095373e-10,16,2,False,1e-05,2.819275923826581e-10,True,0.9999999912665181,0.999999999446183,0.9999999997788839,0.5189277380977521,0.5000506337575723,0.7373007665855215,0.5,0.49999999999999994,0.21099181090624208,0.7509725672990001,0.9745047286034135,0.518927738097829,0.5000506337575021,0.7373984228355276,0.49999999985904375,0.4999999998590437,0.2109918109064726,0.7509725672990303,0.9748953536036448
12,angular_minimum:12,6.84331036282515e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,502,153,155.82113518424939,3.066670140050576e-09,7.038255533942106e-10,5.546708647941045e-10,15,1,False,1e-05,5.628584265338077e-10,True,0.9999999969333299,0.9999999992961744,0.9999999994453291,0.48792058470946764,0.4997148525060855,0.7287244122050212,0.49999999999999994,0.5,0.11615170409474002,0.7518353949823724,0.014128846254824756,0.48792058470609434,0.49971485250858566,0.7286267559520674,0.49999999450720023,0.4999999945072003,0.11615170409735333,0.7518353949837708,0.014128846249283353
13,angular_minimum:13,7.662365186789089e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,490,171,195.3566370805827,7.222298314957243e-10,7.053765349596119e-10,7.053765349596119e-10,14,0,False,1e-05,7.2881023438498e-10,True,0.9999999992777702,0.9999999992946235,0.9999999992946235,0.518008548406372,0.500072645051681,0.6891487740613487,0.49999999999999994,0.5,0.18531727760432265,0.7541881299852262,0.9815149102784312,0.5180085484063713,0.5000726450516808,0.68914877406134,0.49999999999004624,0.4999999999900463,0.18531727760430725,0.7541881299852218,0.9815149102784312
14,angular_minimum:14,8.089681147183114e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,516,144,296.81488811317536,8.887633740073397e-09,1.2018638306798834e-09,8.793539230111946e-10,16,2,False,1e-05,9.052446570123607e-10,True,0.9999999911123663,0.9999999987981362,0.9999999991206461,0.5202071286202051,0.5000521196332588,0.7280961601608917,0.49999999999999994,0.5,0.13620662782280069,0.7463751493241,0.47604262794692137,0.5202071286257849,0.5000521196317761,0.7281449882914772,0.49999999652453253,0.4999999965245326,0.13620662782751478,0.7463751493259639,0.47604262795254504
15,angular_minimum:15,8.563387776661102e-10,True,False,2,ABNORMAL: ,0,517,189,314.0163101214376,8.816624097462977e-10,8.816624097462977e-10,8.816624097462977e-10,14,0,False,1e-05,8.61863247436645e-10,True,0.9999999991183376,0.9999999991183376,0.9999999991183376,0.4866449657153557,0.49974626435766833,0.7170491913044961,0.49999999999999994,0.5,0.15793577431268419,0.2520176569346843,0.5160494180460247,0.4866449657153557,0.49974626435766833,0.7170491913044961,0.49999999999999994,0.5,0.15793577431268419,0.2520176569346843,0.5160494180460247
16,angular_minimum:16,9.348744001158593e-10,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,481,162,132.93776233866816,9.835534831026393e-09,9.743500450909437e-10,9.743500450909437e-10,14,0,False,1e-05,9.729818062353957e-10,True,0.9999999901644652,0.99999999902565,0.99999999902565,0.52738264013208,0.5000169067184237,0.728765113752542,0.49999999999999994,0.5,0.10092045286355045,0.7419187611496497,0.47085145425027897,0.5273826401332573,0.500016906719636,0.7287651137530937,0.4999999989036181,0.4999999989036182,0.10092045286550018,0.7419187611492748,0.4708514542522408
17,angular_minimum:17,9.521115007515846e-10,True,False,2,ABNORMAL: ,0,490,171,324.4497675244911,9.579456117236873e-10,9.579456117236873e-10,9.579456117236873e-10,14,0,False,1e-05,9.356965202655942e-10,True,0.9999999990420544,0.9999999990420544,0.9999999990420544,0.5124191472702508,0.5000788452552956,0.6349077169437072,0.5,0.5,0.2866009450411644,0.7529804397383043,0.9904667835880604,0.5124191472702508,0.5000788452552956,0.6349077169437072,0.5,0.5,0.2866009450411644,0.7529804397383043,0.9904667835880604
