selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_electron_unpolarized_proton_unpolarized_C_e_p,lepton_electron_unpolarized_proton_unpolarized_C_e_gamma,lepton_electron_unpolarized_proton_unpolarized_C_p_gamma,lepton_electron_unpolarized_proton_unpolarized_C_e_rest,lepton_electron_unpolarized_proton_unpolarized_C_p_rest,lepton_electron_unpolarized_proton_unpolarized_C_gamma_rest,lepton_electron_unpolarized_proton_L_C_e_p,lepton_electron_unpolarized_proton_L_C_e_gamma,lepton_electron_unpolarized_proton_L_C_p_gamma,lepton_electron_unpolarized_proton_L_C_e_rest,lepton_electron_unpolarized_proton_L_C_p_rest,lepton_electron_unpolarized_proton_L_C_gamma_rest,lepton_electron_L_proton_unpolarized_C_e_p,lepton_electron_L_proton_unpolarized_C_e_gamma,lepton_electron_L_proton_unpolarized_C_p_gamma,lepton_electron_L_proton_unpolarized_C_e_rest,lepton_electron_L_proton_unpolarized_C_p_rest,lepton_electron_L_proton_unpolarized_C_gamma_rest,lepton_electron_unpolarized_proton_Tx_C_e_p,lepton_electron_unpolarized_proton_Tx_C_e_gamma,lepton_electron_unpolarized_proton_Tx_C_p_gamma,lepton_electron_unpolarized_proton_Tx_C_e_rest,lepton_electron_unpolarized_proton_Tx_C_p_rest,lepton_electron_unpolarized_proton_Tx_C_gamma_rest,lepton_electron_unpolarized_proton_Ty_C_e_p,lepton_electron_unpolarized_proton_Ty_C_e_gamma,lepton_electron_unpolarized_proton_Ty_C_p_gamma,lepton_electron_unpolarized_proton_Ty_C_e_rest,lepton_electron_unpolarized_proton_Ty_C_p_rest,lepton_electron_unpolarized_proton_Ty_C_gamma_rest,lepton_electron_Tx_proton_unpolarized_C_e_p,lepton_electron_Tx_proton_unpolarized_C_e_gamma,lepton_electron_Tx_proton_unpolarized_C_p_gamma,lepton_electron_Tx_proton_unpolarized_C_e_rest,lepton_electron_Tx_proton_unpolarized_C_p_rest,lepton_electron_Tx_proton_unpolarized_C_gamma_rest,lepton_electron_Ty_proton_unpolarized_C_e_p,lepton_electron_Ty_proton_unpolarized_C_e_gamma,lepton_electron_Ty_proton_unpolarized_C_p_gamma,lepton_electron_Ty_proton_unpolarized_C_e_rest,lepton_electron_Ty_proton_unpolarized_C_p_rest,lepton_electron_Ty_proton_unpolarized_C_gamma_rest,lepton_electron_L_proton_L_C_e_p,lepton_electron_L_proton_L_C_e_gamma,lepton_electron_L_proton_L_C_p_gamma,lepton_electron_L_proton_L_C_e_rest,lepton_electron_L_proton_L_C_p_rest,lepton_electron_L_proton_L_C_gamma_rest,lepton_electron_L_proton_Tx_C_e_p,lepton_electron_L_proton_Tx_C_e_gamma,lepton_electron_L_proton_Tx_C_p_gamma,lepton_electron_L_proton_Tx_C_e_rest,lepton_electron_L_proton_Tx_C_p_rest,lepton_electron_L_proton_Tx_C_gamma_rest,lepton_electron_L_proton_Ty_C_e_p,lepton_electron_L_proton_Ty_C_e_gamma,lepton_electron_L_proton_Ty_C_p_gamma,lepton_electron_L_proton_Ty_C_e_rest,lepton_electron_L_proton_Ty_C_p_rest,lepton_electron_L_proton_Ty_C_gamma_rest,lepton_electron_Tx_proton_Tx_C_e_p,lepton_electron_Tx_proton_Tx_C_e_gamma,lepton_electron_Tx_proton_Tx_C_p_gamma,lepton_electron_Tx_proton_Tx_C_e_rest,lepton_electron_Tx_proton_Tx_C_p_rest,lepton_electron_Tx_proton_Tx_C_gamma_rest,lepton_electron_Tx_proton_Ty_C_e_p,lepton_electron_Tx_proton_Ty_C_e_gamma,lepton_electron_Tx_proton_Ty_C_p_gamma,lepton_electron_Tx_proton_Ty_C_e_rest,lepton_electron_Tx_proton_Ty_C_p_rest,lepton_electron_Tx_proton_Ty_C_gamma_rest
C_e_gamma,C_{e\gamma},lepton_electron_Ty_proton_unpolarized,enhanced_region_0,0,1,9.9998073345532801e-01,5.0000000000404454e-01,8.8817841970012523e-16,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.8000000000000000e+00,4.7123889803846897e+00,9.0929191144630064e-03,5.4423346183893567e-04,-4.7652266581015797e-02,1.7578505660581023e+01,8.0964115095507494e-01,0.0000000000000000e+00,1.9280227451869532e-02,5.5371859320254939e-07,1.9280227451869532e-02,5.5371859320254939e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5220180068307994e-05,5.4790771136862496e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1026494161841965e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.7308684276410974e-06,2.0033653403816444e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6297138834221276e-07,6.7051667774793908e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9998013777671424e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9998073345532801e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0080292482364007e-10,1.1309762169872488e-03,1.1486818708445138e-08,1.1309892993089982e-03,5.4397402764593728e-06,1.1309892991126704e-03,1.0122856754797795e-09,1.1080895765674512e-03,8.6100275118906924e-08,1.1084553025090859e-03,2.8472001625449949e-05,1.1084553058143486e-03,1.0283740782983305e-09,1.1021128472195241e-03,8.3133397985810843e-08,1.1024948247306530e-03,2.9019249141227998e-05,1.1024948282551872e-03,8.1754451849419595e-08,9.9997885961150790e-01,8.2039870862461034e-08,9.9999744172980554e-01,6.0962115677890274e-03,9.9999744172980365e-01,9.0685712981530844e-08,9.9998026369285975e-01,5.2046706182065300e-08,9.9999951744026905e-01,6.2054015516509742e-03,9.9999951744026738e-01
C_e_gamma,C_{e\gamma},lepton_electron_Ty_proton_unpolarized,enhanced_region_0,0,2,9.9998073302024770e-01,5.0000000000404454e-01,8.8817841970012523e-16,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,1.8000000000000000e+00,4.7123889803846897e+00,9.0929191144625970e-03,5.4423346183891117e-04,-4.7652266581015679e-02,1.7578505660581023e+01,8.0964115095507494e-01,0.0000000000000000e+00,1.9280227451869678e-02,5.5371859320254939e-07,1.9280227451869678e-02,5.5371859320254939e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5220160248191661e-05,8.0599986944242752e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1026494155282423e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.7308658513824736e-06,1.7985544184367249e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6297606048176304e-07,3.1380220559619274e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9998013752937021e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9998073302024770e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6905134466795610e-10,1.1309762163575325e-03,1.1488604538906896e-08,1.1309892985236871e-03,5.4398015045724854e-06,1.1309892986218510e-03,9.8956530632334546e-10,1.0971965666262144e-03,7.7985297688586036e-08,1.0975676487187727e-03,2.8538431445004574e-05,1.0975676511464456e-03,9.5000390131610891e-10,1.1021128466369404e-03,8.3129064113936450e-08,1.1024948239250452e-03,2.9019245315411927e-05,1.1024948275502803e-03,8.3187525512576351e-08,9.9997885908344297e-01,8.2039871224150879e-08,9.9999744172980687e-01,6.0962115677161812e-03,9.9999744172980487e-01,1.0305424016747444e-07,9.9998001130594916e-01,5.5472241085420979e-08,9.9999926566554087e-01,6.2054081735874213e-03,9.9999926566553909e-01
C_e_gamma,C_{e\gamma},lepton_electron_Ty_proton_unpolarized,enhanced_region_1,1,1,9.9998058174752491e-01,5.0000000000404443e-01,0.0000000000000000e+00,electron,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,1.0000000000000000e+00,4.7123889803846897e+00,2.6230007135884185e-02,2.8194411403310083e-03,-4.7652268821897881e-02,1.0156878657862487e+01,4.5082694236859233e-01,0.0000000000000000e+00,1.0711237473260788e-02,1.0663025395984960e-07,1.0711237473260788e-02,1.0663025395984960e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3394693191665130e-05,1.1188959956299584e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7254009058089915e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2115257578721271e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1934043513982411e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9996450799587755e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9998058174752491e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5880538844943949e-11,5.7537263498403535e-03,2.5616716437946281e-08,5.7537289235292319e-03,5.4396790476570880e-06,5.7537289235678234e-03,4.9240392426451059e-10,5.7199483124760579e-03,1.4586439441855198e-07,5.7200195000994504e-03,2.8537793433025232e-05,5.7200195020403926e-03,1.3763777435124769e-10,5.7248643621664241e-03,1.5051509211562019e-07,5.7249379054647651e-03,2.9018594919348176e-05,5.7249379074622185e-03,3.2939806975020719e-07,9.9995787087957189e-01,9.4266669429623882e-08,9.9997645331674789e-01,6.0961630577421513e-03,9.9997645331670459e-01,3.2667190459162575e-07,9.9996385394965548e-01,1.3308244773924600e-07,9.9998310806557433e-01,6.2053590205489086e-03,9.9998310806552959e-01
C_e_gamma,C_{e\gamma},lepton_electron_Ty_proton_unpolarized,enhanced_region_1,1,2,9.9998058128899903e-01,5.0000000000404432e-01,0.0000000000000000e+00,electron,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.0000000000000000e+00,4.7123889803846897e+00,2.6230007135884477e-02,2.8194411403310395e-03,-4.7652268821897999e-02,1.0156878657862487e+01,4.5082694236859233e-01,0.0000000000000000e+00,1.0711237473260709e-02,1.0663025395984960e-07,1.0711237473260709e-02,1.0663025395984960e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3394633131886162e-05,1.4374086047779919e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7254009089028092e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2115233026132539e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1934148345138584e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9996450809082438e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9998058128899903e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7537263525950007e-03,2.5607134384857025e-08,5.7537289269831643e-03,5.4397198669351875e-06,5.7537289270217559e-03,3.6296615513252522e-10,5.7308408141183258e-03,1.5045383072449703e-07,5.7309115366687251e-03,2.8471362124851294e-05,5.7309115387222135e-03,1.9236800546174766e-10,5.7248643647801398e-03,1.5025874938894052e-07,5.7249379089554606e-03,2.9018583441639686e-05,5.7249379108171650e-03,3.0588567376008281e-07,9.9995787110403500e-01,9.1259095414762769e-08,9.9997645331672413e-01,6.0961630576328802e-03,9.9997645331668106e-01,3.1863601149666569e-07,9.9996516179339723e-01,1.5094795127517865e-07,9.9998441554445183e-01,6.2053523993472288e-03,9.9998441554440676e-01
C_e_gamma,C_{e\gamma},lepton_electron_Ty_proton_unpolarized,enhanced_region_2,2,1,9.9997390300092071e-01,5.0000000000403799e-01,0.0000000000000000e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,2.5000000000000000e-01,4.7123889803846897e+00,4.2296683599774093e-02,1.7910519553036710e-02,-4.7652269273500032e-02,3.1991026847146382e+00,1.1443862173854513e-01,0.0000000000000000e+00,2.6778093683151771e-03,1.6531452207146913e-08,2.6778093683151771e-03,1.6531452207146913e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5339149862425647e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6901926125888697e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8425326803271366e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7701077703383214e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9930589802868686e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9997390300092071e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6930210925327646e-02,1.0675413892889260e-07,3.6930211172138128e-02,5.4367392542230969e-06,3.6930211172282429e-02,0.0000000000000000e+00,3.6907358200622853e-02,5.9894320580510081e-07,3.6907369157955887e-02,2.8454940756530882e-05,3.6907369162804994e-02,0.0000000000000000e+00,3.6901390349039692e-02,6.0106363232309019e-07,3.6901401741087053e-02,2.9002001063482928e-05,3.6901401746015174e-02,5.2489305132385040e-06,9.9926311811793289e-01,5.4870606649063708e-07,9.9928171601427840e-01,6.0965845918432736e-03,9.9928171600055171e-01,5.3473217074134314e-06,9.9931011218197285e-01,6.0382511260807445e-07,9.9932938127579085e-01,6.2057818266251482e-03,9.9932938126156712e-01
C_e_gamma,C_{e\gamma},lepton_electron_Ty_proton_unpolarized,enhanced_region_2,2,2,9.9997390280917320e-01,5.0000000000403810e-01,0.0000000000000000e+00,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244176040528347e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,2.5000000000000000e-01,4.7123889803846897e+00,4.2296683599773927e-02,1.7910519553036641e-02,-4.7652269273499914e-02,3.1991026847146382e+00,1.1443862173854513e-01,0.0000000000000000e+00,2.6778093683151971e-03,1.6531452207146913e-08,2.6778093683151971e-03,1.6531452207146913e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5339155883209952e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6901926073837535e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8425445750122087e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7701487969620260e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9930589828729932e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9997390280917320e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5626787887026455e-11,3.6930210505014723e-02,1.0340360798651705e-07,3.6930211150063064e-02,5.4367800955731293e-06,3.6930211150219390e-02,0.0000000000000000e+00,3.6896481323985937e-02,5.8745037267111422e-07,3.6896492373851071e-02,2.8521593264327208e-05,3.6896492378530099e-02,1.5958151829293386e-09,3.6901390309794453e-02,6.0218204955129079e-07,3.6901401719021835e-02,2.9001997235391564e-05,3.6901401723949956e-02,5.2482456910608558e-06,9.9926311689425329e-01,5.3424622036316703e-07,9.9928171601509941e-01,6.0965845917704316e-03,9.9928171600137272e-01,5.3272333071158540e-06,9.9930168426390453e-01,5.7928608433732900e-07,9.9932095343995431e-01,6.2057883969006255e-03,9.9932095342573068e-01
