detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,4.0319232964497769e+03,-3.1631023765441460e+04,3.1886957677369865e+04,-1.4440126676180023e+00,1.0167780699183769e+09,5.0838903495918846e+08,3.4769298960229518e-02,5,9.8193818594049131e-01
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,0,-1,-1,-1,-2.9408299454166085e+04,3.7485588295257471e+03,2.9646243776983294e+04,3.0148103212059785e+00,8.7889977008432066e+08,4.3944988504216033e+08,3.0054472815874044e-02,6,9.8193818594049131e-01
f3_L_proton_region_3,enhanced_cluster,F3,F_3,L_proton,enhanced_region_3,3,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,4,1,-1,-1,3.1256705213989817e+03,-2.4521063197442581e+04,2.4719473225400972e+04,-1.4440112561168876e+00,6.1105235654131556e+08,3.0552617827065778e+08,2.0895279602797981e-02,7,9.8193818594049131e-01
f3_low_egamma_l_proton_region_0,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_0,0,8.0454025669144020e-14,9.9999999999996014e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,2.2761685393646309e+04,2.1009254599391416e-06,2.2761685393646309e+04,9.2300962059935756e-11,5.1809432195933169e+08,2.5904716097966585e+08,6.2462161499233115e-01,1,9.9999999999994749e-01
f3_low_egamma_l_proton_region_0,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_0,0,8.0454025669144020e-14,9.9999999999996014e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.7645360788354454e+04,-1.6286900136869283e-06,1.7645360788354454e+04,-9.2301315525485183e-11,3.1135875735119689e+08,1.5567937867559844e+08,3.7537838500761633e-01,2,9.9999999999994749e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.5198786748800416e+04,-1.1923795047116099e+05,1.2020271191282896e+05,-1.4440139944123420e+00,1.4448691951198553e+10,7.2243459755992765e+09,4.9408116175815331e-01,1,9.8193818594049131e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,1.1782555534336387e+04,-9.2435874991116158e+04,9.3183794730054724e+04,-1.4440126890494127e+00,8.6832196002929745e+09,4.3416098001464872e+09,2.9692758641435613e-01,2,9.8193818594049131e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,-4.3486363678643786e+04,5.5430922531755095e+03,4.3838221881350117e+04,3.0148089944126002e+00,1.9217896977184842e+09,9.6089484885924208e+08,6.5716681462285167e-02,3,9.8193818594049131e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-3.3711581019582176e+04,4.2971878031234328e+03,3.3984356958094206e+04,3.0148072035779685e+00,1.1549365178551660e+09,5.7746825892758298e+08,3.9493704926795208e-02,4,9.8193818594049131e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,4.0319232964497769e+03,-3.1631023765441460e+04,3.1886957677369865e+04,-1.4440126676180023e+00,1.0167780699183769e+09,5.0838903495918846e+08,3.4769298960229518e-02,5,9.8193818594049131e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,0,-1,-1,-1,-2.9408299454166085e+04,3.7485588295257471e+03,2.9646243776983294e+04,3.0148103212059785e+00,8.7889977008432066e+08,4.3944988504216033e+08,3.0054472815874044e-02,6,9.8193818594049131e-01
f3_low_egamma_l_proton_region_1,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_1,1,0.0000000000000000e+00,7.4036479093976881e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,4,1,-1,-1,3.1256705213989817e+03,-2.4521063197442581e+04,2.4719473225400972e+04,-1.4440112561168876e+00,6.1105235654131556e+08,3.0552617827065778e+08,2.0895279602797981e-02,7,9.8193818594049131e-01
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,1.2760847342406806e-01,2.8368115267323056e-03,1.2764000152483268e-01,2.2226927982046979e-02,1.6291969989259289e-02,8.1459849946296445e-03,4.8523367300468301e-01,1,1.0000000000000000e+00
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-9.6223494699773079e-02,-2.1393878818847948e-03,9.6247274832830534e-02,-3.1193627868404925e+00,9.2635379127464137e-03,4.6317689563732068e-03,2.7590159627003097e-01,2,1.0000000000000000e+00
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,-1.1849440540017343e-03,-5.3292005760298092e-02,5.3305177706924105e-02,-1.5930275943054366e+00,2.8414419703667584e-03,1.4207209851833792e-03,8.4628398212106645e-02,3,1.0000000000000000e+00
