selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_s_regime,best_theta_in_regime,best_qOut_regime,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_p_gamma,C_{p\gamma},LTy,enhanced_region_0,0,27,9.9993026242644723e-01,high_s_high_theta_in_low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,5.0000000000000000e-01,5.0000000000000000e-01,2.9452431127404310e-01,2.8470683423157501e+00,8.6083697208666753e-12,2.5084817262131431e-01,3.5599155441077255e-11,1.5160988379601267e-01,-5.2131716285352368e-02,-2.3711091260564855e-02,1.1216578749052220e+00,2.4210923594678082e+00,1.1718059455021848e-02,8.6843212448590973e-02,1.2031700258786523e+02,1.8000000000000000e+02,0.0000000000000000e+00,1.2762720155208536e+00,1.4350659973642861e+00,2.2244176384664973e+00,1.5486345380449029e+00,2.1983517803280428e+00,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697208666753e-12,3.5599155441077255e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021848e-02,1.8000000000000000e+02,2.2244176384664973e+00,2.1983517803280428e+00,2.2244176384664973e+00,2.1983517803280428e+00
C_p_gamma,C_{p\gamma},LTy,enhanced_region_1,1,41,9.9946053986661776e-01,high_s_high_theta_in_mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.6142142099600090e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.0000000000000000e+00,6.8722339297276724e-01,2.4543692606170260e+00,8.4289246847148379e-12,6.7053566645978879e-01,1.2638527252170574e-11,3.0235328647572668e-01,-3.1224856300273446e-01,-2.1183406201080990e-01,1.5467670137681346e+00,2.4270307677020773e+00,3.2318424780798813e-02,1.0746861960466501e-01,1.5144121629695607e+02,1.8000000000000000e+02,0.0000000000000000e+00,8.8357293382212942e-01,3.6355732494851569e+00,4.4488352769329946e+00,3.8649240517096279e+00,4.3050559286769827e+00,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289246847148379e-12,1.2638527252170574e-11,-2.8755869651993132e-01,1.5467670137681346e+00,3.2318424780798813e-02,1.8000000000000000e+02,4.4488352769329946e+00,4.3050559286769827e+00,4.4488352769329946e+00,4.3050559286769827e+00
C_p_gamma,C_{p\gamma},LTy,enhanced_region_2,2,6,9.9104873443716301e-01,high_s_high_theta_in_high_Egamma,1.4726215563702154e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.7923114550561809e+00,5.9886609959055432e+00,1.8000000000000000e+00,1.8000000000000000e+00,2.8470683423157501e+00,3.1415926535897931e+00,4.9018999306878058e-03,1.0635738827958005e-01,1.4231155733099795e-03,3.1038947627839840e-02,-2.6249037229452208e+00,-2.3989050179123010e+00,4.1186085839250985e+00,4.4925205645656829e+00,1.5838592035485147e-01,1.7700024860122110e-01,1.6879213371628367e+02,1.7358496047667785e+02,1.2762720155208536e+00,1.5707963267948966e+00,7.8354946804127685e+00,7.9309686883387878e+00,6.5429931017256404e+00,6.7299490920460219e+00,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,3.0018505723170275e-01,1.5707949999999999e+00,5.8904862254808616e+00,2.7488935718910685e+00,1.8000000000000000e+00,3.0434178831651120e+00,7.2453792506831913e-02,2.0630135527369278e-02,-2.4843632641513302e+00,4.3194268788330143e+00,1.7018979799088238e-01,1.7072562180830593e+02,7.8354946804127685e+00,6.6295399445917695e+00,7.8354946804127685e+00,6.6295399445917695e+00
C_p_gamma,C_{p\gamma},LTy,enhanced_region_3,3,6,9.9104873419588357e-01,high_s_high_theta_in_high_Egamma,1.4726215563702154e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.4361169648638361e+00,3.6324665057131984e+00,1.8000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,2.9452431127404310e-01,4.9018999306880001e-03,1.0635738827958029e-01,1.4231155733100355e-03,3.1038947627839888e-02,-2.6249037229452226e+00,-2.3989050179123010e+00,4.1186085839251003e+00,4.4925205645656829e+00,1.5838592035485149e-01,1.7700024860122118e-01,1.6879213371628367e+02,1.7358496047667791e+02,1.2762720155208536e+00,1.5707963267948966e+00,7.8354946804127685e+00,7.9309686883387887e+00,6.5429931017256404e+00,6.7299490920460219e+00,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,3.0018505723170275e-01,1.5707949999999999e+00,3.5342917352885173e+00,3.9269908169872414e-01,1.8000000000000000e+00,9.8174770424681035e-02,7.2453792506831677e-02,2.0630135527369198e-02,-2.4843632641513325e+00,4.3194268788330135e+00,1.7018979799088241e-01,1.7072562180830602e+02,7.8354946804127703e+00,6.6295399445917695e+00,7.8354946804127703e+00,6.6295399445917695e+00
