optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,11899,513,3.7874849647812763,0.8423169501858356,0.2750883550200339,0.0033962892894820167,512,500,True,1.220703125e-05,0.0033936874236689687,False,0.8822867138792567,0.7241563954231865,0.3950711175221526,0.08006788381523192,0.7216912246765648,0.709036548707292,0.11868755589089122,0.42963009404888364,0.7093761236409627,0.7478096257570329,0.7420357167333349,0.7138638370932766,0.018655989578605814,0.6400254469026057,0.48775032360454346,0.9686485551485767
1,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,12729,1161,3.2855316132274512,1.0223726302338805,0.0018212118361543106,0.0006656604865893178,512,501,True,2.44140625e-05,0.0006651108324576918,False,0.9819948723401494,0.4108665771777773,0.3126645314394852,0.4217993329931204,0.7611763781981268,0.8340713364125377,0.6392496954436058,0.523225826834143,0.974183843706571,0.8659552688447643,0.7427068806375446,0.5476419677716132,0.6289834176817941,0.9650463464156941,0.5070614738610312,0.9987803258346102
2,latin_hypercube,nan,False,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,11350,9,0.0,1000.0,1000.0,0.049640372373728855,512,504,True,0.0001953125,0.049631148337324724,False,0.27327077111888964,0.8332698101161703,0.26524864962181516,0.7381589584484399,0.9133490260353403,0.7799278154276712,0.26768382649802225,0.9466585791537104,0.2687020542638739,0.6127769648783185,0.5693706808165597,0.7173443889417414,0.8012144529664745,0.2065852735091996,0.4525656963122659,0.9555210927183453
3,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,12021,1161,2.0006829102321118,1.0954689537964788,0.5261025230924966,0.00943997026181181,512,503,True,9.765625e-05,0.00943332678543922,False,0.49031340543345125,0.11946802960642872,0.17247593400752184,0.3578551445643768,0.6551575594935322,0.24564442883775672,0.934447310254221,0.9755244194497723,0.05117036555395338,0.0,0.5835352847837679,0.6836399355033375,0.009117061554254655,0.999974755949865,0.8654275188043902,0.8764272155364135
4,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,1106,504,7.1460340522325545,0.44408165569964025,0.0009076026158351698,0.0007051524584520942,26,12,False,1e-05,0.0007053163442358802,True,0.7457507351227447,0.699424323479345,0.3625201137793205,0.7327405563093901,0.29669402278787865,0.7143462670991733,0.10301658337892018,0.6113177980512424,0.6785980023099749,0.8574382209441676,0.6760268975528831,0.5215281340454136,0.40242726688169966,0.798881379770538,0.006833610809009349,0.5162929508894063
5,latin_hypercube,nan,True,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,80,2589,1134,3.238351440952103,0.8102007575285267,0.0013283094668289945,0.000619730334830166,64,50,False,1e-05,0.0006198784937788418,True,0.3908743855549598,0.5858186714488914,0.5855704704668951,0.7163911556604419,0.12845499356104984,0.04225455601400358,0.6457265740967016,0.37710284448350134,0.3511981102407861,0.7855572332460309,0.5031074146817646,0.5025858619560869,0.7714787818475214,0.3832043488180675,0.9761289697265235,0.5018229790209041
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,859,9,0.0,1000.0,1000.0,0.8501799533119855,37,23,False,1e-05,0.8501799557572772,True,0.8994394830740573,0.987874476181594,0.23010135484845465,0.88680102661437,0.6381492683373841,0.806789662120048,0.8038011962281855,0.2552390425626712,0.8747424732802652,0.9872909396258038,0.22083094941680595,0.8815311157627745,0.7185685370795412,0.8262596629553556,0.7909912141578055,0.3603893788967121
7,latin_hypercube,nan,False,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,80,12696,1134,7.595740402155146,1.0765685168233388,0.001408088708189143,0.0009686244156684243,512,499,True,1e-05,0.0009663235484801145,False,0.8036030592214982,0.6490150947662369,0.8240924903345681,0.1404616304463294,0.49494569770039204,0.11719740372534834,0.9519651620497106,0.9134473888191129,0.7743556702137213,0.8688788648572374,0.7123387479525749,0.4863072611749619,0.33661485740377195,0.004272770878478531,0.5075023426359633,0.9999813872599225
8,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62,12414,828,1.6120185194398546,0.9676154171292705,0.006556197094647309,0.0023869713616453156,512,501,True,2.44140625e-05,0.002381785899565119,False,0.6476476127327401,0.5801365579066893,0.7825489363294366,0.10327381720974112,0.049335220456439496,0.2279453758045169,0.07409269454546966,0.4724825447469888,0.7236443335750088,0.8545747127997129,0.7094174402512847,0.4963607018818217,0.6680413504553768,0.0016338208314860421,0.5085269674161963,1.111068982769758e-05
9,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,12976,1620,2.3725264583853085,0.8531911923437872,0.008238332178542904,0.0007846101469043156,512,501,True,2.44140625e-05,0.0007839291616993016,False,0.7374689173377832,0.34672695429382877,0.026481698885197986,0.18156765281086146,0.19247746996650814,0.797614516034284,0.20436365160708964,0.7594614322875041,0.016518139926963313,0.8476576603973545,0.46683411626890214,0.7649081310560002,0.4999344736651225,0.9999567198570399,0.0779472661484805,0.8573556768260326
10,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,8771,9,0.0,1000.0,1000.0,0.0006367232000706763,394,380,False,1e-05,0.0006367595342104344,True,0.42975692641994573,0.4601926560518396,0.8784684323080821,0.7865213102552682,0.5790211196945523,0.8213862983656034,0.16886610579942576,0.7548530302284988,0.5186764126968206,0.7772441714546154,0.6016003427203024,0.5830690695327039,0.3679656857942336,0.7728900339994896,0.016798338261154934,0.5214278894996085
11,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71,12480,1008,0.7952133931620656,0.9161020016731446,0.016424703375100793,0.005494776854991995,512,503,True,9.765625e-05,0.005485963515194049,False,0.9330981323568164,0.8371739539762499,0.6996589794597993,0.1786514345556007,0.9766808023216794,0.3210064309591172,0.23648381027447807,0.6666341520950755,0.8470267220791495,0.9004457825684651,0.5176525886543997,0.3359511733757108,0.6116518945040793,0.981133705561196,0.507022843820242,0.010824583319824416
12,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,1781,1242,19.95434772051491,0.9895081169239636,0.0010525854212724412,0.0007868558713485673,24,10,False,1e-05,0.0007869385214644129,True,0.07888324373613313,0.12259443821682925,0.06310266825097466,0.6640413154398628,0.13144321075510648,0.8055213386352734,0.5255859849145478,0.45032142378411666,0.07967547549909892,0.007353025828954201,0.6178191013693138,0.38449157226454944,0.27940235510736977,0.7792375922595177,0.7699319875936379,0.36759489290927655
13,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,4776,9,0.0,1000.0,1000.0,0.012385903999114206,214,200,False,1e-05,0.012386189746692722,True,0.8628549785876063,0.5789501776629665,0.497681087365789,0.8531375111955867,0.503334957913454,0.7263673740073321,0.1368471128371056,0.08976674000534385,0.2575096662715716,0.6065662732430206,0.5869901015453123,0.7140919167885417,0.28642222988254085,0.6679436174339183,0.4404496582553586,0.03605387616838647
14,latin_hypercube,nan,True,False,2,ABNORMAL: ,3,2422,684,99941692.12363347,0.8774441860490382,0.5830787636627672,0.004658963563312287,78,64,False,1e-05,0.004659079312078959,True,0.30117495212511036,0.9115666677945936,0.4046891923223278,0.3874445829607388,0.40473283412195094,0.5229472136404381,0.5903139503539935,0.6469354359531958,0.011736610653702136,0.22192795533030132,0.3205905971703621,0.7503278116484579,0.948416476464018,0.4709552100092465,0.20510057694287095,0.08669590318624129
