objective_name,objective_file_tag,local_minimum_index,local_minimum_id,selection_absolute_threshold,contour_delta,configured_direction_count,target_success_count,previous_success_count,added_success_count,previous_output_variant,initial_success_count,attempted_direction_count,replacement_direction_count,contour_point_count,domain_boundary_point_count,center_u0,center_u1,center_u2,center_u3,center_u4,center_u5,center_u6,center_u7,record_type,contour_sample_id,u0,u1,u2,u3,u4,u5,u6,u7,sqrt_s,theta_p_out,theta_gamma_out,qOut,phi_p_out,phi_gamma_out,alpha_e,alpha_p
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,minimum,,,,,,,,,,,,,,,,,
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,0,0.46414088104881757,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,3.3161559289240623,2.7215410360671752,2.0662742995525982,0.6369684426735834,3.6794612212510094,1.2485396002098443,1.544173067357817,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,1,0.46307764862694256,0.47994465066899256,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,3.3218318068199393,2.7191999838593133,2.0662742995525982,0.6369684426735834,3.6391819139647357,1.2485396002098443,1.544173067357817,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,2,0.46307764862694256,0.4786087436865707,0.40919595519589597,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,3.276905038959679,2.7022906728557192,2.0662742995525982,0.6369684426735834,3.666695850605188,1.2485396002098443,1.544173067357817,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,3,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5477652159363261,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,3.3304151715863175,2.7133971458595663,2.0524935923744345,0.6536985134116832,3.666695850605188,1.1617527721778065,1.544173067357817,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,4,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6153936409514047,0.43721846443525775,0.49152555331874165,0.011685685129737933,3.347983163807083,2.7133971458595663,2.0490204616387393,0.65807452772779,3.666695850605188,1.2621563601664507,1.544173067357817,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,5,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.44833327156416397,0.49152555331874165,0.011685685129737933,3.2455362801982144,2.7133971458595663,1.98928845614858,0.6132931178546293,3.666695850605188,1.2485396002098443,1.544173067357817,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,6,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49183866367030415,0.011685685129737933,3.3204745380796674,2.7133971458595663,2.0662742995525982,0.6369684426735834,3.666695850605188,1.2485396002098443,1.5451567325380486,0.03671166255574818
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,7,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.013506211252784808,3.3204745380796674,2.7133971458595663,2.0662742995525982,0.6369684426735834,3.666695850605188,1.2485396002098443,1.544173067357817,0.04243101404958055
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,8,0.46196223114647383,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,3.325178237051401,2.704855330159643,2.0662742995525982,0.6369684426735834,3.653882480752173,1.2485396002098443,1.544173067357817,0.03671166255574818
