detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_LTy_region_2,enhanced_cluster,F3,F_3,LTy,enhanced_region_2,2,3.3840768323089869e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,7.2148289958580882e-03,9.5338964804066145e-02,9.5611568166987182e-02,1.4952647375931436e+00,9.1415719673504370e-03,9.1415719673504370e-03,7.6617078221438123e-02,3,9.9999999999999989e-01
f3_LTy_region_2,enhanced_cluster,F3,F_3,LTy,enhanced_region_2,2,3.3840768323089869e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,6.4027635682842976e-02,3.7808107585438969e-02,7.4357186137770134e-02,5.3340247463089374e-01,5.5289911303269953e-03,5.5289911303269953e-03,4.6339420335021454e-02,4,9.9999999999999989e-01
f3_LTy_region_3,enhanced_cluster,F3,F_3,LTy,enhanced_region_3,3,3.3747164882832011e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-6.6493860870118251e+00,-5.1797667296060617e+01,5.2222721804282990e+01,-1.6984703576673443e+00,2.7272126726475340e+03,2.7272126726475340e+03,5.5514608265376175e-01,1,9.8822845756034683e-01
f3_LTy_region_3,enhanced_cluster,F3,F_3,LTy,enhanced_region_3,3,3.3747164882832011e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,4.4155754075216990e+01,-1.3335345452105310e+01,4.6125503317340907e+01,-2.9329703185704631e-01,2.1275620562780273e+03,2.1275620562780273e+03,4.3308237490658502e-01,2,9.8822845756034683e-01
f3_low_egamma_lty_region_0,egamma_region_max,F3,F_3,LTy,low_Egamma_LTy_region_0,0,3.3747164882832011e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-6.6493860870118251e+00,-5.1797667296060617e+01,5.2222721804282990e+01,-1.6984703576673443e+00,2.7272126726475340e+03,2.7272126726475340e+03,5.5514608265376175e-01,1,9.8822845756034683e-01
f3_low_egamma_lty_region_0,egamma_region_max,F3,F_3,LTy,low_Egamma_LTy_region_0,0,3.3747164882832011e-08,9.9999999999999956e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,4.4155754075216990e+01,-1.3335345452105310e+01,4.6125503317340907e+01,-2.9329703185704631e-01,2.1275620562780273e+03,2.1275620562780273e+03,4.3308237490658502e-01,2,9.8822845756034683e-01
f3_low_egamma_lty_region_1,egamma_region_max,F3,F_3,LTy,low_Egamma_LTy_region_1,1,2.4317925197504359e-08,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,9.7273608207629703e-01,-2.2168321198253174e+01,2.2189652548751056e+01,-1.5269449008518905e+00,4.9238068023429423e+02,4.9238068023429423e+02,5.0957088172507981e-01,1,9.9955218726121198e-01
f3_low_egamma_lty_region_1,egamma_region_max,F3,F_3,LTy,low_Egamma_LTy_region_1,1,2.4317925197504359e-08,9.9999999999999978e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,2.1699261029606742e+01,1.6105969536094862e+00,2.1758951072558300e+01,7.4087731433127954e-02,4.7345195177798604e+02,4.7345195177798604e+02,4.8998130553613217e-01,2,9.9955218726121198e-01
f3_low_egamma_lty_region_2,egamma_region_max,F3,F_3,LTy,low_Egamma_LTy_region_2,2,1.5254222537835223e-08,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,2.7749697966047009e+01,-4.1264575864700117e+02,4.1357776519847624e+02,-1.5036491927817404e+00,1.7104656786656595e+05,1.7104656786656595e+05,4.8581716996137891e-01,1,9.9999105742641470e-01
f3_low_egamma_lty_region_2,egamma_region_max,F3,F_3,LTy,low_Egamma_LTy_region_2,2,1.5254222537835223e-08,9.9999999999999989e-01,nan,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,3.0927891807581960e+02,2.1695798527647349e+02,3.7778858709783179e+02,6.1172941871429964e-01,1.4272421654137605e+05,1.4272421654137605e+05,4.0537425468353777e-01,2,9.9999105742641470e-01
