canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out,helicity_mechanism,full_chain_flip_to_conserving_ratio,helicity_flip_fraction,helicity_conserving_fraction,full_chain_longitudinal_to_transverse_ratio,virtual_photon_transverse_fraction,virtual_photon_longitudinal_fraction,helicity_interference_relative,virtual_photon_interference_relative
1,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_2,dGHZ,2.2912499293258053e-08,1.0,0.8769663281031554,0.8769773078245011,5.0,0.12125646002932378,3.141592653589793,3.141592653589793,0.03350956918859602,0.5228842828633161,helicity_flipping,3.735782625980302e+21,1.0,2.6768152757217542e-22,2.618677083430909e-25,1.0,2.618677083430909e-25,3.505149079097488e-12,1.9521939012508747e-17
2,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_11,dGHZ,2.4487161100947876e-08,1.0000000000000004,0.5986296483752662,0.5986102795742193,5.0,0.6597621815810085,3.141592653589793,3.141592653589793,3.574465620881374,1.1755423999226969e-06,helicity_flipping,1.117386053542626e+23,1.0,8.949458397386844e-24,7.142174228704205e-28,1.0,7.142174228704205e-28,-1.2035862682086089e-12,-6.9208313860392364e-18
3,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_16,dGHZ,2.4760800192403254e-08,1.0,0.8943311365470473,0.8943338413095963,4.999938415639027,1.648874169531122,3.141496692832402,3.141592653589793,6.28079035278685,6.029488255139138,helicity_flipping,9.459060240590029e+16,1.0,1.0571874737713086e-17,3.299885206950821e-13,0.9999999999996699,3.299885206949732e-13,-8.702865578298351e-10,1.759092581426894e-07
4,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_19,dGHZ,2.5353888321977973e-08,1.0,0.7851937535008957,0.7851987042358647,5.0,1.8887990980447835,3.1413090319908736,3.141592653589793,3.1703137121790705,0.38898536978014253,helicity_flipping,7.0893840491561944e+16,1.0,1.410559779335165e-17,2.0267114083105236e-12,0.9999999999979733,2.026711408306416e-12,-1.8655327539249413e-12,1.440820521283251e-09
5,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_23,dGHZ,2.578177958739654e-08,1.0,0.7757183770383717,0.7757105580604906,4.999765481148077,2.032922831817382,0.010605199024533336,3.141592653589793,2.6174360423478698,4.55651624435998,helicity_flipping,1.8437095628640506e+17,1.0,5.4238477694208116e-18,1.7238349552922708e-12,0.999999999998276,1.7238349552892992e-12,-4.508977268431689e-11,3.139708591263262e-08
6,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_24,dGHZ,2.587119816189266e-08,1.0,0.7425270000444631,0.7425333494011398,5.0,2.0330695321773846,0.00973758267289865,3.141592653589793,2.581654320079685,5.00822242916622,helicity_flipping,2.1054289608579987e+17,1.0,4.749625936524036e-18,1.5059559700520254e-12,0.999999999998494,1.5059559700497573e-12,-1.822175135042631e-10,1.2616739464357478e-07
7,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_25,dGHZ,2.592862176051701e-08,1.0,0.7686859984538408,0.7686838830079568,5.0,2.033175048404339,0.0073631077818510785,3.141592653589793,3.8560994205671815,0.054574183805175265,helicity_flipping,3.360253332636671e+17,1.0,2.9759660984112043e-18,9.459683630187914e-13,0.9999999999990541,9.459683630178966e-13,-5.0252958594179966e-11,3.487591030174543e-08
8,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_27,dGHZ,2.598736682040682e-08,0.9999999999999997,0.753495314966132,0.817308544172363,4.997787289841268,0.3224874742297697,3.141592653589793,0.0,0.09394468774292043,0.9661662865311872,helicity_flipping,3.063536001289378e+22,1.0,3.264201888207356e-23,2.931930870687577e-27,1.0,2.931930870687577e-27,7.64199612507003e-14,7.641711615497619e-14
9,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_28,dGHZ,2.602929973289853e-08,1.0000000000000004,0.7050246962751945,0.7050157693662985,5.0,2.0310697020895834,0.010806927155464507,3.141592653589793,3.6054858168218296,6.280939556234942,helicity_flipping,1.4624186675255144e+20,1.0,6.837987111393005e-21,2.1107801563337275e-15,0.9999999999999978,2.1107801563337227e-15,-1.3575994330925943e-11,9.300663113176595e-09
10,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_32,dGHZ,2.6292176719739017e-08,1.0,0.691513796781288,0.691512645488114,5.0,1.9487166821387898,3.14116438050674,3.141592653589793,3.149132338242656,2.8019619455970575,helicity_flipping,8.038832931777022e+16,1.0,1.2439616651903044e-17,2.467927667824099e-12,0.9999999999975321,2.4679276678180086e-12,-7.733263411678619e-10,4.1525847464795236e-07
11,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_35,dGHZ,2.6363609623313204e-08,1.0000000000000002,0.8624705247287553,0.8624640834866759,4.999901988196996,2.0321456688970074,0.0048767287375849665,3.141592653589793,6.282932088632674,3.50676912702538,helicity_flipping,2.4677838704338304e+18,1.0,4.052218721342896e-19,1.2706429505976007e-13,0.999999999999873,1.2706429505974394e-13,-1.1231803500936189e-10,7.741897258224806e-08
12,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_44,dGHZ,2.6542832215294197e-08,1.0000000000000004,0.7047758316532478,0.7047577630200788,5.0,2.032789023977349,2.3848392394659808e-05,3.141592653589793,2.7285493865817085,3.488582548897945,helicity_flipping,5.235618584642061e+22,1.0,1.9099939841556776e-23,6.861861792278835e-18,1.0,6.861861792278835e-18,-7.561102930294325e-13,5.447372448072055e-10
13,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_46,dGHZ,2.6665119178664685e-08,1.0,0.7832385199554501,0.7832450529035127,4.998438185684446,2.0297440921098415,3.141592653589793,3.141592653589793,3.1472439634140073,5.248345579437999,helicity_flipping,2.0701798200619607e+24,1.0,4.8304982509687e-25,8.738890466676424e-31,1.0,8.738890466676424e-31,-4.776398606053695e-16,6.065438249776328e-20
