W: selected 1255 minima at absolute D < 0.01
GHZ: selected 950 minima at absolute D < 0.01
CEP: selected 1675 minima at absolute D < 0.01
CEGAMMA: selected 1640 minima at absolute D < 0.01
CPGAMMA: selected 2019 minima at absolute D < 0.01
resume audit: 1/7539 compatible checkpoints; requested 7539; processing 7538 with 24 workers
[70/7538] W minimum 72: status=ok, initial=100.0%, attempts=512, task=5.1 min, ETA=29.15 h
[71/7538] W minimum 61: status=ok, initial=100.0%, attempts=512, task=5.7 min, ETA=28.79 h
[72/7538] W minimum 65: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=28.40 h
[73/7538] W minimum 73: status=ok, initial=100.0%, attempts=512, task=5.2 min, ETA=34.11 h
[74/7538] W minimum 75: status=ok, initial=100.0%, attempts=512, task=5.2 min, ETA=34.10 h
[75/7538] W minimum 76: status=ok, initial=100.0%, attempts=512, task=5.1 min, ETA=33.68 h
[76/7538] W minimum 77: status=ok, initial=100.0%, attempts=512, task=4.9 min, ETA=33.36 h
[77/7538] W minimum 74: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=33.00 h
[78/7538] W minimum 80: status=ok, initial=100.0%, attempts=512, task=5.2 min, ETA=33.04 h
[79/7538] W minimum 82: status=ok, initial=100.0%, attempts=512, task=5.1 min, ETA=32.65 h
[80/7538] W minimum 92: status=ok, initial=100.0%, attempts=512, task=4.5 min, ETA=32.29 h
[81/7538] W minimum 84: status=ok, initial=100.0%, attempts=512, task=5.0 min, ETA=31.96 h
[82/7538] W minimum 78: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=31.65 h
[83/7538] W minimum 83: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=31.53 h
[84/7538] W minimum 81: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=31.18 h
[85/7538] W minimum 85: status=ok, initial=100.0%, attempts=512, task=5.1 min, ETA=30.86 h
[86/7538] W minimum 79: status=ok, initial=100.0%, attempts=512, task=5.8 min, ETA=30.71 h
[87/7538] W minimum 86: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=30.36 h
[88/7538] W minimum 93: status=ok, initial=100.0%, attempts=512, task=5.0 min, ETA=30.01 h
[89/7538] W minimum 90: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=29.92 h
[90/7538] W minimum 89: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=29.59 h
[91/7538] W minimum 91: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=29.32 h
[92/7538] W minimum 87: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=29.09 h
[93/7538] W minimum 88: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=28.82 h
[94/7538] W minimum 96: status=ok, initial=100.0%, attempts=512, task=5.2 min, ETA=28.61 h
[95/7538] W minimum 95: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=28.58 h
[96/7538] W minimum 94: status=ok, initial=100.0%, attempts=512, task=5.7 min, ETA=28.51 h
[97/7538] W minimum 98: status=ok, initial=100.0%, attempts=512, task=4.9 min, ETA=32.24 h
[98/7538] W minimum 97: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=32.04 h
[99/7538] W minimum 99: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=32.20 h
[100/7538] W minimum 102: status=ok, initial=100.0%, attempts=512, task=5.0 min, ETA=31.89 h
[101/7538] W minimum 100: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=31.64 h
[102/7538] W minimum 104: status=ok, initial=100.0%, attempts=512, task=5.2 min, ETA=31.51 h
[103/7538] W minimum 101: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=31.31 h
[104/7538] W minimum 103: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=31.10 h
[105/7538] W minimum 105: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=30.81 h
[106/7538] W minimum 114: status=ok, initial=100.0%, attempts=512, task=4.8 min, ETA=30.64 h
[107/7538] W minimum 106: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=30.39 h
[108/7538] W minimum 119: status=ok, initial=100.0%, attempts=512, task=4.5 min, ETA=30.21 h
[109/7538] W minimum 109: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=30.00 h
[110/7538] W minimum 107: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=29.74 h
[111/7538] W minimum 117: status=ok, initial=100.0%, attempts=512, task=4.9 min, ETA=29.55 h
[112/7538] W minimum 115: status=ok, initial=100.0%, attempts=512, task=5.0 min, ETA=29.30 h
[113/7538] W minimum 108: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=29.10 h
[114/7538] W minimum 113: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=29.14 h
[115/7538] W minimum 112: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=28.91 h
[116/7538] W minimum 118: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.76 h
