detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,initial_spin_averaging_version,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_0,0,1.0041835418750367e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,-8.5124777690143050e-01,2.0550939279353839e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.9634954084936200e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834134e+00,1.8000000000000000e+00,1.9634954084936205e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068042e+00,3.9363133999993853e+00,9.6507668570538108e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_0,0,1.0041835418750367e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,8.5124777690143050e-01,-2.0550939279353839e+00,2.9513459707981364e-06,2.2244176384674761e+00,5.1050880620834134e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834134e+00,1.8000000000000000e+00,1.9634954084936205e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068042e+00,3.9363133999993853e+00,9.6507668570538108e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_0,0,1.0041835418750367e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,kp,1.8949514412977368e+00,6.8883017825716109e-01,-1.7653197870070392e+00,0.0000000000000000e+00,1.8949514412977368e+00,5.0844198171092607e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834134e+00,1.8000000000000000e+00,1.9634954084936205e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068042e+00,3.9363133999993853e+00,9.6507668570538108e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_0,0,1.0041835418750367e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,pp,9.4356599426326793e-01,0.0000000000000000e+00,1.0233662848672290e-01,0.0000000000000000e+00,1.0233662848672290e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834134e+00,1.8000000000000000e+00,1.9634954084936205e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068042e+00,3.9363133999993853e+00,9.6507668570538108e-01
c_ep_L_proton_region_0,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_0,0,1.0041835418750367e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-6.8883017825716109e-01,1.6629831585203163e+00,0.0000000000000000e+00,1.8000000000000000e+00,1.9634954084936205e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834134e+00,1.8000000000000000e+00,1.9634954084936205e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068042e+00,3.9363133999993853e+00,9.6507668570538108e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_1,1,9.6041369301858026e-12,1.5515829015931968e+00,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,-1.9264021835373280e+00,-1.1122088192327588e+00,-2.9513459707981364e-06,2.2244176384674761e+00,3.6651914291880918e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.7004554818390312e-01,1.5707949999999999e+00,5.2359877559829870e-01,1.8000000000000000e+00,3.6651914291880918e+00,1.3008886948740395e+01,6.7822614856256103e-01,-2.4820883373697167e+00,7.0517081566417152e+00,9.2948008845619867e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_1,1,9.6041369301858026e-12,1.5515829015931968e+00,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,1.9264021835373280e+00,1.1122088192327586e+00,2.9513459707981364e-06,2.2244176384674761e+00,5.2359877559829870e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.7004554818390312e-01,1.5707949999999999e+00,5.2359877559829870e-01,1.8000000000000000e+00,3.6651914291880918e+00,1.3008886948740395e+01,6.7822614856256103e-01,-2.4820883373697167e+00,7.0517081566417152e+00,9.2948008845619867e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_1,1,9.6041369301858026e-12,1.5515829015931968e+00,high_s_high_theta_in_high_Egamma,kp,1.5591334994745010e+00,1.5588457268119900e+00,2.9954451816096350e-02,0.0000000000000000e+00,1.5591334994745010e+00,1.9213425201699684e-02,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.7004554818390312e-01,1.5707949999999999e+00,5.2359877559829870e-01,1.8000000000000000e+00,3.6651914291880918e+00,1.3008886948740395e+01,6.7822614856256103e-01,-2.4820883373697167e+00,7.0517081566417152e+00,9.2948008845619867e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_1,1,9.6041369301858026e-12,1.5515829015931968e+00,high_s_high_theta_in_high_Egamma,pp,1.2793839360858914e+00,0.0000000000000000e+00,8.7004554818390312e-01,0.0000000000000000e+00,8.7004554818390312e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.7004554818390312e-01,1.5707949999999999e+00,5.2359877559829870e-01,1.8000000000000000e+00,3.6651914291880918e+00,1.3008886948740395e+01,6.7822614856256103e-01,-2.4820883373697167e+00,7.0517081566417152e+00,9.2948008845619867e-01
c_ep_L_proton_region_1,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_1,1,9.6041369301858026e-12,1.5515829015931968e+00,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.5588457268119900e+00,-8.9999999999999947e-01,0.0000000000000000e+00,1.8000000000000000e+00,3.6651914291880914e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.7004554818390312e-01,1.5707949999999999e+00,5.2359877559829870e-01,1.8000000000000000e+00,3.6651914291880918e+00,1.3008886948740395e+01,6.7822614856256103e-01,-2.4820883373697167e+00,7.0517081566417152e+00,9.2948008845619867e-01
