detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,1.0747165175686780e+04,-8.4313963352862600e+04,8.4996152710468916e+04,-1.4440139944145349e+00,7.2243459755813522e+09,3.6121729877906761e+09,2.4704058087879169e-01,1,8.5672542963398723e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,-8.4313963352742459e+04,1.0747165176273433e+04,8.4996152710423921e+04,3.0148103212024062e+00,7.2243459755737038e+09,3.6121729877868519e+09,2.4704058087853015e-01,2,8.5672542963398723e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,8.3315249182242878e+03,-6.5362034031020878e+04,6.5890893150232252e+04,-1.4440126890463734e+00,4.3416098001353235e+09,2.1708049000676618e+09,1.4846379320699341e-01,3,8.5672542963398723e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-6.5362034030957388e+04,8.3315249180385854e+03,6.5890893150145785e+04,3.0148090158439440e+00,4.3416098001239290e+09,2.1708049000619645e+09,1.4846379320660377e-01,4,8.5672542963398723e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=-1",5.0000000000000000e-01,5,1,-1,1,-3.0749502646802775e+04,-3.9195581205522326e+03,3.0998303967896660e+04,-3.0148089944277419e+00,9.6089484888611782e+08,4.8044742444305891e+08,3.2858340732105237e-02,5,8.5672542963398723e-01
f3_Ty_electron_region_0,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_0,0,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=+1",5.0000000000000000e-01,2,-1,1,-1,-3.9195581208891499e+03,-3.0749502646216668e+04,3.0998303967357857e+04,-1.6975799859701204e+00,9.6089484885271382e+08,4.8044742442635691e+08,3.2858340730962970e-02,6,8.5672542963398723e-01
f3_Ty_electron_region_1,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_1,1,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=-1",5.0000000000000000e-01,0,-1,-1,-1,2.0059286675005788e-03,9.0232816895021856e-02,9.0255110628870441e-02,1.5485693988128497e+00,8.1459849946296427e-03,4.0729924973148214e-03,2.4261683650234156e-01,1,8.9198557606539741e-01
f3_Ty_electron_region_1,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_1,1,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=+1",5.0000000000000000e-01,7,1,1,1,9.0232816895021856e-02,2.0059286675005736e-03,9.0255110628870441e-02,2.2226927982046951e-02,8.1459849946296427e-03,4.0729924973148214e-03,2.4261683650234156e-01,2,8.9198557606539741e-01
f3_Ty_electron_region_1,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_1,1,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=-1",5.0000000000000000e-01,1,-1,-1,1,-1.5127756788690656e-03,-6.8040285611677354e-02,6.8057100705019802e-02,-1.5930261935441972e+00,4.6317689563732068e-03,2.3158844781866034e-03,1.3795079813501554e-01,3,8.9198557606539741e-01
f3_Ty_electron_region_1,enhanced_cluster,F3,F_3,Ty_electron,enhanced_region_1,1,0.0000000000000000e+00,5.0000000000000011e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_p}\rho(T_{y,e},h_p)$",prepared_spin_ensemble_v4,"electron Ty, proton h=+1",5.0000000000000000e-01,6,1,1,-1,-6.8040285611677354e-02,-1.5127756788690604e-03,6.8057100705019802e-02,-3.1193627868404930e+00,4.6317689563732068e-03,2.3158844781866034e-03,1.3795079813501554e-01,4,8.9198557606539741e-01
