kinematic_point,s_regime,theta_in_regime,qOut_regime,initial_spin_averaging_version,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_electron,phiOut,Q2,xB,t,F1,F2,W2,y,theta_e_gamma_rad,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,unpolarized_trace,unpolarized_spin_signal_M2,unpolarized_cross_section_ratio,unpolarized_purity,unpolarized_h_out_mean,unpolarized_lambda_mean,unpolarized_h_lambda,unpolarized_h_lambda_connected,L_proton_trace,L_proton_spin_signal_M2,L_proton_cross_section_ratio,L_proton_purity,L_proton_h_out_mean,L_proton_lambda_mean,L_proton_h_lambda,L_proton_h_lambda_connected,L_electron_trace,L_electron_spin_signal_M2,L_electron_cross_section_ratio,L_electron_purity,L_electron_h_out_mean,L_electron_lambda_mean,L_electron_h_lambda,L_electron_h_lambda_connected,Tx_proton_trace,Tx_proton_spin_signal_M2,Tx_proton_cross_section_ratio,Tx_proton_purity,Tx_proton_h_out_mean,Tx_proton_lambda_mean,Tx_proton_h_lambda,Tx_proton_h_lambda_connected,Ty_proton_trace,Ty_proton_spin_signal_M2,Ty_proton_cross_section_ratio,Ty_proton_purity,Ty_proton_h_out_mean,Ty_proton_lambda_mean,Ty_proton_h_lambda,Ty_proton_h_lambda_connected,Tx_electron_trace,Tx_electron_spin_signal_M2,Tx_electron_cross_section_ratio,Tx_electron_purity,Tx_electron_h_out_mean,Tx_electron_lambda_mean,Tx_electron_h_lambda,Tx_electron_h_lambda_connected,Ty_electron_trace,Ty_electron_spin_signal_M2,Ty_electron_cross_section_ratio,Ty_electron_purity,Ty_electron_h_out_mean,Ty_electron_lambda_mean,Ty_electron_h_lambda,Ty_electron_h_lambda_connected,LL_trace,LL_spin_signal_M2,LL_cross_section_ratio,LL_purity,LL_h_out_mean,LL_lambda_mean,LL_h_lambda,LL_h_lambda_connected,LTx_trace,LTx_spin_signal_M2,LTx_cross_section_ratio,LTx_purity,LTx_h_out_mean,LTx_lambda_mean,LTx_h_lambda,LTx_h_lambda_connected,LTy_trace,LTy_spin_signal_M2,LTy_cross_section_ratio,LTy_purity,LTy_h_out_mean,LTy_lambda_mean,LTy_h_lambda,LTy_h_lambda_connected,TxTx_trace,TxTx_spin_signal_M2,TxTx_cross_section_ratio,TxTx_purity,TxTx_h_out_mean,TxTx_lambda_mean,TxTx_h_lambda,TxTx_h_lambda_connected,TxTy_trace,TxTy_spin_signal_M2,TxTy_cross_section_ratio,TxTy_purity,TxTy_h_out_mean,TxTy_lambda_mean,TxTy_h_lambda,TxTy_h_lambda_connected
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.6142142099600090e+00,7.4602401616091063e+00,6.1731656247249511e-01,-9.8888818580309099e+00,8.8094057390364060e-03,3.0084737092121259e-03,5.5045544376897748e+00,5.8562466559889936e-01,1.2657444020852038e-01,7.2521812181792056e+00,1.2212243471442499e+00,6.9034989333501334e-03,1.2212243471442499e+00,6.9034989333501334e-03,True,1.1090176159282041e+00,1.0000000000000000e+00,1.1090176159282041e+00,1.0000000000000000e+00,3.5246183350989335e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4469359017667458e-01,2.4469359017667458e-01,1.0000000000000000e+00,1.1090176159282041e+00,1.0000000000000000e+00,6.8032390282883537e-01,6.0053959541205160e-01,1.5557847827826646e-01,2.4469359017667455e-01,1.5126255377662176e-01,1.0000000000000000e+00,1.1090176159282044e+00,1.0000000000000002e+00,7.0492366701978670e-01,1.0000000000000000e+00,2.4469359017667458e-01,2.4469359017667458e-01,0.0000000000000000e+00,1.0000000000000000e+00,1.1090176159282039e+00,9.9999999999999978e-01,5.0000000000000000e-01,-8.2683859758958533e-11,8.2683804247807302e-11,2.4469359017667447e-01,2.4469359017667447e-01,1.0000000000000002e+00,1.1090176159282039e+00,9.9999999999999978e-01,5.2459976419095156e-01,-2.2180966701634730e-01,-5.7494778812648903e-02,2.4469359017667452e-01,2.3194069243306234e-01,1.0000000000000000e+00,1.1090176159282037e+00,9.9999999999999956e-01,5.0000000000000011e-01,-1.1102230246251565e-16,-1.1102230246251565e-16,2.4469359017667452e-01,2.4469359017667452e-01,1.0000000000000000e+00,1.1090176159282039e+00,9.9999999999999978e-01,5.0000000000000000e-01,-1.6653345369377348e-16,-8.3266726846886741e-17,2.4469359017667444e-01,2.4469359017667444e-01,1.0000000000000002e+00,1.7750266063025659e+00,1.6005395954120516e+00,1.0000000000000002e+00,1.0000000000000002e+00,2.5008570209841807e-01,2.5008570209841807e-01,-5.5511151231257827e-17,9.9999999999999978e-01,1.1090176158365062e+00,9.9999999991731603e-01,9.9999999999999978e-01,9.9999999999999978e-01,2.4469359027959048e-01,2.4469359027959048e-01,5.5511151231257827e-17,1.0000000000000000e+00,8.6302678782390574e-01,7.7819033298365259e-01,1.0000000000000000e+00,1.0000000000000000e+00,2.4055658806026065e-01,2.4055658806026065e-01,0.0000000000000000e+00,1.0000000000000000e+00,1.1090176159282037e+00,9.9999999999999956e-01,9.9999999999999967e-01,-8.2683915270109765e-11,8.2683707103292647e-11,2.4469359017667441e-01,2.4469359017667441e-01,1.0000000000000000e+00,1.1090176159282037e+00,9.9999999999999956e-01,9.9999999999999989e-01,-2.2180966701634719e-01,-5.7494778812648861e-02,2.4469359017667452e-01,2.3194069243306234e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.8105637508093704e+00,7.8963022732511545e+00,6.3064405855536920e-01,-9.8888818580309099e+00,8.8094057390364060e-03,3.0084737092121259e-03,5.5045544376897748e+00,6.0675580107292770e-01,1.2657444020851949e-01,7.2521812181791541e+00,1.0031932913232262e+00,6.9034989333501152e-03,1.0031932913232262e+00,6.9034989333501152e-03,True,1.3408994853611318e+00,1.0000000000000000e+00,1.3408994853611318e+00,1.0000000000000000e+00,3.5694649348869989e-01,5.5511151231257827e-17,2.7755575615628914e-17,2.5318592492185210e-01,2.5318592492185210e-01,9.9999999999999989e-01,1.3408994853611318e+00,1.0000000000000000e+00,6.8820637111487626e-01,6.1352485053969308e-01,1.4775208942850585e-01,2.5318592492185199e-01,1.6253634633830058e-01,9.9999999999999989e-01,1.3408994853611318e+00,1.0000000000000000e+00,7.1389298697739967e-01,9.9999999999999989e-01,2.5318592492185216e-01,2.5318592492185216e-01,5.5511151231257827e-17,9.9999999999999989e-01,1.3408994853611316e+00,9.9999999999999989e-01,4.9999999999999989e-01,8.8122953378899638e-11,-8.8122897867748406e-11,2.5318592492185216e-01,2.5318592492185216e-01,1.0000000000000002e+00,1.3408994853611313e+00,9.9999999999999967e-01,5.2568661586252363e-01,-2.2665663838733441e-01,-5.4553454637498167e-02,2.5318592492185221e-01,2.4082102228130095e-01,1.0000000000000000e+00,1.3408994853611316e+00,9.9999999999999989e-01,5.0000000000000000e-01,0.0000000000000000e+00,2.7755575615628914e-17,2.5318592492185210e-01,2.5318592492185210e-01,1.0000000000000000e+00,1.3408994853611316e+00,9.9999999999999989e-01,4.9999999999999994e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.5318592492185210e-01,2.5318592492185210e-01,1.0000000000000000e+00,2.1635746417060715e+00,1.6135248505396931e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.4848580064710613e-01,2.4848580064710613e-01,0.0000000000000000e+00,1.0000000000000000e+00,1.3408994854792955e+00,1.0000000000881226e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.5318592481141777e-01,2.5318592481141777e-01,0.0000000000000000e+00,9.9999999999999989e-01,1.0369757155938708e+00,7.7334336161266548e-01,1.0000000000000000e+00,9.9999999999999989e-01,2.5684900154847445e-01,2.5684900154847445e-01,5.5511151231257827e-17,1.0000000000000000e+00,1.3408994853611311e+00,9.9999999999999956e-01,1.0000000000000002e+00,8.8122897867748406e-11,-8.8122925623324022e-11,2.5318592492185210e-01,2.5318592492185210e-01,1.0000000000000000e+00,1.3408994853611311e+00,9.9999999999999956e-01,1.0000000000000002e+00,-2.2665663838733435e-01,-5.4553454637498111e-02,2.5318592492185216e-01,2.4082102228130089e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.6142142099600090e+00,8.2135887461896608e+00,6.3977234278066608e-01,-1.0858161740177035e+01,7.3583789409433194e-03,2.3480116177299810e-03,5.5045544376897748e+00,6.2213118743358398e-01,1.2657444020852038e-01,7.2521812181792056e+00,1.3291899959270346e+00,6.9034989333501334e-03,1.3291899959270346e+00,6.9034989333501334e-03,True,6.1984994017362971e-01,1.0000000000000000e+00,6.1984994017362971e-01,1.0000000000000000e+00,3.7139764646356421e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4507689844592678e-01,2.4507689844592678e-01,1.0000000000000000e+00,6.1984994017362971e-01,1.0000000000000000e+00,7.1693522222825790e-01,6.5868842744997114e-01,1.6966365407784090e-01,2.4507689844592678e-01,1.3332141294597788e-01,9.9999999999999989e-01,6.1984994017362982e-01,1.0000000000000002e+00,7.4279529292712843e-01,9.9999999999999989e-01,2.4507689844592681e-01,2.4507689844592681e-01,2.7755575615628914e-17,9.9999999999999989e-01,6.1984994017362971e-01,1.0000000000000000e+00,5.0024844634353927e-01,2.2291089858485436e-02,5.7431907754628420e-03,2.4507689844592670e-01,2.4494887646427643e-01,1.0000000000000002e+00,6.1984994017362960e-01,9.9999999999999978e-01,5.2561162435533104e-01,-2.2632553702722558e-01,-5.8311672261951455e-02,2.4507689844592684e-01,2.3187947790628510e-01,9.9999999999999978e-01,6.1984994017362971e-01,1.0000000000000000e+00,4.9999999999999978e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4507689844592667e-01,2.4507689844592667e-01,9.9999999999999978e-01,6.1984994017362971e-01,1.0000000000000000e+00,4.9999999999999978e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4507689844592667e-01,2.4507689844592667e-01,9.9999999999999989e-01,1.0281379225215568e+00,1.6586884274499716e+00,9.9999999999999967e-01,9.9999999999999989e-01,2.5004126492965295e-01,2.5004126492965295e-01,5.5511151231257827e-17,1.0000000000000000e+00,6.3366707088881691e-01,1.0222910898584854e+00,9.9999999999999989e-01,1.0000000000000000e+00,2.4535094916665107e-01,2.4535094916665107e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.7956206958753933e-01,7.7367446297277442e-01,9.9999999999999967e-01,1.0000000000000000e+00,2.4140027249490276e-01,2.4140027249490276e-01,0.0000000000000000e+00,1.0000000000000000e+00,6.1984994017362949e-01,9.9999999999999967e-01,1.0000000000000000e+00,2.2291089858485491e-02,5.7431907754628281e-03,2.4507689844592678e-01,2.4494887646427652e-01,1.0000000000000000e+00,6.1984994017362949e-01,9.9999999999999967e-01,9.9999999999999978e-01,-2.2632553702722558e-01,-5.8311672261951414e-02,2.4507689844592670e-01,2.3187947790628496e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.8105637508093704e+00,8.6475510995762530e+00,6.5155068526155446e-01,-1.0858161740177035e+01,7.3583789409433194e-03,2.3480116177299810e-03,5.5045544376897748e+00,6.4316057071457799e-01,1.2657444020851949e-01,7.2521812181791541e+00,1.1122088192337385e+00,6.9034989333501152e-03,1.1122088192337385e+00,6.9034989333501152e-03,True,7.3617122683780956e-01,1.0000000000000000e+00,7.3617122683780956e-01,1.0000000000000000e+00,3.7601785460962467e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.5286601592358066e-01,2.5286601592358066e-01,1.0000000000000002e+00,7.3617122683780956e-01,1.0000000000000000e+00,7.2518638448209227e-01,6.7109818131491328e-01,1.6243601521634371e-01,2.5286601592358060e-01,1.4385550153185075e-01,1.0000000000000002e+00,7.3617122683780956e-01,1.0000000000000000e+00,7.5203570921924934e-01,1.0000000000000002e+00,2.5286601592358066e-01,2.5286601592358066e-01,-5.5511151231257827e-17,1.0000000000000000e+00,7.3617122683780944e-01,9.9999999999999989e-01,5.0025795043946153e-01,2.2713451497356707e-02,5.4962097139132360e-03,2.5286601592358066e-01,2.5274117803082441e-01,1.0000000000000000e+00,7.3617122683780944e-01,9.9999999999999989e-01,5.2659137429769598e-01,-2.3061385169887660e-01,-5.5804028860028526e-02,2.5286601592358071e-01,2.3999683388785426e-01,1.0000000000000000e+00,7.3617122683780933e-01,9.9999999999999967e-01,5.0000000000000000e-01,0.0000000000000000e+00,-5.5511151231257827e-17,2.5286601592358066e-01,2.5286601592358066e-01,1.0000000000000000e+00,7.3617122683780933e-01,9.9999999999999967e-01,5.0000000000000011e-01,0.0000000000000000e+00,2.7755575615628914e-17,2.5286601592358071e-01,2.5286601592358071e-01,1.0000000000000000e+00,1.2302143983050320e+00,1.6710981813149133e+00,1.0000000000000002e+00,1.0000000000000000e+00,2.4852042554025253e-01,2.4852042554025253e-01,0.0000000000000000e+00,1.0000000000000000e+00,7.5289221629233960e-01,1.0227134514973566e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.5262425683286477e-01,2.5262425683286477e-01,0.0000000000000000e+00,1.0000000000000000e+00,5.6639994470685484e-01,7.6938614830112328e-01,1.0000000000000000e+00,1.0000000000000000e+00,2.5612884700183841e-01,2.5612884700183841e-01,0.0000000000000000e+00,1.0000000000000000e+00,7.3617122683780922e-01,9.9999999999999956e-01,1.0000000000000002e+00,2.2713451497356596e-02,5.4962097139131805e-03,2.5286601592358066e-01,2.5274117803082441e-01,1.0000000000000000e+00,7.3617122683780922e-01,9.9999999999999956e-01,1.0000000000000002e+00,-2.3061385169887672e-01,-5.5804028860028554e-02,2.5286601592358066e-01,2.3999683388785420e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,4.6142142099600090e+00,8.9617819303339292e+00,6.5960968346957627e-01,-1.1818106927195807e+01,6.2333533058126153e-03,1.8682131378211821e-03,5.5045544376897757e+00,6.5838788369954016e-01,1.2657444020852038e-01,7.2521812181792056e+00,1.4350659973642861e+00,6.9034989333501334e-03,1.4350659973642861e+00,6.9034989333501334e-03,True,3.6359822243441198e-01,1.0000000000000000e+00,3.6359822243441198e-01,1.0000000000000000e+00,3.9082581465245592e-01,0.0000000000000000e+00,1.3877787807814457e-17,2.4552118822820351e-01,2.4552118822820351e-01,1.0000000000000000e+00,3.6359822243441192e-01,9.9999999999999989e-01,7.5526608540627826e-01,7.1451533980213189e-01,1.8310142768523646e-01,2.4552118822820362e-01,1.1469240940743142e-01,9.9999999999999989e-01,3.6359822243441198e-01,1.0000000000000000e+00,7.8165162930491183e-01,9.9999999999999989e-01,2.4552118822820351e-01,2.4552118822820351e-01,2.7755575615628914e-17,1.0000000000000000e+00,3.6359822243441187e-01,9.9999999999999967e-01,5.0100423730416199e-01,4.4816008393472773e-02,1.1483011072557767e-02,2.4552118822820357e-01,2.4500656550759348e-01,1.0000000000000000e+00,3.6359822243441187e-01,9.9999999999999967e-01,5.2538130659447202e-01,-2.2530559955079632e-01,-5.7729074765909605e-02,2.4552118822820362e-01,2.3251450442655761e-01,1.0000000000000000e+00,3.6359822243441187e-01,9.9999999999999967e-01,5.0000000000000022e-01,1.1102230246251565e-16,1.3877787807814457e-17,2.4552118822820362e-01,2.4552118822820362e-01,9.9999999999999978e-01,3.6359822243441192e-01,9.9999999999999989e-01,4.9999999999999994e-01,0.0000000000000000e+00,2.7755575615628914e-17,2.4552118822820354e-01,2.4552118822820354e-01,9.9999999999999978e-01,6.2339472988858702e-01,1.7145153398021320e+00,9.9999999999999978e-01,9.9999999999999978e-01,2.4999637271423081e-01,2.4999637271423081e-01,5.5511151231257827e-17,1.0000000000000000e+00,3.7989324342288427e-01,1.0448160083934726e+00,1.0000000000000002e+00,1.0000000000000000e+00,2.4598034221923487e-01,2.4598034221923487e-01,0.0000000000000000e+00,1.0000000000000000e+00,2.8167750693322291e-01,7.7469440044920346e-01,1.0000000000000002e+00,1.0000000000000000e+00,2.4240799127165943e-01,2.4240799127165943e-01,0.0000000000000000e+00,1.0000000000000000e+00,3.6359822243441187e-01,9.9999999999999967e-01,9.9999999999999978e-01,4.4816008393472828e-02,1.1483011072557836e-02,2.4552118822820357e-01,2.4500656550759348e-01,1.0000000000000000e+00,3.6359822243441181e-01,9.9999999999999956e-01,1.0000000000000002e+00,-2.2530559955079632e-01,-5.7729074765909688e-02,2.4552118822820376e-01,2.3251450442655774e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.3379421944391554e+00,1.9634954084936229e-01,4.8105637508093704e+00,9.3894652307740003e+00,6.6999768326746456e-01,-1.1818106927195807e+01,6.2333533058126153e-03,1.8682131378211821e-03,5.5045544376897757e+00,6.7911299033067374e-01,1.2657444020851949e-01,7.2521812181791541e+00,1.2212243471442510e+00,6.9034989333501152e-03,1.2212243471442510e+00,6.9034989333501152e-03,True,4.2489016222555837e-01,1.0000000000000000e+00,4.2489016222555837e-01,1.0000000000000000e+00,3.9542374037767086e-01,-1.1102230246251565e-16,-5.5511151231257827e-17,2.5248523790134408e-01,2.5248523790134408e-01,1.0000000000000000e+00,4.2489016222555831e-01,9.9999999999999989e-01,7.6360309823189920e-01,7.2608966144946496e-01,1.7654592692614365e-01,2.5248523790134408e-01,1.2429706558925846e-01,1.0000000000000000e+00,4.2489016222555831e-01,9.9999999999999989e-01,7.9084748075534161e-01,1.0000000000000000e+00,2.5248523790134403e-01,2.5248523790134403e-01,0.0000000000000000e+00,1.0000000000000000e+00,4.2489016222555825e-01,9.9999999999999978e-01,5.0103692481468431e-01,4.5539539187046396e-02,1.1074263497299272e-02,2.5248523790134408e-01,2.5198092104484116e-01,1.0000000000000000e+00,4.2489016222555820e-01,9.9999999999999956e-01,5.2620745770875832e-01,-2.2894303967912283e-01,-5.5674158925240469e-02,2.5248523790134414e-01,2.3973902672542102e-01,9.9999999999999989e-01,4.2489016222555825e-01,9.9999999999999978e-01,4.9999999999999989e-01,-1.1102230246251565e-16,-1.1102230246251565e-16,2.5248523790134403e-01,2.5248523790134403e-01,9.9999999999999989e-01,4.2489016222555825e-01,9.9999999999999978e-01,4.9999999999999989e-01,-2.7755575615628914e-16,-5.5511151231257827e-17,2.5248523790134414e-01,2.5248523790134414e-01,9.9999999999999989e-01,7.3339851626912222e-01,1.7260896614494647e+00,9.9999999999999989e-01,9.9999999999999989e-01,2.4855670850100181e-01,2.4855670850100181e-01,2.7755575615628914e-17,1.0000000000000000e+00,4.4423946441841955e-01,1.0455395391870461e+00,1.0000000000000002e+00,1.0000000000000000e+00,2.5207989896161431e-01,2.5207989896161431e-01,0.0000000000000000e+00,9.9999999999999978e-01,3.2761451695588339e-01,7.7105696032087712e-01,9.9999999999999978e-01,9.9999999999999978e-01,2.5524843053644208e-01,2.5524843053644208e-01,5.5511151231257827e-17,1.0000000000000000e+00,4.2489016222555814e-01,9.9999999999999944e-01,9.9999999999999989e-01,4.5539539187046452e-02,1.1074263497299314e-02,2.5248523790134403e-01,2.5198092104484110e-01,1.0000000000000000e+00,4.2489016222555814e-01,9.9999999999999944e-01,1.0000000000000000e+00,-2.2894303967912277e-01,-5.5674158925240469e-02,2.5248523790134403e-01,2.3973902672542091e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.4361169648638361e+00,2.9452431127404299e-01,4.6142142099600090e+00,9.6976142046746077e+00,6.7709777894503098e-01,-1.2759472622176819e+01,5.3520331264498800e-03,1.5142997370822275e-03,5.5045544376897748e+00,6.9404558259180005e-01,1.2657444020852038e-01,7.2521812181792056e+00,1.5378327076844536e+00,6.9034989333501334e-03,1.5378327076844536e+00,6.9034989333501334e-03,True,2.2340791689670292e-01,1.0000000000000000e+00,2.2340791689670292e-01,1.0000000000000000e+00,4.1004417793282077e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4600886174447903e-01,2.4600886174447903e-01,1.0000000000000000e+00,2.2340791689670292e-01,1.0000000000000000e+00,7.9397008322516571e-01,7.6677256500890234e-01,1.9559655615686683e-01,2.4600886174447906e-01,9.6030788673170470e-02,1.0000000000000000e+00,2.2340791689670289e-01,9.9999999999999989e-01,8.2008835586564166e-01,1.0000000000000000e+00,2.4600886174447908e-01,2.4600886174447908e-01,0.0000000000000000e+00,1.0000000000000000e+00,2.2340791689670284e-01,9.9999999999999967e-01,5.0220085547177384e-01,6.6345391275862309e-02,1.6913088954998046e-02,2.4600886174447911e-01,2.4488675624007630e-01,9.9999999999999989e-01,2.2340791689670286e-01,9.9999999999999978e-01,5.2391741716870222e-01,-2.1871176085753691e-01,-5.5755063282192180e-02,2.4600886174447908e-01,2.3381457367730743e-01,1.0000000000000002e+00,2.2340791689670284e-01,9.9999999999999967e-01,5.0000000000000022e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4600886174447908e-01,2.4600886174447908e-01,1.0000000000000000e+00,2.2340791689670286e-01,9.9999999999999978e-01,4.9999999999999989e-01,0.0000000000000000e+00,-1.3877787807814457e-17,2.4600886174447906e-01,2.4600886174447906e-01,1.0000000000000000e+00,3.9471097837888347e-01,1.7667725650089021e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.4995034824933493e-01,2.4995034824933493e-01,0.0000000000000000e+00,1.0000000000000000e+00,2.3823000255733989e-01,1.0663453912758618e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.4656359266944075e-01,2.4656359266944075e-01,0.0000000000000000e+00,9.9999999999999978e-01,1.7454597800271071e-01,7.8128823914246293e-01,9.9999999999999978e-01,9.9999999999999978e-01,2.4351294302229382e-01,2.4351294302229382e-01,5.5511151231257827e-17,1.0000000000000000e+00,2.2340791689670278e-01,9.9999999999999933e-01,1.0000000000000002e+00,6.6345391275862364e-02,1.6913088954998073e-02,2.4600886174447908e-01,2.4488675624007628e-01,1.0000000000000000e+00,2.2340791689670284e-01,9.9999999999999967e-01,9.9999999999999978e-01,-2.1871176085753707e-01,-5.5755063282192138e-02,2.4600886174447906e-01,2.3381457367730740e-01
high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,prepared_spin_ensemble_v4,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2228023400064982e+00,5.0000000000000000e-01,1.5707949999999999e+00,3.4361169648638361e+00,2.9452431127404299e-01,4.8105637508093704e+00,1.0114899628189445e+01,6.8623929554313412e-01,-1.2759472622176819e+01,5.3520331264498800e-03,1.5142997370822275e-03,5.5045544376897748e+00,7.1426681846671947e-01,1.2657444020851949e-01,7.2521812181791541e+00,1.3291899959270350e+00,6.9034989333501152e-03,1.3291899959270350e+00,6.9034989333501152e-03,True,2.5722694626862874e-01,9.9999999999999989e-01,2.5722694626862874e-01,1.0000000000000000e+00,4.1445362242948081e-01,1.1102230246251565e-16,1.1102230246251565e-16,2.5206033639130559e-01,2.5206033639130559e-01,1.0000000000000000e+00,2.5722694626862874e-01,1.0000000000000000e+00,8.0208228525735392e-01,7.7728023936975754e-01,1.8976280709175133e-01,2.5206033639130565e-01,1.0456145627155206e-01,1.0000000000000000e+00,2.5722694626862874e-01,1.0000000000000000e+00,8.2890724485896183e-01,1.0000000000000000e+00,2.5206033639130571e-01,2.5206033639130571e-01,0.0000000000000000e+00,1.0000000000000002e+00,2.5722694626862863e-01,9.9999999999999956e-01,5.0226040441740039e-01,6.7236960332843543e-02,1.6425880250273958e-02,2.5206033639130565e-01,2.5095591013248592e-01,1.0000000000000000e+00,2.5722694626862863e-01,9.9999999999999956e-01,5.2456455518420797e-01,-2.2165087495522284e-01,-5.4148948554471416e-02,2.5206033639130554e-01,2.4005817456630160e-01,1.0000000000000000e+00,2.5722694626862863e-01,9.9999999999999956e-01,5.0000000000000000e-01,0.0000000000000000e+00,2.7755575615628914e-17,2.5206033639130554e-01,2.5206033639130554e-01,1.0000000000000000e+00,2.5722694626862863e-01,9.9999999999999956e-01,5.0000000000000011e-01,0.0000000000000000e+00,8.3266726846886741e-17,2.5206033639130554e-01,2.5206033639130554e-01,9.9999999999999989e-01,4.5716436863666027e-01,1.7772802393697575e+00,9.9999999999999967e-01,9.9999999999999989e-01,2.4859509136259347e-01,2.4859509136259347e-01,2.7755575615628914e-17,1.0000000000000000e+00,2.7452210425143092e-01,1.0672369603328431e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.5157132541384786e-01,2.5157132541384786e-01,0.0000000000000000e+00,9.9999999999999978e-01,2.0021236856612706e-01,7.7834912504477705e-01,9.9999999999999956e-01,9.9999999999999978e-01,2.5427071409047780e-01,2.5427071409047780e-01,5.5511151231257827e-17,9.9999999999999989e-01,2.5722694626862863e-01,9.9999999999999956e-01,1.0000000000000000e+00,6.7236960332843598e-02,1.6425880250273903e-02,2.5206033639130559e-01,2.5095591013248592e-01,1.0000000000000000e+00,2.5722694626862863e-01,9.9999999999999956e-01,9.9999999999999978e-01,-2.2165087495522284e-01,-5.4148948554471416e-02,2.5206033639130554e-01,2.4005817456630160e-01
